step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107
1	-2015.064233732770390	-2021.919721683729676	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.431298530971613	0	1	2	1	2	2	2	4	3	3	3	5	3	3	3	3	3	5	4	4	4	4	4	4	4	4	5	5	4	5	5	5	5	5	8	5	5	5	5	6	5	7	7	6	6	7	6	6	6	6	7	6	8	6	7	8	7	7	8	8	8	7	8	7	7	7	9	8	8	8	11	8	8	9	10	9	11	9	9	10	10	10	12	10	10	11	11	13	11	11	11	12	14	12	13	14	15	15	15	16	16	16	16	17	18	17	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	4	3	4	4	4	4	4	6	4	4	4	4	5	4	6	6	5	5	6	5	5	5	5	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	8	6	6	7	8	7	8	7	7	8	8	8	9	8	8	8	8	10	8	8	8	9	11	9	10	11	11	11	11	12	12	12	12	13	13	13	13
500	-633.847554715793649	-640.703042666753049	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.379819403966376	0	1	1	1	2	2	2	4	2	3	3	5	3	3	3	3	1	5	4	1	4	4	4	4	4	4	5	5	4	4	4	3	2	5	7	5	5	5	5	5	2	7	7	5	5	6	5	4	6	6	7	6	8	6	7	8	7	7	8	8	7	7	7	7	6	7	9	5	8	8	11	7	7	9	10	9	11	8	9	10	10	9	10	10	10	11	9	13	11	11	11	11	14	12	13	14	15	15	15	15	15	16	16	17	18	17	18	0	1	1	1	2	2	2	3	1	3	20	5	6	7	3	9	1	32	20	1	11	5	13	13	13	14	16	16	41	10	14	33	0	20	11	22	23	25	26	26	17	18	34	25	26	26	10	33	20	37	39	40	63	40	24	26	45	45	64	47	34	40	40	14	40	65	19	4	32	37	56	47	65	56	66	49	69	47	73	79	78	66	11	72	79	75	34	66	43	11	85	82	34	64	18	66	18	19	88	18	77	35	83	76	18	35	69	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	1	2	3	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	2	1	2	4	1	2	1	1	1	2	3	2	2	1	3	2	2	2	3	1	1	5	3	2	3	2	2	1	1	2	1	2	3	2	1	2	2	6	2	1	1	3	6	3	5	1	2	6	5	7	5	9	9	2	9	2	9	5	5	11	8	6
1000	-602.298281715602116	-609.153769666561516	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410223849001886	0	1	1	1	2	2	2	4	1	3	3	4	3	3	2	3	2	4	4	1	4	4	4	4	4	4	5	4	4	5	5	5	3	5	8	5	5	5	5	5	3	7	7	6	6	7	6	4	6	6	6	6	8	6	5	8	7	7	8	8	8	7	8	7	6	7	9	8	8	8	10	8	7	8	10	9	11	9	9	10	10	10	11	10	10	11	11	13	11	11	11	12	14	12	12	13	15	15	13	14	16	16	16	17	18	17	18	0	1	1	1	2	2	2	11	1	3	20	5	6	7	2	4	9	33	11	1	20	5	13	13	13	14	16	16	41	10	10	18	0	20	49	22	23	25	26	26	17	32	49	25	26	26	30	33	11	37	39	40	65	40	24	58	45	26	26	30	11	40	40	52	40	65	34	28	32	50	58	47	65	54	63	49	32	72	73	79	47	66	11	72	79	82	76	66	35	43	85	86	21	66	18	86	18	67	66	69	95	89	87	67	18	35	69	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	1	3	2	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	3	3	2	2	2	3	1	1	1	4	2	2	2	3	1	1	1	2	1	3	1	2	1	3	2	6	1	1	1	2	5	3	3	1	1	8	2	5	1	10	4	3	4	3	4	2	4	11	6	7
1500	-509.085985822499765	-515.941473773459165	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614039681900331	0	1	2	1	2	2	2	4	1	3	3	3	3	3	3	3	2	4	4	4	4	4	4	4	4	4	5	5	4	5	5	5	3	5	8	5	5	5	5	5	3	7	7	6	6	6	6	6	6	6	7	6	8	6	7	8	7	7	8	8	8	7	8	7	6	7	8	8	8	7	11	8	7	7	10	9	11	9	9	10	10	10	12	10	9	11	11	13	11	11	11	12	14	11	12	12	15	14	15	14	16	16	16	17	18	17	17	0	1	4	1	2	2	2	15	1	3	3	5	6	7	3	9	9	33	11	11	11	5	13	13	13	14	16	16	41	10	14	18	0	20	49	22	23	25	26	26	17	18	34	38	26	26	30	33	20	37	39	40	65	40	24	58	46	45	45	47	49	40	52	46	40	65	20	28	32	37	56	47	65	54	66	34	69	60	73	79	47	66	87	60	73	82	35	82	67	43	85	75	76	85	42	82	69	35	96	42	97	89	89	103	69	83	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	1	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	1	2	1	1	2	1	2	2	1	1	3	3	2	1	2	5	2	3	2	7	4	3	4	1	4	3	1	6	5	6
2000	-481.137592227416519	-487.993080178375919	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615834432338243	0	1	2	1	2	2	2	4	2	3	3	5	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	4	5	5	5	3	5	8	5	5	5	5	5	3	7	7	6	5	7	6	6	6	6	7	6	8	6	7	8	7	7	8	7	8	7	8	6	6	7	8	8	8	7	11	8	7	9	10	9	10	9	9	8	9	10	12	10	9	11	10	13	9	11	11	12	14	12	13	14	15	14	15	16	16	16	16	17	18	17	18	0	1	4	1	2	2	2	3	4	3	3	5	6	7	3	9	9	33	11	11	11	5	13	13	13	14	16	16	41	3	14	18	0	20	43	22	23	25	26	26	9	32	20	25	26	26	30	33	20	37	39	40	65	40	24	45	45	45	58	47	43	52	52	40	40	65	34	28	32	37	45	60	65	54	53	34	69	47	73	73	47	66	90	72	73	79	34	82	19	61	85	86	35	91	69	75	77	83	96	97	97	83	98	102	95	93	101	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	3	2	1	2	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	3	2	2	2	3	1	1	2	2	2	2	2	2	1	2	3	1	2	2	2	2	3	5	2	1	1	3	1	2	1	4	1	1	1	1	2	2	1	5	2	2
2500	-468.297142312427582	-475.152630263386982	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694932340427382	0	1	2	1	2	2	2	4	2	3	3	5	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	4	4	5	5	3	5	8	5	5	5	5	5	5	7	6	6	5	6	5	5	6	6	7	6	8	6	6	8	7	7	8	7	8	7	8	7	6	7	9	7	8	8	10	8	7	9	9	9	10	8	9	10	10	9	10	10	10	11	11	11	11	11	11	12	12	12	13	14	15	15	15	14	16	16	13	17	17	17	18	0	1	4	1	2	2	2	3	4	3	3	22	6	7	3	9	9	33	11	11	11	2	13	13	13	14	16	16	17	3	14	18	0	20	20	22	23	25	26	26	29	18	20	25	26	26	30	33	20	37	39	40	65	40	24	58	45	45	46	47	49	46	52	40	40	65	61	28	32	50	56	60	65	54	65	34	69	30	73	79	60	66	76	78	79	82	67	82	83	76	85	66	89	85	77	75	77	103	96	95	97	103	35	102	95	102	101	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	2	1	2	1	1	1	1	4	1	1	1	1	1	1	3	2	1	1	2	1	2	2	1	2	1	1	1	2	1	1	2	2	2	2	1	2	2	1	1	1	2	3	2	1	1	1	2	3	3	2	2	2	1	1	2	1	2	1	2	2	2	1	2	1	2	1	1	2	3	4	2	1	1	1	3	2	1	3	1	2
3000	-489.789699489990028	-496.645187440949428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645505147574688	0	1	1	1	2	2	2	4	1	3	3	5	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	4	5	5	5	3	5	8	5	5	5	5	5	5	7	7	6	6	6	6	6	6	6	7	6	8	6	7	8	5	7	8	7	7	7	8	7	6	7	8	7	8	8	11	8	7	9	10	9	11	7	9	9	10	10	12	7	10	11	11	13	10	10	11	12	14	12	13	14	15	14	15	13	16	16	13	17	17	17	18	0	1	1	1	2	2	2	10	1	3	3	22	6	7	3	9	9	33	11	11	11	5	13	13	13	14	16	16	17	10	14	18	0	20	20	22	23	25	26	26	29	18	11	25	57	26	30	33	11	37	39	40	65	40	24	57	26	45	45	30	49	46	40	52	40	65	34	16	32	37	56	60	65	40	66	49	69	47	73	73	47	53	89	30	80	82	67	75	34	20	85	86	90	91	77	75	77	103	82	77	100	83	76	83	101	102	105	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	4	1	1	2	1	2	1	1	2	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	2	4	2	2	3	1	1	3	2	3	1	1	2	2	3	1	2	2	1	1	3	2	3	4	1	1	3	1	2	2	3	1	3	1	2	2	3	4	1	1	1
3500	-473.836377415847153	-480.691865366806553	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590703545270692	0	1	1	1	2	2	2	4	2	3	3	5	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	4	5	5	5	3	5	7	5	5	5	5	5	5	7	6	6	6	7	6	6	6	6	7	6	8	6	7	8	5	7	8	7	8	7	8	7	6	7	9	7	8	8	10	8	7	9	10	8	8	9	9	10	8	9	9	10	10	10	11	13	10	11	11	12	13	12	11	14	15	15	13	15	16	16	15	16	18	17	18	0	1	1	1	2	2	2	11	4	3	3	5	6	7	3	9	9	33	11	11	11	5	13	13	13	14	16	16	17	10	14	18	0	20	11	22	23	25	26	26	29	32	20	25	57	26	30	33	34	37	39	40	66	40	24	45	26	45	46	30	49	40	52	40	40	65	43	28	18	50	45	60	65	63	66	20	42	72	73	79	60	53	20	78	79	53	83	82	43	49	85	66	20	85	69	75	95	93	92	95	100	98	90	98	101	102	101	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	4	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	2	2	2	2	2	1	1	3	2	4	2	2	1	1	1	2	3	1	1	2	1	1	1	4	1	1	1	2	3	2	3	1	4	5	2	3	3	2	1	1	4	1	1	3	1	2	1	2
4000	-466.662254402189319	-473.517742353148719	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.717449973655711	0	1	1	1	2	2	2	2	2	3	3	5	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	5	4	5	5	5	3	5	7	5	5	5	5	5	5	7	6	5	6	7	5	6	6	6	7	6	8	6	6	8	5	7	8	6	8	6	8	7	6	7	8	7	8	7	10	8	8	9	9	9	11	9	9	10	9	10	12	10	10	11	10	11	11	11	11	12	14	12	12	14	13	13	15	15	16	15	16	17	18	17	18	0	1	1	1	2	2	2	3	4	3	3	5	6	7	8	9	9	33	11	11	11	5	13	13	13	14	16	16	17	1	14	18	0	20	34	22	23	25	26	26	29	18	20	25	57	26	10	18	20	37	39	40	66	40	24	45	26	45	46	30	35	40	40	52	40	65	21	28	32	50	45	60	65	63	66	34	32	72	65	79	47	66	34	78	73	82	76	66	76	87	85	75	98	85	69	66	95	83	96	97	100	83	83	103	101	103	101	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	2	1	4	2	2	1	2	2	3	1	2	1	1	2	5	1	2	1	1	2	2	1	1	3	1	2	2	3	1	1	1	2	1	2	2	1	2	1	2
4500	-453.255898167561440	-460.111386118520841	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690824837056250	0	1	1	1	2	2	2	2	1	3	3	5	3	3	3	3	2	4	4	4	4	3	4	4	4	4	5	5	4	4	5	5	3	5	8	5	5	5	5	5	5	5	7	6	6	6	6	6	5	6	7	6	8	6	6	8	5	7	8	8	8	7	8	7	6	7	9	8	8	8	11	8	7	9	10	9	11	8	9	10	10	10	12	9	9	11	11	13	11	11	11	12	14	11	13	14	14	15	15	16	16	16	16	15	18	17	17	0	1	1	1	2	2	2	3	1	3	3	5	6	7	8	9	9	33	11	11	11	5	13	13	13	14	16	16	17	10	26	18	0	20	20	22	23	25	26	26	29	18	11	38	57	26	30	33	20	37	39	40	65	40	24	58	26	45	46	30	43	52	52	40	40	65	35	27	32	50	63	30	65	63	66	34	69	47	73	79	47	66	34	78	73	75	35	82	67	67	85	82	89	79	77	88	95	35	96	97	97	93	93	93	101	102	101	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	3	1	1	1	2	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	3	4	1	1	2	3	2	2	2	1	2	2	4	1	2	1	2	2	2	1	2	2	1	2	2	1	1	4	1	2	2	1	2	1	2	1	1
