step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-4256.554356849006581	-4263.409844799965867	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.128650446263513	0	2	4	2	3	4	5	6	6	7	7	9	9	9	9	12	10	10	10	11	12	13	12	12	12	13	17	14	14	15	17	17	18	17	18	18	19	19	20	19	20	23	22	22	21	21	21	21	22	24	21	21	21	22	22	23	24	27	26	26	27	28	29	31	30	30	30	32	31	30	31	31	31	33	32	31	31	31	31	32	32	33	32	32	34	32	34	33	33	33	33	33	34	36	37	35	35	36	36	37	38	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	4	5	5	6	6	7	7	7	7	9	8	8	8	8	9	10	9	9	9	10	13	11	11	11	13	13	13	13	13	13	14	14	15	14	15	17	16	16	16	16	16	16	16	18	16	16	16	16	16	17	18	20	19	19	20	21	21	23	22	22	22	24	23	22	23	23	23	24	24	23	23	23	23	24	24	24	24	24	25	24	25	24	24	24	24	24	25	26	27	26	26	26	26	27	28	29
500	-2057.787855474968637	-2064.643343425927924	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.096187174491232	0	1	2	2	3	4	5	5	5	7	5	9	8	9	7	12	10	7	10	10	11	13	9	11	11	12	16	13	13	15	17	14	17	17	18	18	17	19	20	16	20	23	22	22	21	20	21	21	22	24	21	21	21	22	22	23	24	27	26	26	27	28	29	31	30	30	30	32	31	30	31	30	31	33	32	31	31	31	31	32	32	33	32	32	33	32	34	33	32	33	33	33	34	36	37	35	35	36	36	37	38	40	0	1	2	2	3	5	5	6	5	6	6	15	11	5	6	19	6	5	18	7	18	16	5	7	18	19	17	25	15	26	20	8	24	28	25	21	23	37	24	8	32	23	23	28	24	24	23	32	24	28	24	24	18	20	24	15	24	24	32	0	0	0	0	23	0	23	1	23	0	1	14	20	1	1	40	23	0	29	15	0	15	0	0	0	23	40	56	40	13	24	40	32	3	32	32	1	23	1	32	9	23	18	1	1	1	1	1	1	2	1	2	2	1	2	2	3	3	2	3	4	1	3	3	1	6	5	3	2	4	1	5	3	3	9	4	4	7	6	7	2	6	11	4	11	12	8	8	7	8	7	11	10	7	8	13	9	10	15	11	13	10	1	1	1	1	18	1	20	20	17	1	17	19	19	25	21	13	18	1	18	24	1	23	1	1	1	21	15	9	14	21	14	16	18	16	22	18	31	22	28	21	26	29	23
1000	-1948.311153341873251	-1955.166641292832537	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.127241613485938	-2	-1	4	1	3	4	5	6	4	6	6	9	8	9	8	12	7	10	10	8	10	13	12	12	11	13	16	14	14	15	16	17	17	15	18	17	18	19	18	19	20	23	22	22	20	20	20	21	21	24	18	21	21	22	22	22	24	27	25	25	27	28	28	31	29	30	30	31	28	29	31	30	31	33	32	31	30	31	29	32	32	32	31	32	32	32	34	31	33	31	32	31	33	36	37	34	35	36	36	37	38	40	0	1	4	2	4	5	5	6	5	6	9	17	9	5	3	12	6	6	20	7	8	19	6	18	10	16	25	18	23	16	25	24	17	23	34	31	32	35	28	36	32	39	14	36	40	28	40	31	33	39	33	23	23	45	14	25	28	50	55	0	0	0	0	18	0	14	13	23	0	21	32	14	4	13	56	23	0	4	2	0	3	0	0	0	20	33	56	56	21	23	14	14	56	13	23	3	23	13	8	3	1	13	1	1	3	2	2	1	1	2	1	2	2	2	4	6	3	3	2	5	2	2	4	2	7	2	5	1	2	4	2	3	3	4	6	3	3	1	1	1	3	2	1	4	11	5	1	4	1	3	4	5	1	7	8	2	11	9	10	3	3	1	1	1	1	17	1	18	20	15	1	15	14	17	27	17	8	14	1	29	29	1	25	1	1	1	21	12	9	8	22	11	17	18	11	27	17	26	21	27	18	29	31	22
1500	-1741.178595941196136	-1748.034083892155422	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.143542479209699	-3	1	4	2	3	4	5	5	6	7	6	9	9	6	9	12	9	10	10	11	11	13	12	12	12	13	15	13	12	15	16	17	18	16	18	18	19	19	20	19	20	23	22	22	21	20	21	21	22	23	20	21	20	22	21	22	21	25	25	25	25	28	29	31	30	30	30	32	30	30	31	31	30	32	31	30	31	31	31	30	32	33	32	32	34	31	31	31	33	33	33	33	34	36	37	35	35	36	36	37	38	39	0	1	1	2	2	5	6	5	5	5	7	8	7	6	14	19	3	12	17	14	14	19	5	6	21	19	6	24	15	19	20	31	15	27	28	34	32	34	40	36	33	45	23	40	36	31	40	41	53	57	35	39	27	55	24	38	24	51	43	0	0	0	0	27	0	9	2	33	0	60	23	27	1	23	63	23	0	1	2	0	2	0	0	0	27	24	23	27	23	27	24	23	27	1	27	2	33	12	23	20	24	3	1	2	4	1	1	1	1	2	3	3	1	3	4	2	3	2	4	1	1	4	2	3	8	7	1	3	9	1	2	5	4	1	8	1	5	2	1	2	1	1	2	2	9	2	1	3	1	1	2	2	2	1	3	1	7	3	8	5	3	1	1	1	1	16	1	21	20	11	1	5	16	14	28	15	2	14	1	28	25	1	28	1	1	1	16	13	7	7	19	8	20	10	7	27	14	24	14	25	20	22	26	21
2000	-1956.355850032080298	-1963.211337983039584	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.156889967375462	0	1	4	2	3	4	5	5	6	6	5	9	9	6	6	12	8	10	10	9	11	12	11	12	12	13	17	14	14	15	16	14	18	17	18	18	19	19	20	19	20	23	22	20	21	20	21	21	22	24	21	21	19	22	22	21	24	25	26	26	27	27	28	31	30	30	29	32	31	30	31	31	31	33	32	30	31	31	31	32	32	33	32	30	34	29	34	33	33	33	33	32	34	36	37	35	34	36	36	37	38	40	0	1	2	2	2	5	5	6	11	6	5	8	11	6	6	19	8	8	12	7	20	12	8	20	10	16	18	18	26	26	32	15	31	25	31	31	35	35	53	35	37	49	28	36	40	28	34	37	53	42	28	39	34	45	34	38	34	51	58	0	0	0	0	20	0	18	25	25	0	63	25	27	15	18	70	17	0	2	1	0	2	0	0	0	25	27	43	79	25	27	25	27	70	15	25	2	25	27	25	25	15	20	1	1	2	1	2	1	2	1	1	1	2	3	3	2	2	2	3	3	1	3	1	2	3	2	4	1	6	4	1	2	2	3	1	5	2	1	1	1	1	1	1	1	7	2	2	5	4	2	3	1	4	1	2	1	5	2	7	3	1	1	1	1	1	20	1	19	15	12	1	2	17	11	22	11	2	17	1	21	28	1	20	1	1	1	13	9	8	2	13	10	17	12	4	25	14	23	14	19	21	23	29	27
2500	-1907.526877628903776	-1914.382365579863063	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.161071844952889	0	1	2	2	3	4	5	5	6	7	7	9	8	6	9	11	9	9	8	10	11	12	12	12	11	13	17	13	13	15	17	15	18	16	18	17	19	19	20	19	20	23	22	22	21	21	20	21	21	24	21	21	18	22	22	22	24	25	26	26	27	27	29	31	30	30	30	32	30	30	31	30	31	30	31	31	31	31	31	32	32	32	31	30	34	32	34	33	32	33	32	32	34	36	36	35	35	36	36	37	38	40	0	1	2	2	3	5	5	6	5	14	5	14	14	6	10	7	9	11	9	13	18	17	7	20	20	12	18	24	22	26	28	23	24	18	24	24	32	35	53	36	37	49	36	33	40	35	33	41	39	42	39	53	34	45	36	27	52	57	58	0	0	0	0	4	0	34	15	23	0	62	7	33	1	27	84	15	0	16	15	0	15	0	0	0	34	23	56	66	34	75	27	34	75	9	21	16	27	34	15	15	11	15	1	1	1	1	1	1	2	1	3	1	3	2	2	2	2	5	3	2	2	2	2	2	5	2	1	3	6	1	1	2	4	1	3	7	4	4	3	1	2	2	1	2	5	4	1	2	2	1	1	1	1	3	2	1	4	5	2	1	1	1	1	1	1	18	1	14	13	12	1	3	19	6	23	8	1	16	1	19	19	1	18	1	1	1	13	15	7	3	14	2	11	12	3	21	21	21	13	18	24	23	25	22
3000	-1768.140796301564478	-1774.996284252523765	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.161899105550275	-1	0	4	2	3	4	5	6	5	7	7	8	9	7	9	12	10	8	9	9	12	12	11	12	11	13	17	14	14	15	16	16	18	15	18	17	19	19	20	19	19	23	22	21	20	21	21	21	22	24	21	21	19	22	22	22	22	25	26	26	27	28	29	31	29	29	30	31	31	30	31	31	31	33	32	31	29	31	30	32	32	32	32	32	34	31	34	33	33	33	33	33	34	35	37	35	35	36	36	37	38	37	0	1	4	2	4	5	5	6	5	6	7	5	11	6	7	19	7	14	12	7	20	19	8	14	18	19	23	17	23	22	24	28	32	28	34	34	31	28	53	36	31	55	39	40	36	32	36	41	31	42	53	53	36	44	31	35	52	57	58	0	0	0	0	13	0	13	12	23	0	62	3	27	9	63	70	3	0	23	3	0	13	0	0	0	27	27	72	66	23	82	12	17	90	13	14	23	28	38	27	3	20	3	1	1	2	2	1	1	2	2	2	2	2	5	2	3	3	2	3	1	1	3	3	3	5	2	3	2	5	4	3	3	4	1	2	1	2	2	3	5	1	1	1	1	1	1	3	2	2	1	6	1	2	2	2	1	4	4	1	3	1	1	1	1	1	16	1	11	12	17	1	2	22	6	20	4	2	19	1	12	22	1	20	1	1	1	14	8	2	3	13	1	15	14	1	17	24	19	15	12	18	23	19	21
3500	-1744.366217636602187	-1751.221705587561473	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.157618823209786	0	1	2	2	3	4	4	6	6	7	7	7	8	9	9	12	10	10	10	11	12	12	12	12	11	13	17	14	14	15	15	16	17	17	17	18	19	18	20	19	20	22	22	22	21	21	21	21	21	24	21	20	19	21	22	20	24	25	26	26	27	28	29	31	30	30	30	32	31	30	31	31	31	33	32	31	31	31	31	29	32	32	32	32	34	32	34	33	33	33	32	33	34	36	37	35	35	36	36	37	38	38	0	1	2	2	3	5	5	6	7	6	7	5	11	6	6	19	6	5	12	6	6	19	15	18	15	19	21	18	18	22	28	24	31	24	18	32	24	32	40	36	32	20	53	40	40	18	36	35	37	42	52	35	36	40	35	38	42	57	58	0	0	0	0	15	0	12	37	15	0	62	18	60	2	70	64	12	0	18	1	0	20	0	0	0	35	35	72	67	35	82	37	17	75	18	4	15	35	37	18	17	23	37	1	1	1	1	1	1	1	2	2	2	2	3	1	3	3	2	3	5	1	4	4	1	3	2	2	2	4	4	2	3	1	3	2	4	6	2	6	1	1	1	4	7	2	2	2	6	2	3	2	2	1	3	1	1	2	2	2	1	1	1	1	1	1	19	1	17	11	21	1	2	19	5	22	2	1	19	1	13	21	1	20	1	1	1	15	10	1	1	9	1	11	19	2	17	28	17	13	10	14	22	24	12
4000	-1255.734729068190745	-1262.590217019150032	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.196855401582697	0	1	4	2	3	4	5	6	6	7	7	9	9	9	9	10	10	10	10	11	12	13	12	12	11	11	17	14	14	15	17	16	17	16	18	18	18	19	20	19	20	23	22	22	20	20	21	21	21	24	21	21	21	21	22	22	23	24	25	26	27	28	29	31	30	28	30	32	31	30	30	31	30	33	32	31	31	30	31	30	29	31	32	32	33	30	34	33	33	33	33	32	34	36	37	34	34	36	36	37	38	40	0	1	2	2	2	5	5	6	7	6	9	10	5	6	5	14	5	7	10	7	18	26	13	18	10	19	8	24	26	29	28	13	24	28	18	28	17	36	36	35	37	36	52	40	40	32	33	41	17	53	36	36	40	45	54	38	53	57	58	0	0	0	0	3	0	17	17	17	0	62	17	67	17	63	62	17	0	17	17	0	17	0	0	0	10	17	72	67	66	82	17	3	82	17	17	49	17	66	27	17	49	73	1	1	3	1	2	1	2	2	1	3	1	2	4	3	6	1	7	3	2	5	2	2	3	1	2	1	7	1	2	1	2	6	3	1	5	4	5	1	2	1	2	3	1	3	1	4	3	1	11	3	2	2	2	1	1	3	2	1	1	1	1	1	1	18	1	11	12	14	1	2	16	1	14	4	1	15	1	13	17	1	13	1	1	1	14	12	2	2	5	2	13	22	3	14	22	12	19	8	13	22	17	7
4500	-1302.590754436999305	-1309.446242387958591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.228812022388515	-2	1	4	2	3	4	5	6	6	7	7	9	9	7	9	10	10	9	10	10	12	11	12	12	12	13	16	14	14	15	15	17	15	17	17	18	19	19	19	19	20	23	22	21	21	21	20	21	22	24	21	20	21	22	22	23	24	27	26	26	25	28	29	31	29	27	30	30	31	30	31	31	31	33	32	31	31	31	29	32	32	31	32	32	34	29	34	33	33	33	33	33	34	36	37	35	35	36	36	37	38	40	0	1	2	2	2	5	5	6	5	7	5	10	11	5	7	14	13	10	14	11	18	15	5	20	20	23	14	20	26	29	24	33	15	33	24	31	32	35	35	36	35	49	53	40	36	35	39	41	35	56	35	39	39	40	45	34	39	59	57	0	0	0	0	23	0	23	27	23	0	63	23	86	66	79	70	23	0	14	23	0	27	0	0	0	23	15	72	66	73	82	23	23	77	15	23	63	14	67	11	10	27	100	1	2	2	1	2	1	2	2	3	2	3	2	1	4	4	2	1	2	3	3	1	1	7	2	2	1	7	2	1	1	3	2	4	2	5	3	2	2	2	1	2	1	1	2	2	4	1	1	5	1	2	1	1	3	1	4	4	1	2	1	1	1	1	15	1	8	12	6	1	1	13	2	4	4	1	12	1	13	16	1	14	1	1	1	11	11	3	5	2	2	10	19	2	19	24	6	23	5	15	22	13	3
