step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-603.478761527202096	-602.016679442683198	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.334574026303923	0	1	5	11	9	9	10	10	9	11	11	10	10	12	11	11	13	12	12	13	13	12	14	12	13	12	14	14	15	16	15	17	17	16	17	18	16	16	17	18	18	18	19	19	18	21	19	20	19	20	21	21	20	21	23	21	22	25	25	24	24	25	25	26	24	24	27	26	26	26	27	27	27	28	27	29	31	30	34	32	35	34	38	41	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	5	5	5	5	5	6	6	5	5	6	6	6	7	6	6	7	7	6	7	6	7	6	7	7	8	8	8	9	9	8	9	9	8	8	9	9	9	9	10	10	9	11	10	10	10	10	11	11	10	11	12	11	11	13	13	12	12	13	13	13	12	12	14	13	13	13	14	14	14	14	14	15	16	15	17	16	18	17	19	21
500	-430.113507564875874	-428.651425480356977	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.221390442181590	0	2	5	11	10	8	7	10	10	11	9	11	10	12	12	11	14	12	13	13	13	12	14	11	13	12	15	13	15	16	16	17	17	16	17	19	14	16	17	17	18	18	18	19	17	21	20	20	20	19	22	22	20	21	23	21	23	26	25	22	21	26	26	26	24	24	26	26	26	27	26	27	28	29	28	29	31	30	34	32	35	34	38	42	0	1	1	11	2	3	2	3	7	11	6	5	11	11	9	7	1	4	11	7	5	3	7	11	9	13	26	14	10	10	16	3	21	2	12	12	9	9	20	14	37	20	26	34	19	41	28	34	1	32	45	47	30	3	21	3	35	45	35	18	44	44	8	14	47	20	44	66	56	62	1	2	2	68	3	20	37	15	59	51	66	37	47	54	1	1	3	1	3	2	3	4	1	1	1	1	1	1	1	2	7	1	2	4	2	4	4	2	2	1	1	1	2	3	3	6	2	6	4	3	1	3	3	3	3	3	3	1	2	1	4	2	12	1	2	1	3	10	5	9	3	4	6	5	1	3	10	6	2	5	4	1	2	1	15	13	13	1	12	9	7	10	4	4	4	10	8	10
1000	-352.913687802388722	-351.451605717869825	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.439507055459465	-1	1	4	11	8	9	10	8	8	12	11	10	10	12	9	10	14	12	12	14	14	13	15	13	12	11	14	13	15	15	16	18	18	17	18	18	14	16	15	19	19	19	19	19	19	21	19	19	19	21	21	20	20	22	22	21	22	26	26	24	25	26	25	26	24	25	27	25	25	27	27	27	27	28	28	30	31	27	34	31	35	34	38	40	0	1	2	9	1	3	6	1	3	15	15	9	9	11	8	15	15	15	11	19	6	7	28	16	8	8	28	7	16	19	20	31	34	29	14	14	16	19	22	34	33	31	36	10	24	43	33	9	22	9	47	35	17	36	35	43	52	47	36	54	39	53	52	35	45	55	60	40	46	36	54	52	64	65	78	59	78	64	76	66	56	66	76	70	1	1	1	2	5	2	1	5	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	2	1	1	2	2	2	1	1	1	1	3	2	2	2	1	1	1	1	1	4	2	1	1	7	3	6	1	1	3	3	2	1	1	3	5	1	4	3	3	3	2	2	1	3	2	4	2	5	1	2	1	2	2	1	2	3	5	4	3	5
1500	-270.090435185491742	-268.628353100972845	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.693776480897051	0	2	6	12	8	8	10	10	10	10	10	11	9	11	11	11	14	12	12	14	12	11	13	13	14	12	14	14	15	17	15	18	16	15	17	18	16	16	17	19	17	19	20	20	18	22	20	20	19	20	21	21	21	22	23	22	22	25	25	24	24	25	23	26	24	23	26	25	26	26	28	27	27	29	27	29	32	31	34	30	34	33	38	41	0	1	2	13	3	3	3	5	5	5	3	13	5	11	6	13	12	16	8	23	16	13	15	26	4	7	16	15	10	20	15	23	25	16	37	31	20	17	27	41	29	33	13	37	37	48	26	35	37	32	31	42	45	32	46	50	39	46	60	51	66	60	52	60	56	49	60	66	56	56	67	54	58	61	58	75	80	70	77	76	77	80	79	79	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	2	2	1	2	1	1	1	1	1	1	1	2	6	1	1	1	3	1	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	1	1	2	3
2000	-263.441555088350469	-261.979473003831572	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.732650123570732	0	2	6	11	9	8	10	10	9	12	10	11	10	12	11	11	13	13	13	14	13	12	14	12	13	13	14	14	16	16	15	18	15	16	16	17	16	16	17	18	18	17	19	19	18	22	18	21	19	20	21	21	21	22	23	22	22	25	25	25	21	26	25	26	24	24	27	26	26	25	28	28	27	27	28	30	31	30	34	32	35	35	38	40	0	1	2	8	6	3	5	6	6	9	6	13	9	11	13	13	8	14	7	17	9	4	22	16	12	10	18	22	15	20	28	23	25	11	27	24	25	18	17	23	34	28	19	23	29	61	25	42	34	39	43	45	39	61	34	50	52	57	57	56	44	66	56	66	46	48	66	66	58	48	69	63	63	70	67	71	78	58	78	73	76	72	82	83	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	3	2	2	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	3	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	3	1	1
2500	-207.752351968460204	-206.290269883941335	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.924025249599720	0	2	5	11	10	10	10	11	9	8	10	10	11	12	11	11	13	12	13	13	13	13	14	12	14	12	14	15	15	16	15	18	17	17	16	18	15	17	17	15	17	18	18	20	18	21	19	18	18	20	21	20	19	21	22	21	22	25	25	25	25	25	24	27	24	24	27	26	27	26	27	28	28	28	27	30	31	29	35	33	35	34	38	40	0	1	1	7	10	10	10	7	10	3	10	10	9	5	9	9	8	16	15	4	16	14	18	9	20	12	15	23	25	17	23	39	30	23	17	31	14	40	30	22	40	35	35	49	30	32	38	29	38	38	43	45	48	43	54	52	54	66	65	63	65	66	57	58	56	57	65	59	58	66	58	65	70	69	60	74	72	71	80	77	80	69	81	83	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1
3000	-243.075134962172257	-241.613052877653388	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.803688237200652	-1	1	4	11	9	7	11	8	9	12	11	9	10	10	10	11	14	12	11	13	13	12	15	13	13	11	14	14	14	15	16	17	18	16	17	18	15	16	17	19	18	17	19	19	18	21	19	19	19	20	22	20	20	21	24	22	21	25	26	24	24	26	24	26	25	24	27	27	26	26	28	27	27	27	28	29	31	31	33	32	35	34	38	41	0	1	2	15	6	2	5	6	8	13	8	8	8	5	8	12	22	14	8	4	14	15	24	7	11	5	26	20	10	24	27	30	30	27	28	17	16	29	37	35	23	37	33	33	32	52	30	32	31	36	43	40	45	50	40	42	31	54	66	56	56	66	56	66	54	53	63	69	61	65	74	65	70	64	72	65	67	75	78	67	77	80	81	83	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
3500	-244.482417964154962	-243.020335879636093	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.870265580715334	-1	1	5	12	9	10	10	9	8	11	11	10	11	12	9	11	13	12	12	14	14	12	13	13	14	12	13	15	15	16	15	16	18	15	17	18	16	16	17	18	16	19	20	19	18	21	16	20	20	18	21	22	20	22	24	21	22	26	26	24	23	25	25	25	25	24	27	26	27	26	28	28	26	28	26	28	29	30	35	32	34	34	39	41	0	1	2	12	9	15	8	3	3	8	8	9	15	6	9	8	19	12	7	19	22	7	19	6	19	5	14	13	24	20	14	23	30	17	29	28	13	25	32	38	16	35	38	20	32	48	18	30	50	31	40	48	33	56	49	49	49	60	54	56	51	61	66	60	57	52	63	65	62	55	65	63	65	73	48	75	76	67	81	78	80	77	79	83	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1
4000	-301.863465049334820	-300.401382964815923	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.609305713064498	1	2	5	11	9	8	11	9	10	12	11	9	10	12	11	11	13	13	13	13	14	13	14	12	13	13	13	13	16	16	16	17	17	15	15	19	16	16	17	18	18	18	19	19	19	21	20	20	19	20	20	22	21	22	23	22	23	24	25	25	25	25	24	26	23	25	27	26	26	25	26	26	27	29	28	27	31	28	34	32	34	34	38	41	0	1	1	13	6	3	13	3	6	11	5	6	6	15	8	12	12	7	11	14	14	5	16	6	4	10	16	15	28	7	11	4	37	26	19	17	15	17	34	22	23	33	41	30	32	43	39	7	30	33	26	39	48	45	54	24	36	48	50	54	55	41	50	54	44	65	70	62	46	63	58	56	55	75	69	59	67	58	80	64	80	77	74	83	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	3	4	1	2	2	3	2	2	1	2	2	1	1	2	1	1	1	4	1	1	3	3	1	1	1	4	2	1	2	1	1	3	2	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	3	1	2	3	2
4500	-236.155664403956678	-234.693582319437809	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.902623218138491	-1	2	5	12	6	9	11	11	9	11	10	11	11	12	12	11	13	11	13	13	14	12	15	12	14	12	15	14	14	16	13	17	17	17	15	18	15	16	18	17	19	18	19	18	16	21	19	21	19	20	22	22	20	21	23	22	22	26	26	24	24	26	25	26	24	24	28	25	27	25	27	28	28	28	27	29	31	30	35	33	36	34	39	41	0	1	2	6	3	3	11	6	3	6	6	11	11	13	11	6	16	6	7	13	17	11	7	16	14	11	12	18	17	23	15	37	23	25	29	33	15	23	23	23	38	33	44	40	21	43	33	43	44	39	53	46	40	42	29	44	50	56	56	57	57	70	57	51	48	48	69	66	62	57	62	71	58	62	68	75	76	59	82	77	82	80	81	83	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
