step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-608.664411811204218	-615.519899762163618	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.275410538773063	0	0	2	2	2	3	3	3	3	4	3	5	4	6	5	6	5	9	7	7	7	7	7	7	7	8	7	8	8	9	9	9	10	12	8	8	11	9	8	9	10	10	9	11	10	11	10	10	11	10	12	11	11	12	12	11	11	11	11	12	13	12	13	13	13	12	13	15	14	14	13	14	13	15	14	13	14	14	14	16	15	15	17	16	17	16	16	17	18	16	17	16	18	17	17	18	18	17	18	17	18	18	19	20	20	20	20	21	21	22	24	24	24	27	28	28	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	2	3	3	3	3	5	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	6	4	4	6	5	4	5	5	5	5	6	5	6	5	5	6	5	6	6	6	6	6	6	6	6	6	6	7	6	7	7	7	6	7	8	7	7	7	7	7	8	7	7	7	7	7	8	8	8	9	8	9	8	8	9	9	8	9	8	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	11	11	11	12	12	12	14	14	14
500	-744.091138427407145	-750.946626378366545	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.299286334690852	1	-1	2	2	2	3	3	4	4	4	3	6	5	6	6	5	5	10	7	6	7	7	6	7	5	8	7	8	8	10	8	9	11	11	8	7	12	10	9	9	10	10	9	11	10	12	9	11	11	11	13	10	9	11	13	9	11	11	12	12	13	13	14	13	14	12	13	14	13	15	13	13	13	15	13	13	15	14	15	14	13	16	17	16	15	16	17	17	18	16	17	17	18	18	17	18	19	17	18	18	18	17	20	21	20	20	19	21	21	21	25	24	24	28	29	29	2	0	1	1	2	1	3	3	11	2	1	6	7	16	1	7	7	23	7	3	17	2	10	14	2	8	7	20	19	1	12	2	29	47	14	6	1	1	27	16	12	16	26	53	36	40	2	53	7	11	27	13	22	21	7	36	4	2	58	7	2	12	37	6	50	1	52	53	6	57	7	24	24	1	30	53	2	1	54	2	53	80	40	1	81	8	1	3	56	34	44	62	16	47	68	28	2	73	2	1	1	0	68	23	82	84	1	70	67	2	14	0	0	109	37	0	2	1	1	1	1	1	1	2	1	2	2	2	2	1	3	1	1	2	2	2	1	5	1	1	4	2	2	1	1	5	1	4	2	1	1	2	5	5	1	2	1	3	1	1	3	2	5	1	4	2	4	3	1	2	5	2	4	6	1	5	7	3	1	7	2	6	2	4	4	3	4	2	3	6	1	3	7	5	2	7	2	1	5	8	1	5	8	8	4	4	4	2	7	5	1	4	9	3	7	8	10	1	3	8	2	2	7	3	3	10	8	1	1	4	9	1
1000	-656.725737372538219	-663.581225323497620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.370726022056589	1	-1	2	2	2	2	4	4	3	3	3	5	5	7	5	6	5	9	7	7	7	7	7	7	7	8	6	8	8	10	9	10	11	12	6	9	12	10	9	10	10	10	9	9	10	11	10	10	12	8	12	12	10	13	12	11	11	10	10	11	12	11	14	13	13	12	12	15	14	14	11	15	14	15	15	12	14	15	15	15	15	16	17	17	18	16	15	17	18	16	17	15	18	17	18	19	19	17	17	16	17	17	20	19	20	20	20	22	21	21	24	24	24	27	27	28	2	0	2	1	1	2	3	9	2	1	1	9	2	13	2	13	1	29	8	1	9	12	35	6	2	9	2	5	27	22	23	2	2	48	12	19	43	35	17	12	22	43	20	2	21	10	35	26	43	11	71	48	16	48	1	39	8	2	44	1	13	20	59	52	56	23	16	2	43	45	9	58	37	70	60	43	1	1	18	24	60	40	29	2	73	1	69	66	82	57	75	45	77	55	61	67	1	78	2	9	71	0	89	99	102	88	49	81	86	2	98	0	0	112	93	0	1	1	3	1	1	1	1	1	2	1	1	1	3	1	4	1	2	1	1	2	2	1	1	2	5	2	2	3	1	2	1	4	6	1	1	1	2	2	2	3	2	1	1	4	2	4	1	2	1	2	1	1	2	1	7	1	4	6	1	3	3	2	2	1	1	2	3	7	3	2	3	2	1	1	2	2	6	10	3	5	1	3	5	10	2	7	1	3	1	2	1	3	2	3	2	3	9	1	9	8	3	1	1	1	2	1	3	6	3	9	2	1	1	1	5	1
1500	-646.433078821207573	-653.288566772166973	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.431480943409195	1	0	3	3	1	3	2	2	4	4	3	5	4	7	6	6	5	8	4	8	6	6	8	7	6	8	7	7	8	8	10	9	11	11	9	8	10	9	9	9	11	11	9	11	9	12	10	11	12	9	12	11	11	11	12	12	10	11	11	13	13	10	13	12	13	13	13	16	15	13	14	14	13	15	15	13	14	12	15	15	14	15	18	16	17	16	16	18	18	16	17	16	15	17	15	18	18	17	15	17	17	18	20	20	20	19	19	21	21	23	24	21	25	27	26	28	2	0	1	1	2	2	2	2	1	7	2	10	1	1	1	12	2	21	1	9	8	10	9	2	2	14	7	8	12	28	1	1	2	38	24	4	19	1	12	7	18	4	14	35	24	58	8	11	59	8	57	30	40	6	2	31	1	1	2	36	57	1	33	20	7	40	50	95	77	64	11	40	15	60	33	33	50	62	64	55	67	60	101	2	71	2	72	90	92	41	60	99	73	39	81	100	42	92	50	1	58	0	68	86	38	80	95	56	72	53	60	0	0	90	71	0	1	1	1	1	1	2	2	1	1	1	2	1	1	4	2	1	2	1	2	2	2	1	2	4	2	1	3	3	2	1	4	3	4	1	1	2	2	4	3	4	2	3	1	2	1	1	3	4	1	2	1	2	1	3	7	1	4	6	4	3	2	3	1	2	4	2	2	1	1	1	5	3	4	1	1	1	1	1	1	1	1	1	1	7	2	8	1	1	2	3	3	1	1	4	1	1	2	1	4	8	3	1	2	1	4	2	2	5	5	4	4	1	1	6	6	1
2000	-666.898447793434798	-673.753935744394198	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.456446281558138	1	0	3	1	2	3	3	2	3	3	4	4	4	6	5	7	5	9	8	8	8	6	6	6	6	8	6	8	8	9	10	9	8	12	9	7	12	8	8	10	10	11	9	10	10	9	11	10	10	10	12	10	11	13	12	12	11	10	12	9	11	11	13	11	14	13	12	15	15	15	12	14	13	15	14	12	14	14	14	17	16	15	18	16	17	17	15	17	19	17	17	16	17	16	18	19	18	18	18	17	18	17	19	18	20	21	20	22	22	22	24	24	23	27	28	28	2	0	1	2	2	2	8	2	1	2	2	2	2	1	2	25	1	17	12	12	3	10	7	10	8	15	1	15	14	1	29	4	12	42	17	3	18	24	27	60	36	29	11	24	43	20	13	6	20	1	44	8	44	38	44	41	14	21	31	7	22	2	19	15	49	2	18	60	72	55	8	34	46	51	48	43	44	7	59	87	42	79	35	75	21	7	60	20	97	7	87	72	38	77	70	85	40	45	72	1	66	0	23	44	87	40	77	43	99	99	91	0	0	90	109	0	1	1	1	1	1	1	1	1	1	2	2	2	3	4	2	1	2	2	2	1	2	1	2	2	2	2	4	1	1	4	1	2	3	1	2	2	2	1	1	1	2	2	2	3	1	1	3	5	1	3	1	3	1	2	1	1	2	1	1	2	4	5	2	2	2	5	2	4	1	1	5	2	2	2	2	1	2	3	1	1	2	1	4	1	3	6	2	4	1	4	1	1	4	2	2	1	3	3	2	9	2	1	5	3	2	5	3	5	3	2	3	1	1	5	2	1
2500	-635.957386636725573	-642.812874587684973	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480015803156639	1	0	2	3	3	2	4	4	2	5	3	6	2	6	5	6	5	9	6	7	6	7	7	7	7	8	7	8	9	9	9	10	9	12	7	8	11	9	9	8	10	10	8	11	10	9	9	10	12	10	12	12	12	10	12	11	11	11	11	13	11	12	13	13	13	11	13	15	13	14	13	13	12	14	14	13	15	14	15	15	15	15	17	16	17	16	15	17	18	16	17	16	19	16	17	18	18	18	18	16	18	18	20	18	20	20	21	21	22	22	22	24	24	27	29	28	2	0	1	1	1	2	9	6	2	2	3	8	2	7	1	13	1	36	2	8	3	15	9	10	2	7	2	14	20	22	21	8	12	57	10	21	25	2	43	9	28	7	4	1	2	17	11	1	15	39	59	30	57	47	13	48	18	12	24	42	23	17	39	54	53	43	41	75	52	52	57	58	39	1	54	45	61	62	75	42	66	60	82	12	41	2	24	71	86	26	14	62	71	62	60	58	94	62	26	1	39	0	98	75	60	83	77	75	65	99	88	0	0	101	99	0	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	2	2	1	2	1	2	1	3	1	4	3	4	1	1	1	1	2	2	1	1	1	3	4	1	2	1	4	2	5	5	2	6	4	6	1	1	2	1	1	4	1	2	2	2	2	2	4	2	2	1	2	1	1	1	1	1	1	2	6	2	1	2	1	1	3	2	1	1	6	3	7	4	2	2	3	5	1	3	2	3	3	1	4	4	7	5	1	2	2	3	1	2	4	5	2	3	1	1	4	5	1
3000	-627.246047054940277	-634.101535005899677	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.435450375921828	1	0	2	2	2	4	4	3	2	5	4	6	4	7	6	6	4	9	8	7	7	8	7	7	6	7	6	8	8	10	9	8	9	12	6	8	11	9	8	8	10	9	9	12	10	10	10	11	11	8	12	9	12	12	11	11	10	12	11	12	12	11	13	14	14	12	13	14	13	14	12	13	13	16	14	13	12	14	14	16	14	15	17	17	16	17	16	17	19	15	17	15	19	17	18	19	18	17	19	17	18	19	19	19	20	20	20	21	21	22	25	24	23	27	27	27	2	0	2	2	2	2	5	1	1	2	2	13	1	13	1	4	1	23	2	6	11	24	6	7	1	13	1	24	25	15	21	2	8	13	17	12	2	1	20	25	11	35	16	12	33	2	21	30	23	1	32	12	52	22	35	18	33	12	15	42	1	1	42	2	8	12	48	1	12	54	9	39	9	39	41	50	12	2	12	1	71	73	70	2	67	10	42	85	83	21	79	72	76	49	73	91	34	71	91	33	2	0	72	101	95	99	95	98	95	99	99	0	0	65	104	0	1	1	1	1	1	2	2	1	1	3	2	1	2	1	3	1	1	1	2	2	2	1	1	1	2	2	3	1	1	2	1	5	4	4	2	2	5	3	1	1	3	2	1	3	1	3	1	1	3	4	2	2	2	1	3	1	1	3	3	2	6	5	2	8	7	3	1	7	4	1	5	3	6	5	3	3	2	7	3	8	1	1	2	9	2	5	3	1	1	4	1	1	2	3	3	1	3	3	2	3	7	1	3	1	1	1	1	2	3	2	4	1	1	5	3	1
3500	-692.564488648451743	-699.419976599411143	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.374817177790593	1	0	3	1	3	4	3	3	4	4	3	3	4	5	5	6	5	10	8	8	7	8	7	8	7	8	5	9	8	9	9	8	10	13	8	8	11	9	7	8	7	10	8	11	11	11	10	10	12	11	12	9	11	12	12	12	12	11	12	13	12	13	14	12	12	13	13	15	14	14	12	15	12	16	13	14	15	14	13	16	14	16	18	16	17	14	16	17	19	17	16	17	18	17	17	18	17	18	17	17	19	17	18	21	19	20	21	21	21	22	23	24	24	26	27	27	2	0	1	2	1	2	1	1	12	7	4	1	2	8	1	5	2	26	8	23	16	9	1	15	2	9	12	24	23	4	12	2	12	40	14	10	7	7	1	17	7	1	39	2	21	26	36	52	28	1	23	12	19	16	2	48	12	10	8	28	8	17	65	18	2	53	44	59	65	56	11	60	53	51	26	1	2	14	1	2	31	43	102	2	61	67	59	71	80	76	62	43	81	68	79	87	82	97	2	86	76	0	12	58	102	99	54	99	59	106	54	0	0	107	32	0	1	1	1	1	1	2	1	1	1	1	1	1	3	1	2	2	2	1	3	1	1	3	2	1	4	2	1	1	1	4	2	4	3	2	1	2	3	3	3	2	2	4	1	6	2	2	2	1	2	3	3	3	2	2	5	1	6	4	4	3	3	5	1	1	6	2	1	2	1	2	3	1	1	3	3	8	8	4	5	8	2	5	1	8	2	1	2	2	1	2	2	5	2	1	2	1	1	1	10	2	3	1	7	5	1	1	8	2	5	1	6	1	1	2	8	1
4000	-664.082623381529743	-670.938111332489143	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.384078522810440	1	0	2	1	3	3	3	3	2	3	3	6	4	6	5	5	5	9	7	7	7	8	8	7	8	8	8	7	8	9	7	9	11	13	7	9	10	10	7	9	9	11	7	11	10	11	10	9	12	10	13	11	12	12	12	11	10	11	12	13	13	11	12	10	13	12	13	15	14	14	14	13	11	15	15	13	14	13	14	16	16	16	18	13	16	17	16	17	18	17	17	16	18	17	17	18	19	17	18	16	17	18	16	19	20	20	20	21	21	21	24	25	25	27	26	29	2	0	1	2	1	1	4	1	1	1	1	11	2	1	2	11	8	1	16	3	16	28	16	16	35	8	1	14	39	7	2	8	45	33	8	21	2	12	2	12	20	23	11	1	1	18	2	26	47	1	64	6	44	41	40	40	1	28	10	40	2	1	23	30	26	2	32	43	61	52	1	49	14	2	45	2	7	46	52	42	12	33	56	58	55	32	2	21	80	85	51	37	71	56	75	59	57	100	92	35	45	0	2	76	96	82	77	2	50	32	52	0	0	115	95	0	1	1	1	1	1	1	1	1	1	2	1	1	1	3	3	1	1	3	1	2	1	1	1	1	1	2	2	1	1	2	4	4	1	1	1	1	5	2	3	2	1	2	2	5	5	1	6	1	1	4	1	4	1	1	1	1	4	2	4	3	6	5	2	1	2	6	2	4	1	2	6	1	2	6	3	7	7	1	1	3	3	2	3	1	2	4	6	8	2	1	2	2	2	2	1	3	5	1	1	3	5	1	10	3	1	2	4	8	7	6	6	1	1	1	5	1
4500	-724.505830853106659	-731.361318804066059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.380033077113470	1	0	2	3	3	2	4	3	4	2	4	6	5	5	6	6	5	10	6	8	8	7	7	8	6	9	6	8	9	8	9	9	10	12	9	9	10	9	8	8	10	11	10	11	10	11	10	10	11	10	12	11	10	11	13	11	12	11	10	13	13	11	12	13	14	12	13	15	13	15	14	14	12	15	14	14	12	14	15	16	14	15	18	15	18	17	15	18	18	16	18	16	18	17	17	18	17	17	18	17	16	17	19	20	20	20	20	21	20	22	23	24	25	26	26	27	2	0	2	2	1	2	3	3	1	2	1	9	3	3	6	9	8	27	2	8	23	19	19	2	2	39	2	19	16	6	23	7	20	17	28	13	24	23	22	13	2	47	1	16	1	7	1	12	36	7	38	12	23	13	12	35	7	16	14	43	8	8	33	12	47	49	18	24	59	63	43	62	20	60	73	51	2	73	57	61	51	78	71	1	75	33	29	71	60	61	61	51	101	70	81	82	1	38	53	65	1	0	2	1	85	93	77	98	2	83	108	0	0	110	113	0	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	2	3	2	1	1	1	3	2	1	3	1	2	2	1	3	2	4	1	2	1	1	1	2	5	1	4	4	3	4	5	2	1	3	2	2	1	3	4	1	5	3	2	1	6	2	2	4	3	1	1	3	2	1	2	1	2	1	1	1	5	1	2	2	1	1	3	5	3	3	4	2	2	2	2	2	1	2	2	2	6	3	2	1	6	1	10	6	1	1	4	3	6	1	1	1	1	2	1	1
