step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
1	-6749.540767267478259	-6756.396255218437545	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655835200697052	0	4	6	6	6	7	7	8	8	8	8	9	10	11	11	11	10	12	11	12	12	13	13	14	14	14	16	15	15	16	17	17	18	18	19	19	19	20	20	19	19	21	21	21	21	21	22	22	23	24	25	26	26	25	28	27	28	30	30	32	34	35	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	4	4	4	4	5	5	6	6	6	5	6	6	6	6	7	7	7	7	7	8	8	8	8	9	9	9	9	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	12	13	13	13	13	14	14	14	15	15	16	17	18	19
500	-411.229992535730673	-418.085480486690074	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.338354232406935	-1	5	6	7	7	8	8	8	8	8	8	9	11	10	11	10	10	12	11	13	11	12	13	14	14	12	16	16	16	16	16	16	19	18	20	18	18	20	19	19	19	21	22	20	21	20	23	23	23	25	25	25	27	25	26	24	28	29	30	32	35	35	38	0	0	2	2	2	0	2	3	3	3	3	5	7	10	10	11	5	3	2	3	3	11	2	11	21	4	17	14	14	19	10	22	12	23	28	28	29	23	32	29	30	39	15	32	2	37	39	38	35	40	34	41	52	48	41	49	30	54	49	39	54	25	44	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	3	4	3	3	2	4	3	1	3	3	3	3	3	3	3	4	3	2	1	2	5	2	2	2	1	5	2	9	2	3	1	1	3	3	4	1	1	5	1	5	2	3	5	6	7	10
1000	-358.428770926177720	-365.284258877137120	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.465805971058482	-1	4	5	6	6	7	8	8	9	9	7	10	10	11	11	11	10	13	11	12	12	13	14	14	14	15	17	15	16	16	18	17	18	19	18	19	19	20	20	20	18	21	22	21	20	21	22	22	23	24	25	25	26	25	28	27	28	30	27	32	32	36	37	0	0	1	2	2	0	5	4	5	8	5	11	7	17	12	5	5	9	2	19	8	14	19	11	12	21	22	24	15	28	18	8	20	24	30	29	12	29	30	24	30	30	38	38	23	34	34	17	43	40	30	43	51	49	51	51	34	56	34	56	51	33	48	1	1	3	1	1	1	1	2	2	1	1	1	1	1	1	3	2	3	4	1	2	1	1	4	2	2	3	1	3	1	3	3	3	3	1	2	4	2	2	3	2	3	1	1	3	1	1	8	1	2	4	1	1	1	2	1	5	2	5	4	4	7	6
1500	-352.505301753880758	-359.360789704840158	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.473191186957111	0	3	5	6	5	8	6	8	9	9	8	10	10	12	12	11	10	13	12	11	12	13	14	14	15	15	16	15	15	14	17	18	18	18	20	20	20	20	20	19	19	20	21	21	22	21	23	22	23	25	25	26	27	25	28	27	28	29	31	32	34	36	38	0	0	2	2	2	0	3	2	8	4	5	11	7	16	7	5	11	9	8	12	8	9	3	8	12	21	24	30	22	4	30	20	23	30	19	34	29	34	34	23	34	31	22	33	18	34	46	31	39	40	36	44	39	39	51	54	54	36	58	54	60	58	60	1	1	1	1	1	1	1	3	1	2	2	1	2	1	4	3	1	1	3	1	2	1	5	3	2	2	1	1	1	3	1	3	2	2	4	1	2	1	1	2	1	1	3	2	4	1	1	2	2	4	3	3	2	3	1	1	2	4	1	5	1	3	2
2000	-424.171663298466910	-431.027151249426311	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585489886989082	0	4	6	5	6	7	7	9	9	8	8	9	9	11	10	11	10	12	12	12	13	13	14	15	14	15	17	16	15	16	18	15	19	18	20	18	19	20	20	20	20	22	21	18	20	20	22	22	23	23	25	26	26	25	29	27	29	29	30	32	34	35	37	0	0	1	2	2	0	4	4	5	2	5	5	7	15	8	17	8	15	11	12	8	14	15	11	18	21	32	6	14	32	28	22	30	30	44	19	44	34	33	29	34	39	36	29	22	28	33	30	39	31	49	44	38	49	48	54	54	56	55	54	56	60	60	1	1	2	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	2	4	1	2	4	1	1	2	5	2	1	1	1	1	1	1	3	1	1	1	3	1	1	1	2	3	1	1	4	2	3	1	3	3	1	3	1	2	1	1	4	3	1	2
2500	-349.892070931761907	-356.747558882721307	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.584221439739678	1	4	6	6	6	6	7	9	9	9	8	9	9	10	11	11	10	12	11	12	12	13	11	14	13	15	16	14	14	16	17	16	18	18	18	18	19	18	20	20	20	21	20	22	22	22	22	22	23	24	25	26	26	25	27	28	28	31	31	29	32	33	37	0	0	2	2	2	0	5	4	5	4	5	5	7	12	12	12	11	9	5	12	14	19	14	14	14	25	24	10	19	14	20	21	27	30	30	22	38	14	35	37	30	35	26	43	35	42	41	30	39	33	48	37	34	49	48	54	53	60	52	54	58	58	61	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	3	3	3	3	2	1	1	1	2	1	3	1	1	3	2	2	1	2	1	1	2	1	3	1	3	3	1	3	2	1	1	2	3	1	1	3
3000	-423.343291545142336	-430.198779496101736	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694534599016147	0	4	5	7	7	4	7	7	9	8	8	10	10	11	11	11	10	12	11	12	12	10	13	13	15	14	17	16	15	16	18	17	19	16	19	20	19	19	21	20	18	20	20	21	21	21	22	23	22	25	24	26	26	24	28	28	29	30	30	32	34	35	38	0	0	6	2	2	0	3	2	5	8	5	11	7	2	7	9	9	9	5	14	4	11	19	11	21	15	25	4	23	14	28	25	32	19	34	31	32	28	36	14	30	30	35	20	41	31	42	39	39	43	48	46	48	39	48	54	49	56	55	58	58	60	58	1	1	1	1	2	1	1	2	2	1	1	1	1	3	2	1	1	2	2	1	2	1	1	2	1	1	1	3	1	1	1	1	1	2	2	1	1	2	1	2	1	2	1	4	1	2	1	1	1	2	1	2	2	1	2	2	2	1	1	1	1	2	4
3500	-324.369486855225603	-331.224974806185003	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724095975810860	0	4	6	6	5	8	7	9	8	8	8	10	9	12	11	11	11	12	9	12	13	13	13	14	14	14	17	15	15	17	17	17	18	18	20	19	20	20	20	19	19	21	22	21	20	19	21	23	23	24	25	26	26	26	28	27	29	30	28	31	34	35	36	0	0	2	5	2	0	5	4	4	3	5	11	7	16	13	12	5	11	4	12	19	16	8	3	23	4	28	18	23	25	29	28	31	30	30	34	32	27	34	32	34	46	34	39	36	32	46	44	39	40	48	42	48	39	56	35	52	57	52	54	41	60	56	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	1	2	1	2	3	1	4	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	3	1	2	1	3	1	3	1	1	1	2	7	2	4
4000	-362.081758057622892	-368.937246008582292	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476542537029915	-2	4	6	7	7	7	8	7	8	7	8	9	10	11	10	12	10	12	11	11	12	12	13	13	15	14	16	15	14	16	17	18	17	19	19	19	19	21	18	19	19	21	21	21	21	22	22	23	22	24	24	26	26	24	29	26	29	30	30	32	34	32	37	0	0	2	2	2	0	3	2	5	2	8	3	7	4	12	17	5	17	11	12	4	3	8	19	29	21	5	24	15	3	28	33	22	30	30	31	33	39	30	27	19	35	25	36	41	42	42	35	39	23	48	44	30	19	54	49	56	52	54	57	60	59	39	1	1	1	2	1	1	1	2	1	2	1	2	2	2	1	1	2	1	2	1	2	2	3	1	1	1	5	1	2	4	1	1	3	1	2	2	1	1	1	1	4	1	4	1	1	1	1	2	2	6	1	4	3	6	3	2	2	2	5	1	1	1	8
4500	-363.349694954520430	-370.205182905479830	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645323555559507	0	4	6	6	6	6	8	8	9	8	9	8	11	10	9	11	10	11	12	12	12	14	12	15	14	14	17	15	15	17	18	16	19	18	19	19	17	20	21	20	19	21	22	22	21	21	22	23	22	25	26	27	24	23	28	26	28	30	31	30	32	35	37	0	0	2	2	2	0	5	2	3	3	5	3	15	12	7	11	5	11	16	12	17	19	3	8	23	8	25	23	22	17	37	16	27	5	34	30	28	16	41	37	25	34	35	37	29	30	30	39	39	40	44	50	38	39	30	49	48	55	51	56	41	56	58	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	4	4	1	3	1	1	1	3	1	2	1	4	1	1	1	6	1	2	2	2	1	2	2	2	2	1	1	4	2	1	2	1	5	3	2	1	3	2	5	5	3
