step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-2425.947891557618732	-2432.803379508578018	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.175438716782387	0	2	4	4	3	6	9	7	7	5	9	7	8	8	10	10	11	10	11	12	12	14	13	14	14	14	15	16	16	16	15	16	15	16	18	16	19	18	20	18	18	19	20	18	19	21	20	21	20	20	22	21	21	22	21	22	21	21	21	22	21	22	22	22	22	22	23	24	23	24	23	23	24	24	25	24	25	24	25	25	24	26	26	28	25	25	27	27	29	31	33	34	36	36	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	5	4	4	3	5	4	4	4	5	5	6	5	6	6	6	7	7	7	7	7	8	8	8	8	8	8	8	8	9	8	10	9	10	9	9	10	10	9	10	11	10	11	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	12	13	12	13	12	13	13	12	13	13	14	13	13	14	14	15	16	17	17	18	18	20
500	-1044.624576366772544	-1051.480064317731831	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.180314057101886	0	2	3	4	4	6	9	6	7	5	9	7	5	8	9	11	12	10	11	9	10	14	12	14	15	11	16	14	16	14	13	16	15	16	18	13	18	17	20	18	18	17	20	18	20	21	19	22	20	20	22	21	20	23	21	22	20	21	21	22	21	22	22	22	23	22	24	25	24	23	23	23	25	25	26	23	25	22	25	25	25	26	25	28	26	25	28	27	29	29	34	35	36	37	40	0	1	2	2	2	2	2	2	10	2	2	4	2	8	10	7	16	10	2	10	13	15	26	7	13	8	23	21	23	21	7	21	23	20	15	10	28	31	29	26	38	20	24	30	21	30	25	21	28	41	26	43	23	32	21	41	26	37	44	43	15	26	32	25	45	32	36	21	26	36	57	29	36	36	31	7	20	26	7	21	26	42	26	46	22	26	26	26	26	36	57	26	36	36	36	1	1	1	1	1	2	4	2	1	2	2	2	2	1	2	1	1	2	5	2	2	2	1	3	5	3	2	2	2	2	2	2	2	3	5	5	2	2	1	2	1	5	4	3	5	3	2	9	3	1	8	1	5	6	7	3	6	2	1	1	6	6	3	4	3	4	8	9	9	3	3	4	6	6	10	10	11	5	10	11	9	6	9	3	10	9	12	13	11	12	7	17	15	16	15
1000	-757.329866932989262	-764.185354883948662	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.361693701112341	0	2	4	5	3	7	9	7	7	5	9	6	8	8	10	10	12	10	11	12	12	14	13	15	14	13	15	16	16	17	15	15	16	16	19	16	20	17	20	18	19	19	20	17	20	22	19	21	21	20	19	19	22	22	21	22	18	21	22	22	21	23	22	23	23	19	24	24	21	24	22	23	23	24	26	22	26	24	24	26	25	27	26	28	26	25	28	28	30	31	34	35	37	37	40	0	1	2	2	2	2	4	3	10	2	10	2	12	8	12	13	13	11	13	15	19	23	7	20	21	15	26	32	26	25	21	25	23	24	29	23	47	32	20	26	32	36	23	32	44	37	32	44	44	38	33	15	22	49	41	38	26	38	58	51	33	26	45	30	56	38	60	41	57	76	51	20	61	27	38	57	76	40	20	47	57	72	43	64	57	52	83	76	61	82	90	52	70	57	86	1	1	1	2	1	3	2	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	3	1	2	2	2	2	2	2	1	7	4	1	1	3	2	2	1	2	2	4	1	4	1	2	1	2	2	1	2	6	1	6	6	3	3	3	5	6	7	3	3	3	6	4	2	6	6	3	2	13	6	13	12
1500	-600.805775010514481	-607.661262961473881	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585562363399343	0	2	4	4	4	6	9	7	8	5	9	7	8	9	11	10	11	9	12	12	12	14	13	14	14	15	15	17	16	16	15	14	16	15	18	17	19	18	20	18	18	18	20	16	19	20	20	20	21	19	21	21	21	21	20	23	18	21	21	22	19	22	22	23	23	21	23	23	23	24	23	23	24	24	26	25	25	24	25	25	25	26	27	28	26	26	27	28	30	30	33	34	36	37	40	0	1	2	2	2	2	12	6	6	4	8	4	12	10	14	13	13	6	16	11	16	20	20	20	21	22	23	31	23	25	25	21	26	20	24	22	44	32	26	36	44	26	36	32	44	32	44	32	45	41	39	36	42	44	45	54	27	38	50	51	24	52	44	55	46	50	51	54	57	57	51	62	62	72	64	39	70	61	62	68	57	77	79	64	57	57	73	69	87	69	81	57	90	90	77	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	2	3	1	2	2	1	1	2	3	2	2	1	1	1	2	2	2	1	1	1	1	1	1	4	1	3	2	1	1	2	1	2	3	1	1	1	1	1	2	1	3	1	1	5	1	1	2	6	4	1	4	2	4	3	9	3	5	7
2000	-546.326036503642399	-553.181524454601799	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616054826730422	0	2	5	4	3	7	10	7	7	5	9	8	8	9	10	9	11	11	10	12	12	14	14	13	14	15	15	15	15	16	16	16	15	17	18	16	20	17	20	19	18	20	19	19	20	22	19	20	20	20	23	22	22	22	21	21	20	20	22	22	21	23	23	23	23	23	23	25	23	24	24	24	24	25	25	22	25	23	26	25	23	27	25	28	25	26	27	28	29	30	32	34	35	37	40	0	1	2	2	2	10	11	4	10	4	4	2	4	6	8	12	13	12	12	15	13	20	24	20	21	22	23	21	24	21	21	28	22	26	29	22	38	32	33	36	32	26	26	38	38	37	41	32	32	38	57	61	43	47	48	38	22	38	48	39	43	40	54	55	56	50	60	37	39	81	39	52	52	62	64	57	76	42	62	54	57	77	61	64	76	76	62	81	87	77	90	90	90	90	92	1	1	2	1	1	1	1	1	1	1	2	4	3	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	2	1	1	1	2	2	1	2	2	2	2	1	1	2	2	2	2	1	1	2	1	2	5	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	3	2	2	2	3	2	1	3	1	2	1	3	3	3	3
2500	-508.526466509186662	-515.381954460146062	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690062953113300	0	2	5	4	4	6	9	8	8	4	10	6	8	8	11	9	11	9	11	13	13	15	13	15	14	14	15	17	15	14	14	16	16	17	19	16	20	18	18	18	19	19	19	18	18	22	19	22	20	20	20	21	22	21	20	21	21	20	21	22	20	22	21	23	23	22	22	23	23	24	22	22	25	23	26	24	26	24	25	25	24	25	26	29	26	26	28	27	28	30	33	34	36	36	41	0	1	2	2	2	10	13	2	6	2	3	4	3	12	14	12	13	14	11	15	19	20	15	20	21	15	23	25	23	21	21	30	22	22	29	20	47	32	33	36	44	23	36	32	32	37	32	41	44	45	39	22	35	41	45	49	51	44	50	51	33	43	41	55	56	50	51	54	57	69	51	61	52	43	64	57	82	72	43	68	57	76	73	75	82	81	73	76	83	77	90	91	91	91	93	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	4	1	2	1	1	2	1	1	2	1	1	2	1	1	2	2	2
3000	-505.626609322103036	-512.482097273062436	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.742595827803695	1	2	3	5	4	6	9	7	7	4	9	7	8	8	11	9	11	8	11	12	12	14	13	15	14	13	15	16	17	17	15	15	15	16	18	16	19	17	18	18	18	18	20	17	19	21	20	21	19	20	20	22	22	22	21	21	19	19	21	22	20	21	22	22	23	23	24	24	22	24	24	22	25	25	25	25	24	24	25	26	23	27	25	27	25	24	28	27	29	31	33	34	36	36	41	0	1	1	2	2	10	12	4	6	2	4	4	12	10	11	13	13	10	16	15	16	26	20	20	21	20	23	25	27	25	21	21	22	26	29	22	32	32	24	36	32	24	36	32	28	47	41	32	44	37	39	61	40	38	38	37	39	44	37	51	42	43	30	55	56	50	51	54	57	81	51	61	62	43	64	81	81	72	52	68	57	85	62	64	77	81	73	81	73	85	82	91	91	91	93	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	1	3	2	1	1	1	2	3	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	2	2	1	1	2	1	1	2	2	2	2	1	1	2	2	2	2	3	1	2	2	2
3500	-504.411553875834272	-511.267041826793672	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.742426844375928	0	2	4	4	4	7	8	6	8	5	9	7	8	7	10	10	11	10	12	12	12	14	12	14	14	14	15	15	16	16	14	16	15	16	19	16	20	15	19	18	19	20	20	18	19	22	20	21	21	20	22	22	22	21	21	22	21	21	20	23	20	23	23	22	22	23	23	23	24	25	24	23	24	24	23	23	24	24	25	26	24	26	26	27	25	25	28	27	30	31	33	34	36	34	38	0	1	2	2	2	4	10	3	6	2	8	4	12	10	7	13	13	14	13	15	16	20	15	20	21	15	20	31	23	31	21	38	22	26	29	33	32	25	33	22	38	36	36	32	38	47	45	41	44	44	57	61	61	45	44	45	39	41	45	51	27	61	54	55	45	50	39	54	57	76	51	52	62	43	64	57	76	72	62	68	76	77	73	75	77	81	62	82	87	82	82	90	82	90	92	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	2	3	1	1	1	1	3	2	1	1	2	1	2	1	2	1	1	1	1	3	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	2	2	2	5	2	3
4000	-509.936572541971827	-516.792060492931228	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785122448423330	0	3	4	2	4	6	6	7	8	4	9	8	9	8	10	10	11	10	11	10	12	14	12	14	14	13	16	16	16	14	16	17	15	17	16	16	18	17	19	18	18	19	20	19	20	20	21	21	19	20	22	20	21	22	21	23	21	20	20	23	21	22	23	22	22	22	23	25	23	24	24	23	23	23	24	22	23	25	25	25	24	26	27	28	25	25	27	26	30	31	33	32	36	37	41	0	4	2	1	4	10	4	7	6	2	8	4	8	8	11	12	13	14	16	6	16	26	12	20	21	20	24	21	24	21	25	25	22	24	24	33	32	28	24	36	38	36	36	38	41	37	46	58	41	41	57	42	36	58	44	65	39	44	31	51	52	52	48	55	32	50	51	54	57	76	51	52	43	62	64	57	76	72	61	54	77	81	74	75	77	81	79	81	87	77	90	90	82	91	93	1	1	1	1	1	1	2	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	2	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	3	2	1	1	2	2	2	1	1	1	2	5	1	1	4	2	3
4500	-506.908007595458798	-513.763495546418199	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752386976254739	-1	3	5	2	4	6	8	8	7	5	9	6	8	8	10	9	11	10	10	12	12	15	13	13	14	14	16	17	15	16	14	16	16	17	19	17	19	19	19	19	18	19	20	19	19	21	17	20	20	20	21	22	22	20	22	21	21	20	21	23	19	21	23	23	22	21	23	24	23	24	24	24	25	25	25	23	23	25	26	26	25	26	26	28	26	26	27	28	29	31	33	33	37	37	40	0	4	4	1	4	10	12	12	10	4	8	2	12	6	11	13	3	14	7	15	19	26	20	20	21	20	23	25	23	21	21	21	22	22	29	33	47	41	33	36	47	36	42	31	41	37	31	45	32	32	39	61	43	41	49	32	39	30	44	51	36	40	54	55	56	21	39	54	57	57	51	62	62	62	64	57	57	52	72	54	77	77	62	75	77	81	72	81	87	77	90	85	91	91	94	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	4	2	2	1	2	1	2	2	2	1	1	1	1	1	2	1	1	4	2	1	1	2	2	1	4	1	3	2	2	2
