step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
1	-3959.081968750750548	-3965.937456701709834	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.381263996198174	1	1	3	5	11	10	11	12	13	14	12	13	15	15	18	16	15	15	16	17	16	16	18	17	17	18	19	18	19	18	18	18	20	19	18	20	19	21	18	18	19	19	21	19	20	21	21	21	22	20	21	22	21	23	24	23	24	25	27	29	29	30	31	32	31	34	35	36	37	39	37	39	41	42	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	5	5	6	6	7	6	6	7	7	9	8	7	7	8	8	8	8	9	8	8	9	9	9	9	9	9	9	10	9	9	10	9	10	9	9	9	9	10	9	10	10	10	10	11	10	10	11	10	11	12	11	12	12	13	14	14	15	15	16	15	17	17	18	18	19	18	19	20	21
500	-605.180101133743392	-612.035589084702792	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.214966814187355	-1	0	2	5	11	9	12	11	13	14	12	13	14	13	17	16	14	16	15	14	17	16	17	15	17	17	19	18	19	18	19	18	20	17	18	19	19	22	17	18	19	19	20	19	20	21	22	21	23	21	21	21	21	23	25	23	25	26	27	29	30	31	32	32	31	35	35	37	37	40	37	38	40	42	0	1	2	2	6	0	8	6	6	11	6	5	11	5	6	8	5	13	14	14	14	5	14	5	9	8	7	17	24	14	10	20	23	14	23	12	8	26	17	18	17	17	34	40	28	11	43	24	8	17	17	21	44	5	34	34	45	46	23	55	29	36	34	59	56	56	29	56	59	56	60	24	0	62	1	1	2	2	2	1	1	1	2	1	1	1	1	1	4	3	2	1	1	1	2	2	2	3	3	3	3	2	2	2	3	2	2	3	1	4	4	2	2	1	3	2	2	1	1	6	1	3	8	4	3	2	1	6	5	5	3	2	4	2	7	6	9	4	4	6	8	7	6	9	5	16	1	8
1000	-491.846176769533258	-498.701664720492658	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.362240508492105	1	2	3	5	12	10	12	11	13	14	13	13	16	14	18	16	16	14	16	17	16	17	18	17	18	18	19	18	19	18	18	18	21	20	18	20	18	22	18	19	19	18	21	20	19	21	21	22	22	20	21	21	22	24	24	23	23	25	27	29	29	30	30	32	31	34	36	35	36	39	38	39	41	42	0	1	2	2	6	0	8	6	6	11	5	6	11	11	11	7	6	5	12	19	14	14	14	12	5	7	16	17	23	19	10	20	20	35	14	17	8	26	17	17	17	17	20	42	28	10	20	25	8	42	45	21	44	16	47	22	45	57	56	56	22	56	56	59	59	64	56	56	56	65	65	56	0	63	1	1	1	2	1	1	1	1	1	1	1	2	2	1	3	2	3	1	2	1	2	2	2	2	2	4	2	1	1	1	2	1	2	1	3	2	2	2	1	2	2	1	2	1	1	2	2	2	6	1	1	3	2	4	1	3	1	1	2	2	6	4	4	2	2	1	7	6	9	5	3	11	1	8
1500	-498.623546895102493	-505.479034846061893	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.466492458210673	1	2	4	5	11	9	11	12	12	14	12	13	14	15	18	17	16	16	17	17	16	15	19	18	15	17	19	18	19	19	19	19	20	20	18	19	19	22	18	18	20	18	20	18	20	21	22	20	21	20	21	22	21	23	25	23	23	26	27	29	28	30	30	31	31	34	35	37	35	39	36	39	42	40	0	1	2	1	6	0	6	7	6	9	6	5	11	12	22	7	13	13	25	14	25	11	20	12	11	8	7	17	19	19	10	22	20	23	21	21	8	27	17	17	17	13	20	17	42	11	20	15	37	42	45	23	44	26	21	14	28	51	56	21	56	59	56	63	63	59	65	61	66	59	62	61	0	63	1	1	1	3	1	1	1	1	2	1	2	1	2	1	2	3	1	1	1	1	1	2	1	3	2	2	4	2	1	1	2	2	2	1	2	2	3	1	2	1	2	1	2	1	1	5	2	1	1	1	1	2	2	3	4	3	2	2	2	5	2	2	5	1	1	3	2	6	1	5	3	5	1	3
2000	-433.476898914269498	-440.332386865228898	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535881417621462	0	1	4	6	12	10	12	13	12	15	13	13	16	14	17	16	15	14	16	17	16	16	17	16	17	19	18	18	19	18	18	19	21	18	19	20	20	22	19	16	18	18	21	20	20	22	19	22	23	19	21	22	21	24	25	23	23	25	27	29	28	31	31	32	32	34	36	36	37	39	36	40	42	43	0	1	2	2	6	0	6	7	6	11	6	6	11	12	12	8	18	5	14	14	14	14	14	12	12	7	16	17	19	15	10	20	20	22	23	25	26	26	40	17	13	16	20	17	28	31	20	36	38	17	45	14	44	26	20	52	45	51	56	56	56	60	61	63	62	62	65	66	62	62	65	66	0	70	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	3	1	1	1	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	2	3	1	3	1	2	1	2	1	4	1	3	3	1	2	2	2	3	2	2	2	1	1	1	2	1	3	5	2	3	1	2
2500	-426.825024584066682	-433.680512535026082	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542116710890080	1	2	3	4	12	10	12	13	14	14	11	13	14	15	16	16	16	16	17	16	17	17	18	17	17	18	20	19	20	18	17	18	21	20	18	20	18	21	18	18	20	18	21	19	20	20	20	22	23	21	21	21	21	23	24	23	25	26	27	29	30	30	31	32	31	32	35	34	37	40	35	39	42	42	0	1	2	2	6	0	11	7	11	6	6	6	5	12	12	8	13	13	14	14	14	14	14	12	15	16	7	13	19	14	10	20	32	19	24	15	16	26	17	13	17	17	20	40	40	31	14	25	38	42	45	21	44	37	33	23	28	57	56	56	56	59	62	63	62	61	63	66	67	71	66	67	0	70	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	5	4	2	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	1	2	3	3	1	1	1	2	1	3	1	3	3	1	2	2	3	2	1	1	1	1	1	2	1	2	1	2	1	1
3000	-416.773108863406378	-423.628596814365778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615850471996924	0	1	3	6	11	9	11	13	13	13	12	13	15	15	18	15	15	13	16	16	16	16	18	17	16	18	19	17	19	18	17	18	19	20	17	21	19	21	19	18	19	17	20	20	18	22	18	22	22	20	22	21	22	23	24	24	24	26	26	30	27	29	31	33	31	34	36	37	37	39	38	39	41	43	0	1	2	2	6	0	6	7	5	5	6	5	18	12	25	11	18	11	14	14	14	14	14	12	12	16	16	17	19	14	10	20	20	25	14	12	7	37	42	18	17	17	20	40	28	10	20	15	38	42	45	21	44	37	20	34	51	57	56	59	59	56	60	62	56	62	62	67	65	69	68	67	0	67	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	2	2	2	1	2	1	2	1	2	2	1	3	4	1	1	2	2	1	2	1	1	4	1	2	1	2	2	2	1	2	4	2	1	1	2	2	1	2	1	2	3	3	3	1	3	1	1	2	1	3
3500	-450.146965525828421	-457.002453476787821	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634905857700445	-1	1	4	6	11	9	11	12	14	14	12	13	15	15	17	15	14	13	16	17	16	16	18	17	18	19	20	18	20	19	18	19	20	19	19	20	19	22	18	17	20	18	21	19	19	20	22	20	23	20	22	21	21	23	25	24	25	26	26	29	30	30	31	33	32	34	35	36	38	38	37	37	41	43	0	1	2	3	6	0	6	6	11	5	6	8	18	12	8	7	11	5	14	14	14	14	14	12	24	8	16	40	23	15	10	23	20	22	24	25	7	27	17	17	39	13	20	40	42	10	20	23	46	42	45	21	44	27	43	34	45	51	56	59	59	59	60	62	61	65	66	65	65	62	63	68	0	73	1	1	2	1	1	1	1	2	1	1	1	1	2	1	3	2	1	1	1	2	1	1	2	3	1	4	2	1	2	1	2	1	2	2	1	2	4	1	2	2	1	2	2	1	1	3	3	1	2	1	2	2	1	2	2	3	3	2	1	2	3	2	1	2	1	1	1	2	3	3	3	1	1	2
4000	-420.499861916462521	-427.355349867421921	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.691163145307427	0	2	3	5	11	9	10	13	14	15	12	13	16	15	18	16	15	14	16	16	17	17	18	17	15	17	19	19	19	18	19	19	21	19	18	20	20	22	18	19	20	18	22	20	19	20	21	21	23	20	19	22	22	23	24	24	24	26	27	27	29	31	32	32	31	33	35	35	37	38	37	39	40	43	0	1	2	2	6	0	6	7	11	5	6	5	5	12	25	8	18	11	14	14	14	14	14	25	12	7	8	17	19	14	10	20	20	14	14	15	26	16	17	42	45	17	20	17	17	10	20	15	37	39	42	21	44	38	20	34	51	57	56	56	60	61	65	62	59	62	62	62	66	63	68	71	0	73	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	2	1	3	2	2	1	1	2	2	2	3	1	1	1	3	2	1	1	2	3	3	2	4	2	2	1	1	1	3	1	1	4	2	2	1	2	1	1	1	1	1	2	1	2	2	2	3	1	1	1	2
4500	-446.626948370807554	-453.482436321766954	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531549488802419	0	2	3	4	12	9	10	12	14	15	12	13	13	14	17	16	16	15	15	18	16	16	17	16	16	16	19	18	19	19	18	19	20	20	18	20	20	22	19	18	17	19	22	20	21	22	21	21	20	20	22	23	22	22	25	23	24	26	27	27	30	30	31	32	30	34	33	37	37	39	36	39	41	43	0	1	2	2	6	0	6	7	11	11	6	5	5	12	11	8	13	13	14	21	11	14	14	12	12	8	8	17	14	23	11	20	20	22	14	25	26	37	28	18	17	17	20	40	28	37	20	36	7	17	50	15	44	49	47	35	28	45	56	56	60	60	62	62	60	65	63	66	65	71	61	71	0	73	1	1	1	1	2	1	1	1	1	2	2	1	1	1	3	2	2	2	1	1	2	1	2	2	2	2	3	1	2	2	3	1	2	2	2	2	3	1	1	1	1	1	2	1	2	1	1	1	5	3	2	2	1	1	2	2	3	3	2	2	2	1	1	1	2	2	1	2	3	1	3	1	1	1
