step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
7000	-208.105767376965701	-206.594617663938749	-1.511149713026958	0.000387087612420	0.000111138076196	0.287113492216811	0.417337352328468	0	2	4	4	6	4	8	10	11	11	14	14	13	18	16	16	20	22	23	26	26	27	0	1	1	1	1	1	1	3	5	5	9	9	8	15	9	13	11	9	7	8	18	8	1	2	1	2	4	3	3	3	2	2	2	2	1	1	2	1	2	5	7	8	3	8
7500	-225.523065266451681	-223.915979709948061	-1.607085556503626	0.000437708412311	0.000103732708089	0.236990437403112	0.287411593440544	-1	1	4	3	5	5	8	10	10	11	13	14	14	17	17	16	20	23	22	25	25	28	0	1	2	2	3	1	2	3	4	6	10	11	9	10	11	9	11	10	17	14	16	9	1	1	1	1	1	4	3	3	4	2	1	1	2	4	2	4	4	3	1	5	5	10
8000	-214.252676014477458	-212.564025124587232	-1.688650889890235	0.000314542907661	0.000065135996818	0.207081435414330	0.329477952172820	0	4	2	3	5	5	6	10	9	10	14	15	14	17	17	17	20	19	22	25	26	28	0	1	1	3	4	3	5	5	2	9	9	10	8	11	10	6	12	12	16	19	19	19	1	2	1	1	1	2	1	3	2	1	2	3	2	2	4	6	3	2	2	2	2	3
8500	-253.845277391399321	-252.300031027516098	-1.545246363883227	0.000417187774204	0.000111262881679	0.266697368808104	0.441254367202978	0	3	3	5	6	5	8	11	10	12	13	14	14	17	16	16	18	22	22	24	25	28	0	1	1	2	4	2	4	4	5	9	9	10	8	10	11	8	11	12	8	8	18	21	1	1	2	1	1	1	2	2	3	1	2	1	2	2	2	2	2	3	7	6	1	1
9000	-228.603285108418646	-227.090502209221427	-1.512782899197233	0.000418489751719	0.000119708722743	0.286049353064681	0.303991518822495	0	3	4	4	6	6	7	10	9	11	14	15	15	17	17	16	19	22	21	25	25	27	0	1	1	1	2	1	1	1	7	6	9	6	6	9	9	12	11	11	14	15	12	8	1	3	3	2	2	4	4	4	1	5	2	7	5	4	4	1	3	2	2	3	3	7
9500	-220.518736948519432	-219.062975621682540	-1.455761326836883	0.000309739287409	0.000102367729025	0.330496430987516	0.315858291768115	0	3	4	4	5	5	7	10	8	11	13	14	15	18	17	17	19	22	22	25	26	29	0	1	1	1	1	1	5	5	6	9	9	9	8	11	11	8	15	15	16	8	8	8	1	2	2	3	1	3	1	3	2	1	2	2	2	3	2	5	1	2	3	6	8	9
10000	-251.334180898172292	-249.731520317554470	-1.602660580617836	0.000405488022141	0.000096860633963	0.238874217422140	0.354220661648430	-1	3	1	4	2	3	7	10	11	10	14	15	14	17	17	17	20	22	20	24	26	28	0	3	1	3	3	3	1	1	7	7	9	9	7	7	12	2	15	9	13	13	14	7	1	1	1	2	1	1	5	4	2	2	2	3	5	3	2	8	2	6	2	6	2	10
10500	-216.299899477528243	-214.814070269209736	-1.485829208318520	0.000374173515360	0.000114117295255	0.304984961710433	0.338634788125822	-1	4	3	3	5	6	8	8	11	11	13	14	12	17	18	16	21	22	22	25	26	27	0	1	1	1	4	1	1	2	6	6	9	9	2	7	9	10	11	12	6	14	16	14	1	3	2	2	1	4	4	2	2	4	1	2	3	5	3	3	3	4	8	4	4	5
11000	-256.503765444423095	-254.917429378231390	-1.586336066191728	0.000415797817743	0.000102333291120	0.246113102939113	0.345010117108984	-1	3	5	4	6	5	8	10	10	10	13	15	14	17	17	15	19	22	21	26	24	28	0	1	2	1	2	1	5	5	7	7	10	10	7	11	9	13	12	11	13	8	13	7	1	2	1	3	2	3	2	2	1	1	1	3	3	2	4	1	3	5	4	6	4	9
11500	-223.478119268849014	-221.755315890783635	-1.722803378065376	0.000499282378133	0.000098210351957	0.196703020692537	0.359627911327358	-1	4	5	3	5	6	9	9	11	10	13	14	13	18	16	17	21	22	21	24	26	29	0	1	4	1	1	1	4	4	7	2	9	9	7	11	11	13	11	9	16	18	16	18	1	4	2	2	3	3	3	2	1	2	1	2	2	4	2	2	4	5	3	1	5	4
12000	-198.224321159019752	-196.668973818427759	-1.555347340591981	0.000353388085185	0.000092334048485	0.261282290932349	0.380995187008513	0	2	3	4	5	5	7	9	10	11	13	14	15	17	16	16	20	21	22	25	26	27	0	1	1	2	1	3	2	4	5	9	10	11	9	10	11	13	10	15	14	13	14	19	1	1	1	1	4	1	3	2	3	1	1	1	3	4	2	1	5	3	2	4	5	3
12500	-232.365999808326478	-230.777701763616221	-1.588298044710250	0.000254086847072	0.000062306646831	0.245217914853642	0.335274656185698	-2	3	5	3	5	6	9	10	11	12	13	15	13	18	17	17	20	22	21	26	26	28	0	1	1	1	1	2	4	6	5	9	10	10	9	11	11	13	14	17	9	8	7	19	1	2	4	2	4	1	3	2	4	1	1	1	1	3	2	2	1	1	8	9	9	2
13000	-225.714820480154032	-224.206997188609250	-1.507823291544774	0.000396012098161	0.000114570797109	0.289311355992936	0.244976853594524	-1	2	2	5	6	6	8	10	11	11	13	14	14	14	18	16	20	21	22	26	27	29	0	1	1	3	3	1	1	1	7	6	9	7	6	11	11	7	14	9	17	8	8	13	1	2	1	2	2	2	5	6	2	2	1	2	3	1	2	3	3	6	1	9	8	6
13500	-278.974405617094476	-277.358350774038172	-1.616054843056320	0.000649827684407	0.000151583837230	0.233267742922817	0.314227882253036	0	2	4	5	6	5	9	9	10	11	14	13	14	17	18	15	21	22	20	26	27	28	0	1	2	3	3	2	4	5	4	7	7	10	2	2	10	9	12	12	9	9	9	11	1	1	1	1	1	2	2	1	3	1	4	2	5	9	3	3	3	4	5	8	7	7
14000	-230.616048262443741	-229.026454388788068	-1.589593873655687	0.000543985178821	0.000133075400195	0.244630562331951	0.388618899724924	0	3	5	5	5	3	7	10	8	12	13	13	14	17	17	15	21	22	23	25	26	28	0	1	2	2	6	1	1	1	7	6	9	9	10	16	9	7	8	8	17	17	17	8	1	1	2	1	1	2	3	5	1	6	3	1	1	1	5	6	6	7	1	3	2	12
14500	-245.164566567343911	-243.510246678151219	-1.654319889192684	0.000527308504045	0.000115307976528	0.218672704201538	0.299256403353429	0	3	4	4	5	5	8	11	10	11	13	15	14	18	16	15	21	22	22	25	25	28	0	1	1	1	1	1	5	5	2	5	9	8	3	11	11	5	15	12	14	3	16	8	1	2	2	2	3	2	1	3	3	2	1	2	3	3	1	4	3	4	3	10	5	10
15000	-238.208564984384253	-236.785873636284720	-1.422691348099532	0.000414781049670	0.000152258575915	0.367081803848370	0.215250137821807	-1	4	3	4	5	5	5	8	11	12	14	14	14	16	18	16	20	22	22	26	26	28	0	1	1	1	1	1	2	7	5	5	5	5	5	5	10	11	5	10	14	12	12	11	1	3	2	2	4	3	1	2	4	3	6	5	4	5	2	1	7	5	4	6	4	8
15500	-231.400718063847876	-229.817010107235859	-1.583707956612025	0.000564029862696	0.000139497847526	0.247323513792967	0.426919973330077	0	2	5	4	4	6	9	9	10	12	13	14	14	16	18	16	18	22	23	24	27	27	0	1	2	2	2	4	4	4	8	3	9	8	10	8	9	8	14	17	16	15	16	13	1	1	2	1	1	1	2	4	1	4	2	2	2	3	6	2	1	2	4	4	7	8
16000	-209.472338944881102	-207.930888915569682	-1.541450029311419	0.000470017709179	0.000126340935634	0.268800373192206	0.285514907301880	-1	3	5	4	5	5	8	9	10	12	11	14	14	16	15	16	19	22	22	25	25	28	0	1	1	2	2	2	2	1	8	9	9	9	8	11	10	15	11	11	8	7	13	18	1	1	2	1	2	1	3	5	1	1	1	3	3	2	2	1	4	5	6	8	4	3
16500	-248.559218861491928	-246.908316606316077	-1.650902255175864	0.000419676804475	0.000092286521113	0.219899027367166	0.488159874655834	-1	2	4	4	6	6	6	9	11	11	13	14	13	16	18	15	19	23	22	25	26	29	0	1	1	2	2	2	1	4	8	2	9	9	8	9	10	8	12	12	14	19	20	21	1	2	3	1	2	1	3	2	1	4	1	2	1	4	4	3	2	4	2	1	1	2
17000	-260.142410233144687	-258.581033720585708	-1.561376512558983	0.000299101735544	0.000077218499875	0.258168010074711	0.615802636098536	0	2	5	5	5	4	7	10	10	11	14	13	15	17	17	17	19	21	22	25	26	27	0	1	6	2	2	2	3	4	1	3	9	9	10	12	11	13	14	17	10	19	20	21	1	1	1	1	2	1	1	2	3	3	1	2	2	2	1	2	1	1	4	2	1	1
17500	-204.899696545233269	-203.255406602988103	-1.644289942245165	0.000207893975478	0.000046217367486	0.222312202072890	0.563885757674812	-1	2	4	4	6	6	8	11	10	12	14	15	13	18	17	15	20	22	20	24	26	29	0	1	1	1	3	1	5	3	6	9	10	10	6	10	12	13	11	14	8	19	20	21	1	2	1	2	1	3	1	3	2	1	2	2	3	4	2	1	2	2	5	3	1	1
18000	-184.155698703988037	-182.582281294213601	-1.573417409774440	0.000165006270272	0.000041613289979	0.252192173727828	0.413429165463014	-1	3	4	4	4	6	8	11	10	12	13	15	14	15	18	16	20	23	22	25	26	29	0	1	1	1	1	2	1	5	7	9	9	10	7	10	11	13	11	15	7	19	20	20	1	2	2	2	2	2	5	3	2	1	2	2	3	2	2	1	5	2	6	2	1	2
