step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-2070.172785995301183	-2077.028273946260470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.322754480299389	1	2	2	3	3	4	3	5	5	5	4	6	4	6	6	6	5	6	6	7	9	9	7	9	9	8	8	9	9	10	9	10	11	11	10	11	12	11	11	12	12	12	12	13	11	12	14	13	12	14	13	14	15	14	14	14	14	14	15	15	15	15	14	18	16	17	16	19	17	17	16	17	18	18	17	19	19	20	20	19	20	20	20	20	22	20	22	23	22	24	22	24	26	25	26	28	28	28	30	30	31	29	30	29	31	31	34	34	36	36	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	3	2	3	3	3	2	3	3	3	4	4	3	4	4	4	4	4	4	5	4	5	5	5	5	5	6	5	5	6	6	6	6	6	5	6	7	6	6	7	6	7	7	7	7	7	7	7	7	7	7	7	7	9	8	8	8	9	8	8	8	8	9	9	8	9	9	10	10	9	10	10	10	10	11	10	11	11	11	12	11	12	13	12	13	14	14	14	15	15	15	14	15	14	15	15	17	17	18	18
500	-891.677002628628088	-898.532490579587488	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.211371461909724	0	2	2	2	4	4	4	4	3	6	5	7	4	7	6	6	6	3	6	7	6	8	8	10	9	7	7	10	9	9	9	10	10	10	10	10	13	10	10	12	13	12	12	13	11	11	15	13	13	14	13	12	15	13	14	15	15	13	15	15	15	15	15	16	15	17	16	19	16	15	16	18	18	19	17	16	20	20	21	18	20	19	20	20	22	18	22	23	23	25	22	24	27	23	27	29	28	28	31	30	31	28	31	29	31	31	34	34	36	35	0	1	1	1	3	18	1	3	3	7	13	4	4	10	18	9	7	3	13	13	11	16	19	16	6	6	19	20	21	18	22	22	21	26	27	21	29	21	26	22	45	31	21	33	30	29	19	20	27	45	25	11	30	18	29	45	45	38	49	23	30	32	45	33	41	51	36	26	23	39	25	25	52	41	18	46	73	29	19	43	72	51	64	38	80	43	57	55	13	67	36	36	43	83	86	76	76	43	76	73	36	84	76	52	84	36	94	94	80	76	1	1	1	1	1	1	3	1	1	1	1	3	2	1	2	2	2	1	1	2	1	2	1	2	2	2	1	2	2	3	1	2	2	2	2	3	2	2	2	3	2	1	3	1	1	1	5	3	3	2	3	2	3	6	3	2	2	2	1	3	4	3	2	2	1	2	4	6	4	2	4	5	3	3	8	3	1	4	7	4	1	4	3	7	3	3	4	6	11	6	7	6	7	2	6	6	6	12	9	7	13	4	7	9	5	11	6	9	12	11
1000	-773.579264387855574	-780.434752338814974	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.358721534198703	1	2	2	3	4	4	2	5	5	4	5	6	5	6	6	6	6	7	6	7	9	8	7	9	9	8	8	9	10	10	10	10	11	11	10	12	12	12	11	12	12	12	11	13	12	12	13	11	12	14	13	15	15	14	14	13	13	14	16	13	15	13	15	19	17	18	17	19	17	18	17	16	19	18	18	19	20	20	19	19	20	21	20	19	23	21	23	21	21	24	21	24	26	23	26	28	28	28	28	29	29	30	30	29	32	31	33	34	36	37	0	1	1	1	3	3	1	4	3	7	7	7	7	10	6	9	1	6	13	17	4	16	19	16	18	6	17	17	12	18	22	16	21	18	27	21	29	29	25	32	18	31	21	21	30	21	35	28	35	57	18	46	30	6	43	25	30	46	60	27	30	31	56	37	53	72	36	18	59	54	41	61	36	57	54	33	76	33	35	36	74	66	76	11	91	64	56	73	76	67	43	64	77	76	84	90	94	73	52	98	84	94	94	88	96	64	98	94	80	98	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	2	2	2	1	3	2	2	2	2	2	2	2	1	2	1	1	1	3	1	2	2	2	1	2	1	2	1	3	2	3	4	2	2	2	1	2	2	3	1	1	5	1	2	2	5	1	2	2	1	4	2	2	5	1	4	5	3	2	3	1	8	1	1	6	1	1	5	4	2	3	2	2	2	2	4	7	1	7	4	4	3	2	5	3	6	11	3
1500	-696.737482860915634	-703.592970811875034	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.488427268914601	1	2	2	2	3	4	3	5	5	5	4	6	4	6	6	7	5	7	6	7	8	9	7	8	9	9	9	9	10	9	10	11	11	12	10	11	12	10	10	13	12	12	13	14	11	12	13	13	13	15	13	14	16	14	15	15	13	14	16	14	15	16	14	16	16	18	16	17	18	16	16	15	18	18	17	19	20	19	20	18	20	21	19	20	22	20	21	23	22	24	23	25	25	25	26	28	29	27	31	28	32	29	31	30	30	32	33	33	36	36	0	1	1	1	3	3	4	3	5	7	7	13	7	10	6	9	13	6	13	17	11	16	19	16	6	18	19	20	21	18	22	22	38	45	19	29	29	12	3	32	18	31	33	38	30	29	27	20	35	51	45	46	45	41	43	51	18	46	60	27	54	42	45	36	25	51	52	6	60	34	51	54	29	51	53	21	80	36	60	67	72	74	36	80	84	73	66	89	73	73	64	77	76	64	85	88	98	94	94	94	98	88	94	88	102	104	97	83	64	101	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	2	4	1	2	1	1	2	1	1	2	2	1	1	2	1	2	2	1	1	3	1	1	2	1	3	2	2	3	3	1	5	2	3	1	1	4	2	1	5	1	5	3	2	2	2	4	2	2	1	2	1	2	4	4	3	3	4	2	3	2	1	4	2	3	3	4	3	1	1	2	8	9	2
2000	-706.400763357258029	-713.256251308217429	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.443676763910457	0	1	3	3	2	5	1	5	5	5	3	7	3	6	6	7	6	7	6	7	8	9	8	10	10	9	8	9	9	10	10	9	9	11	10	12	11	10	12	12	12	12	13	14	10	12	14	14	12	13	14	15	16	14	13	15	14	14	14	14	13	16	14	18	16	17	15	18	17	17	16	16	19	18	18	19	20	18	20	19	21	21	19	20	22	19	22	23	22	24	22	25	26	24	26	27	29	28	31	30	32	28	31	29	31	32	35	34	35	37	0	1	5	1	1	3	1	3	3	7	7	7	7	10	6	9	13	6	13	13	7	16	19	16	6	6	17	20	11	1	22	16	19	18	27	21	38	12	18	32	25	31	33	36	18	29	27	28	29	30	45	29	18	41	29	61	39	46	35	49	45	31	45	46	25	57	36	61	59	63	39	57	52	66	65	78	78	67	59	67	74	74	21	78	77	78	66	83	83	84	86	85	77	33	85	89	96	88	96	102	96	88	102	96	96	100	103	83	83	102	1	1	1	2	1	1	1	2	1	2	1	3	1	1	1	1	2	2	2	2	4	1	1	2	2	2	1	1	2	5	1	2	2	1	1	3	1	2	3	3	1	1	2	1	1	2	3	3	2	2	2	4	5	1	2	1	1	1	2	1	1	3	2	2	2	2	2	3	2	2	2	2	2	1	1	1	1	2	3	2	2	2	6	1	2	1	3	1	2	2	2	2	3	5	2	2	1	3	2	1	3	2	2	1	2	2	3	7	9	4
2500	-666.929624606254833	-673.785112557214234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555747378344423	0	2	2	2	1	5	3	4	5	5	4	6	4	7	7	7	5	7	6	7	8	8	7	10	9	6	9	10	9	9	10	11	11	12	11	11	12	11	12	12	11	12	11	13	11	12	13	12	13	15	13	15	13	14	14	15	13	14	14	16	16	15	15	17	15	15	16	20	17	17	15	16	17	19	18	19	19	20	20	19	20	20	20	20	22	20	22	23	21	24	23	25	26	24	26	27	28	28	28	30	31	29	31	29	31	31	34	33	37	36	0	1	5	1	1	3	4	3	3	7	4	7	7	10	6	9	13	6	13	17	11	16	19	16	6	6	19	20	21	6	22	22	21	6	19	29	33	29	45	22	18	31	21	33	30	33	27	20	19	53	30	38	18	25	33	45	18	46	47	47	63	31	34	38	53	45	55	34	49	56	34	66	44	66	71	36	67	46	69	67	74	72	58	33	78	67	82	84	29	80	86	84	85	84	80	89	96	88	96	94	102	98	99	96	94	100	99	99	106	107	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	1	2	1	2	2	4	3	1	1	1	1	3	2	2	2	1	2	1	3	3	4	2	3	2	3	2	1	3	4	1	1	1	1	2	1	3	1	1	1	4	2	2	2	1	2	2	2	4	2	4	2	2	1	2	3	5	1	1	1	1	4	4	2	3	2	2	4	3	1	2	1	3	1	1	2	2	4	1	2	3	2	1
3000	-635.391086997407115	-642.246574948366515	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.526387168495468	0	2	3	2	2	5	3	5	5	6	4	7	4	7	6	6	4	7	6	8	9	8	8	10	9	8	8	10	9	10	9	9	11	11	11	11	12	11	11	13	11	13	12	13	11	13	14	13	11	15	13	15	15	14	13	14	15	14	14	15	15	15	14	17	15	18	16	19	16	16	16	16	19	18	18	18	19	20	20	20	20	21	20	20	20	19	21	23	23	24	21	24	25	25	25	27	28	28	30	30	31	29	31	29	30	31	34	34	36	36	0	1	5	1	1	3	4	3	3	7	7	7	7	10	6	9	4	6	17	17	12	16	19	25	6	6	19	20	11	6	22	16	4	30	27	29	29	29	30	32	18	31	21	29	18	29	17	28	27	63	30	43	41	41	33	51	25	46	49	49	56	42	45	36	51	57	46	41	47	63	25	25	52	72	54	52	64	33	69	67	72	74	76	67	67	67	74	76	83	91	73	85	77	88	85	78	94	94	98	104	96	96	99	94	97	102	98	103	106	108	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	1	2	5	1	2	1	1	1	1	2	2	2	2	2	2	1	5	2	2	1	2	2	2	2	1	1	2	1	3	2	1	1	2	2	1	2	1	4	1	1	4	3	3	1	3	2	2	4	2	2	3	2	2	2	2	2	2	2	2	2	1	2	3	2	2	3	2	3	1	1	2	1	1	2	1	1	3	2	2	1
3500	-614.439143356723093	-621.294631307682494	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630654731580614	0	2	3	4	1	5	2	6	5	5	5	5	4	7	7	7	6	7	6	7	9	8	7	9	10	9	9	10	9	10	9	10	10	11	11	11	12	12	11	11	12	12	12	13	10	12	14	13	12	14	12	14	15	14	15	14	14	15	14	15	14	15	14	19	16	16	17	19	17	18	16	18	17	19	18	19	20	21	20	19	20	21	20	21	22	21	23	23	23	24	23	25	26	24	27	29	28	27	30	31	31	30	29	30	31	31	33	34	36	36	0	1	5	7	1	3	1	9	3	7	7	7	7	10	6	9	13	6	13	12	11	16	19	16	18	18	23	20	11	15	9	22	21	9	19	29	21	21	18	22	30	31	21	37	26	29	27	28	27	51	45	36	41	41	44	45	51	36	35	35	51	42	34	36	25	57	52	54	49	63	41	66	52	72	25	36	76	67	69	67	66	74	46	67	77	80	82	83	83	64	86	85	84	83	80	98	94	94	103	96	97	94	98	94	97	96	103	103	106	108	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	1	1	2	1	1	1	2	1	1	2	2	2	2	1	1	2	2	1	2	3	2	1	1	2	2	1	1	2	2	2	2	1	1	2	1	1	1	2	2	2	2	2	1	2	2	3	2	1	1	2	2	3	2	1	2	1	4	3	1	2	2	1	2	1	3	2	1	1	2	2	2	3	2	2	3	1	3	1	2	2	1	1	2	2	1	2	1	1	2	2	2	1
4000	-642.029031102327281	-648.884519053286681	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583694479467112	0	1	3	1	1	4	3	6	4	6	4	5	5	7	6	7	6	7	6	7	8	9	7	10	8	8	7	10	7	8	10	11	11	11	10	11	12	11	9	12	12	12	13	13	12	13	15	13	12	13	13	14	15	13	14	15	15	14	16	14	14	16	14	18	16	16	16	20	17	17	16	17	19	18	18	19	18	20	20	19	21	20	20	20	23	21	22	23	23	24	23	25	27	26	26	28	29	28	30	30	31	29	31	29	30	31	35	34	36	36	0	1	5	1	1	3	4	3	3	7	7	7	7	10	6	9	4	6	13	17	11	16	19	16	6	6	19	20	12	6	22	9	29	25	27	12	21	29	18	22	18	31	29	38	30	33	35	20	35	45	45	38	41	26	36	51	45	36	60	27	41	42	50	46	18	45	46	61	60	63	54	54	64	66	71	33	67	80	69	64	66	74	29	67	84	76	74	83	84	64	86	85	76	89	85	94	94	88	97	98	100	88	102	96	94	94	103	98	106	103	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	2	2	1	3	2	2	2	3	2	2	1	2	2	1	3	1	1	1	3	3	1	1	1	2	1	3	2	1	1	1	1	3	1	2	1	3	4	2	2	3	1	2	2	2	1	1	2	4	1	1	2	1	2	2	6	2	1	1	2	2	1	2	1	2	3	2	1	1	2	3	1	2	1	2	1	1	2	2	2	3	1	2
4500	-689.714598657063902	-696.570086608023303	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619945454670475	0	3	2	4	3	5	2	5	6	5	4	6	4	7	6	7	5	6	6	7	10	8	8	9	9	8	9	9	9	10	10	9	8	11	11	12	13	10	10	12	12	12	11	12	10	12	14	13	12	15	12	15	15	14	13	15	13	13	13	14	13	14	14	17	15	17	16	18	17	18	16	17	18	18	18	20	18	19	20	17	20	19	18	21	22	20	23	22	23	22	22	25	26	25	26	27	27	29	31	31	31	29	31	29	30	32	34	33	35	36	0	7	1	1	3	3	1	3	6	2	7	11	7	10	6	9	13	3	13	17	33	9	19	9	6	18	19	20	33	26	22	16	4	39	27	43	29	29	18	22	26	31	33	33	18	43	27	28	27	51	30	29	15	41	43	61	30	46	19	49	45	31	57	46	30	41	36	53	59	63	25	41	80	61	65	64	52	77	69	52	82	66	38	78	77	77	81	64	76	78	86	85	84	52	85	88	94	94	98	104	98	97	96	88	102	102	106	99	106	108	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	2	3	2	1	1	1	2	2	1	2	1	2	1	2	1	2	2	2	1	2	2	3	1	2	2	1	2	1	3	5	1	1	1	1	1	3	1	2	2	1	3	3	3	2	2	2	2	5	3	1	3	1	2	2	1	1	2	1	1	4	1	3	1	3	2	2	2	1	2	3	4	2	2	1	2	2	1	1	2	3	3	1	2	2	1	2	2
