step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-28125.296849261096213	-28123.834767176576861	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.693405059625065	0	1	5	5	6	8	11	14	13	14	14	14	14	16	17	16	17	17	17	16	17	17	18	18	19	18	21	20	19	20	22	22	22	22	23	24	25	27	26	28	27	27	28	27	27	28	29	29	29	29	31	30	30	29	30	30	34	30	32	31	32	32	31	32	31	33	31	32	32	32	32	34	32	34	32	33	35	35	34	33	34	36	34	35	35	36	36	36	36	36	38	39	39	40	42	43	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	4	6	7	7	7	7	7	7	8	9	8	9	9	9	8	9	9	9	9	10	9	11	10	10	10	11	11	11	11	12	12	13	14	13	14	14	14	14	14	14	14	15	15	15	15	16	15	15	15	15	15	17	15	16	16	16	16	16	16	16	17	16	16	16	16	16	17	16	17	16	17	18	18	17	17	17	18	17	18	18	18	18	18	18	18	19	20	20	20	21	22
500	-1592.948957442618621	-1591.326511940696264	-1.622445501922444	0.000010000419697	0.000014073693063	1.407310241926293	0.164964786806159	-2	0	4	5	5	8	9	12	10	14	14	12	11	14	18	16	16	15	14	16	18	17	18	19	16	18	21	19	20	18	22	19	22	22	23	21	25	27	24	28	28	24	29	28	27	28	30	28	30	29	32	31	31	29	30	30	35	31	32	32	33	33	31	33	32	34	32	33	33	33	33	35	32	34	32	33	35	36	35	33	35	37	33	35	36	37	36	37	36	36	39	38	40	41	43	44	0	1	1	2	1	0	6	7	7	8	13	9	9	8	9	13	8	12	12	9	16	0	13	13	19	13	18	19	21	25	25	25	18	25	32	19	30	28	32	19	19	25	19	25	19	32	19	19	36	19	32	19	19	19	19	42	25	32	28	19	19	19	19	65	19	32	54	19	36	19	19	32	19	19	25	32	19	19	25	19	32	25	19	19	19	42	19	25	36	19	42	44	36	36	36	42	1	1	3	3	2	1	1	2	1	1	2	1	1	1	4	3	2	1	1	3	1	1	5	7	2	5	4	2	1	1	4	2	5	5	2	7	3	4	3	9	12	8	8	8	9	5	13	7	7	8	9	10	12	12	12	4	15	7	7	12	11	13	17	1	12	11	3	14	10	13	10	11	12	19	10	12	16	15	14	11	12	15	15	17	16	11	12	17	10	12	8	5	14	13	18	17
1000	-1117.247967360931398	-1115.849791545176686	-1.398175815754810	0.000010019552380	0.000008033746723	0.801806948852383	0.170313168233730	-1	2	5	6	7	9	11	13	12	15	15	14	13	17	16	14	17	17	14	16	17	17	18	18	16	18	20	20	20	19	22	19	22	23	22	21	25	27	24	28	24	24	28	27	26	28	30	29	28	28	31	29	30	30	30	31	34	30	33	31	33	31	32	32	32	33	31	33	32	33	32	35	31	35	33	34	36	36	35	32	35	36	35	36	35	37	36	35	37	36	38	40	40	41	43	43	0	1	1	2	3	0	6	7	7	8	13	9	9	8	9	13	10	12	7	9	16	0	16	16	19	21	18	25	26	19	36	25	27	36	30	19	35	41	36	25	19	30	36	36	41	36	19	32	41	45	39	36	32	19	19	50	19	32	42	42	38	36	32	73	36	19	44	19	45	42	36	41	25	42	43	43	19	36	25	43	41	42	19	41	19	62	41	19	52	41	52	44	60	42	36	42	1	1	3	2	1	1	2	1	1	1	1	1	1	2	3	1	1	2	2	2	2	1	2	2	1	1	2	3	1	2	1	2	2	1	3	6	2	2	1	7	10	4	5	3	2	3	9	5	2	1	5	5	5	12	8	2	12	7	7	6	3	6	11	1	5	11	1	12	3	6	6	6	9	8	3	3	15	8	10	2	7	8	16	9	15	4	7	17	6	6	4	7	7	11	17	17
1500	-975.724406193219352	-974.212806312737939	-1.511599880481386	0.000010011537204	0.000011332122083	1.131906304927185	0.282063323670491	-1	1	5	5	6	8	10	14	12	15	15	13	13	16	17	15	17	17	14	16	17	18	18	17	16	18	21	20	20	20	23	22	23	21	23	22	25	28	25	28	25	24	25	27	26	28	30	29	30	29	30	29	30	29	31	30	35	30	32	28	32	31	32	33	32	34	31	33	32	33	32	35	32	34	32	33	36	33	32	33	34	37	35	34	35	35	37	36	36	37	39	39	40	41	43	42	0	1	1	2	1	0	6	7	7	7	13	9	9	8	9	13	10	12	12	9	16	0	16	16	19	21	18	25	26	25	36	25	27	28	30	25	30	43	32	41	19	25	36	41	42	30	40	19	60	45	40	43	44	25	44	45	48	32	49	42	52	25	25	62	56	25	54	32	56	60	43	48	19	60	43	71	25	60	50	71	41	76	19	44	19	79	41	25	79	74	77	66	78	60	42	25	1	1	4	2	3	1	1	3	1	3	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	2	3	2	2	1	9	5	3	1	1	3	2	7	1	2	1	2	2	7	3	2	3	4	1	3	2	7	10	2	1	11	2	8	2	2	5	3	9	4	5	1	14	2	2	1	6	2	14	6	12	2	7	12	4	2	2	4	4	8	17	15
2000	-830.678349373885794	-829.261734526685359	-1.416614847200470	0.000010007645299	0.000008656990586	0.865037711428567	0.341217043170391	0	1	4	4	7	6	11	13	12	15	14	14	13	17	17	15	18	16	17	16	17	17	18	19	18	18	21	21	20	20	22	21	23	23	22	23	25	27	26	28	27	27	29	25	28	28	29	30	30	30	31	29	29	29	29	30	34	30	32	29	33	32	31	32	31	34	31	32	32	32	31	34	32	34	32	33	35	35	34	32	35	36	31	33	36	35	35	37	37	34	39	39	39	40	43	43	0	1	1	2	3	0	6	7	7	8	13	9	9	8	9	13	10	12	12	9	16	0	16	16	19	21	18	19	26	25	19	25	27	28	30	19	35	25	36	31	19	25	38	25	38	39	40	32	60	45	40	32	44	44	44	45	58	25	83	38	38	52	40	52	52	19	55	44	50	83	25	73	25	59	38	80	19	83	62	52	48	76	25	73	44	80	41	19	77	83	86	68	83	83	42	60	1	1	2	2	2	1	3	1	1	1	1	1	1	2	3	1	2	1	2	3	2	1	2	2	1	1	2	2	1	1	3	2	1	1	1	3	2	3	2	3	5	4	1	2	1	1	1	3	1	1	2	4	2	2	3	1	2	7	1	1	2	2	2	2	1	9	1	5	2	1	6	1	9	1	3	1	15	2	1	2	4	2	7	1	6	2	5	14	1	1	2	3	4	5	12	11
2500	-753.258466380439472	-751.783122257520859	-1.475344122918613	0.000010175261072	0.000010545140522	1.036350855959095	0.436807821585997	1	2	6	5	6	6	11	14	13	15	15	14	14	17	17	15	17	17	17	16	17	17	18	16	19	18	21	20	20	20	21	22	22	22	22	23	25	25	26	27	27	27	28	26	26	27	29	29	30	29	30	30	30	30	28	30	32	30	31	29	33	33	32	33	30	33	32	32	31	32	32	35	32	34	32	32	36	36	33	34	34	37	34	35	36	36	36	36	35	36	38	40	38	41	43	44	0	1	1	2	1	0	6	7	7	8	13	9	9	8	9	13	10	12	12	9	24	0	24	16	19	21	18	25	26	19	19	19	27	25	30	25	35	32	28	36	32	38	39	32	38	32	40	32	60	45	40	43	55	55	44	45	41	41	60	42	52	52	40	38	43	55	54	44	50	59	43	57	25	59	52	52	19	83	71	71	57	76	59	66	44	80	57	19	76	83	77	84	83	93	36	83	1	1	2	1	2	1	2	1	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	3	2	1	1	2	2	2	2	3	2	3	1	1	2	1	3	2	3	1	2	2	1	2	1	1	2	3	2	2	1	1	2	3	4	1	4	1	4	2	1	2	2	6	2	1	1	15	1	1	1	2	3	2	1	6	1	3	13	2	1	1	2	2	1	12	9
3000	-659.240603276912907	-657.824741534782333	-1.415861742130587	0.000010331841303	0.000008912193323	0.862594871710212	0.625341683238855	0	1	4	4	6	9	11	13	13	15	14	14	15	15	16	16	17	18	16	15	17	18	18	18	20	18	20	19	19	21	22	22	23	23	23	23	26	27	26	28	27	28	28	25	28	28	28	30	30	29	30	30	29	30	30	30	32	30	31	29	31	33	31	32	31	33	31	32	32	33	32	34	30	35	32	33	35	34	35	34	35	37	34	35	35	36	36	37	36	36	38	39	38	40	43	44	0	1	1	2	3	0	6	7	7	8	9	9	11	8	9	13	10	12	12	9	16	0	16	16	19	21	18	19	26	25	25	25	27	32	30	30	35	32	36	39	39	39	32	36	38	25	39	41	60	45	40	43	44	44	44	45	48	41	60	38	52	52	51	43	43	54	55	54	50	59	43	57	25	59	43	71	19	49	80	71	72	76	60	68	53	71	81	44	76	83	77	88	83	93	90	93	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	2	2	1	1	1	3	1	1	3	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	2	2	4	2	2	1	12	3	1	1	1	2	2	2	4	2	1	10	1	1	2	1	3	1	3	5
3500	-635.571718118131457	-634.104062394571088	-1.467655723560318	0.000010703930645	0.000010868687580	1.015392190011411	0.519736756932253	0	2	5	4	6	8	10	12	12	15	13	14	14	15	14	15	17	18	17	17	17	17	18	19	19	19	20	21	19	20	22	22	22	22	22	24	26	26	26	29	26	28	27	26	27	28	29	28	30	29	30	30	30	30	29	30	33	31	32	29	31	33	31	32	31	33	30	32	32	33	32	34	32	34	33	33	35	35	34	34	35	36	33	35	36	36	37	35	36	36	38	39	37	41	41	44	0	1	1	2	3	0	6	7	7	8	9	9	11	8	9	13	10	12	12	15	16	0	16	16	19	21	18	25	21	25	25	19	27	28	30	32	35	36	25	19	32	38	38	32	39	39	32	39	60	45	40	43	44	44	44	45	58	48	49	39	43	43	51	61	43	55	44	55	56	59	52	57	48	59	43	71	25	83	71	71	57	76	60	68	68	79	81	41	77	83	86	68	83	93	93	93	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	3	1	4	6	2	1	1	1	1	1	4	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	1	2	2	1	1	1	1	2	1	3	1	10	1	1	1	1	2	2	2	2	1	1	6	1	2	1	2	2	2	3	5
4000	-623.434969746168349	-621.890276907081329	-1.544692839087070	0.000011228125732	0.000013652496826	1.215919482107754	0.640376932989931	0	2	5	6	6	6	10	14	11	15	13	14	15	16	14	16	17	18	17	16	17	18	18	18	19	18	21	20	20	20	22	23	23	22	23	24	25	25	26	28	26	26	28	26	27	28	28	29	30	28	30	30	30	28	30	29	34	30	31	28	32	32	32	32	31	32	32	33	32	32	29	35	33	34	30	32	34	36	34	30	35	35	35	36	35	37	37	33	35	37	38	38	39	41	42	43	0	1	1	2	3	0	6	7	7	8	9	9	11	8	9	11	10	12	12	15	16	0	16	16	19	21	18	25	26	25	25	30	27	28	30	30	35	32	36	32	36	36	38	32	38	32	32	41	60	45	40	43	54	44	44	45	48	41	49	42	56	52	51	52	56	44	53	54	56	59	43	57	41	59	43	80	50	83	39	71	57	76	49	88	88	82	81	54	77	83	79	85	90	93	93	95	1	1	2	2	1	1	3	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	3	1	1	1	2	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	3	1	2	1	1	1	1	2	2	2	1	4	1	4	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2	1	1
4500	-587.219202711505432	-585.858288983609214	-1.360913727896210	0.000012510960920	0.000007243308643	0.578957019317887	0.703884124794836	0	1	5	5	6	8	9	12	12	15	14	15	15	17	14	16	17	18	18	16	17	18	18	18	19	18	20	19	20	20	22	22	23	20	23	25	26	26	24	28	26	28	29	27	27	27	30	29	30	29	31	29	30	29	30	30	31	30	31	29	32	32	31	33	30	33	32	32	32	32	32	34	33	34	31	33	35	36	35	34	33	36	31	34	35	37	35	35	37	37	37	40	40	41	42	44	0	1	1	2	3	0	6	7	7	8	9	9	11	8	9	13	10	12	12	15	16	0	16	16	19	21	18	19	26	25	25	25	27	28	30	19	35	25	19	39	32	38	38	39	38	38	40	41	60	45	36	38	44	44	44	45	41	48	60	38	43	43	40	62	38	54	53	54	56	59	43	57	48	59	43	71	80	49	71	71	57	76	60	68	68	77	81	84	76	78	79	88	90	93	93	95	1	1	2	2	1	1	1	1	2	2	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	3	2	3	3	1	3	1	2	2	1	1	1	1	1	2	4	1	2	1	2	2	2	1	2	2	1	2	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	3	2	1	1	2	1	1	2	1	1	1	3	1	1	2	2	1	1	1
