step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
5000	-444.583697246653514	-450.522894465738716	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.635118060337822	-3	0	5	3	5	4	7	5	7	7	7	8	6	9	10	9	7	11	9	9	11	11	10	12	9	12	11	12	13	12	12	13	13	13	13	15	15	16	16	15	17	16	18	18	21	21	20	22	20	22	22	26	24	27	26	28	29	30	30	28	31	33	35	32	34	36	0	1	2	2	4	4	4	4	13	6	3	7	5	6	3	9	13	12	10	17	12	15	11	20	12	12	14	19	21	23	12	27	23	27	21	31	23	32	33	27	26	30	32	40	35	49	36	43	43	40	46	45	51	53	46	54	60	56	57	54	57	58	61	58	58	61	1	2	3	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	3	2	2	1	2	3	1	3	1	2	1	1	3	1	1	2	1	1	1	2	2	2	2	2
5500	-428.877604917377653	-434.816802136462854	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.629333537314866	0	3	4	5	4	6	6	7	7	7	7	7	7	8	10	9	8	9	10	9	10	10	11	12	10	11	10	12	14	12	12	12	13	12	13	15	14	16	15	15	16	17	19	20	21	21	18	22	20	22	22	26	25	27	27	28	27	29	30	29	30	32	33	31	34	34	0	1	1	5	2	4	4	4	5	6	5	6	5	6	8	11	13	12	14	9	6	8	9	20	18	12	14	19	35	11	18	19	23	19	14	31	33	21	30	35	36	33	27	40	29	32	36	38	38	40	49	45	46	51	49	57	53	57	57	54	57	61	53	58	61	63	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	3	2	2	1	1	2	1	1	1	2	2	1	1	1	2	2	1	3	3	1	1	2	3	2	2	3	2	3	2	3	1	3	2	2	3	1	1	1	1	1	2	1	3	1	1	1
6000	-416.897548230094344	-422.836745449179546	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.602807481285646	1	3	5	4	5	6	6	7	6	7	7	8	8	8	10	9	8	9	9	10	11	9	10	13	11	11	11	12	13	13	12	13	14	13	13	14	13	16	14	16	17	18	19	18	19	22	19	20	22	22	22	26	25	27	27	28	28	30	31	30	30	32	35	31	34	34	0	1	2	2	4	4	4	4	5	6	5	6	9	6	8	9	9	12	14	17	14	8	13	17	18	12	6	19	21	23	26	21	23	21	14	31	23	35	30	35	36	33	38	40	44	43	36	21	43	45	48	45	46	53	51	55	51	56	56	55	48	61	61	56	59	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	4	2	1	2	1	1	2	1	2	2	2	1	1	2	2	2	1	1	1	2	3	4	2	2	1	4	1	1	2	1	3	2	2	2	4	1	2	2	1	2
6500	-428.221321978665458	-434.160519197750659	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.568999494114556	0	3	5	4	5	6	6	6	7	6	7	5	8	8	9	10	6	11	10	9	11	11	11	11	10	11	11	12	14	13	13	13	13	12	13	14	14	15	15	15	16	17	19	19	19	21	20	23	21	21	22	27	25	27	27	28	29	29	31	31	30	33	35	31	31	35	0	1	2	2	4	12	12	4	5	12	5	4	9	6	8	9	5	6	14	17	14	15	17	20	12	12	14	19	35	17	18	27	23	14	21	26	33	32	33	21	31	23	38	40	40	44	36	43	43	44	43	50	46	53	51	54	48	54	54	54	53	64	59	58	55	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	2	1	2	3	1	2	1	4	2	1	1	2	1	1	1	2	1	2	2	2	2	3	2	1	3	2	1	1	2	3	2	1	3	1	4	1	1	2	2	2	2	1	2	3
7000	-424.994191994418998	-430.933389213504199	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.615605244050070	1	2	4	4	5	7	6	8	7	6	7	8	6	8	9	10	7	10	9	10	11	10	10	13	11	10	12	13	14	13	12	13	13	12	13	15	14	16	15	16	17	17	19	19	20	21	20	21	20	21	22	27	25	26	27	28	28	30	30	30	31	32	34	31	33	35	0	1	2	2	4	10	4	4	5	4	5	6	5	6	4	13	13	12	14	17	14	8	9	20	18	12	19	21	27	17	26	34	20	14	21	31	23	32	33	29	36	37	19	29	19	21	36	38	38	44	38	50	46	46	46	54	53	57	57	56	57	64	65	58	57	65	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	2	2	1	1	1	1	2	3	3	5	4	3	3	2	1	2	4	2	3	3	1	1	2	1	1	2	1	1	1	2	1
7500	-397.484502071681788	-403.423699290766990	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.746902523008404	0	2	3	4	3	6	6	7	7	7	6	5	7	9	9	10	8	8	8	9	11	9	10	12	10	10	11	10	12	12	12	13	13	13	13	14	15	15	15	15	16	18	19	18	19	22	20	20	22	21	23	27	25	27	28	28	26	30	29	30	30	32	34	31	32	36	0	1	1	5	2	12	4	11	5	6	5	4	5	19	4	9	9	12	6	17	14	8	17	17	18	18	14	19	21	23	26	14	23	27	29	26	33	32	33	35	36	37	38	29	44	43	36	38	43	45	48	50	51	46	53	57	46	56	55	54	55	64	59	61	61	60	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	2	3	2	1	1	2	3	1	2	2	1	2	1	1	2	1	1	2	1	1	3
8000	-443.758151125979794	-449.697348345064995	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.619439502317090	1	3	5	5	4	6	7	8	7	7	8	7	7	8	9	10	9	10	9	10	11	11	10	12	10	12	11	10	12	13	13	14	13	12	14	14	13	15	15	15	18	16	19	19	20	22	18	23	21	23	22	26	24	28	26	29	29	30	30	30	30	32	33	31	34	35	0	1	1	5	2	4	4	4	5	6	13	6	5	6	8	13	5	12	6	9	6	15	13	20	12	12	14	14	19	23	18	29	23	27	14	18	23	19	37	27	36	37	38	40	40	43	36	46	43	45	43	45	38	55	51	54	54	56	54	57	57	64	59	61	57	60	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	3	3	2	1	1	2	1	2	1	2	2	2	1	2	2	2	1	1	1	3	2	1	4	1	2	2	1	2	2	2	3	2	1	1	2	1	3	4	1	1	1	1	1	1	1	1	1	2	1	2	3
8500	-450.463991364942729	-456.403188584027930	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.663450083944386	-1	1	4	3	4	6	6	7	7	4	8	7	7	8	8	9	7	9	9	9	12	10	10	11	10	11	11	12	14	12	12	14	13	13	11	15	14	16	15	14	18	16	19	19	19	21	19	23	20	23	23	25	25	27	26	29	28	30	29	31	31	32	33	30	34	33	0	1	2	2	4	4	4	7	5	4	5	6	5	6	7	9	7	12	6	17	14	15	17	20	18	18	14	19	35	23	26	21	30	27	14	31	33	32	23	19	36	33	38	35	21	32	36	43	43	40	38	45	43	48	46	54	55	56	54	57	64	64	61	57	60	54	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	2	4	1	1	2	4	4	4	1	2	1	3	3	3	4	2	2	1	2	1	2	1	1	1	1	1	1	4
9000	-433.936551821712214	-439.875749040797416	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.638400538968690	0	2	4	3	5	5	5	8	7	6	7	7	8	8	9	10	8	9	9	9	11	10	9	12	10	11	10	13	14	12	13	11	12	13	13	15	15	14	14	16	18	18	18	19	19	22	20	23	20	22	23	24	26	27	27	29	29	27	31	31	31	32	33	31	33	36	0	1	1	2	4	4	4	4	5	6	5	6	5	6	8	13	9	12	14	9	14	8	9	20	18	12	14	19	21	23	18	14	23	27	14	26	23	21	17	35	36	33	38	40	40	49	41	49	43	45	46	45	48	46	51	54	58	46	53	57	57	58	61	58	56	65	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2	1	2	2	1	3	2	3	1	3	2	1	2	3	1	1	2	1	2	1	2	1	3	2	3	2	1	1	2	2	1	1	3	1	2	1	2
9500	-418.956265483893503	-424.895462702978705	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.595519943899973	0	2	2	4	5	5	7	8	7	7	7	8	6	8	9	10	8	10	9	9	11	10	11	12	10	11	11	13	13	12	13	14	13	12	12	14	15	14	15	15	17	17	17	18	20	21	21	23	21	22	22	25	25	27	27	28	28	30	30	31	31	33	34	31	33	35	0	1	1	2	4	4	4	4	13	6	5	6	5	6	8	11	5	12	14	9	6	15	20	20	12	12	14	21	21	20	26	35	30	14	14	31	33	27	33	29	36	37	14	29	40	38	36	46	43	40	43	44	49	51	53	54	46	56	55	57	59	64	59	57	60	61	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	2	1	1	3	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	4	3	2	4	4	1	2	4	3	3	2	2	2	1	3	1	1	2	1	1	3	1	1	3
