step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91
1	-515.748362461742659	-514.286280377223761	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.253586826350761	1	1	1	5	5	7	8	6	8	8	9	8	10	10	9	9	10	10	11	11	9	11	10	10	11	11	10	10	10	15	14	12	11	12	14	13	12	14	13	12	13	14	14	13	14	15	14	14	15	16	15	17	17	16	15	17	18	17	18	18	20	19	19	20	21	19	20	19	21	21	21	23	21	22	24	23	23	22	24	23	24	24	23	25	25	27	26	28	27	31	34	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	3	4	4	4	4	5	5	4	4	5	5	5	5	4	5	5	5	5	5	5	5	5	7	7	6	5	6	7	6	6	7	6	6	6	7	7	6	7	7	7	7	7	8	7	8	8	8	7	8	9	8	9	9	10	9	9	10	10	9	10	9	10	10	10	11	10	11	12	11	11	11	12	11	12	12	11	12	12	13	13	14	13	15	17
500	-957.170217750665529	-955.122692954431614	-2.047524796233929	0.000010033017745	0.000024736392221	2.465498701377159	0.296199473665678	2	1	0	5	5	6	8	7	7	8	8	9	10	10	9	9	11	11	12	11	9	10	11	10	11	11	11	9	10	14	14	13	11	12	14	14	11	14	12	12	13	12	15	14	14	15	14	13	16	17	16	17	17	16	16	15	19	16	18	19	20	20	19	19	22	18	20	19	20	21	20	23	22	21	22	23	23	22	25	20	24	22	21	25	25	28	26	28	28	32	35	3	3	0	2	3	2	9	4	5	8	9	7	11	8	6	10	15	8	8	13	7	6	12	21	12	12	11	6	11	4	34	17	14	13	21	22	24	26	16	28	24	14	32	14	24	29	13	26	45	35	42	33	49	35	45	34	43	28	55	28	11	45	54	34	45	28	29	47	13	11	35	66	56	38	30	56	52	66	60	52	56	0	57	38	0	78	66	35	69	72	58	1	1	1	2	3	3	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	3	1	1	1	2	2	1	2	4	2	1	1	1	2	2	1	2	2	1	2	1	1	2	2	2	2	1	1	2	3	3	1	1	1	2	2	4	1	7	5	3	2	3	4	5	6	3	5	6	2	2	4	3	5	5	3	2	4	2	4	1	1	5	1	3	4	7	4	5	13
1000	-940.836704935942862	-938.642749237882072	-2.193955698060798	0.000010037823817	0.000028714445604	2.860624586358710	0.505719943075379	1	2	0	5	5	7	8	6	9	9	9	9	11	10	9	10	8	10	11	12	8	11	10	10	12	11	10	10	11	16	13	12	11	12	15	12	12	15	13	12	12	14	14	11	14	13	13	13	15	16	15	16	16	16	15	17	19	16	17	19	20	19	19	20	21	18	20	18	20	22	21	23	20	22	24	24	23	23	24	23	24	24	23	24	25	25	27	27	27	32	35	3	3	0	1	2	4	8	2	6	4	8	7	11	8	17	2	8	17	15	13	6	14	10	21	18	12	15	17	11	36	27	17	11	23	28	9	15	48	18	28	9	16	34	24	12	26	27	26	33	31	21	39	28	26	45	49	59	21	55	52	51	59	25	66	73	43	36	54	66	19	62	64	55	59	70	77	58	67	52	67	56	0	70	77	0	84	83	69	72	89	79	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	1	1	2	2	1	1	2	2	1	2	1	1	2	1	2	1	2	3	3	3	3	3	1	1	1	3	1	2	3	1	3	1	1	2	7	1	1	4	1	2	3	3	1	1	3	2	5	1	3	1	1	1	1	1	2	3	2	2	7
1500	-818.189460731219242	-815.774842196887903	-2.414618534331323	0.000010001385649	0.000034984633618	3.497978664740196	0.581930668829431	2	2	0	4	6	6	8	4	8	6	9	9	10	9	10	10	8	10	12	11	9	11	10	10	12	12	9	11	10	14	15	12	12	13	15	13	12	14	11	12	13	14	14	14	14	16	14	13	14	16	16	16	15	16	16	18	19	18	19	18	21	18	19	21	22	19	21	18	22	20	20	24	20	22	23	22	24	21	24	23	24	24	24	25	24	28	25	28	27	29	33	3	3	0	1	8	3	5	2	6	1	9	5	11	9	7	9	5	7	18	13	6	9	17	4	12	12	8	16	11	32	37	17	23	33	33	40	21	48	8	24	28	37	32	22	26	19	23	15	19	48	42	34	32	30	49	26	43	41	55	52	29	49	55	57	73	49	29	26	60	60	59	54	62	68	71	56	54	49	57	67	73	0	78	81	0	89	64	61	84	89	21	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	3	2	2	2	1	1	1	2	2	1	1	2	1	2	1	3	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	2	3	1	1	6	2	1	1	1	2	5	3	3	1	1	3	1	2	1	2	4	3	2	1	2	1	2	1	1	1	2	3	1	1	9
2000	-953.357399722131390	-950.718412514158445	-2.638987207972982	0.000010122422571	0.000042555588678	4.204091301217296	0.512132156904468	2	2	0	5	4	7	6	7	9	7	8	8	10	9	10	8	10	10	11	11	9	11	11	10	11	12	11	10	10	15	15	13	11	13	14	12	12	15	14	11	13	13	14	12	14	15	14	14	13	15	15	17	17	15	15	17	18	16	18	17	21	16	16	20	21	18	20	19	22	22	21	23	22	23	24	22	24	21	25	23	25	21	23	26	24	27	26	29	28	31	35	3	3	0	1	3	3	5	4	7	3	5	10	11	10	9	1	21	11	16	13	3	8	11	11	12	9	11	16	11	19	27	17	11	20	23	11	25	48	20	28	15	29	23	19	37	49	26	19	15	40	34	28	41	37	49	49	30	28	55	58	23	51	45	66	44	49	21	43	67	71	30	82	68	55	61	26	62	59	85	65	65	0	61	74	0	87	75	59	87	66	85	1	2	1	1	3	3	1	1	2	2	3	1	1	1	1	2	1	1	2	1	4	3	2	1	1	1	2	1	1	2	2	2	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	3	1	2	1	5	1	1	2	2	2	4	1	1	7	1	1	1	6	2	4	3	1	1	4	1	2	4	1	4	6	1	1	1	2	1	2	1	1	1	1	5	1	6	7
2500	-727.475423082398038	-725.226650354308958	-2.248772728089094	0.000010258867286	0.000030920515083	3.014028178813226	0.602925240066203	2	1	-1	4	6	7	8	7	8	8	9	7	11	11	8	10	11	10	12	12	10	12	10	10	11	11	11	10	11	14	15	13	11	13	14	14	10	14	13	11	13	14	14	13	14	16	15	14	16	14	15	16	17	16	14	18	18	17	18	18	19	20	20	21	22	20	20	20	21	21	20	23	22	23	24	22	22	22	25	23	24	24	20	25	25	28	27	28	28	30	34	3	3	0	2	4	4	12	5	5	1	4	4	11	15	8	15	28	10	27	13	10	14	7	6	12	12	8	8	11	21	27	17	10	29	40	25	12	25	15	28	33	18	34	29	26	42	37	25	55	26	39	28	47	36	25	30	42	52	55	52	11	56	57	63	56	60	34	57	47	59	60	56	56	49	66	68	52	63	52	69	65	0	60	53	0	87	85	87	85	62	79	1	1	1	1	2	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	3	1	1	1	2	1	1	3	1	1	2	2	1	1	2	1	3	1	1	1	1	3	2	2	1	2	1	1	2	1	5	1	1	1	1	1	2	1	3	1	1	2	4	3	2	1	3	1	4	1	1	1	1	3	1	1	2	1	1	5	5
3000	-810.737065000925895	-808.620647761487135	-2.116417239438733	0.000010132102646	0.000026838292814	2.648837437850357	0.649503595389234	2	2	1	5	4	6	9	6	8	8	9	8	11	10	9	9	11	11	10	12	8	12	10	11	11	10	11	11	10	15	15	13	12	13	15	13	12	15	14	13	12	15	14	13	13	15	15	13	15	16	15	17	17	17	15	18	17	17	17	19	20	19	20	20	21	20	19	19	21	21	20	24	20	22	24	23	23	23	23	24	24	23	23	25	24	28	25	29	26	31	34	3	3	0	1	2	5	9	5	8	8	9	6	11	10	9	1	23	4	21	13	8	5	15	11	12	7	15	6	11	48	27	17	17	24	44	24	19	48	19	28	15	36	17	23	26	32	32	12	45	43	44	40	30	35	45	24	31	44	55	52	67	53	54	62	45	68	23	54	73	68	49	58	56	71	56	69	68	62	33	77	56	0	70	82	0	85	81	85	70	84	79	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	3	1	4	1	1	1	2	3	1	1	3	1	2	2	8	1	2	1	1	1	1	2	1	3	2	3	5
3500	-677.629705964007599	-676.014713100421091	-1.614992863586507	0.000010407648368	0.000014458021308	1.389172731181016	0.681248403896594	2	1	-1	5	6	6	8	6	8	7	8	8	10	9	9	8	10	10	12	11	10	11	10	10	11	12	8	11	11	15	13	12	11	12	14	13	12	15	13	12	14	14	14	11	13	15	14	14	15	17	14	16	18	16	16	17	18	17	18	19	20	19	19	20	19	20	18	19	21	20	22	24	21	22	24	21	23	22	24	24	25	23	22	25	25	27	26	28	27	32	34	2	3	0	1	2	1	6	2	8	6	5	8	11	9	8	8	16	4	22	13	7	14	16	11	12	12	8	17	11	43	27	17	27	44	21	28	22	48	28	28	24	7	18	23	25	9	44	44	45	40	32	40	56	48	49	49	50	52	34	52	67	30	52	43	56	57	30	58	41	53	65	64	65	68	83	53	52	70	52	50	53	0	64	82	0	84	63	87	84	84	79	1	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	3	2	1	2	3	1	1	1	2	1	3	1	1	1	2	1	1	2	2	1	2	2	2	1	1	1	1	4	1	2	2	1	1	1	2	3	1	6	4	2	1	1	1	1	1	3	1	1	3	5
4000	-737.598834119097205	-735.787648943358818	-1.811185175738350	0.000010821238746	0.000020192879120	1.866041364907374	0.632093956279234	2	1	0	5	5	7	9	7	7	8	9	9	10	10	10	6	10	11	11	11	9	11	10	10	10	11	9	11	11	15	15	12	11	12	14	13	12	14	14	13	12	14	14	13	14	16	15	14	15	16	15	17	18	17	16	18	18	18	18	19	20	18	20	20	21	16	18	19	22	21	22	22	21	22	25	24	23	23	25	23	24	24	22	25	26	24	26	29	27	31	33	3	3	0	2	1	5	8	4	3	6	6	6	11	9	7	1	9	10	7	13	4	14	10	10	12	25	6	17	11	13	8	17	9	17	34	7	23	26	27	28	17	37	44	37	12	44	40	23	45	41	34	47	51	30	49	49	46	52	55	58	67	51	53	67	56	36	29	26	68	60	60	53	45	32	78	53	52	65	53	53	56	0	53	39	0	64	79	84	79	84	79	1	1	1	2	2	1	1	1	3	1	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	1	1	2	1	2	2	1	1	2	1	1	3	2	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	2	1	2	1	3	3	1	3	2	1	2	2	4	1	2	5	1	1	1	2	1	3	4
4500	-815.160877465028534	-812.978860013286749	-2.182017451741788	0.000013143102138	0.000037163783702	2.827626485043621	0.731825570094267	2	1	-1	5	6	6	8	5	8	9	10	9	7	10	9	10	10	9	12	12	10	12	10	11	10	12	10	11	11	16	13	12	11	12	15	14	12	15	13	12	13	13	15	14	14	15	15	13	15	16	15	16	16	17	16	18	18	17	18	19	20	19	19	20	21	19	18	20	21	20	21	22	22	22	24	23	23	22	25	23	23	24	23	25	25	27	26	28	26	28	34	3	3	0	2	1	4	8	2	4	9	13	7	6	4	7	2	9	5	10	21	9	24	5	9	12	12	6	17	6	32	27	17	21	7	39	14	24	48	22	28	15	28	48	39	18	45	34	23	45	31	36	22	44	46	45	49	52	40	55	58	67	67	49	54	56	41	11	59	70	43	62	64	65	61	78	74	58	68	58	64	56	0	71	74	0	89	82	86	80	82	79	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	3	2	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	3	1	1	3	2	1	1	1	1	1	2	1	6	2	3	1	1	2	1	1	1	1	2	2	5
