step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12
1	-230.919978310363149	-239.970821690814489	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.032553654677587	-2	6	34	31	44	41	51	46	47	56	70	66	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-95.729924142734376	-104.780767523185716	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.058621089286709	-6	1	38	34	46	41	52	44	45	51	60	64	0	1	4	2	4	4	6	3	6	6	9	11	1	1	1	1	1	1	1	1	1	1	1	1
1000	-88.308451604833124	-97.359294985284464	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.080273060882597	1	10	33	24	43	43	49	43	38	53	56	68	0	1	4	2	9	3	6	9	4	6	7	11	1	1	1	1	1	1	1	1	1	1	1	1
1500	-78.006823536529424	-87.057666916980764	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.246339910050182	-9	5	37	20	46	32	53	43	45	45	66	60	0	1	6	2	8	4	5	3	3	3	12	5	1	1	1	1	1	1	1	1	1	1	1	1
2000	-61.026206623724754	-70.077050004176101	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976850369300055	-4	4	32	16	40	40	48	39	48	59	71	63	0	1	4	2	3	3	8	3	8	6	10	10	1	1	1	1	1	1	1	1	1	1	1	1
2500	-61.901721984610212	-70.952565365061560	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.841292794421236	0	6	33	30	41	36	51	43	46	54	65	59	0	1	4	2	6	3	5	3	5	7	7	8	1	1	1	1	1	1	1	1	1	1	1	1
3000	-61.098359373078345	-70.149202753529693	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.915568317941982	-4	6	31	24	42	37	48	44	36	55	58	62	0	1	4	2	9	4	5	6	3	5	7	11	1	1	1	1	1	1	1	1	1	1	1	1
3500	-61.998948503390999	-71.049791883842346	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984599144768619	1	8	31	17	45	44	49	33	47	58	70	66	0	1	4	2	3	8	5	3	8	9	12	10	1	1	1	1	1	1	1	1	1	1	1	1
4000	-59.480449794080350	-68.531293174531697	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983978812096459	0	7	25	22	40	42	45	34	46	56	69	67	0	1	4	2	8	8	8	3	5	9	10	10	1	1	1	1	1	1	1	1	1	1	1	1
4500	-59.850280317854008	-68.901123698305355	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.917652752876064	1	6	33	27	42	40	48	48	45	50	61	66	0	1	4	2	6	4	5	5	6	6	9	11	1	1	1	1	1	1	1	1	1	1	1	1
5000	-59.259704593381791	-68.310547973833138	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.908420431621453	1	7	34	26	43	39	46	45	50	52	70	65	0	1	4	2	3	3	3	6	3	8	12	7	1	1	1	1	1	1	1	1	1	1	1	1
5500	-56.676916539902145	-65.727759920353492	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.916290433635706	-1	5	34	22	43	40	53	47	49	57	62	67	0	1	4	2	6	3	8	6	6	7	8	10	1	1	1	1	1	1	1	1	1	1	1	1
6000	-61.930829321252880	-70.981672701704227	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993844936264573	0	4	32	22	42	40	48	50	46	55	66	69	0	1	4	2	3	4	5	6	5	8	9	11	1	1	1	1	1	1	1	1	1	1	1	1
6500	-61.768576954990387	-70.819420335441734	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970955107804702	1	6	34	20	43	38	54	50	45	51	68	56	0	1	4	1	6	3	10	5	6	9	10	10	1	1	1	1	1	1	1	1	1	1	1	1
7000	-59.253756578042278	-68.304599958493625	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.959243828646316	1	9	34	26	47	39	53	45	40	47	66	55	0	1	4	2	6	3	5	3	3	9	12	8	1	1	1	1	1	1	1	1	1	1	1	1
7500	-58.187110413920202	-67.237953794371549	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.925359902020765	-3	6	33	28	43	38	39	43	46	49	71	64	0	1	4	2	6	3	3	7	5	8	12	10	1	1	1	1	1	1	1	1	1	1	1	1
8000	-59.950855580377912	-69.001698960829259	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.842718681083774	-6	10	33	27	39	41	49	35	46	56	72	66	0	1	4	2	3	8	5	4	8	9	12	10	1	1	1	1	1	1	1	1	1	1	1	1
8500	-61.245304577280130	-70.296147957731478	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.947513986701585	0	8	31	18	45	36	46	40	45	57	58	55	0	1	4	2	8	3	8	3	8	7	12	9	1	1	1	1	1	1	1	1	1	1	1	1
9000	-60.644419909035513	-69.695263289486860	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.887989446725112	-2	7	30	27	38	38	52	43	43	53	59	61	0	1	4	2	4	3	9	6	6	9	7	11	1	1	1	1	1	1	1	1	1	1	1	1
9500	-58.249853211350391	-67.300696591801739	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.969448945063043	-2	9	32	30	39	40	43	44	47	55	66	63	0	1	4	2	4	3	5	6	6	7	10	10	1	1	1	1	1	1	1	1	1	1	1	1
10000	-58.395639882858028	-67.446483263309375	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.963642264613686	-1	7	33	26	38	41	52	47	46	50	57	62	0	1	4	2	4	5	9	3	6	9	7	11	1	1	1	1	1	1	1	1	1	1	1	1
10500	-58.365786389178531	-67.416629769629878	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997716868614603	-1	6	32	26	38	43	49	41	47	54	74	58	0	1	4	2	4	5	6	3	8	7	12	7	1	1	1	1	1	1	1	1	1	1	1	1
11000	-62.090637115399723	-71.141480495851070	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.959691405899064	-1	9	33	27	48	39	54	42	50	59	62	63	0	1	4	2	3	3	5	4	6	9	10	9	1	1	1	1	1	1	1	1	1	1	1	1
11500	-66.351935131203035	-75.402778511654375	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974759577908637	-6	3	31	15	40	25	47	47	41	55	61	65	0	1	6	2	3	4	9	9	4	8	10	11	1	1	1	1	1	1	1	1	1	1	1	1
12000	-63.951654004328965	-73.002497384780312	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.945318998623552	1	8	37	26	48	33	43	48	52	53	64	56	0	1	6	2	7	4	6	7	7	5	12	8	1	1	1	1	1	1	1	1	1	1	1	1
12500	-62.900871737824268	-71.951715118275615	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988963154574679	0	8	31	28	44	43	47	36	42	46	67	61	0	1	4	2	8	8	9	4	3	3	12	9	1	1	1	1	1	1	1	1	1	1	1	1
13000	-63.435495805539382	-72.486339185990730	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.948245307177851	1	6	37	33	41	29	50	35	48	54	74	65	0	1	6	6	3	2	4	6	3	7	12	10	1	1	1	1	1	1	1	1	1	1	1	1
13500	-59.785806324381646	-68.836649704832993	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.867100291456613	-2	4	37	29	45	23	50	42	47	58	64	67	0	1	4	6	3	2	5	3	8	8	10	10	1	1	1	1	1	1	1	1	1	1	1	1
14000	-66.498728965873170	-75.549572346324510	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.555537148449343	-1	6	36	31	44	23	50	40	44	53	66	60	0	1	6	6	3	2	9	4	8	5	12	5	1	1	1	1	1	1	1	1	1	1	1	1
14500	-66.417383479021609	-75.468226859472949	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.832110024692598	0	5	35	32	38	29	54	42	43	52	70	58	0	1	4	6	4	2	5	3	3	8	12	8	1	1	1	1	1	1	1	1	1	1	1	1
15000	-63.714333218027583	-72.765176598478931	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999441941785321	-5	9	33	26	35	19	54	46	50	58	72	64	0	1	4	6	4	2	3	5	8	9	12	10	1	1	1	1	1	1	1	1	1	1	1	1
15500	-58.787228048239591	-67.838071428690938	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990787673578242	-1	5	35	28	35	20	51	45	47	58	64	68	0	1	4	6	4	2	9	3	5	7	10	10	1	1	1	1	1	1	1	1	1	1	1	1
16000	-60.390316550994648	-69.441159931445995	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998172534209349	-3	3	19	25	40	39	50	43	45	58	67	60	0	1	2	3	4	4	9	6	6	7	10	10	1	1	1	1	1	1	1	1	1	1	1	1
