step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
1	-1395.714059133249521	-1394.251977048730623	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.627178890729577	0	6	8	10	10	12	12	12	13	13	14	14	15	16	16	18	18	19	19	19	19	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	5	5	6	6	6	7	7	7	7	8	8	8	9	9	10	10	10	10	10	11
500	-258.735056575693704	-255.739948132632520	-2.995108443061164	0.000009978993913	0.000054482233965	5.459692073337481	0.548640996213870	0	5	9	10	9	13	12	11	13	14	14	14	14	16	16	16	17	18	20	18	20	18	21	0	1	2	5	2	8	8	5	7	9	9	5	8	11	12	8	6	5	6	15	20	9	13	1	2	2	1	2	1	1	1	1	1	1	3	1	1	1	3	2	3	3	1	1	3	5
1000	-256.747799455717143	-254.449251641964167	-2.298547813752969	0.000009969170717	0.000031463473970	3.156077357154573	0.468280125259053	-2	7	9	10	9	13	12	12	13	14	14	15	14	16	17	17	17	17	19	19	20	21	20	0	1	2	5	2	7	5	5	7	8	7	8	8	11	12	8	6	8	16	15	20	7	13	1	4	1	1	1	1	2	2	1	1	1	2	1	1	2	2	2	2	1	1	1	3	3
1500	-233.017583269111043	-230.724907077008851	-2.292676192102199	0.000009995738768	0.000031378437733	3.139181451423128	0.523905243131687	1	6	7	10	8	13	12	11	12	14	14	14	15	16	16	18	18	20	18	17	19	20	19	0	1	2	5	2	8	5	5	8	9	9	4	5	11	12	8	6	16	6	15	20	16	13	1	2	1	1	1	2	2	2	1	1	1	3	3	1	1	4	2	1	3	1	1	1	1
2000	-245.565838227119826	-242.645158268294949	-2.920679958824876	0.000009961940701	0.000051630080641	5.182733183339084	0.600123655638411	1	6	8	10	9	12	13	12	13	14	14	13	14	15	16	18	18	17	18	18	20	19	21	0	1	2	5	2	5	5	5	5	9	9	8	8	11	12	8	6	7	6	15	20	7	16	1	2	1	1	2	2	2	2	2	1	1	1	1	1	2	3	3	2	3	1	2	3	1
2500	-245.023731353583145	-242.044450155674696	-2.979281197908457	0.000010050701356	0.000054275078184	5.400128434865672	0.682079350080397	0	5	7	11	9	12	11	11	13	14	14	14	16	16	16	18	18	20	20	18	19	20	21	0	1	2	5	2	5	5	5	8	9	9	4	8	11	12	8	6	8	17	15	15	14	13	1	3	1	1	2	1	1	1	1	1	1	1	3	2	2	2	3	4	1	1	2	1	2
3000	-247.434386902348280	-244.435206275109238	-2.999180627239046	0.000010246654271	0.000056101211417	5.475076052745056	0.581916412538413	1	6	8	11	9	12	13	11	13	14	14	14	15	16	16	18	18	20	18	19	17	21	22	0	1	2	5	2	5	8	5	4	9	9	4	5	11	12	7	6	16	6	21	15	10	13	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	4	1	2	2	1	3	4
3500	-233.649589983348676	-231.037759084564840	-2.611830898783845	0.000010729465474	0.000044155025628	4.115305253006373	0.583353620155530	0	6	9	11	9	13	13	11	13	14	14	14	15	16	16	18	17	19	20	19	18	20	20	0	1	2	5	2	5	8	5	5	9	7	4	8	11	12	7	6	16	17	21	15	16	13	1	2	2	2	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2
4000	-238.893907315715978	-235.222051078938250	-3.671856236777725	0.000010418948665	0.000087225334789	8.371798114853293	0.603584099787792	1	7	9	11	10	12	13	12	12	14	15	14	16	16	16	17	17	19	19	19	18	20	21	0	1	2	5	2	5	8	5	5	9	9	4	8	11	12	9	6	16	6	21	15	11	16	1	3	1	1	2	1	1	1	1	1	2	1	2	1	1	3	2	1	3	1	1	3	2
4500	-235.567004451556102	-232.638735260920498	-2.928269190635603	0.000011128082703	0.000057984102932	5.210610352274794	0.618771778677372	0	7	8	10	9	11	12	13	12	13	14	14	15	16	16	17	19	19	19	20	19	20	21	0	1	2	5	2	5	5	5	5	9	9	4	5	9	12	8	6	16	6	21	15	14	13	1	2	1	1	1	1	2	2	2	1	1	2	3	3	1	2	3	1	4	1	2	2	2
