step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-4384.402785869985564	-4382.940703785467122	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.902169660100796	0	1	4	2	3	4	3	3	5	5	5	6	6	5	7	6	7	7	6	6	7	7	8	8	8	8	9	10	10	9	9	10	11	11	10	11	11	12	11	11	12	13	11	14	13	13	12	16	13	13	16	15	13	15	14	16	15	14	15	16	15	16	16	18	17	19	19	20	23	21	22	23	25	24	23	25	26	25	28	30	27	30	32	31	33	32	35	39	43	47	49	54	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	3	3	3	3	3	3	4	3	4	4	3	3	4	4	4	4	4	4	5	5	5	5	5	5	6	6	5	6	6	6	6	6	6	7	6	7	7	7	6	8	7	7	8	8	7	8	7	8	8	7	8	8	8	8	8	9	9	10	10	10	12	11	11	12	13	12	12	13	13	13	14	15	14	15	16	16	17	16	18	20	22	24	25	27
500	-1551.213042824052081	-1548.541610673609284	-2.671432150442833	0.000010049591743	0.000043327915087	4.311410472726489	0.244973268201644	0	1	3	2	3	3	3	4	6	4	5	7	5	5	7	5	8	7	6	6	8	8	6	7	6	8	10	11	11	9	9	10	11	8	10	11	10	13	12	11	12	13	11	15	13	14	12	17	13	13	16	15	14	16	13	16	16	15	12	16	16	15	16	15	17	17	16	21	23	18	20	24	26	25	23	25	27	26	28	31	28	31	33	32	33	33	35	39	44	47	50	55	0	1	2	2	1	1	1	4	6	7	1	3	1	5	13	6	11	10	3	13	16	9	3	14	11	19	24	14	22	24	24	14	25	18	20	30	34	22	14	30	31	34	10	29	22	24	30	34	59	31	34	34	43	39	31	31	37	41	31	50	34	34	37	47	63	64	64	66	64	23	12	67	67	38	68	64	64	8	64	66	66	67	64	64	67	68	47	70	70	8	70	70	1	1	1	1	2	1	2	2	2	1	2	2	3	1	1	1	2	2	2	1	2	1	2	2	1	1	2	4	2	1	1	3	3	1	2	1	1	4	4	2	2	3	5	3	3	3	2	3	1	2	4	5	2	2	2	5	4	1	2	2	6	3	4	2	1	2	1	3	5	8	4	7	8	9	1	8	7	15	6	9	9	10	9	13	12	7	16	17	19	26	20	29
1000	-1544.136224203936990	-1541.430829177070109	-2.705395026866909	0.000010031528141	0.000044391688468	4.425216960373062	0.260295639049911	0	1	3	3	3	4	4	4	5	5	4	6	5	5	8	6	8	7	7	6	8	7	8	6	8	8	9	10	10	9	9	10	11	9	10	11	11	11	12	11	13	12	11	15	13	13	13	13	14	12	15	16	14	16	14	16	15	14	13	17	16	16	17	15	18	17	19	20	23	18	22	24	26	24	24	26	26	25	28	31	28	31	31	32	33	33	35	40	44	47	50	54	0	1	2	2	1	5	1	4	6	1	5	3	5	1	14	5	11	10	3	14	16	9	3	14	11	19	24	20	22	24	14	20	17	10	14	30	18	22	24	30	50	34	34	22	9	24	30	34	59	31	34	34	42	39	31	50	37	31	31	41	34	34	37	39	63	64	64	64	64	8	70	67	67	2	68	64	66	2	67	64	66	64	66	64	66	77	66	70	70	70	74	14	1	1	1	2	2	1	2	1	1	2	1	2	1	3	2	1	2	2	2	1	2	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	3	1	1	2	2	3	5	3	2	2	1	2	3	4	1	2	2	2	2	2	2	2	5	3	3	1	1	2	2	2	5	4	4	2	4	15	3	6	5	15	4	10	9	10	8	12	10	3	16	18	20	21	18	26
1500	-1324.675558548976369	-1322.054257613747268	-2.621300935229157	0.000010100055967	0.000041876449283	4.146160122358245	0.311092611560256	0	1	3	2	2	5	3	4	5	5	5	5	6	5	6	6	7	8	5	6	7	7	7	8	9	8	9	10	10	9	9	9	12	9	11	12	12	11	12	10	12	13	11	15	13	13	12	16	13	14	16	15	14	16	15	17	15	15	15	16	15	16	16	15	18	19	19	19	21	19	22	24	25	24	23	25	26	25	29	30	25	30	32	32	33	32	34	38	44	48	50	54	0	1	2	2	1	5	5	4	5	1	1	3	5	1	5	9	11	10	3	14	16	9	3	14	11	19	24	20	9	14	24	20	25	10	28	30	34	29	32	30	31	43	34	9	22	24	40	61	27	41	34	34	42	24	31	50	37	31	31	50	34	34	37	47	63	64	64	64	64	44	5	75	68	6	68	64	81	70	77	67	67	64	67	69	69	80	66	23	71	71	71	26	1	1	1	1	2	2	1	1	2	2	2	1	2	3	2	1	2	2	1	1	1	2	2	2	2	2	1	2	2	1	1	2	1	2	1	2	1	1	2	1	2	1	1	4	3	3	2	1	2	1	5	4	1	4	2	2	2	3	3	1	3	4	1	2	1	3	3	2	4	1	10	1	3	10	2	5	1	5	2	6	4	9	5	7	6	1	11	17	18	17	14	27
2000	-1220.210070966747253	-1217.622111340620449	-2.587959626126773	0.000010139346555	0.000040943019942	4.038033390126810	0.290927211847362	0	1	4	2	3	4	4	3	5	5	5	7	5	5	7	7	7	7	6	7	8	7	9	7	8	7	9	9	11	9	10	10	11	10	11	11	12	12	12	12	11	13	11	14	14	13	12	17	13	13	16	16	14	15	14	16	15	14	16	16	15	16	16	16	18	18	20	20	22	21	19	24	25	21	23	25	26	26	28	29	26	30	32	32	34	32	36	40	44	48	49	55	0	1	4	2	1	1	1	4	6	1	1	3	5	5	5	9	11	10	3	14	16	9	3	14	11	3	24	20	22	24	24	20	17	10	28	30	34	6	24	30	31	43	34	9	22	40	30	34	31	41	34	34	42	40	31	39	37	31	49	41	34	34	37	47	63	64	64	66	64	44	26	75	69	26	66	75	67	74	77	79	64	64	79	81	64	82	79	71	71	71	71	71	1	1	1	1	2	2	3	1	1	2	3	2	1	1	2	1	1	2	1	1	1	1	2	2	2	3	1	1	2	1	2	2	2	3	2	1	1	4	3	2	1	1	1	5	4	1	2	5	1	2	4	4	1	1	2	3	2	3	2	3	3	3	2	2	1	1	3	1	4	4	7	1	1	7	2	1	2	5	1	1	4	8	2	5	9	1	5	15	18	19	14	26
2500	-1221.738848587581060	-1219.500373889110506	-2.238474698470494	0.000010236225669	0.000030554827325	2.984970077146791	0.351646634385641	-1	0	3	1	3	4	3	3	5	4	4	6	7	5	8	6	7	8	6	6	8	7	8	7	9	8	8	8	11	8	10	8	11	9	10	11	11	13	11	12	12	12	11	13	14	12	12	15	14	14	16	14	14	16	15	16	14	15	16	16	15	16	16	17	17	20	20	20	23	18	20	22	25	22	24	26	26	26	29	30	24	28	33	29	33	33	35	40	42	48	49	55	0	1	4	2	1	1	1	4	6	1	5	3	6	5	1	6	11	10	3	14	16	9	3	14	11	19	24	20	22	24	24	20	17	18	28	30	18	29	24	30	31	43	34	9	38	24	30	34	31	41	34	34	42	47	31	41	37	49	49	41	34	48	57	40	63	64	64	64	67	23	12	66	67	23	66	75	73	74	77	82	66	64	81	81	81	79	86	71	23	71	71	23	1	1	1	1	2	3	2	1	1	3	1	2	3	1	4	2	2	2	2	1	2	2	4	1	3	2	1	1	2	1	2	2	2	1	1	1	2	2	2	2	1	1	1	4	1	4	2	3	2	2	3	3	1	2	4	2	2	1	2	2	3	1	1	2	1	2	3	1	2	6	7	2	2	8	2	1	1	4	2	2	3	7	4	2	7	3	1	14	18	20	14	27
3000	-1146.467087901179866	-1144.470487204782557	-1.996600696397297	0.000010841601359	0.000025290313422	2.332710139900594	0.402714847022294	0	1	5	2	2	3	3	4	5	6	5	7	5	5	7	7	8	8	6	7	8	8	8	7	8	9	10	9	9	9	10	10	11	11	10	12	11	12	11	11	11	13	9	14	14	12	13	14	13	13	16	15	14	16	14	17	13	14	16	16	16	16	15	16	17	19	18	20	23	20	21	23	26	25	23	24	25	26	27	30	26	30	33	32	32	33	36	40	43	48	49	55	0	1	2	2	1	5	1	4	1	5	5	3	1	1	5	6	11	10	3	14	16	9	3	14	11	19	24	20	6	14	24	14	25	10	28	40	10	22	24	30	31	43	10	22	22	20	40	34	41	41	34	34	42	47	31	55	37	31	49	41	48	52	37	40	63	67	64	67	64	26	12	66	69	70	66	72	69	74	77	79	69	77	84	81	82	82	86	70	70	23	70	71	1	1	2	1	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	2	1	1	2	2	2	3	1	1	3	2	1	3	2	2	1	1	2	2	3	1	1	2	1	4	4	2	1	2	1	2	3	2	1	1	2	2	1	2	1	3	1	1	2	3	1	1	1	1	3	7	6	2	1	4	2	1	1	1	2	2	2	5	1	3	1	2	1	9	16	20	15	27
3500	-1088.907397219138829	-1086.821509391084646	-2.085887828054262	0.000011376455066	0.000029203923346	2.567049504958997	0.360913207830191	0	1	5	2	3	3	3	3	4	5	5	7	5	5	7	5	8	7	7	6	7	8	8	7	9	9	9	8	11	9	10	10	11	11	10	11	12	13	11	11	12	13	11	12	14	12	11	14	11	14	16	13	14	15	14	17	15	14	16	16	16	16	15	16	18	19	17	21	22	20	19	24	26	24	24	24	26	26	29	30	25	30	33	30	33	32	36	39	43	47	50	53	0	1	4	2	1	1	1	4	5	5	5	3	5	1	14	9	11	10	3	14	16	9	3	14	11	19	24	20	9	24	24	20	25	10	28	30	34	44	24	30	31	43	10	22	44	14	30	34	31	41	34	34	43	47	31	41	37	31	49	41	48	52	37	47	63	67	64	66	67	23	17	67	72	70	69	66	69	74	77	79	69	77	84	81	82	79	86	71	71	71	71	71	1	1	2	1	2	1	2	1	1	1	1	1	1	4	1	1	2	1	1	1	2	2	2	1	2	2	2	2	4	1	2	1	1	2	2	1	1	1	3	1	1	1	3	2	1	4	2	1	1	2	3	1	2	3	2	2	2	2	2	2	1	2	1	2	2	2	1	1	3	6	9	3	1	2	2	2	2	1	2	1	2	2	1	4	2	2	3	8	15	18	17	24
4000	-1068.047774869178511	-1066.218856303129996	-1.828918566048582	0.000011927682728	0.000022778392105	1.909708081913166	0.386373745997991	-1	1	4	2	2	2	3	3	6	5	5	7	5	5	8	5	6	6	6	7	7	8	8	8	8	9	10	10	10	9	9	11	11	10	9	12	12	12	12	12	11	12	11	15	13	14	13	15	13	14	16	12	14	15	12	16	14	14	14	17	16	14	15	17	18	19	18	20	23	20	21	23	25	24	22	26	25	25	28	31	26	30	33	31	33	31	35	40	44	47	47	54	0	1	2	2	1	1	1	4	6	1	1	3	6	5	5	6	11	10	3	13	16	9	3	14	17	19	24	35	22	24	14	20	17	10	14	30	34	29	14	30	31	43	10	38	22	32	30	34	31	55	34	34	42	47	31	41	37	41	55	55	48	52	37	40	63	67	64	64	67	12	2	75	64	70	66	75	69	74	77	77	77	77	84	81	77	82	86	71	71	71	71	71	1	1	1	1	1	2	2	1	2	2	2	1	1	1	3	2	1	1	1	1	2	1	2	2	2	2	1	1	2	1	1	2	3	3	3	2	2	1	2	2	2	1	2	2	2	2	3	2	2	2	3	1	1	1	2	2	1	2	1	2	1	1	1	3	2	1	1	2	2	6	10	1	4	2	2	2	1	1	2	4	1	3	1	2	3	1	3	9	13	16	13	22
4500	-1032.028853397772764	-1029.918036836203783	-2.110816561569024	0.000015252524928	0.000040171601052	2.633767277395804	0.428999393362439	0	2	4	3	3	4	3	4	5	4	5	7	7	5	7	6	7	8	6	6	8	7	7	8	9	8	8	10	10	9	10	9	11	10	11	11	11	11	11	12	12	13	11	14	13	13	12	14	12	14	17	15	14	15	14	17	13	15	14	17	15	16	15	15	17	19	20	18	24	20	19	24	23	23	22	26	26	26	28	30	28	31	33	32	33	32	35	39	44	48	49	55	0	1	2	2	1	1	1	4	5	5	5	3	5	1	5	6	11	10	3	14	16	9	3	20	11	19	20	20	22	24	14	20	11	18	28	30	10	22	24	30	39	43	34	29	22	24	24	34	31	41	48	48	42	47	31	41	37	31	49	50	48	52	37	40	63	68	66	64	73	12	23	75	67	70	67	69	69	74	77	79	77	77	84	81	77	77	86	71	71	71	71	71	1	1	1	1	2	2	2	1	1	1	1	2	3	3	2	1	1	2	1	1	2	2	2	1	2	1	1	1	2	1	3	2	3	1	1	1	3	2	2	1	1	1	1	3	2	2	2	2	2	2	2	1	1	2	2	2	2	3	1	2	1	1	2	2	1	1	1	2	1	4	6	2	1	1	1	1	2	2	1	1	1	2	1	2	4	2	2	10	14	17	14	23
