step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
1	-1416.926599610759013	-1423.782087561718299	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.573051028060359	3	2	2	6	7	5	6	6	6	6	6	6	7	9	8	7	7	7	9	7	8	8	8	8	8	8	8	9	10	9	9	9	9	10	11	10	10	11	10	11	11	11	11	11	12	12	12	12	13	14	13	14	13	14	14	14	15	15	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	4	3	3	3	3	3	3	3	4	6	5	4	4	4	6	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	7	6	6	7	6	7	7	7	7	7	8	8	8	8	8	9	8	9	8	9	9	9	10	10
500	-365.749574735361023	-372.605062686320423	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.401364277341247	2	1	0	4	4	5	6	5	6	3	4	5	7	8	8	7	7	5	9	6	5	7	7	6	8	7	7	9	7	8	7	9	9	10	11	10	10	10	10	10	8	9	11	9	12	11	12	12	13	14	12	14	13	14	13	14	15	15	2	3	0	2	3	4	5	5	4	2	3	0	7	24	6	9	9	11	20	12	10	9	11	5	16	4	20	18	18	10	6	25	30	16	29	28	18	44	31	21	11	26	37	29	37	30	18	26	4	29	44	45	46	43	18	45	11	35	1	1	1	2	3	1	2	1	2	2	4	1	1	2	2	1	1	1	2	1	2	1	3	2	1	2	1	3	2	4	2	1	1	2	4	1	4	1	3	3	2	2	1	2	1	1	7	4	5	7	1	2	2	2	6	2	8	4
1000	-309.663134569247063	-316.518622520206463	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.581434033259479	3	2	1	4	7	5	6	5	6	6	4	5	4	9	8	7	6	5	8	6	7	7	8	8	8	8	8	9	7	9	8	9	9	10	11	10	10	9	9	11	9	11	10	11	11	12	12	10	13	14	13	14	13	14	12	14	15	14	2	3	0	2	8	4	13	11	4	6	3	0	3	5	9	6	4	11	12	12	10	9	7	5	16	16	12	29	18	21	10	16	9	33	29	38	29	29	31	4	18	48	41	36	28	31	18	30	42	47	44	55	39	43	45	55	36	55	1	1	1	1	2	1	2	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	2	2	2	1	4	1	2	2	1	3	2	1	1	1	2	4	5	1	2	2	2	2	2	1	1	2	5	2
1500	-278.491794888504046	-285.347282839463446	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731018136235031	3	2	1	3	7	5	5	6	6	6	6	6	4	9	8	7	7	6	8	7	7	8	7	8	8	8	8	8	10	9	7	9	9	10	11	10	7	9	10	11	9	11	11	10	12	11	12	12	13	14	12	13	13	14	14	14	14	15	2	3	0	2	8	4	13	7	6	4	7	0	3	5	16	9	9	13	12	12	10	9	7	8	16	16	20	18	41	21	6	16	26	26	29	28	18	18	31	30	18	26	37	38	28	39	29	42	42	44	36	45	46	43	41	38	47	47	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	3	2	2	2	1	2	1	2	1	2	1	1	2	2	1	2	2	4	2	1	2
2000	-272.070531484882451	-278.926019435841852	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606544013529025	3	2	1	4	7	5	6	5	6	6	6	6	5	9	8	7	7	7	8	7	8	8	6	6	8	8	8	9	10	9	9	9	9	10	8	9	8	11	10	11	11	11	11	11	12	12	12	12	12	13	13	14	13	13	14	14	14	14	2	3	0	2	8	4	8	3	4	4	8	0	3	5	9	9	9	13	12	12	10	9	8	8	16	9	20	35	18	21	4	25	22	16	18	18	18	18	30	21	18	34	37	29	41	39	36	42	34	44	44	41	46	37	45	45	38	45	1	1	1	2	2	1	1	3	2	2	1	1	4	2	2	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	3	1	2	3	1	2	1	1	2	1	1	1	2	2	3	1	2	2	2	3	2
2500	-265.182395740061224	-272.037883691020625	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656522031987600	3	2	0	4	7	5	6	4	6	6	5	6	6	6	8	7	7	7	9	7	8	7	8	8	8	8	8	9	9	9	9	9	9	10	11	10	10	11	10	10	9	11	11	11	12	12	12	12	12	14	12	14	12	13	13	14	14	15	2	3	0	2	10	4	8	3	4	4	8	0	11	3	16	10	6	7	12	12	10	9	14	14	16	16	12	18	18	21	21	9	26	26	28	28	41	18	31	30	18	34	37	41	28	31	29	42	42	41	44	41	39	37	45	55	38	56	1	2	1	1	1	1	2	3	2	2	1	1	1	5	1	1	1	1	3	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	2	1	1	3	1	1	2	1	1	2	2	2	2	1	1	3	1	3	2	3	1	1	2	1
3000	-273.579675640095331	-280.435163591054732	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736807701308901	3	2	1	3	7	5	5	6	6	5	6	6	7	9	8	6	7	7	9	7	7	7	8	7	8	8	8	9	10	9	9	9	9	10	11	10	9	11	10	11	10	11	11	10	12	11	9	12	12	13	13	13	13	14	13	14	15	14	2	3	0	2	8	4	3	7	10	4	7	0	11	8	22	10	9	7	27	12	9	9	13	7	16	9	20	18	18	21	21	16	26	26	28	28	18	29	31	6	47	26	37	47	35	31	18	34	42	44	44	45	30	36	29	45	41	52	1	1	1	1	1	2	3	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	2	2	2	1	2	1	1	2	1	1	3	1	2	2	1	1	2	1	1	1	2	2	1	3	3	3	2	2	1
3500	-261.532006763176753	-268.387494714136153	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.726247918558829	3	2	1	3	7	4	3	6	6	6	4	6	5	9	8	7	7	7	9	7	8	5	8	8	8	8	8	9	10	9	9	9	9	10	11	10	10	11	10	11	8	11	11	11	12	11	12	12	12	14	13	11	12	14	14	14	13	14	2	3	0	2	8	4	3	13	22	4	7	0	11	5	17	9	9	7	12	12	10	4	5	5	16	16	20	41	41	21	10	25	26	26	28	18	28	18	31	30	18	34	37	36	52	21	29	42	42	44	38	36	31	38	45	52	38	52	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	2	2	2
4000	-282.079244757491551	-288.934732708450952	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635439187005220	3	2	1	4	7	5	3	6	6	6	6	6	7	9	8	7	7	7	9	7	5	8	8	8	8	8	8	8	10	9	8	9	9	9	8	10	10	11	10	11	11	10	11	11	12	12	12	11	13	14	13	11	13	14	11	14	14	15	2	3	0	2	8	4	3	7	21	6	7	0	11	24	17	21	6	7	12	12	2	9	11	8	16	16	20	18	18	10	17	16	22	26	18	18	18	18	17	22	29	34	37	29	52	39	38	42	42	44	44	29	39	41	28	52	47	52	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	3	3	2	1	1	1	1	1	2	1	1	2	2	1	1	2	3	2	2	2	3
4500	-266.349224425207296	-273.204712376166697	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621006619177198	3	2	1	3	7	5	6	6	6	6	5	5	4	8	8	7	5	6	9	6	8	8	8	8	8	8	8	9	9	8	9	9	9	10	11	10	10	10	10	10	11	11	11	11	12	12	12	12	13	13	13	14	10	14	14	14	14	15	2	3	0	2	13	4	11	11	17	4	13	0	3	8	9	9	4	13	20	12	10	9	5	5	5	16	20	18	18	10	21	25	26	26	29	18	29	29	31	21	36	34	37	38	18	53	41	42	42	44	44	45	21	43	45	45	47	45	1	1	1	1	3	2	1	1	1	2	1	1	3	2	2	1	1	2	3	1	2	2	1	1	1	1	2	3	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2
5000	-283.861883182707061	-290.717371133666461	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.553674224511647	3	2	1	3	5	5	6	6	5	6	5	5	4	8	7	7	7	7	9	7	8	8	7	8	8	8	7	9	9	9	9	9	9	9	11	10	10	9	10	11	10	11	11	11	11	12	12	12	13	14	12	13	11	14	14	13	13	15	2	3	0	2	13	4	13	13	4	4	13	0	3	8	9	6	6	13	12	12	10	17	8	8	16	16	12	18	18	9	21	25	26	25	29	29	18	18	31	30	18	34	37	29	29	53	18	42	42	44	44	45	39	37	47	45	41	45	1	1	1	1	1	2	2	2	2	2	1	1	3	2	1	2	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2	1	2	2	1	2	1	2	2	2	3	3
5500	-260.018201766835148	-266.873689717794548	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690708626952784	3	2	1	3	7	5	6	5	6	6	5	6	4	7	8	7	5	7	9	7	8	7	8	8	8	8	8	9	9	8	9	9	9	9	11	8	10	10	10	11	11	11	11	10	12	11	12	12	13	14	12	14	13	13	14	13	13	13	2	3	0	2	8	4	13	13	17	4	13	0	3	8	17	10	4	13	12	12	10	17	8	14	16	16	20	18	18	10	30	25	25	26	28	18	18	29	31	30	38	34	37	18	35	39	29	42	42	38	44	58	46	37	56	45	47	45	1	1	1	1	2	2	1	1	1	3	1	1	2	2	2	1	2	1	2	1	2	2	3	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1	1
6000	-283.166890097863813	-290.022378048823214	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578787785675325	3	2	0	4	7	5	6	6	5	6	6	5	5	9	8	7	6	7	9	7	8	8	7	8	8	8	8	9	8	6	8	9	9	10	11	9	9	11	10	11	10	11	11	11	12	11	10	12	13	14	13	13	13	14	14	14	15	15	2	3	0	2	8	4	13	3	4	4	3	0	3	5	9	17	9	13	27	12	30	17	7	5	16	16	12	29	18	6	30	16	26	26	41	18	18	41	31	21	29	34	37	47	28	31	18	42	42	44	44	47	46	47	45	52	41	56	1	1	1	1	1	1	1	2	1	2	2	1	5	2	2	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	2	1	3	2	3	1	2	2	2	3	2	3	2	1	5	1
6500	-294.444561102442776	-301.300049053402176	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600752809963914	3	2	1	4	7	5	6	3	5	6	6	5	4	7	8	6	7	7	8	7	7	7	7	8	8	8	8	9	8	9	9	9	9	10	11	10	9	11	10	11	10	11	11	11	11	12	10	12	12	13	12	13	13	14	13	14	14	15	2	3	0	2	11	4	13	3	4	6	13	0	8	7	22	9	4	8	20	12	10	9	8	14	16	22	12	29	18	17	21	10	25	16	47	29	18	47	31	4	29	34	37	41	28	40	29	34	42	44	37	45	46	47	45	45	50	45	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	3	1	1	2	1	2	2	1	2	1	2	1	1	2	1	2	1	2	1	2	1	1	1	5	2	1	2	1	2	1	2	2	1	2	2	2	1	3	2	1	1	2
7000	-284.815643604415698	-291.671131555375098	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.687211527252924	3	1	0	6	4	4	6	4	6	5	5	6	6	9	7	7	7	7	8	7	8	8	8	7	8	8	8	9	8	6	9	9	9	10	10	10	10	11	8	10	11	11	11	11	11	9	10	12	12	14	12	13	12	14	14	13	15	13	2	3	0	6	3	1	11	3	10	6	5	0	11	24	9	9	9	5	12	12	4	17	13	5	16	16	20	29	18	6	39	25	39	26	28	18	29	47	4	10	29	34	29	18	35	39	29	42	42	38	44	45	46	41	52	43	47	45	1	1	1	2	3	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	3	3	1	2	3	1	1	2	1	1	2	1	2	2	3	1	2	4	2
