step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-2927.628231055389278	-2926.166148970870381	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.211947241640088	0	0	1	2	4	3	5	6	5	7	6	6	7	6	6	9	9	11	8	8	9	10	12	11	12	12	14	14	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	3	3	4	3	3	5	5	6	4	4	5	5	6	6	6	6	7	7
500	-1218.508764448790316	-1213.541993952834673	-4.966770495955659	0.000010017349054	0.000163806477465	16.352278091506886	0.296140938136987	-1	0	1	2	5	3	5	6	4	8	7	6	7	7	6	9	9	11	9	8	10	10	12	11	11	13	14	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	12	8	11	9	14	21	13	20	21	24	11	1	1	2	2	3	1	1	2	1	2	2	1	2	1	2	2	2	2	3	1	3	2	1	3	1	2	2	3
1000	-1110.972935296247897	-1105.610164015393593	-5.362771280854333	0.000010041097524	0.000196483260102	19.567906757581660	0.496564250818046	1	1	2	2	4	3	6	6	5	7	6	7	7	7	7	9	9	11	8	8	10	10	12	12	11	12	14	13	0	0	1	1	2	3	4	6	6	6	6	9	6	6	9	12	7	9	7	11	12	14	21	7	11	21	24	25	1	1	1	1	2	1	3	2	1	2	2	1	2	2	1	1	3	4	1	1	1	2	2	3	2	1	1	1
1500	-1151.662772546583483	-1147.247256804278550	-4.415515742304969	0.000010057292956	0.000125893943601	12.517676889323683	0.757191617665675	-1	-1	1	2	5	3	6	5	4	7	6	7	7	7	6	9	9	10	9	8	8	11	12	11	12	12	14	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	12	5	11	12	14	21	10	20	18	24	25	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	1	3	2	1	1	1
2000	-1192.140858821431493	-1187.637465129091197	-4.503393692340205	0.000010182665985	0.000133213800954	13.082408982563452	0.611193807650665	0	1	1	2	4	3	6	5	5	7	6	7	7	6	6	9	10	11	9	9	9	9	13	10	12	12	15	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	9	7	21	5	11	12	14	21	3	11	21	24	25	1	1	1	1	2	1	2	1	2	2	2	1	2	1	1	1	2	1	4	2	1	2	3	5	3	1	3	1
2500	-1087.433221725963904	-1082.971841304186682	-4.461380421777152	0.000010342541963	0.000132491148037	12.810307998949037	0.583803040982200	0	0	1	2	4	3	5	5	4	8	6	6	7	6	6	10	8	11	8	9	9	9	11	12	12	12	15	13	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	15	7	12	5	11	12	14	21	17	20	21	24	25	1	1	1	1	3	1	2	1	1	3	2	1	3	1	1	2	3	3	2	2	2	1	1	2	2	1	2	1
3000	-1117.910585807472444	-1112.595391907974772	-5.315193899497666	0.000010573306614	0.000202580878457	19.159652307245761	0.705364040513613	0	-1	2	2	5	4	5	6	5	7	6	6	7	7	7	10	9	12	9	8	8	11	12	11	12	12	13	14	0	0	1	1	2	3	4	6	6	6	6	9	6	6	9	21	7	21	5	11	12	14	21	5	20	21	24	25	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	3	2	3	1	1	2	2	2	2	2	1	1
3500	-1097.291704032367306	-1093.288983042742530	-4.002720989624881	0.000011510021086	0.000116050651286	10.082575037358421	0.765107892336854	-1	-1	1	2	4	4	5	5	5	7	6	7	7	6	7	9	8	8	9	8	10	9	12	12	12	12	14	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	12	5	11	18	14	21	5	20	21	24	25	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	3	2	1	1	1
4000	-1073.358350655450067	-1069.515348517571056	-3.843002137879105	0.000013340504692	0.000123150202176	9.231300090729100	0.708313040683934	0	1	2	1	5	3	4	5	4	7	6	6	7	6	6	8	9	9	9	9	9	9	12	11	12	13	14	13	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	12	5	11	12	14	21	5	20	23	24	25	1	1	1	1	2	1	2	2	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	3	1	1	2	1
4500	-1065.283921122648280	-1061.739664233107760	-3.544256889540474	0.000016148790524	0.000125395307781	7.764996864452860	0.644085217792114	0	1	1	3	4	2	5	4	4	6	6	6	7	6	6	9	9	10	8	8	10	10	12	11	12	12	14	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	12	1	11	12	14	18	10	20	18	24	25	1	1	1	2	2	1	1	1	1	4	3	1	2	1	1	2	3	2	4	1	2	2	1	4	2	1	2	1
5000	-827.080375817270124	-824.227451930531402	-2.852923886738690	0.000025314772224	0.000124990386305	4.937448585332453	0.622560773333660	-2	-1	1	1	4	4	6	6	6	5	6	7	7	5	7	9	8	11	9	8	10	10	12	12	11	13	14	13	0	0	1	1	2	3	4	6	6	6	6	9	6	6	9	9	7	21	5	11	12	14	21	5	20	18	24	20	1	1	1	2	4	1	2	1	1	1	1	1	2	1	1	2	2	1	2	2	1	2	1	4	1	1	1	3
5500	-884.154681638896704	-882.285166797342526	-1.869514841554182	0.000058547858977	0.000117701440632	2.010345769916643	0.614547381180207	0	1	2	2	3	4	6	6	5	7	6	6	8	7	7	9	9	11	8	8	9	9	13	11	11	13	14	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	21	2	11	12	14	21	5	20	21	24	25	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	3	1	3	1	2	1	2	4	1	2	2	1
6000	-679.052358916495905	-677.641889273665925	-1.410469642829930	0.000227692301020	0.000192355377516	0.844804047631966	0.550219724058477	0	1	2	3	3	3	5	6	4	7	5	7	7	5	7	9	9	11	9	7	8	10	13	12	12	13	14	12	0	0	1	1	2	3	4	6	6	6	3	14	6	6	9	14	7	16	4	14	12	8	12	2	10	15	24	20	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	3	2	1	2	1	1	2	3	4	2	3	1	2
6500	-467.321283156768345	-465.888289326702079	-1.432993830066279	0.000940742530169	0.000333384121376	0.354384021860231	0.862867383189266	1	-1	2	2	3	4	5	5	6	7	7	6	5	7	6	9	9	11	6	8	8	10	11	11	12	13	13	12	0	0	1	1	2	3	4	6	3	15	13	7	3	8	6	12	12	17	1	8	12	20	16	5	18	21	24	20	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	2	1	2
7000	-464.766951009244849	-463.314577787075052	-1.452373222169825	0.001205286692231	0.000402269114500	0.333753883696497	0.878395929846960	-1	1	1	3	5	4	5	6	6	7	6	6	7	4	7	9	9	11	8	6	9	10	12	9	12	11	12	13	0	0	1	1	2	3	6	7	6	7	7	7	7	1	1	10	10	17	5	4	13	10	17	5	22	17	24	18	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	1
