step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64
1	-5249.344451119581208	-5247.882369035062766	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.461433933654850	1	2	3	8	9	11	9	10	11	12	13	12	14	12	14	13	15	15	16	16	18	17	18	19	20	19	21	20	20	21	22	21	22	22	22	23	23	22	23	22	24	24	23	24	23	24	23	24	24	24	26	25	26	27	28	27	29	29	32	31	31	31	33	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	4	5	5	6	6	6	7	6	7	6	7	7	8	8	9	8	9	9	10	9	10	10	10	10	11	10	11	11	11	11	11	11	11	11	12	12	11	12	11	12	11	12	12	12	13	12	13	13	14	13	14	14	16	15	15	15	16	16
500	-999.580256683503080	-996.159973408089513	-3.420283275413586	0.000009996009548	0.000071993141923	7.202188190600383	0.188258786972288	1	3	2	6	9	10	9	10	11	12	13	11	14	10	14	11	12	12	17	16	18	16	18	18	19	16	22	20	18	21	22	18	22	22	23	23	23	23	24	19	25	24	22	24	23	25	24	24	24	25	27	26	27	28	29	27	29	29	33	30	31	31	33	33	0	1	1	0	4	1	4	0	5	7	7	4	10	7	18	14	7	16	11	9	20	15	11	18	17	17	18	32	26	11	24	17	25	17	26	18	5	24	26	8	12	16	9	18	24	17	17	34	10	9	10	18	18	26	26	19	25	42	7	22	40	26	24	40	1	1	1	1	1	4	2	1	1	2	3	4	2	1	2	1	1	1	2	2	1	1	2	4	4	2	6	1	1	3	3	3	1	8	6	7	6	4	5	4	6	6	6	11	4	12	12	1	7	6	9	10	11	9	13	4	5	2	15	7	6	9	10	6
1000	-747.909145032198808	-744.387989550731049	-3.521155481467733	0.000010014874292	0.000076695429265	7.658151967287107	0.269371916216712	1	2	3	7	9	12	9	10	11	11	12	12	15	11	15	14	12	12	16	16	18	17	17	16	20	16	21	19	20	21	22	21	23	22	22	23	24	20	23	22	23	24	23	25	23	25	24	25	23	24	26	25	25	26	29	27	30	29	33	32	31	29	33	34	0	1	1	0	4	8	4	0	5	3	7	4	8	7	10	18	14	14	9	13	11	18	7	18	26	17	20	23	17	38	24	28	28	26	26	31	33	24	26	8	23	34	23	24	24	17	17	11	26	33	24	24	24	39	26	47	51	2	24	51	28	39	45	52	1	1	1	1	1	1	1	1	1	5	1	2	2	1	2	2	1	1	4	1	4	2	2	3	1	1	4	1	3	1	5	1	2	3	3	1	1	2	4	5	2	1	2	4	5	9	12	6	4	1	7	6	6	2	9	2	2	12	14	4	5	3	7	4
1500	-581.531493956722898	-578.305482455440369	-3.226011501282561	0.000010022814286	0.000063856030945	6.371067957589601	0.505976574794291	0	2	3	8	9	11	9	10	12	11	13	12	15	11	13	13	13	16	15	15	19	18	17	20	19	18	19	20	20	21	23	22	22	21	21	24	23	21	24	21	25	24	24	24	21	25	24	24	25	25	25	22	27	27	29	27	28	29	33	31	30	32	33	32	0	1	1	0	4	7	4	0	4	5	7	5	16	7	7	14	14	16	16	16	20	13	10	18	17	15	15	26	6	28	45	25	29	26	28	24	29	24	34	25	23	40	45	38	18	35	17	33	26	36	24	16	38	39	34	28	21	44	52	56	44	55	44	52	1	1	2	1	1	1	1	1	2	1	3	1	1	1	2	1	1	3	1	1	2	1	2	3	3	2	3	1	4	1	1	2	1	2	1	2	1	1	2	1	4	1	1	2	2	3	9	1	5	1	2	4	3	2	7	4	5	3	7	2	3	2	4	4
2000	-547.778852626688717	-545.316980740597387	-2.461871886091369	0.000010051099420	0.000036602177418	3.641609329332953	0.571698093673054	1	2	4	7	9	11	8	10	10	13	11	12	14	12	14	13	14	15	15	17	17	16	18	19	20	19	22	20	19	22	23	21	22	21	23	23	22	21	23	22	24	25	23	24	24	25	24	24	25	25	25	26	27	28	29	27	29	30	31	32	30	32	33	33	0	1	2	0	4	5	4	0	4	12	5	9	14	7	14	14	14	16	10	19	7	15	5	18	20	17	24	22	23	20	24	25	24	26	26	24	25	24	34	24	23	44	24	38	24	35	17	27	35	30	14	27	44	34	54	43	39	28	27	57	53	54	52	59	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	4	2	2	2	1	2	1	1	2	1	1	1	2	3	1	1	1	2	3	1	2	2	3	1	7	1	1	2	6	1	2	5	1	2	3	4	6	1	2	2	3	1
2500	-570.896026645012057	-567.519743310667536	-3.376283334344575	0.000010041928946	0.000070379897331	7.008603397666449	0.589663362001964	1	2	3	7	9	11	10	10	12	11	12	12	15	13	13	14	15	15	15	16	19	18	18	19	20	19	21	19	20	21	23	21	21	22	22	22	23	22	23	22	23	24	22	24	21	25	23	23	25	23	27	24	26	27	29	27	29	28	32	31	31	30	33	34	0	1	2	0	4	5	4	0	6	4	7	4	9	7	7	14	14	16	9	11	20	9	10	18	17	17	23	13	26	28	24	17	22	25	20	24	21	24	34	29	23	48	21	38	24	26	26	30	32	33	44	35	44	39	54	31	53	51	52	51	62	39	52	63	1	1	1	1	1	1	2	1	1	1	2	3	2	2	2	1	1	1	1	2	1	2	4	2	2	1	1	1	1	1	2	3	1	1	4	2	1	1	1	1	1	1	1	1	1	4	2	1	2	1	2	1	1	3	1	1	1	1	6	1	1	4	4	1
3000	-552.042504832075906	-548.966631568574940	-3.075873263500941	0.000010156545275	0.000058596709465	5.769354429058115	0.680478684301178	1	2	3	7	9	11	9	9	12	12	13	12	14	12	15	14	16	16	15	17	17	17	18	20	19	19	19	20	19	21	22	20	23	23	22	23	23	23	22	22	23	24	22	24	23	24	23	25	25	24	26	25	27	28	28	26	29	29	31	32	32	31	34	33	0	1	2	0	4	7	4	0	5	5	7	5	6	6	9	14	19	16	12	19	11	14	19	18	17	12	21	23	21	29	24	25	24	39	26	24	40	24	26	32	15	32	21	38	24	26	35	47	35	43	24	45	42	39	39	46	54	46	24	62	52	54	59	59	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	2	1	2	3	1	1	1	1	2	1	1	2	3	2	1	2	5	1	2	2	3	1
3500	-468.964065955054025	-466.481011090221727	-2.483054864832317	0.000010335129987	0.000038310844050	3.706856527059415	0.637436165279646	0	2	3	8	9	11	10	10	10	12	13	11	15	12	14	13	16	15	16	15	18	17	18	18	19	19	21	21	20	20	23	21	22	21	22	24	23	22	24	22	24	25	24	24	24	24	23	24	24	23	26	24	26	27	28	27	28	29	31	31	29	32	33	33	0	1	2	0	4	5	5	0	5	9	7	4	14	7	5	14	4	16	15	9	20	10	20	18	17	17	26	13	13	19	24	17	21	26	26	24	27	24	34	34	23	36	47	38	38	35	35	31	26	32	38	24	42	39	54	19	56	49	52	55	57	55	59	59	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	4	1	1	2	2	2	1	2	1	1	1	4	2	2	3	3	2	1	2	4	1	2	1	1	3	1	1	1	1	1	1	1	3	1	1	2	1	1	1	5	1	2	4	1	1	2	1	1
4000	-514.779729099690257	-512.214084483892975	-2.565644615797285	0.000010826057257	0.000042940988787	3.966447596443740	0.616913068920393	1	3	4	7	9	11	9	10	12	12	13	12	15	12	15	13	16	14	15	17	17	17	19	18	20	20	21	21	17	21	23	21	22	23	23	23	23	19	24	21	24	23	23	23	24	24	24	25	24	25	26	25	26	27	29	26	29	28	31	30	31	31	33	33	0	1	1	0	4	7	4	0	5	8	7	7	5	7	12	14	14	16	9	14	18	19	12	18	17	17	38	20	13	20	38	25	29	26	26	24	30	24	34	22	22	32	27	38	36	35	35	42	26	46	33	24	44	39	54	47	54	56	52	30	31	55	59	59	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	2	2	1	4	2	2	2	1	1	1	2	2	1	3	3	2	2	1	1	1	1	3	1	1	2	1	1	1	1	4	1	2	4	1	1	1	1	1	1	4	3	3	1	1	1
4500	-546.110503089029976	-543.386430738941613	-2.724072350088405	0.000012559009106	0.000056370472902	4.488449082786826	0.737198659425556	0	2	4	7	9	11	9	10	11	12	12	13	15	12	14	13	15	15	16	16	18	17	18	20	19	20	20	21	20	21	23	22	22	21	22	24	22	22	23	23	24	23	24	24	23	25	24	25	24	25	27	26	25	27	29	26	29	30	31	32	30	31	33	33	0	1	2	0	4	7	4	0	5	7	6	7	6	7	11	14	14	16	10	18	13	18	12	21	17	12	23	25	20	29	24	25	21	26	26	33	24	29	34	32	27	37	34	38	38	35	26	40	35	41	29	45	38	39	54	48	41	55	58	58	48	43	59	59	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	3	1	2	2	1	1	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	4	1	1	2	1	1	1	1	1	1	2	2	1	1
5000	-510.304419522132662	-508.208359457763152	-2.096060064369532	0.000015591699757	0.000040448040000	2.594203366597900	0.550184877904356	1	2	3	8	10	11	10	9	11	12	14	12	14	12	14	13	15	14	15	16	17	17	17	19	18	20	22	19	20	21	22	21	21	22	22	22	23	21	24	22	24	24	23	24	23	24	24	23	25	25	25	24	26	26	28	27	28	29	31	29	32	31	33	34	0	1	2	0	4	7	4	0	5	5	7	3	10	7	14	14	11	16	18	12	19	16	19	18	17	17	30	11	15	29	24	25	23	26	26	24	26	24	34	30	23	28	29	38	24	35	25	29	26	20	14	24	44	39	54	41	54	52	52	56	58	54	59	59	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	4	2	1	1	2	1	3	1	3	4	5	3	1	1	2	1	1	2	4	1	2	3	1	2
5500	-460.245209459495868	-458.222047811560344	-2.023161647935550	0.000025753818206	0.000061852706434	2.401690729473861	0.554699961699350	0	2	4	8	9	12	10	9	10	12	13	13	14	12	14	13	16	15	16	14	19	18	18	18	20	18	21	19	20	22	22	19	21	22	23	24	22	21	23	23	23	23	24	24	23	24	23	24	25	25	27	26	26	28	29	27	29	30	31	32	30	31	33	33	0	1	2	0	4	7	4	0	4	7	6	7	7	7	14	14	10	16	13	11	23	19	20	18	17	17	13	24	18	10	28	17	26	22	33	28	33	24	34	22	23	29	47	38	24	34	25	45	35	39	28	48	27	39	54	39	53	57	36	54	54	54	59	59	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	3	1	3	1	3	1	3	6	1	1	1	2	1	2	1	1	1	3	2	2	1	2	4	2	2	1	1	1	5	1	3	4	1	2	1	1	2	2	1	2	1	1
6000	-411.249208342743486	-409.683234628864227	-1.565973713879238	0.000056427783608	0.000071602402022	1.268921042845352	0.683465880814682	0	2	4	8	9	12	10	10	11	12	13	12	13	12	13	14	16	16	17	16	18	17	19	19	20	19	22	20	20	21	21	21	22	23	22	23	24	22	23	23	24	24	23	25	23	24	24	24	24	25	27	25	26	26	28	26	27	29	32	32	31	30	34	34	0	1	1	0	4	4	5	0	5	8	7	8	12	7	14	14	11	16	16	16	15	17	12	18	26	17	29	22	13	19	24	26	29	35	26	6	43	24	26	31	23	27	30	24	22	26	35	33	35	39	38	45	44	34	54	37	37	51	52	58	51	39	60	59	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	2	1	1	2	1	4	1	1	2	1	1	4	2	1	1	1	1	2	4	1	3	3	1	3	1	1	3	2	2	1	1	1	1	3	1	1	2	1	1	1	1	4	2	3	4	1	1
6500	-402.333876258723137	-400.797289744078398	-1.536586514644752	0.000202014611551	0.000054857435931	0.271551822463810	0.519897476899393	1	2	3	8	9	11	9	10	11	12	13	13	14	11	14	13	15	15	17	16	18	17	18	20	20	19	22	21	20	21	21	22	21	23	22	21	24	23	23	22	24	25	24	24	23	25	22	25	24	25	26	24	25	27	28	26	29	28	31	31	31	31	34	33	0	1	1	0	4	4	4	0	4	9	7	14	10	7	6	10	10	15	11	13	15	17	20	19	13	17	36	26	23	22	24	20	21	17	17	19	40	31	26	28	19	45	28	31	40	30	25	27	35	27	44	24	38	34	39	28	54	42	52	34	43	27	58	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	3	2	1	2	1	2	1	3	1	5	4	3	1	1	1	1	3	1	3	2	1	2	1	2	2	1	1	2	2	4	2	2	1	2	3	4	4	5	3	4
7000	-444.262516206169323	-442.721560038229882	-1.540956167939431	0.000235066499193	0.000063250939852	0.269076793455674	0.395594262727920	0	2	3	8	10	11	9	10	12	12	12	11	13	12	12	14	15	15	14	16	17	16	17	19	20	18	21	20	20	22	22	20	22	22	21	24	22	21	24	23	23	24	23	24	23	23	21	24	24	24	26	24	26	28	27	27	28	29	32	29	32	32	32	31	0	1	2	0	4	8	4	0	5	7	5	7	4	7	12	14	11	10	12	17	6	8	11	4	26	17	22	12	9	35	18	26	32	25	25	21	19	29	47	47	20	31	17	19	29	25	26	43	17	35	36	31	37	30	39	27	53	47	37	33	58	34	43	43	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	2	2	1	3	2	2	5	2	2	2	3	3	1	3	1	1	1	1	3	4	1	1	1	5	1	4	6	2	2	2	1	4	1	1	1	2	3	1	3	1	3	4	4	1	4	5	3
7500	-427.170506615640306	-425.715165289703748	-1.455341325936533	0.000244276564020	0.000080829972504	0.330895322801891	0.407365446812064	1	2	3	7	9	12	10	10	11	11	14	12	15	12	15	14	16	15	16	16	16	18	17	19	20	19	21	20	20	20	22	22	22	22	22	24	23	22	24	23	24	25	22	25	21	25	22	24	24	24	27	24	26	27	29	27	29	30	31	32	31	31	31	32	0	1	1	0	4	10	4	0	4	1	4	7	12	7	14	6	11	14	4	13	15	16	13	13	22	17	18	24	8	7	20	13	30	27	25	38	14	24	32	25	23	48	23	19	18	15	14	32	40	38	44	19	22	30	48	37	32	27	44	54	55	48	40	52	1	1	1	1	2	1	2	1	1	4	3	1	2	1	2	1	1	1	3	1	1	2	1	2	1	1	3	1	4	3	3	3	1	1	1	1	5	2	1	1	5	1	2	4	4	4	5	1	1	1	1	3	3	3	2	2	4	5	3	2	1	4	4	4
8000	-389.383850788287646	-387.982092683515702	-1.401758104771938	0.000215772433011	0.000085978894751	0.398470247339325	0.582726415699029	0	2	2	8	9	11	10	11	11	12	12	12	14	12	14	13	15	15	17	16	18	17	18	19	20	19	21	21	20	21	21	22	23	22	22	23	22	22	22	23	24	25	23	23	23	24	23	24	23	24	26	25	26	28	29	26	27	28	32	31	30	30	33	34	0	1	1	0	4	4	4	0	5	9	7	4	6	6	14	14	6	16	15	10	20	18	15	12	19	20	24	25	21	26	22	25	29	26	26	31	25	20	29	28	20	21	39	31	13	34	39	28	35	33	40	44	24	39	39	50	47	50	61	54	57	42	42	52	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	3	3	2	1	1	1	1	2	1	1	2	2	1	1	2	1	1	3	3	1	1	5	1	1	2	1	1	1	2	5	2	4	1	2	2	1	2	1	2	4	5
8500	-429.342587778333893	-427.804615690240212	-1.537972088093667	0.000330446151769	0.000089472015462	0.270761257116618	0.521393624902324	0	3	2	7	9	11	9	10	10	12	14	12	15	12	15	14	16	15	16	16	19	17	18	19	20	19	21	19	21	19	22	22	22	22	22	24	24	21	23	23	25	24	22	24	23	25	24	25	24	25	26	25	27	25	29	27	28	30	32	28	31	30	33	33	0	3	1	0	4	8	4	0	5	5	14	9	14	5	6	14	13	14	12	6	22	17	19	19	20	17	21	8	26	23	29	20	30	29	25	27	34	24	21	29	30	38	22	43	28	34	35	35	19	38	43	22	43	27	34	46	42	55	19	39	32	32	27	42	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	2	2	2	1	5	1	1	1	3	1	1	2	1	1	1	2	1	3	2	1	1	1	1	1	1	3	2	2	4	4	2	2	1	1	1	6	1	2	4	6	6
9000	-386.081490793903299	-384.591535072172690	-1.489955721730627	0.000206621277796	0.000062374846705	0.301880074359234	0.598987187137764	1	3	3	8	9	12	10	11	12	12	13	13	14	11	15	13	16	15	17	17	19	17	18	20	20	20	21	20	20	19	22	21	23	22	23	23	21	19	23	21	25	24	23	25	21	25	21	23	24	24	26	24	24	27	29	27	26	30	33	31	32	30	33	33	0	1	1	0	4	7	4	0	5	7	14	5	10	5	9	4	7	14	18	11	22	16	13	22	17	22	23	20	20	23	19	26	37	25	32	24	10	13	26	29	37	47	40	36	38	25	17	45	47	31	50	45	31	34	39	44	35	52	45	48	58	29	52	45	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	3	1	2	1	2	2	1	2	1	1	2	1	1	3	1	1	1	1	2	3	2	1	1	2	1	1	2	1	3	3	2	2	1	1	1	1	2	3	2	1	3	5	4	1	4	4	6
9500	-414.555858903303829	-413.151631597179630	-1.404227306124209	0.000232511986730	0.000091669439458	0.394256832723592	0.504756116017261	0	3	3	7	9	12	9	11	11	13	13	12	15	12	12	14	15	15	16	16	18	17	18	19	20	19	21	19	20	22	21	22	22	22	23	23	22	19	21	21	25	25	24	23	23	25	23	24	24	24	25	26	27	26	28	26	29	29	31	31	32	31	33	33	0	1	1	0	4	7	4	0	7	8	6	5	4	7	5	14	6	16	17	16	16	20	13	21	17	6	38	16	28	25	38	29	26	29	29	19	25	19	17	25	37	47	30	38	20	17	13	22	25	20	31	19	28	43	48	30	47	30	31	58	62	34	28	58	1	1	1	1	1	1	1	1	1	1	1	2	4	1	2	1	2	1	1	1	2	1	1	1	4	4	1	2	1	1	2	1	1	1	1	5	1	1	4	1	2	1	1	1	5	6	4	3	2	3	1	6	2	1	3	4	2	4	4	1	1	4	6	2
