step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-2168.092555617502967	-2174.948043568462253	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.361706052504902	0	2	3	4	5	4	5	4	6	6	6	7	6	10	7	8	8	9	8	8	9	10	10	10	10	9	10	10	13	11	10	11	12	12	10	12	12	11	12	13	12	12	12	11	12	11	11	13	13	13	13	14	13	14	14	13	15	14	16	13	13	16	15	16	14	16	15	16	16	15	16	16	16	17	18	16	20	19	18	18	19	17	17	17	19	19	18	18	20	21	19	19	20	20	22	22	25	26	27	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	2	3	3	3	4	3	5	4	4	4	5	4	4	5	5	5	5	5	5	5	5	7	6	5	6	6	6	5	6	6	6	6	7	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	8	7	8	7	7	8	8	8	7	8	8	8	8	8	8	8	8	9	9	8	10	10	9	9	10	9	9	9	10	10	9	9	10	11	10	10	10	10	11	11	13	13	14	16
500	-697.911678490574218	-704.767166441533618	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.324613831487475	0	2	4	3	6	3	6	4	4	5	6	8	7	11	8	9	7	10	9	9	9	10	11	10	10	10	10	8	13	10	10	9	12	11	8	12	12	11	12	14	9	12	12	11	11	12	11	12	14	13	13	15	14	14	15	14	14	13	15	13	13	17	16	16	14	16	15	16	16	15	16	16	16	17	19	16	20	20	18	19	19	17	16	16	19	17	18	18	20	21	20	20	20	18	22	23	25	25	27	32	0	1	6	2	3	2	3	2	2	8	0	3	6	7	10	5	2	15	3	10	17	13	6	6	9	13	17	17	32	8	9	28	13	12	5	10	15	32	5	24	2	12	26	17	25	38	35	23	27	21	43	29	5	35	4	2	39	23	24	41	47	43	22	19	30	9	60	58	41	19	47	25	25	4	41	57	73	46	3	43	31	61	9	41	60	60	62	46	35	79	84	64	87	21	35	30	78	78	25	0	1	1	1	1	1	1	1	1	2	1	1	3	2	3	3	2	3	1	2	1	2	2	4	3	3	2	2	1	2	3	4	1	3	2	1	2	2	1	3	2	3	2	2	2	1	1	1	1	2	2	1	1	3	3	6	7	1	1	2	2	1	3	3	3	2	6	1	2	4	3	3	3	3	8	5	1	2	5	6	4	5	2	8	5	4	2	1	3	7	2	2	2	2	4	9	7	2	3	7	1
1000	-586.665499596485233	-593.520987547444633	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512780190181998	0	2	4	5	5	3	5	4	6	6	7	8	7	10	7	9	8	9	8	8	9	8	9	8	10	10	10	11	13	12	10	11	11	12	9	12	12	10	13	11	11	11	13	12	12	11	12	12	13	14	12	15	13	15	13	14	15	13	17	12	13	17	15	15	14	16	15	16	16	15	16	16	15	16	18	17	20	18	18	19	19	17	18	18	19	19	17	18	19	21	19	16	20	19	20	22	24	27	26	30	0	1	6	2	3	2	3	2	2	8	0	3	7	7	8	19	4	15	3	8	4	3	5	13	17	35	17	27	18	31	9	17	26	33	13	18	15	9	22	12	25	26	33	21	21	27	35	6	38	31	33	36	22	42	28	8	43	40	40	25	47	61	16	43	28	56	29	58	60	61	47	67	60	60	74	64	73	49	13	34	67	61	74	73	67	74	64	50	47	71	83	57	87	49	71	38	96	97	94	0	1	1	1	1	1	1	1	2	2	1	1	2	1	3	2	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	2	2	1	1	1	2	3	3	2	1	1	1	1	2	2	1	2	4	2	2	1	2	2	2	1	4	1	1	4	1	1	1	2	2	2	1	1	2	2	1	3	1	1	2	1	1	2	3	4	3	2	2	2	2	2	2	1	2	3	3	1	1	1	2	2	5	1	1	3	1
1500	-598.034041078880819	-604.889529029840219	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579029975726625	1	2	4	5	5	3	6	4	7	5	7	7	6	10	7	8	8	9	8	8	10	9	9	10	10	9	9	11	11	12	11	11	13	13	10	12	12	11	12	12	11	13	12	11	13	12	12	14	14	11	14	14	13	15	13	13	14	15	15	12	13	17	15	15	13	14	14	16	16	16	17	16	15	15	17	16	20	18	18	18	18	17	17	18	20	20	19	18	20	20	20	20	21	21	22	21	24	26	26	30	0	1	6	2	3	2	5	2	4	8	0	3	5	12	10	5	9	15	5	10	4	12	3	16	4	12	17	27	18	31	21	17	43	35	12	10	20	27	22	24	21	26	26	23	32	31	35	6	50	25	61	29	39	26	17	17	6	40	48	21	35	63	42	57	28	56	36	40	41	61	47	56	32	25	74	54	84	49	53	64	67	61	73	83	72	81	76	55	61	79	84	87	87	49	61	49	78	96	94	0	1	1	1	2	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	2	2	1	2	2	2	1	1	1	2	1	1	2	1	2	1	3	2	2	1	1	1	3	2	1	1	1	1	4	1	1	1	1	1	3	3	2	5	2	1	1	2	1	1	1	1	1	1	2	3	2	2	2	3	3	1	1	1	2	3	2	2	2	1	1	1	1	1	3	5	1	1	1	1	3	5	2	2	3	3	1
2000	-597.092723685328565	-603.948211636287965	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609616485268725	0	2	3	4	5	4	6	4	6	5	7	7	6	9	6	7	9	10	8	8	9	9	10	11	9	10	10	11	12	12	9	11	13	13	11	11	12	11	9	13	13	13	12	11	11	12	12	12	13	13	13	13	12	14	13	13	15	15	16	13	13	16	14	16	14	16	16	16	16	14	16	15	14	17	17	17	21	19	18	18	18	17	15	17	19	19	18	18	19	19	20	19	19	20	23	22	26	27	25	32	0	1	2	2	3	3	6	2	4	8	0	3	6	19	10	5	9	15	3	10	9	6	19	12	4	5	21	21	15	17	4	9	26	26	12	10	20	21	7	24	44	43	26	21	21	25	26	23	44	44	22	36	22	42	28	32	47	40	24	25	35	48	48	54	55	31	25	58	25	61	63	41	31	67	41	64	84	4	71	43	56	70	73	83	74	74	76	38	70	71	84	87	87	50	90	94	94	97	94	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	2	2	3	1	1	4	1	4	2	2	1	2	4	3	2	2	1	1	1	1	2	2	1	1	1	2	2	2	1	2	1	1	1	1	2	3	2	1	2	2	1	1	4	3	1	3	1	1	1	2	1	2	1	2	5	2	3	4	2	1	1	1	1	1	4	2	1	2	1	1	4	4	1	2	1	2	1
2500	-579.919014241860395	-586.774502192819796	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642002600510128	0	2	3	4	5	5	5	3	6	6	5	5	7	10	7	9	7	9	7	8	10	10	8	9	10	8	9	10	12	10	11	12	13	12	10	12	13	12	13	12	12	13	12	11	13	12	12	12	13	14	13	14	13	15	14	14	15	13	17	13	12	16	15	16	13	16	15	14	16	15	15	16	16	17	16	16	20	19	18	16	19	16	15	17	20	19	19	18	20	21	19	17	21	21	20	23	25	27	26	32	0	1	2	2	3	3	3	2	4	8	0	3	6	7	8	23	4	15	5	10	27	23	12	6	17	5	9	9	18	9	27	25	26	26	19	18	20	27	13	24	21	48	35	21	21	31	26	19	28	27	26	18	22	42	32	32	43	24	40	41	35	39	26	42	25	56	60	24	41	61	61	60	83	60	67	35	73	55	43	63	69	61	60	72	72	88	92	46	70	89	73	80	87	27	34	55	96	97	94	0	1	1	1	1	2	1	1	1	2	2	1	1	1	3	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	2	2	1	2	3	2	3	3	1	1	2	1	1	1	2	3	2	2	2	2	2	1	1	1	2	2	2	1	1	1	3	2	2	1	2	1	2	2	2	2	1	2	1	3	2	3	2	1	1	2	1	1	3	1	1	3	3	1	2	1	1	6	4	3	1	1	3	1
3000	-575.835496199951876	-582.690984150911277	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548122994807080	1	2	4	4	5	5	6	3	7	7	7	8	6	10	7	6	8	9	7	9	8	9	9	10	10	9	10	11	12	11	9	11	12	12	8	12	12	12	12	12	12	11	13	11	13	11	12	14	12	14	13	15	12	14	15	13	15	15	16	12	13	16	14	16	15	16	14	16	15	16	17	16	17	16	18	16	20	18	18	19	20	15	17	16	20	19	19	19	19	20	20	18	21	21	23	21	25	27	28	31	0	1	2	2	3	3	5	2	2	8	0	5	6	35	8	5	10	10	13	15	9	7	19	6	17	35	21	9	18	27	21	25	26	35	3	15	20	21	13	24	9	12	35	21	44	31	35	42	31	31	26	36	12	42	46	44	39	40	40	25	35	63	47	42	44	50	41	58	60	61	61	67	84	67	74	33	84	50	48	54	74	61	67	67	67	74	92	46	61	89	72	33	87	88	90	30	94	94	97	0	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	3	2	1	1	1	2	2	2	3	1	2	3	1	2	1	3	2	1	1	2	2	2	3	1	2	2	2	2	1	3	2	2	1	1	1	1	2	2	2	1	1	1	2	3	1	1	1	1	3	2	2	2	2	2	1	2	1	2	1	1	3	2	1	2	3	1	1	2	5	2	3	1	1
3500	-549.643242242743781	-556.498730193703182	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642640898779704	0	2	3	4	6	4	6	4	6	6	6	6	7	10	6	9	8	10	8	7	8	10	9	10	11	9	9	10	14	11	11	12	11	12	10	12	12	11	13	14	12	12	12	11	11	10	12	13	12	13	12	13	14	15	15	14	16	14	16	14	14	16	15	16	15	16	15	16	16	14	16	16	16	18	19	16	19	19	19	18	19	18	18	18	18	18	18	17	20	19	19	20	19	20	23	23	25	26	28	32	0	1	2	1	3	3	3	2	2	4	0	4	6	7	8	3	15	20	12	15	4	13	7	23	28	7	21	27	18	27	46	44	26	3	23	15	20	27	42	24	25	26	33	27	27	27	35	7	31	46	33	37	22	42	28	41	43	24	40	41	47	22	39	42	25	56	38	40	60	35	61	17	60	60	60	70	83	27	63	76	86	64	73	73	72	72	76	49	61	71	83	87	87	88	90	88	96	78	97	0	1	2	1	2	2	1	2	1	2	1	1	1	2	2	2	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	4	1	3	4	1	1	2	1	2	1	1	1	1	1	4	1	1	1	1	2	2	2	1	2	1	2	1	1	2	1	2	1	1	2	1	1	2	1	3	1	2	2	1	1	5	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	4	2	1
4000	-549.132123695273549	-555.987611646232949	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700639479119512	0	2	3	4	5	5	4	4	6	5	6	6	6	10	8	8	9	9	7	7	9	9	11	11	9	8	8	10	14	11	10	12	12	12	10	13	12	10	11	13	13	13	11	12	13	11	11	14	12	12	13	14	13	14	14	14	15	14	16	13	13	15	15	16	15	17	14	16	16	16	16	16	16	16	18	15	19	18	19	16	19	17	18	17	18	19	18	16	18	19	19	20	21	20	23	22	24	26	27	30	0	1	2	2	3	3	3	2	8	8	0	5	6	7	10	12	4	20	5	10	27	5	22	6	9	12	9	2	18	28	21	17	26	43	26	32	15	27	22	24	38	47	26	21	21	31	26	19	46	46	33	36	22	42	15	41	47	40	58	38	23	53	22	42	28	56	60	24	55	61	61	67	67	60	72	33	84	49	47	48	69	63	73	73	55	74	76	50	64	89	85	87	87	78	90	94	94	97	97	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	3	2	1	1	3	2	1	1	2	2	1	1	1	2	1	1	1	1	1	2	2	2	1	3	4	1	1	1	1	3	1	2	1	2	1	1	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	2	2	3	3	1	2	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1
4500	-562.595567921833208	-569.451055872792608	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.601910518287291	-1	1	3	4	5	4	5	4	7	5	6	7	5	10	7	7	8	9	7	9	8	10	10	11	10	10	10	9	13	12	11	10	12	13	9	12	12	11	11	14	12	13	11	10	11	12	12	13	13	14	13	14	12	14	14	13	15	14	16	13	12	17	14	16	13	16	15	16	15	15	17	16	15	16	19	15	20	19	17	18	19	18	16	18	18	18	18	18	20	21	19	20	20	21	22	22	23	26	27	31	0	1	2	2	3	3	3	2	2	4	0	5	6	7	10	3	2	15	5	15	2	5	5	3	8	19	17	4	15	28	9	21	26	39	19	18	15	27	12	24	32	23	26	28	28	27	35	16	31	65	26	18	5	26	27	25	53	24	58	25	35	33	43	42	25	56	17	58	60	61	61	41	25	60	67	54	83	49	39	42	69	53	67	83	73	74	64	49	70	82	73	87	87	88	82	30	94	97	97	0	1	1	2	1	1	1	1	1	3	1	1	1	1	3	1	3	3	1	1	1	3	3	2	3	3	1	1	2	3	2	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	3	1	1	1	2	5	2	2	1	1	2	1	2	2	2	2	2	2	2	3	1	1	2	2	2	2	2	2	1	2	3	3	2	2	3	1	1	2	1	1	3	2	1	2	1	1	2	2	5	1	1	2	1
5000	-553.781910354258912	-560.637398305218312	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578594473609957	0	2	3	5	5	5	4	5	6	7	6	7	6	10	6	9	8	9	8	8	8	9	10	10	10	9	10	11	12	10	9	11	12	12	11	12	12	11	12	12	12	11	13	11	12	12	10	14	14	13	12	14	13	14	14	13	16	14	16	14	13	14	15	16	13	16	15	16	15	15	17	15	15	17	18	16	21	19	18	18	19	18	17	16	20	19	18	18	21	21	20	19	21	21	23	21	25	26	27	31	0	1	2	2	3	3	3	2	2	15	0	5	6	12	8	19	9	10	3	15	9	5	13	13	9	19	21	21	15	17	9	25	42	23	47	18	20	21	22	12	17	26	26	21	25	25	12	22	41	46	26	10	38	51	27	4	33	22	58	38	35	34	53	54	21	56	41	48	38	61	70	56	41	67	60	54	83	49	39	76	60	70	73	73	60	74	76	49	71	71	84	80	92	78	90	46	94	97	97	0	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	2	2	2	2	1	1	2	2	1	2	1	1	2	1	2	2	2	2	2	3	1	1	1	1	1	1	3	1	1	2	4	2	1	1	3	2	3	1	3	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	2	3	1	2	2	1	1	4	1	1	2	2	2	2	1	1	1	1	4	2	1	2	1
5500	-556.706339838330791	-563.561827789290192	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663258892769537	-1	1	3	4	6	4	5	4	5	6	7	7	6	9	7	9	9	9	9	8	9	10	10	10	10	9	10	9	14	12	11	11	12	12	10	12	12	11	12	12	12	12	13	11	13	11	11	12	14	13	14	14	13	15	14	13	16	14	17	13	12	17	15	17	14	16	15	15	15	15	16	16	15	17	19	15	20	18	19	18	20	17	18	17	19	18	18	19	20	21	19	17	20	21	22	22	25	27	27	31	0	1	2	2	6	3	3	2	2	8	0	5	6	12	10	3	9	10	12	10	9	3	12	5	9	12	17	9	15	32	9	27	26	26	5	15	20	28	19	24	38	19	26	25	38	21	26	19	28	38	33	36	22	43	25	27	33	40	40	21	47	33	23	42	31	17	41	40	60	61	61	67	32	60	67	33	84	49	33	82	69	70	73	73	67	74	54	50	82	82	73	54	64	78	90	94	94	97	88	0	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	3	2	1	1	2	3	3	1	2	2	1	1	2	3	1	3	1	2	2	3	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	2	2	1	3	2	2	2	3	1	2	1	1	2	1	2	2	2	1	2	2	3	1	2	1	2	1	2	1	1	3	2	1	2	1	1	2	1	1	2	1	3	1
