step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114
1	-14476.232915155591400	-14474.770833071072047	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.357562004895819	-1	2	2	4	4	6	6	7	7	8	7	7	8	8	7	7	8	9	9	11	11	10	11	12	10	10	12	12	12	12	13	13	13	16	13	14	15	15	17	16	15	16	16	15	17	17	17	17	19	17	18	18	18	18	19	20	18	19	18	20	19	19	22	22	21	22	20	23	21	21	23	24	22	22	23	22	22	22	22	23	23	24	26	25	23	25	26	25	25	26	26	26	25	27	28	27	28	28	28	28	30	30	29	30	29	33	33	35	32	34	35	37	37	42	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	4	4	4	5	4	4	5	5	4	4	5	5	5	6	6	6	6	7	6	6	7	7	7	7	7	7	7	9	7	8	8	8	9	9	8	9	9	8	9	9	9	9	10	9	10	10	10	10	10	11	10	10	10	11	10	10	12	12	11	12	11	12	11	11	12	13	12	12	12	12	12	12	12	12	12	13	14	13	12	13	14	13	13	14	14	14	13	14	15	14	15	15	15	15	16	16	15	16	15	17	17	18	17	18	18	19	19	22
500	-2792.719844230418403	-2790.142953009749363	-2.576891220669246	0.000009999115073	0.000040020941918	4.002448379358619	0.144173460860201	-2	3	1	3	3	5	6	8	8	8	7	4	9	7	8	6	7	8	9	12	10	10	8	11	7	10	12	12	12	9	10	13	13	17	13	15	12	14	16	17	15	17	15	16	17	14	16	17	19	17	18	19	19	15	19	21	19	20	19	21	20	16	22	22	22	22	20	23	18	22	24	25	23	23	23	22	23	23	22	24	24	24	26	25	21	24	26	26	26	26	27	26	26	27	29	28	28	29	28	29	31	31	29	31	30	34	33	36	33	35	36	37	38	43	0	3	1	3	3	4	12	5	4	14	6	4	10	4	6	0	6	12	12	25	15	12	16	17	12	0	19	19	12	23	25	0	25	19	29	33	30	31	38	22	22	25	33	35	0	23	37	31	38	31	25	25	23	1	25	45	37	30	30	39	30	1	31	31	54	30	30	23	1	54	54	31	54	37	30	23	30	30	31	38	46	54	30	37	48	31	31	46	30	30	46	31	54	25	46	46	37	30	38	38	37	85	38	46	23	46	46	37	37	62	69	23	62	55	1	1	2	1	1	1	1	2	3	1	2	1	1	2	2	1	2	2	3	2	1	4	2	2	2	1	2	2	4	1	2	1	3	5	1	1	2	3	1	5	3	8	2	1	1	5	2	3	3	4	6	8	6	8	8	3	5	7	7	3	8	9	6	7	4	7	10	12	10	5	7	11	8	7	10	10	9	10	11	8	8	5	10	9	2	9	10	7	12	14	9	12	9	11	12	8	12	12	10	10	17	7	12	11	15	17	12	18	17	18	17	21	13	18
1000	-2180.643903921375568	-2178.514712993990088	-2.129190927385299	0.000010087399729	0.000027067731930	2.683321039856939	0.184353940992727	0	2	1	4	4	5	6	7	7	6	7	7	8	9	8	6	9	10	9	11	11	11	8	12	8	10	10	12	11	9	11	13	12	17	13	14	12	13	15	16	15	17	17	15	17	15	16	16	19	18	18	19	18	16	19	18	17	19	19	19	16	16	23	21	21	23	21	24	22	22	22	24	22	20	24	22	21	21	22	23	21	24	27	26	22	25	26	24	25	26	27	26	26	26	29	28	28	28	28	29	31	31	29	31	29	33	33	35	33	35	36	37	37	43	0	3	1	3	2	4	4	5	4	4	6	7	10	10	6	0	6	12	12	12	15	12	16	11	12	0	19	19	12	23	25	0	25	28	29	20	30	31	31	35	35	25	33	35	0	37	46	38	39	48	36	25	37	1	20	45	46	30	47	50	23	1	38	38	54	57	37	61	62	54	62	38	54	57	37	57	37	37	31	31	1	62	37	78	38	31	31	57	30	30	61	31	62	31	61	78	30	46	85	48	61	79	31	88	61	30	75	30	37	62	62	30	62	62	1	1	1	2	1	1	1	2	2	1	2	1	2	2	2	1	2	2	1	2	1	2	2	3	1	1	1	2	2	1	2	1	2	3	1	1	2	1	3	2	1	7	2	1	1	2	1	1	2	2	2	8	3	7	6	1	2	7	3	1	7	8	6	6	3	5	7	6	5	3	3	6	3	1	9	4	5	5	8	7	8	5	9	3	3	9	8	4	12	11	6	11	10	9	10	5	8	9	5	10	14	5	10	4	9	16	8	18	14	18	18	17	11	14
1500	-1726.757153094494015	-1724.906915983069666	-1.850237111424439	0.000010244529303	0.000020104209247	1.962433671032796	0.217544463951012	-1	3	1	3	5	6	5	7	7	9	7	6	8	6	7	7	8	10	8	12	11	9	11	13	10	11	11	12	11	9	11	13	12	16	14	14	14	15	18	17	14	17	15	16	17	16	18	14	19	17	18	16	19	18	19	20	15	20	19	19	17	16	23	22	19	21	21	24	22	22	20	25	21	23	20	22	22	19	19	23	23	25	27	25	23	26	26	25	26	27	26	26	25	27	29	27	28	29	29	28	31	31	29	31	30	34	34	36	33	35	36	38	37	43	0	3	1	3	3	4	4	5	3	13	6	7	14	4	6	0	6	12	12	22	15	12	30	6	12	0	22	19	22	16	25	0	25	22	29	25	30	31	50	35	29	25	33	35	0	57	57	31	50	38	36	33	57	9	42	45	30	30	47	50	30	9	48	38	54	57	30	61	62	65	62	31	54	66	30	75	57	61	31	38	54	62	75	78	79	31	48	75	37	75	78	48	62	79	78	78	57	77	92	79	30	79	48	88	75	57	75	75	57	62	62	75	62	62	1	1	1	1	2	2	1	2	4	1	1	1	1	2	1	1	1	2	1	1	2	2	1	4	2	1	1	2	1	2	1	1	2	5	3	2	2	2	1	2	2	5	2	1	1	1	2	2	2	1	2	3	2	3	1	2	4	7	1	1	4	9	4	5	1	3	5	6	4	2	3	8	2	1	8	1	4	1	7	5	3	4	7	4	3	9	7	2	8	6	7	8	8	4	8	3	7	5	2	7	13	5	10	3	8	13	8	12	13	16	16	16	11	14
2000	-1680.225021774253946	-1678.422594887026889	-1.802426887227101	0.000010302757095	0.000019003793899	1.844534790392511	0.253966397831901	-1	2	1	4	4	6	7	7	7	8	8	6	9	8	8	7	7	9	10	11	12	8	12	12	10	11	12	12	11	9	11	14	12	16	13	12	15	15	18	16	15	17	14	15	16	16	17	18	18	16	19	18	18	18	19	20	16	19	19	19	18	16	22	22	22	20	20	23	21	22	24	23	21	23	20	22	23	20	20	24	22	23	26	25	24	25	26	25	25	27	26	27	26	28	27	28	28	27	29	29	31	30	29	31	29	34	32	36	32	35	36	38	36	43	0	3	1	2	2	4	12	5	4	4	17	4	14	9	6	0	6	12	22	12	15	12	16	11	22	0	19	19	22	16	25	0	25	28	29	25	30	31	50	35	35	33	25	35	0	37	37	31	50	38	36	43	46	3	43	45	37	30	47	49	37	1	38	49	54	57	37	78	62	54	62	31	54	66	30	75	57	61	38	38	54	62	75	78	79	31	48	66	57	75	78	79	62	63	78	78	76	77	92	79	78	87	79	88	75	75	75	75	58	62	62	75	62	62	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	3	2	2	3	2	1	1	1	2	1	2	1	1	1	2	1	1	3	2	2	2	1	4	2	1	1	1	2	4	2	1	3	3	1	5	2	2	1	6	1	1	2	10	3	3	2	2	2	2	2	4	2	7	2	1	7	1	2	1	2	4	1	3	4	3	2	8	4	2	7	6	3	6	7	2	6	4	4	3	2	7	11	2	5	3	8	12	7	10	10	15	15	16	9	12
2500	-1600.090606980285884	-1598.178766473663927	-1.911840506621903	0.000010417581289	0.000022047677402	2.116391203629919	0.290894466694962	-1	3	1	3	4	5	5	8	7	8	8	6	7	8	8	8	9	9	9	11	10	11	11	12	10	10	12	13	12	11	12	13	12	16	14	14	15	16	15	17	16	16	15	14	17	17	17	16	19	17	17	18	19	16	19	21	18	18	18	20	19	16	21	23	19	20	19	23	21	22	20	21	22	23	20	23	21	21	20	23	23	25	26	26	24	25	27	25	25	26	26	25	26	27	28	25	27	28	29	25	31	30	29	30	29	34	34	35	31	35	35	38	35	42	0	3	1	3	2	4	4	5	4	13	6	7	4	4	6	0	11	12	12	18	15	18	16	17	18	0	19	19	18	16	25	0	25	28	28	25	30	31	31	41	29	33	33	29	0	37	30	31	50	39	36	33	46	14	43	45	30	37	47	38	37	1	49	39	54	57	58	53	62	54	62	31	65	66	30	66	57	53	48	39	65	71	75	78	79	48	92	75	66	75	96	79	62	100	78	78	88	77	92	72	78	99	100	75	75	75	75	75	75	62	62	75	62	62	1	1	1	1	1	2	1	2	2	1	2	1	2	3	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	3	2	2	2	3	1	3	2	2	2	2	1	2	2	8	2	4	1	1	1	2	2	4	2	6	2	2	6	2	2	1	1	5	2	4	3	3	3	5	1	3	2	4	1	4	6	1	6	2	1	3	2	4	9	1	2	4	8	11	6	9	6	14	14	16	9	13
3000	-1506.041597026400268	-1504.459079996722949	-1.582517029677357	0.000011079105981	0.000014510700165	1.309735658170913	0.368838848597358	-2	2	1	4	4	5	6	7	8	7	8	7	9	6	7	7	8	9	9	12	11	10	8	12	10	11	13	12	12	12	13	13	13	17	13	14	14	15	16	17	14	16	16	15	18	18	17	18	19	17	16	18	18	16	20	21	19	19	19	18	19	16	21	22	20	22	21	22	19	22	21	25	23	22	20	21	23	20	20	22	24	25	27	24	24	24	26	24	25	27	26	25	24	27	29	27	28	28	27	26	30	30	29	31	29	34	32	35	32	34	36	38	37	42	0	3	1	2	3	4	2	5	4	14	6	7	14	4	6	0	6	12	12	18	15	12	16	17	12	0	28	19	12	23	25	0	25	19	29	25	30	31	38	35	12	33	25	35	0	37	30	38	39	39	36	43	37	1	43	45	46	46	47	39	46	1	38	48	54	75	46	78	62	54	62	48	65	75	30	57	66	53	31	48	65	71	75	78	79	38	79	75	77	75	84	85	62	100	78	78	88	89	92	79	78	99	94	88	75	75	75	75	75	62	62	75	62	62	1	1	1	1	2	1	2	2	2	1	2	1	2	2	1	1	2	2	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	4	1	2	2	2	1	2	3	2	3	2	1	2	2	2	2	1	1	1	1	7	2	2	1	1	1	2	1	10	4	2	2	1	1	1	2	3	3	6	2	1	6	2	1	1	3	2	2	3	3	3	3	4	3	2	2	4	1	1	5	1	6	4	2	2	1	5	6	3	2	4	5	11	7	8	7	12	13	16	8	14
3500	-1458.917011869168391	-1457.110166417713572	-1.806845451454744	0.000011382654204	0.000021119150216	1.855380110645476	0.358360832531313	-1	3	1	4	4	5	6	6	5	8	8	7	7	8	7	7	8	9	9	11	11	9	10	12	11	11	12	12	11	12	14	13	13	17	13	14	16	15	16	16	16	16	16	15	18	17	17	18	19	17	18	17	18	17	19	21	18	19	18	20	19	18	22	22	19	21	21	22	21	21	22	24	22	22	20	23	23	21	23	21	23	24	27	24	22	25	27	25	25	25	26	26	25	28	29	27	28	28	28	27	28	31	29	29	30	33	32	35	33	32	36	38	38	42	0	3	1	2	3	4	9	5	4	4	6	7	4	13	6	0	6	12	12	12	15	12	16	17	22	0	19	19	18	23	33	0	25	19	29	25	30	31	31	35	35	33	33	29	0	30	30	38	50	39	36	43	46	4	43	45	46	37	47	39	30	1	38	49	54	57	58	61	62	65	62	31	65	75	30	66	66	61	48	31	65	71	90	78	48	80	85	75	77	75	84	85	62	100	78	84	88	77	92	85	84	99	94	75	75	75	75	75	75	62	62	75	62	62	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	2	2	1	2	2	1	1	2	2	2	1	1	1	2	4	1	1	2	1	1	2	2	2	2	2	1	1	3	2	2	1	2	1	1	8	2	2	1	2	1	2	3	10	5	2	1	2	2	1	2	2	3	5	2	1	4	1	1	1	2	3	3	1	1	2	2	2	3	2	2	4	1	2	5	1	5	3	2	2	1	3	4	2	1	5	6	8	6	8	7	7	13	15	10	14
4000	-1411.295645111294107	-1409.537844619596171	-1.757800491697934	0.000013349509883	0.000023167925999	1.735488883252069	0.419145197340023	-1	3	1	4	4	5	5	7	7	8	7	7	7	9	7	7	9	9	9	10	11	11	11	13	11	10	13	12	11	12	14	13	13	17	13	14	15	16	17	17	16	17	16	15	16	17	17	17	20	18	17	17	18	18	18	19	18	18	18	21	20	18	23	23	19	20	20	23	20	22	24	23	23	23	22	22	22	21	21	22	23	25	27	24	23	26	27	25	26	26	26	26	26	26	28	27	28	28	28	29	30	30	30	31	29	33	33	34	33	33	35	38	37	42	0	3	1	2	3	4	4	5	4	4	6	7	4	13	6	0	11	12	12	18	15	12	16	11	18	0	19	19	18	23	25	0	25	28	29	25	30	31	31	35	35	33	33	35	0	37	37	38	39	39	36	33	46	1	33	45	37	46	47	39	53	1	38	49	54	57	37	78	62	65	62	38	70	76	66	57	66	61	48	48	65	71	90	78	79	80	85	75	77	88	78	85	62	85	78	84	75	89	92	94	96	99	94	75	75	75	105	75	97	62	62	57	62	62	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	2	2	2	3	1	1	2	2	1	1	2	1	1	4	1	1	2	2	1	2	2	2	2	1	1	1	1	1	2	1	3	2	1	6	2	2	1	1	1	3	1	7	4	1	1	1	3	1	1	2	3	2	1	1	1	2	2	1	3	2	3	1	1	2	1	2	2	2	2	1	2	2	5	1	4	2	3	1	1	1	3	1	2	4	5	7	3	8	4	7	12	14	10	13
4500	-1351.159314849081966	-1349.605221069189838	-1.554093779892061	0.000017504776747	0.000021695641062	1.239412611520819	0.439469333361175	-1	3	1	4	4	5	6	6	8	7	7	7	8	9	8	6	8	9	9	10	10	11	11	13	11	8	12	13	12	13	13	14	14	16	14	14	15	16	18	16	16	16	17	16	17	17	17	17	19	17	17	19	19	17	19	19	18	19	19	21	20	19	22	20	21	21	21	24	22	22	22	24	22	23	22	23	22	21	22	23	24	23	26	26	23	25	25	26	26	25	27	26	24	26	25	28	25	28	28	28	31	31	30	31	30	34	34	35	32	34	36	37	36	42	0	3	1	2	3	4	3	5	4	4	6	7	4	13	6	0	6	12	12	18	17	12	16	11	20	0	19	19	12	23	25	0	25	19	29	25	30	31	31	35	35	33	33	35	0	37	37	31	50	38	36	43	46	23	43	45	46	37	47	49	58	7	48	48	54	57	58	78	62	65	62	63	54	66	66	57	66	53	38	48	70	71	90	78	79	80	85	75	77	75	84	85	62	85	78	78	75	89	92	94	91	99	94	75	97	88	105	97	105	62	62	76	62	62	1	1	1	1	2	1	3	1	2	2	1	1	2	1	2	1	2	1	2	1	1	2	2	3	1	1	1	2	2	1	1	1	1	3	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	1	3	1	1	1	2	1	1	1	5	3	1	2	1	1	2	2	1	2	1	3	1	1	3	1	1	2	4	1	1	1	2	1	2	2	2	2	1	1	2	3	2	2	4	2	1	1	1	2	1	2	4	3	4	3	6	1	7	13	8	8	12
