step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-1120.914410770202721	-1119.452328685683824	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.409908059384305	0	8	11	15	16	18	17	17	19	20	21	21	24	23	22	24	26	28	30	30	32	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	6	8	8	9	9	9	10	10	11	11	12	12	11	12	13	14	15	15	16	16
500	-273.638973953981576	-271.953533604688289	-1.685440349293296	0.000010001234464	0.000015601751873	1.559982613058709	0.265348932501539	1	7	11	16	15	18	17	17	20	17	21	21	24	23	23	24	26	29	30	31	33	31	0	1	2	5	2	3	2	5	7	3	6	9	11	11	5	10	10	10	10	10	10	10	1	3	2	1	4	3	5	2	1	3	2	1	2	1	5	3	5	7	6	12	11	10
1000	-240.952269222179979	-239.462612795486990	-1.489656426693000	0.000010004458336	0.000010751224472	1.074643335064280	0.294634960581839	0	8	11	15	13	18	18	18	18	20	21	21	25	23	23	25	26	28	31	29	33	32	0	1	2	5	2	3	4	5	4	3	6	9	6	6	5	10	16	16	16	10	10	10	1	4	1	1	3	4	3	2	2	5	2	1	5	2	4	2	1	1	3	4	7	7
1500	-244.090973645298021	-242.651067615658349	-1.439906029639683	0.000010136111196	0.000009494399213	0.936690514707641	0.367241826312293	0	9	12	15	13	17	17	17	20	19	20	21	24	22	22	23	25	28	30	29	33	31	0	1	2	5	2	3	4	5	4	3	6	9	11	6	5	10	16	17	16	10	10	16	1	5	1	1	3	2	1	2	2	4	2	1	2	2	3	2	1	2	4	9	7	4
2000	-226.669370637341018	-225.035195821280979	-1.634174816060036	0.000010039282579	0.000014414475139	1.435807292640112	0.650910001363689	0	8	12	16	14	18	17	17	19	20	21	21	24	22	22	24	27	29	28	31	33	31	0	1	2	5	2	3	4	5	4	3	6	9	6	11	5	10	16	17	16	19	19	19	1	3	2	1	3	3	1	2	1	4	2	1	2	1	2	3	2	1	2	2	3	1
2500	-221.085638611873662	-219.718418078692167	-1.367220533181507	0.000010185621505	0.000006684361827	0.656254684474205	0.388155423332045	0	7	11	15	14	17	17	17	19	20	22	21	25	24	21	24	25	26	30	28	32	32	0	1	2	5	2	3	4	5	4	3	6	9	11	11	5	10	16	17	10	10	19	19	1	3	2	1	3	2	1	2	2	5	2	1	2	1	4	2	1	1	5	4	2	1
3000	-218.635769355167270	-216.898808314357325	-1.736961040809949	0.000009989754754	0.000016830960570	1.684822198722440	0.437826524484818	-1	8	12	16	15	18	18	17	19	21	21	22	23	24	21	23	26	29	29	30	31	31	0	1	2	5	2	3	4	5	4	3	6	9	11	6	5	10	16	17	16	10	19	19	1	4	2	1	4	3	1	2	2	4	2	2	1	3	3	1	2	3	3	4	1	1
3500	-217.569094656365735	-216.035946644628808	-1.533148011736927	0.000010510180908	0.000012474185114	1.186866831647376	0.700449324881271	0	8	12	16	15	18	17	18	19	20	21	21	25	23	22	24	26	28	30	29	31	32	0	1	2	5	2	3	4	5	4	3	6	9	11	11	5	10	16	17	16	10	19	19	1	3	2	1	3	3	1	1	1	2	2	1	2	1	2	2	1	1	3	5	1	1
4000	-220.890368211358179	-219.527730455915929	-1.362637755442244	0.000011457475133	0.000007037552253	0.614232382893168	0.441490641547075	-2	7	12	15	14	17	17	18	20	19	21	21	24	23	20	23	26	28	29	30	32	32	0	1	2	5	2	3	4	5	4	3	6	9	11	11	8	10	16	17	10	10	19	19	1	3	2	1	4	2	1	2	2	3	2	1	2	1	1	2	2	1	5	5	2	1
4500	-206.550024513673463	-205.156637633648103	-1.393386880025351	0.000011885436158	0.000009316351312	0.783845976505370	0.456854128560054	0	8	10	16	15	17	18	18	19	20	21	22	23	23	22	24	26	28	30	29	32	32	0	1	2	5	2	3	4	5	4	3	6	9	11	6	5	10	16	17	10	10	19	19	1	5	2	1	4	2	1	2	1	4	2	1	1	3	3	1	2	1	4	4	1	1
5000	-209.381021181929100	-207.936363914712217	-1.444657267216890	0.000013269775688	0.000012613946500	0.950577221277471	0.409524267407640	-1	8	11	16	15	18	17	16	19	21	21	20	23	23	23	24	26	28	29	28	32	31	0	1	2	5	2	3	5	5	4	3	6	9	11	6	5	10	16	17	16	10	19	19	1	4	2	1	4	3	1	1	2	3	2	1	2	3	4	1	2	1	2	3	2	1
5500	-213.330635947272384	-211.877192731477692	-1.453443215794687	0.000017653364950	0.000017225564955	0.975766659975437	0.659454569282383	-1	9	11	16	15	18	18	17	19	21	22	20	24	21	21	24	25	28	29	29	32	32	0	1	2	5	2	3	4	5	4	3	6	9	11	6	5	10	10	17	17	10	20	19	1	4	1	1	3	3	1	2	1	5	2	1	1	1	2	1	2	1	2	4	1	3
6000	-180.811886656409200	-179.183466181850889	-1.628420474558312	0.000036238276036	0.000008274418848	0.228333677888863	0.384191735230294	1	8	12	16	15	19	17	18	18	21	21	21	25	23	22	23	27	28	30	29	32	32	0	1	2	5	2	3	4	5	4	3	6	9	11	11	5	10	16	17	17	10	17	19	1	3	1	1	3	3	1	1	2	4	1	2	3	1	4	1	3	1	1	3	2	1
6500	-167.506482637682893	-164.646645464257432	-2.859837173425455	0.000076892285776	0.000005030705242	0.065425356923074	0.443688452939014	0	8	12	16	14	19	18	17	18	19	21	21	23	23	20	23	27	28	31	30	32	32	0	1	2	5	2	3	4	5	4	3	6	4	6	11	5	10	16	16	16	17	19	19	1	2	2	2	3	3	1	2	1	3	2	2	3	1	3	2	2	3	3	2	1	1
7000	-153.264891998056669	-151.193744423181442	-2.071147574875222	0.000161847430496	0.000020785929432	0.128429159287632	0.494133357093686	-1	8	10	16	15	18	17	18	20	20	21	22	25	23	23	25	26	29	30	27	33	31	0	1	2	5	2	3	2	7	4	6	6	9	14	11	7	10	16	17	16	10	22	19	1	3	1	1	3	2	4	1	2	1	1	1	1	1	4	3	1	1	2	3	1	1
7500	-168.900444651601276	-166.044431484808172	-2.856013166793108	0.000233460961428	0.000015316518965	0.065606338941873	0.363011757183139	0	8	12	16	14	19	16	17	19	21	21	21	25	24	22	25	26	28	31	29	32	30	0	1	2	5	2	3	5	7	5	3	3	4	10	10	5	2	11	6	20	17	6	17	1	4	1	1	3	3	1	1	2	4	5	3	2	1	4	9	2	5	1	2	7	4
8000	-179.168703192341411	-176.771633097141091	-2.397070095200319	0.000313881972852	0.000029577233790	0.094230431653421	0.409782531509442	1	9	11	15	17	18	17	17	19	19	22	21	24	23	22	23	26	27	30	30	33	31	0	1	2	2	3	7	2	4	5	3	7	5	6	6	7	3	13	7	11	18	17	18	1	4	2	3	3	1	4	1	1	4	3	2	2	3	3	4	1	3	5	2	4	1
8500	-181.261560309397993	-178.873407769484061	-2.388152539913929	0.000201617024599	0.000019146456263	0.094964481799689	0.344191316154797	0	8	11	15	17	16	17	18	19	20	22	21	24	24	20	24	26	28	31	29	32	32	0	1	1	3	4	2	4	4	4	2	3	9	10	10	3	11	10	11	3	16	20	20	1	4	6	1	1	3	1	1	2	5	4	1	2	2	4	1	2	3	10	3	1	2
9000	-175.834606145654078	-173.441706424626517	-2.392899721027567	0.000128989012192	0.000012198827940	0.094572613069818	0.534503137672894	-1	9	12	16	17	16	17	17	20	17	21	21	25	23	22	25	27	28	30	30	33	31	0	1	2	2	4	3	2	4	4	3	6	9	11	11	7	10	16	10	3	16	18	18	1	4	2	3	1	3	3	1	2	1	2	1	2	1	2	4	1	5	10	2	2	1
9500	-160.358759120766138	-157.181516548626064	-3.177242572140072	0.000194677197953	0.000010240472064	0.052602318976807	0.349622534616579	0	8	12	15	14	18	17	17	19	19	22	21	24	23	22	24	26	28	31	31	33	30	0	1	2	2	2	2	5	4	7	3	10	7	14	10	4	3	6	6	6	17	17	17	1	4	2	3	4	5	1	1	1	4	2	2	1	2	3	6	3	5	6	2	4	2
10000	-173.665594184040543	-170.530496669450798	-3.135097514589745	0.000160214378590	0.000008665240788	0.054085287879042	0.447222861456996	0	8	11	14	16	19	17	17	19	19	21	21	24	23	23	24	27	27	28	30	32	32	0	1	2	2	4	2	4	4	7	2	10	7	10	11	10	6	16	16	3	17	18	3	1	3	1	3	1	6	2	2	1	7	2	2	2	1	2	2	2	2	7	2	3	10
10500	-166.879249614366046	-163.680461496828229	-3.198788117537805	0.000168096666797	0.000008718573929	0.051866429565769	0.381015836616223	0	8	12	15	16	18	17	18	18	20	21	22	24	22	21	24	26	28	29	29	31	31	0	1	2	2	4	3	2	5	4	7	3	9	14	6	7	11	10	16	2	16	16	17	1	3	2	2	1	2	4	1	1	1	5	1	1	2	2	2	3	2	9	1	3	2
11000	-168.580589871608652	-165.674781069485761	-2.905808802122905	0.000142291211300	0.000009007817565	0.063305509055392	0.306039658560039	0	9	11	15	15	18	17	16	19	20	22	21	25	23	22	24	26	27	30	28	31	31	0	1	2	2	2	2	5	2	8	6	3	9	3	6	5	6	11	13	20	17	16	13	1	5	2	4	3	5	1	4	2	1	7	2	7	2	3	3	3	1	1	2	3	3
11500	-169.236834098249915	-166.952742586343959	-2.284091511905946	0.000216254007343	0.000022541774548	0.104237488245253	0.374761199807809	0	8	11	15	14	19	16	16	18	21	22	21	24	23	22	24	26	28	29	31	31	31	0	1	2	5	2	3	4	4	4	6	2	9	3	6	5	10	16	6	11	16	16	17	1	4	2	1	2	5	1	1	1	1	5	2	6	2	3	2	1	4	4	2	3	2
12000	-167.134159724155381	-164.949330912425694	-2.184828811729701	0.000147794001955	0.000016922463808	0.114500342259732	0.271563562191888	-1	8	11	16	15	18	18	16	20	20	21	22	25	24	23	24	26	28	28	30	32	31	0	1	2	5	2	3	4	2	4	3	2	9	10	6	8	6	11	11	6	19	20	16	1	5	2	1	3	5	1	3	2	5	7	1	3	3	3	3	2	3	4	1	1	3
12500	-174.394214055468950	-171.591411732592860	-2.802802322876089	0.000241279608922	0.000016455921777	0.068202704116989	0.273463117130972	1	8	11	15	15	17	17	17	20	21	21	21	23	24	22	23	27	28	29	29	31	32	0	1	2	2	2	2	5	4	7	3	3	7	3	6	4	3	11	11	13	17	19	13	1	4	2	3	4	3	1	1	2	6	5	3	4	4	4	7	3	4	3	1	1	5
13000	-157.351705310881357	-154.777460829465326	-2.574244481416020	0.000201115263352	0.000016347819273	0.081285820881167	0.341523011682830	0	8	12	15	16	18	17	17	19	21	21	22	24	23	22	25	26	29	29	28	32	31	0	1	2	2	4	3	4	4	7	6	2	9	3	2	4	10	10	11	16	14	22	19	1	5	2	4	1	3	1	2	1	1	5	2	5	8	3	2	3	3	2	2	1	1
13500	-171.056858567149391	-167.942119240290822	-3.114739326858583	0.000196424862806	0.000010768604753	0.054823022904584	0.384794290185893	0	8	11	15	16	19	18	18	19	20	21	21	25	23	22	25	26	29	27	30	32	32	0	1	2	2	4	2	5	5	4	3	3	7	3	3	10	11	14	6	14	13	19	19	1	4	2	4	1	6	1	2	2	6	4	2	7	6	1	3	2	4	2	2	3	2
