step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
1	-1731.491390909345682	-1740.542234289797079	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.157623844092036	1	4	4	10	7	22	17	20	25	21	23	24	23	25	27	29	27	30	28	28	27	28	28	29	28	28	29	31	30	30	29	30	30	31	32	31	32	33	31	41	32	32	34	33	33	34	32	34	36	35	33	34	35	36	36	35	35	37	37	37	39	37	39	38	41	39	38	43	41	40	42	44	40	40	45	42	45	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-286.524282700196579	-295.575126080647919	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.548324122227193	2	5	4	10	7	22	17	21	26	21	24	25	22	24	27	30	27	30	28	28	27	28	29	29	27	28	26	30	30	28	26	30	27	31	32	31	32	34	32	34	33	32	34	29	28	35	29	34	35	35	31	33	33	33	36	35	36	37	37	36	38	38	38	37	39	39	37	43	42	39	42	44	41	40	40	42	45	0	1	1	5	2	10	4	7	6	7	6	11	8	13	13	33	14	27	15	25	9	21	25	22	9	17	13	20	23	17	12	22	9	24	19	30	36	36	19	34	34	18	39	21	17	48	25	54	52	42	24	32	35	34	48	41	53	39	56	54	50	53	67	43	43	40	46	55	70	61	74	76	64	61	70	46	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-249.566249547369466	-258.617092927820806	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997410123495123	2	5	4	9	6	23	18	21	25	21	23	24	23	26	28	30	27	30	27	28	26	27	27	30	27	28	29	32	30	31	25	25	29	31	29	26	31	32	32	40	33	29	32	33	34	32	33	33	37	34	32	31	34	37	36	33	35	36	29	35	38	37	37	36	41	38	38	42	34	39	38	45	39	39	40	42	43	0	1	1	2	2	8	4	7	11	7	8	6	10	9	19	22	31	17	32	25	12	12	31	22	31	21	15	33	35	25	6	8	17	33	22	9	29	34	29	66	16	22	16	37	28	18	51	34	60	41	37	22	24	64	38	30	29	50	25	24	58	64	53	69	71	50	55	74	41	63	55	77	66	49	63	66	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-237.632099974696644	-246.682943355147984	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988295986824213	2	5	4	9	4	22	18	20	24	19	23	25	21	26	27	28	28	30	27	25	26	28	27	29	29	28	26	32	27	30	29	30	31	30	29	30	32	33	31	41	33	32	34	33	33	33	31	33	35	36	31	34	34	35	36	35	36	37	37	36	40	31	38	36	41	40	39	43	38	40	41	42	38	41	46	40	44	0	5	1	5	1	13	4	7	13	7	13	6	8	12	14	12	29	22	21	11	20	14	21	26	22	14	20	33	9	17	17	15	24	24	17	16	34	30	30	58	18	24	42	29	39	51	35	51	41	44	17	47	28	30	44	45	48	62	50	56	55	34	59	44	63	69	53	61	57	69	70	73	49	49	77	69	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-224.193354134608967	-233.244197515060307	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998845134128210	1	4	4	6	8	22	16	21	26	20	22	25	24	25	27	29	27	31	29	28	28	28	29	26	29	28	27	32	29	31	29	30	31	30	32	32	33	33	31	39	31	30	34	33	34	33	33	34	34	35	31	32	34	36	32	36	33	37	37	35	39	38	39	37	40	40	38	44	41	41	42	43	39	39	42	43	45	0	1	1	3	4	8	5	10	12	7	8	13	11	6	12	20	14	31	21	24	15	9	20	6	15	27	9	19	15	21	27	23	25	25	32	51	28	29	26	64	29	24	28	25	51	41	16	23	57	18	25	23	42	38	30	57	28	60	43	46	50	59	58	50	64	67	38	76	63	40	70	65	56	64	61	75	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-244.590821452663789	-253.641664833115129	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998786813114456	1	5	3	10	8	22	18	20	24	21	24	25	22	26	27	28	26	29	28	29	28	27	27	28	29	27	29	31	30	31	29	30	30	32	33	31	32	34	32	41	33	32	35	33	31	31	32	33	37	33	33	30	35	34	33	36	36	36	38	35	37	38	37	37	41	40	36	42	39	40	42	40	37	40	44	39	44	0	3	1	5	3	10	4	7	13	8	10	11	10	12	11	14	12	23	23	17	23	11	13	14	12	17	16	26	31	33	26	16	19	31	30	24	31	44	20	54	36	33	47	32	14	15	23	34	67	32	30	26	41	41	47	54	42	37	63	35	56	48	38	43	74	76	47	74	58	76	49	59	31	35	68	58	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-243.505964243847700	-252.556807624299040	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987284828292397	2	4	5	11	6	21	13	20	26	22	23	25	24	25	28	29	28	30	29	27	28	29	27	30	28	27	27	32	29	31	30	28	30	31	33	31	31	33	30	41	33	33	34	30	32	34	32	35	36	34	29	30	33	37	36	33	35	37	37	34	39	38	40	36	41	37	34	40	40	39	43	35	41	40	45	43	44	0	1	1	2	3	8	4	7	10	8	6	13	11	13	26	15	9	21	23	14	9	17	14	29	27	9	12	37	20	17	29	20	21	18	44	31	44	47	27	72	37	45	24	23	39	47	31	46	42	45	25	27	39	57	46	37	35	28	57	47	62	38	49	50	66	56	47	72	55	48	74	28	66	59	77	66	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-265.266455423350578	-274.317298803801918	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979311696507347	0	2	3	11	8	23	16	12	25	18	22	25	20	25	27	28	27	29	29	23	24	28	28	26	29	28	30	31	30	31	30	28	30	31	33	20	33	32	32	40	32	31	30	33	34	35	31	35	34	35	34	33	36	37	37	34	35	37	37	34	39	38	37	36	39	35	37	42	40	41	41	39	41	32	44	39	45	0	1	2	5	3	13	8	4	11	7	36	36	4	20	14	14	21	32	15	11	13	6	12	14	16	15	19	16	16	33	6	14	26	27	38	10	47	33	33	49	33	31	22	30	35	52	22	37	74	29	39	29	66	53	28	38	49	66	50	41	66	64	56	46	55	35	37	71	58	54	40	58	72	33	71	58	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-243.109365382892889	-252.160208763344230	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979348366067517	2	4	4	5	7	23	16	15	25	21	22	25	22	24	27	28	26	26	25	26	27	28	28	29	29	28	29	29	30	29	27	29	29	32	32	28	30	32	31	40	32	32	34	33	30	34	32	35	34	36	30	34	35	37	37	35	33	38	35	37	40	35	40	39	41	40	37	42	42	41	39	45	38	40	44	43	41	0	1	1	3	4	10	8	4	6	7	10	11	10	10	19	12	12	6	13	14	9	15	18	21	15	18	22	22	22	31	12	20	36	23	39	19	25	24	29	64	39	30	35	41	15	35	28	44	57	56	15	39	44	50	59	37	29	48	47	43	67	43	58	44	71	55	62	40	58	55	55	61	57	54	40	68	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-236.227763367133775	-245.278606747585115	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987666936546014	0	3	5	10	7	22	18	21	23	20	21	24	22	25	24	27	28	29	26	28	26	29	27	29	27	29	28	31	30	30	29	30	28	32	33	32	33	33	30	40	31	32	35	33	32	34	27	30	37	35	31	34	35	31	36	35	35	38	37	35	38	32	40	39	42	39	34	41	41	41	42	43	40	40	45	41	42	0	1	2	5	3	8	5	10	11	7	10	8	11	13	9	19	19	17	12	21	15	17	19	14	19	14	21	33	27	24	25	22	19	30	62	22	45	62	20	64	22	33	67	32	24	54	21	17	50	35	27	42	38	39	45	35	67	43	53	45	53	28	49	61	70	61	45	63	64	66	46	63	59	59	40	66	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
