step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-2217.068613534624546	-2215.606531450105649	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.901217700888952	0	3	5	8	7	10	10	11	10	12	13	14	13	14	13	14	16	17	17	17	19	17	20	20	18	20	20	19	20	21	21	22	20	22	22	22	23	26	25	23	23	24	23	24	25	25	25	25	26	26	26	27	26	27	26	28	27	27	27	27	28	29	28	29	28	30	29	30	29	29	30	29	30	30	30	31	33	33	33	34	35	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	5	5	6	5	6	7	7	7	7	7	7	8	9	9	9	10	9	10	10	9	10	10	10	10	11	11	11	10	11	11	11	12	13	13	12	12	12	12	12	13	13	13	13	13	13	13	14	13	14	13	14	14	14	14	14	14	15	14	15	14	15	15	15	15	15	15	15	15	15	15	16	17	17	17	17	18	18
500	-423.648792814943363	-422.038956701403549	-1.609836113539802	0.000009977549098	0.000002353059518	0.235835423600690	0.281912346862487	1	4	6	9	8	9	10	11	9	11	12	14	13	14	11	15	17	16	16	18	18	16	21	21	17	20	18	20	21	20	21	21	20	20	23	23	23	24	24	23	23	24	23	24	26	25	25	24	25	26	25	28	26	28	26	27	28	28	27	26	28	29	27	28	29	31	28	30	28	30	30	29	30	30	30	32	33	32	33	34	34	36	0	1	1	2	3	1	9	5	3	9	8	5	4	11	6	7	14	7	8	14	10	14	18	25	6	22	13	27	17	14	18	26	22	19	30	9	28	33	33	26	34	30	32	31	41	34	41	29	39	32	31	59	28	33	1	3	1	34	40	41	5	2	47	25	38	35	38	52	32	18	7	63	63	32	23	41	5	44	6	76	65	15	1	2	3	3	1	3	1	1	1	1	1	3	2	1	1	3	1	3	2	2	5	1	2	2	4	2	2	1	2	4	2	1	2	2	3	7	2	2	2	1	2	3	1	2	1	2	1	1	1	3	2	1	2	4	13	11	14	4	1	3	11	12	1	5	2	3	2	1	4	8	9	1	2	6	4	5	15	4	11	1	2	14
1000	-398.052394199373964	-396.237410696764812	-1.814983502609174	0.000009960315147	0.000001724258622	0.173112858068046	0.342279071211574	0	3	5	9	7	11	11	11	10	12	14	15	14	14	13	14	16	17	17	17	19	17	19	19	16	21	20	19	21	21	22	21	21	23	21	19	23	26	26	24	22	25	23	24	26	24	24	25	26	27	26	27	26	28	26	27	27	26	27	26	27	29	27	29	29	28	30	30	29	28	31	30	29	31	29	32	32	33	33	33	35	36	0	1	2	5	2	9	3	2	3	6	10	10	8	10	10	10	5	4	17	10	17	12	16	22	10	24	13	4	18	13	29	19	19	27	21	1	4	33	10	35	17	43	33	10	29	26	31	22	47	42	43	13	43	49	1	46	24	44	9	46	44	44	29	49	7	12	49	50	59	42	34	38	49	69	19	44	20	61	64	69	60	17	1	1	2	1	2	1	3	2	2	1	1	2	1	1	1	1	3	4	1	2	2	1	2	1	2	1	3	6	2	3	1	2	2	2	1	9	7	2	7	2	2	1	1	5	2	1	1	3	1	1	1	6	1	1	12	2	4	1	9	1	3	2	2	1	12	6	3	2	1	1	4	1	2	1	6	5	8	2	3	1	4	9
1500	-280.115076603521459	-278.468985141289863	-1.646091462231620	0.000009928538633	0.000002200654136	0.221649350196280	0.776150769423307	1	4	6	8	8	10	11	11	10	12	12	15	14	14	13	15	16	17	17	17	20	18	19	20	18	21	20	20	20	21	21	22	20	22	23	22	23	27	25	24	24	25	24	24	25	25	26	24	27	26	25	27	26	25	27	28	26	28	27	28	26	30	28	30	27	30	29	29	30	29	29	28	29	30	31	30	32	32	33	32	35	34	0	1	2	2	3	4	9	3	5	6	9	13	11	11	8	3	13	16	12	13	17	8	20	19	15	24	25	19	22	17	29	30	23	27	26	27	36	54	37	34	31	37	27	26	37	35	41	36	42	37	43	43	43	37	42	52	41	47	51	53	34	56	53	72	37	60	65	58	68	53	55	51	36	59	58	70	57	64	56	64	74	71	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	4	1	1	1	2	2	3	1	2	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	3	1	1	1	1	1	1	3	3	1	1	1	3	1	3	1	4	2
2000	-208.341739677848750	-206.935355502949619	-1.406384174899139	0.000009985401628	0.000003901381906	0.390708561513574	0.967739027782209	1	3	5	7	7	9	10	11	11	12	12	15	14	15	14	14	16	17	17	17	19	18	21	20	19	19	19	19	20	21	21	22	20	23	22	22	23	26	25	24	24	24	23	24	25	25	25	24	26	26	26	28	26	26	26	27	28	27	27	28	27	28	27	28	29	31	29	30	27	29	30	30	29	29	31	31	33	33	34	33	34	35	0	1	2	3	3	4	6	6	7	9	7	13	8	16	10	8	14	12	12	15	19	17	21	25	22	20	18	18	12	28	28	21	26	23	29	28	30	48	37	29	31	32	24	35	41	34	34	23	44	48	39	38	42	40	48	40	58	38	47	47	50	54	44	51	61	67	59	64	54	53	61	55	64	63	72	70	75	71	66	66	77	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
2500	-206.198403163038421	-204.030786909210491	-2.167616253827931	0.000009805665670	0.000001141829129	0.116445855608564	0.924600454707362	1	3	5	8	7	10	10	11	9	12	12	15	13	15	13	15	16	17	17	16	18	18	20	21	18	20	20	20	20	21	21	22	20	22	23	22	24	25	26	24	23	24	24	24	25	25	25	25	27	26	27	28	26	28	26	27	26	26	27	27	28	29	28	29	28	30	29	30	28	29	30	28	29	31	30	31	33	33	32	33	33	35	0	1	2	5	3	5	4	9	5	8	6	13	8	13	6	13	12	14	16	15	19	16	22	23	17	22	22	21	21	29	33	23	21	24	28	29	35	41	47	34	29	36	32	30	35	35	37	35	46	40	37	47	32	39	37	40	41	42	50	47	55	49	60	39	49	52	59	56	59	46	73	55	60	73	58	69	76	49	75	74	74	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	3	1	1	1	1
3000	-204.701147540436153	-202.020558090539851	-2.680589449896294	0.000009644632076	0.000000721140401	0.074771167579983	0.979706071830068	0	3	5	9	7	10	10	11	9	12	13	14	13	14	14	15	16	17	18	16	19	17	20	19	18	21	19	19	20	22	22	22	21	22	22	23	23	26	26	23	22	25	23	24	24	25	25	26	27	26	26	25	24	27	25	27	28	27	27	25	28	30	29	29	28	30	28	31	29	30	31	29	31	31	29	31	33	33	33	34	33	35	0	1	2	5	3	5	5	9	5	7	8	8	6	10	11	15	12	12	18	10	17	16	25	25	16	24	19	25	18	23	23	28	28	27	23	41	30	36	42	33	29	40	26	31	31	45	32	45	47	37	47	37	30	38	44	46	59	46	42	36	46	59	52	61	39	64	50	62	39	61	54	58	75	64	56	62	69	76	68	74	68	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
3500	-258.052742368705253	-255.867142066760977	-2.185600301944259	0.000009420526075	0.000001077843656	0.114414380601654	0.810971759183466	-1	3	4	9	7	9	10	11	11	12	14	14	13	14	13	15	16	17	17	17	19	16	20	20	18	20	20	19	21	22	21	22	21	22	22	23	24	27	22	20	24	24	24	24	25	26	25	24	26	26	26	26	24	26	27	28	27	27	28	28	28	29	29	27	28	30	30	30	29	29	31	29	30	30	29	31	31	33	33	34	34	35	0	1	1	3	2	5	5	7	4	6	8	8	9	6	10	13	16	17	16	13	20	12	21	20	17	19	17	22	28	33	26	24	40	23	24	29	32	50	24	17	26	35	24	34	26	37	39	35	23	53	37	37	33	47	51	64	51	48	50	37	46	58	49	49	52	64	51	49	65	44	62	58	56	65	50	70	62	71	74	75	76	81	1	2	2	2	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	1	1	1	2	2	1	1
4000	-238.009193261708930	-235.984970372134853	-2.024222889574085	0.000009046194298	0.000001221426048	0.135020983178898	0.879608179145876	1	3	6	8	7	8	10	12	10	12	13	14	13	14	12	15	16	17	17	18	19	18	19	21	17	20	18	19	20	21	22	22	20	22	23	22	24	26	26	24	24	23	22	24	26	26	22	26	25	25	26	27	25	27	26	28	26	27	27	25	29	28	28	28	28	30	29	29	29	30	31	29	30	30	30	31	32	33	32	34	35	36	0	1	2	5	3	3	6	7	6	7	10	8	8	15	9	12	16	14	17	11	18	17	18	21	16	23	25	12	22	23	22	27	27	26	32	30	47	44	50	35	31	26	19	30	49	60	24	40	44	47	41	60	35	35	34	52	40	35	51	42	54	51	45	51	45	63	53	52	53	38	68	38	68	62	72	57	72	70	65	78	74	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
4500	-205.596709441553685	-204.062478919955993	-1.534230521597684	0.000009116002394	0.000002487835607	0.272908617098923	0.979461305612706	1	3	5	8	7	11	11	11	10	12	14	14	13	14	13	14	17	18	17	16	17	15	21	19	19	19	21	20	20	22	22	21	20	21	22	21	23	26	25	24	24	25	22	24	26	25	25	24	27	26	27	27	26	27	26	28	25	26	27	27	28	28	27	30	28	30	29	30	29	27	31	29	30	28	30	31	33	31	33	34	35	36	0	1	2	5	3	4	9	9	5	7	13	10	7	10	8	8	15	20	15	16	12	14	24	17	20	21	25	26	17	29	33	18	26	24	23	29	31	48	43	43	43	37	26	30	40	34	27	36	57	40	39	38	47	46	42	45	44	57	50	58	50	52	47	61	57	74	54	56	52	57	72	51	62	38	65	72	71	67	64	76	76	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
