step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53
1	-366.247951848932757	-364.785869764413860	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.631101986962450	0	1	2	3	4	5	5	5	6	7	6	6	7	8	7	7	7	7	8	8	7	10	8	9	9	9	9	9	10	10	11	11	13	12	12	11	12	12	14	14	14	15	13	14	14	14	15	18	16	16	18	18	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	3	3	4	4	4	4	4	4	4	4	4	5	4	5	5	5	5	5	5	5	6	6	7	6	6	6	6	6	7	7	7	8	7	7	7	7	8	9	8	8	9	9	11
500	-169.491211978648806	-168.029129894129937	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.792129895003173	0	2	2	3	4	5	6	5	7	6	5	5	8	9	7	7	8	8	7	8	7	10	8	9	10	9	9	8	10	9	11	11	13	10	12	11	11	10	15	13	14	15	13	13	14	15	14	17	17	16	18	19	21	0	1	1	2	3	2	12	5	7	11	4	4	15	16	10	5	15	16	10	7	8	16	10	10	11	16	23	8	17	3	9	27	29	15	38	19	24	24	26	38	38	44	37	8	31	19	25	47	40	45	49	45	52	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	2	2	1	2	1	1	2	1	1	1	1	3	1	3	1	1	1	1	1	2	1
1000	-142.289287883746823	-140.827205799227954	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.940118681078055	0	1	2	4	4	6	6	6	6	7	5	4	7	9	8	8	7	7	8	8	8	10	8	10	8	10	10	10	10	10	11	12	14	11	12	11	12	11	15	14	14	16	13	15	13	15	14	18	16	14	19	18	21	0	1	2	3	3	12	12	11	3	11	12	3	8	23	7	17	12	12	7	7	7	6	7	17	7	25	25	10	14	15	19	8	34	14	30	21	22	23	43	45	31	40	34	29	34	41	35	49	45	35	48	39	48	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
1500	-157.376794495258082	-155.914712410739213	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.790311197316267	0	2	2	3	3	4	4	5	6	7	6	5	8	7	8	7	6	7	9	9	7	10	9	9	10	8	9	8	11	10	11	11	13	10	13	11	11	12	13	15	12	15	13	13	14	15	15	17	17	16	18	19	21	0	1	1	1	2	5	3	4	8	6	5	6	14	8	9	8	8	12	18	11	6	27	10	17	13	11	13	9	23	13	23	34	21	28	20	23	12	30	31	45	13	38	30	25	43	19	35	46	40	41	25	46	52	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	1	1	3	1	1	1	2	4	2	1
2000	-133.847126034263823	-132.385043949744954	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.994565099337742	-1	1	3	4	5	4	6	5	6	6	7	6	8	9	6	8	7	7	9	8	8	10	8	10	8	9	10	9	9	11	11	12	13	12	9	11	13	12	13	13	13	15	11	14	14	14	15	18	14	16	18	17	21	0	1	2	3	6	3	8	4	8	5	8	4	15	17	6	10	15	8	10	4	11	25	11	17	12	25	23	8	15	27	28	22	43	19	23	14	32	27	22	27	27	44	28	32	38	33	38	42	37	44	52	49	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-131.439712978084231	-129.977630893565362	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.977846960899775	1	2	3	4	3	4	5	6	6	7	5	6	6	9	7	8	8	8	8	9	6	10	7	10	9	10	8	9	11	11	11	11	13	12	13	11	12	12	15	14	14	15	14	14	13	13	15	19	15	16	17	17	20	0	1	1	5	2	2	6	6	3	4	3	7	11	15	7	12	23	10	13	19	6	8	11	20	21	23	11	16	14	24	25	25	38	25	30	19	26	24	35	46	34	46	38	38	38	30	40	52	34	40	41	42	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
3000	-138.501593821611920	-137.039511737093051	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.986230294914503	0	1	2	3	4	5	4	6	6	6	7	5	8	9	8	8	7	7	8	9	7	10	8	10	8	10	9	10	10	10	11	10	13	13	13	12	11	12	15	12	12	15	14	13	13	14	14	16	16	16	17	18	20	0	1	1	3	2	5	3	7	6	5	12	5	17	21	12	9	6	7	11	19	10	25	11	11	10	11	18	15	14	23	13	12	37	24	37	26	22	14	34	26	29	45	38	32	22	38	34	47	43	33	42	44	52	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-133.187497089172382	-131.725415004653513	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.975042771144895	0	2	3	3	5	5	5	6	7	8	7	7	8	8	6	6	7	8	8	9	8	11	9	9	10	10	7	10	10	11	12	12	12	10	13	11	11	12	15	15	14	16	12	13	14	14	14	19	16	15	18	19	21	0	1	2	2	3	3	4	5	7	6	7	15	12	27	6	7	6	9	16	18	27	23	11	19	10	12	7	27	20	18	34	26	26	18	30	34	26	34	31	43	30	45	29	20	31	31	33	51	50	44	40	42	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-126.439919534924869	-124.977837450405985	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.993858617452718	1	2	3	4	4	5	6	4	6	8	6	5	7	9	8	7	8	6	9	9	7	11	8	9	8	9	10	8	10	10	10	12	13	13	12	11	11	12	14	14	14	14	12	14	15	14	15	18	16	16	17	18	21	0	1	1	3	1	4	4	2	4	9	2	2	7	13	13	11	9	8	16	10	5	26	6	16	7	25	28	18	18	21	26	22	20	37	30	24	29	27	35	34	43	32	31	43	26	35	42	50	42	47	45	50	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
4500	-149.178732035138381	-147.716649950619512	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.866430768164224	-1	1	3	3	4	5	5	5	6	5	6	6	8	7	7	6	7	7	9	8	7	8	8	8	10	10	10	8	9	10	11	11	12	12	13	11	13	12	15	13	12	15	14	15	14	14	16	18	16	16	17	18	21	0	1	1	2	4	4	4	5	3	5	10	4	7	9	5	5	9	7	22	6	5	15	9	9	22	18	19	5	22	29	28	20	26	25	31	18	36	26	35	38	27	45	33	40	35	36	36	47	46	39	49	47	51	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
