step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
1	-1327.682540084470929	-1326.220457999952032	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.984770383411532	3	5	7	7	8	8	9	9	8	10	11	12	12	11	13	13	15	14	16	16	19	17	17	17	18	23	22	23	26	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	4	4	5	5	4	5	5	6	6	7	7	8	7	7	7	8	10	10	10	12	12
500	-321.244968675146481	-318.823138163393253	-2.421830511753208	0.000010004730403	0.000035213954732	3.519730498926973	0.369897329950267	4	6	6	6	8	9	8	10	9	10	11	12	13	11	12	13	16	13	17	14	19	17	17	18	18	24	21	22	27	26	0	1	1	1	1	5	1	7	7	7	5	9	11	5	5	14	18	5	14	13	16	11	20	20	20	25	25	22	27	26	1	2	1	1	4	1	3	1	1	1	2	1	1	2	3	1	1	2	3	1	2	4	1	3	2	4	2	3	3	2
1000	-343.511964476735670	-340.385282742945321	-3.126681733790334	0.000010015117821	0.000059781588104	5.969134779474874	0.667494244071404	4	5	6	7	7	8	8	10	9	10	11	12	13	10	13	13	16	13	15	15	19	17	17	18	16	23	21	23	26	27	0	1	1	1	1	3	4	7	7	7	5	9	11	5	11	4	18	5	4	13	16	11	20	20	20	27	20	22	26	26	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	4	1	3	4	2	2	1	1	3	2	1	2
1500	-307.331299698748523	-304.792866173486289	-2.538433525262245	0.000009958774974	0.000038639993932	3.879994681255420	0.628137195756846	4	5	6	7	7	9	7	10	9	11	11	12	12	12	13	14	15	13	16	16	19	17	18	17	18	24	22	23	25	26	0	1	1	1	1	3	1	7	7	8	5	9	11	4	5	14	18	4	14	13	16	11	20	20	20	27	25	22	26	26	1	1	1	2	1	2	2	2	1	1	1	2	1	2	3	1	1	3	1	2	2	3	2	1	1	1	2	2	1	1
2000	-314.656982359843198	-311.808045826481020	-2.848936533362185	0.000010023540291	0.000049348032777	4.923213889203271	0.647730477249236	2	5	7	7	6	9	7	9	9	9	11	13	13	10	12	12	15	13	16	15	19	17	17	17	17	23	22	22	26	27	0	1	5	5	1	3	1	7	7	7	5	9	11	4	5	14	18	4	14	13	16	11	20	20	20	27	20	22	26	26	1	1	1	1	2	1	3	1	1	1	3	2	1	2	2	1	1	3	3	1	2	3	1	1	1	1	4	2	1	2
2500	-316.458313698965242	-314.308353609533185	-2.149960089432056	0.000010000235373	0.000027397913868	2.739726901020838	0.488221997309753	3	5	7	7	5	7	8	10	9	10	10	12	12	11	12	13	16	13	16	15	19	18	18	17	17	23	21	24	26	26	0	1	5	5	1	1	5	7	7	7	1	9	11	5	5	14	18	4	14	13	16	11	20	20	20	27	20	22	26	26	1	1	1	1	1	2	2	1	1	1	4	2	1	3	3	1	2	3	2	2	3	4	1	1	1	1	3	4	2	1
3000	-309.647902720621005	-307.214074399469098	-2.433828321151895	0.000010053517908	0.000035750827308	3.556051487114310	0.511542237621614	3	5	7	8	7	8	8	10	9	11	11	11	12	12	12	12	16	13	17	15	19	17	17	17	17	23	22	23	26	26	0	1	1	1	1	3	3	7	7	8	5	9	11	4	5	4	18	4	14	13	16	11	20	20	20	27	20	22	26	26	1	1	2	2	1	1	1	2	1	1	2	1	1	2	2	1	2	2	2	2	4	3	1	2	1	1	3	3	1	2
3500	-316.503988189918175	-314.237867387924723	-2.266120801993448	0.000010500963206	0.000032166908052	3.063234050177739	0.611833530571682	4	5	7	7	7	8	8	9	9	11	9	13	12	12	10	13	16	14	17	16	20	17	18	18	18	23	22	23	26	27	0	1	1	1	1	1	5	7	7	8	3	9	11	4	5	5	18	14	14	13	16	11	20	20	20	20	25	22	26	26	1	1	2	2	2	2	1	1	1	1	1	2	2	3	1	2	1	1	2	2	5	5	1	1	1	3	2	2	1	2
4000	-306.782665916155622	-304.619457770280917	-2.163208145874692	0.000011623669577	0.000032266470980	2.775928097938830	0.540649193897200	4	5	7	7	8	9	8	9	9	10	11	12	12	10	13	13	16	14	14	15	20	16	18	17	19	23	23	22	27	26	0	1	1	1	1	3	4	7	7	7	5	9	11	4	5	4	18	4	14	13	16	11	20	20	20	25	25	22	26	26	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	2	1	3	3	2	2	2	1	1	2	1	1	2	3	2
4500	-296.253304927621343	-293.903285540015304	-2.350019387606052	0.000012239634745	0.000040461999474	3.305817560540926	0.678801866086544	4	6	7	8	9	8	6	9	8	10	11	12	12	10	13	13	16	15	15	16	18	18	18	18	19	22	22	24	26	24	0	1	1	1	1	3	1	7	7	8	5	9	11	4	5	4	18	5	14	13	19	11	20	20	20	25	25	22	26	26	1	1	2	3	2	1	1	2	1	1	1	2	1	1	2	2	1	2	3	2	2	2	1	2	2	2	1	3	2	1
