step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
1	-2266.130052702728335	-2272.069249921813480	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.032459159624920	1	0	2	1	2	2	2	3	4	4	4	4	5	4	4	4	7	7	5	6	6	7	8	6	7	8	7	9	11	9	11	9	9	9	11	10	10	10	12	12	13	13	12	12	12	13	13	13	13	13	13	14	14	16	15	16	16	17	17	18	17	18	20	20	22	24	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	3	2	2	2	4	4	3	3	3	4	4	3	4	4	4	5	6	5	6	5	5	5	6	5	5	5	6	6	7	7	6	6	6	7	7	7	7	7	7	7	7	8	8	8	8	9	9	9	9	9	10	10	11	12
500	-587.327854540837507	-593.267051759922765	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.103830199114017	1	-2	3	0	2	-1	3	1	3	3	4	4	5	4	4	5	8	7	5	7	6	8	8	6	6	7	8	8	9	9	12	10	6	8	11	10	10	10	12	10	12	14	12	13	13	14	13	13	14	13	13	13	14	15	14	17	16	17	17	18	17	19	21	21	22	24	6	0	1	0	1	2	8	2	8	8	5	5	10	5	7	12	9	11	5	13	15	8	18	11	11	14	21	24	19	23	24	27	19	33	28	30	28	29	40	33	34	35	36	38	24	35	36	28	33	37	25	25	38	33	29	50	33	34	25	33	52	25	52	57	25	52	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	3	2	1	3	1	1	2	2	1	1	2	1	3	1	1	1	1	1	1	1	1	2	2	2	2	1	4	2	1	3	4	2	2	4	2	5	2	3	7	6	6	6	3	7	7	3	7	9
1000	-506.217109207948567	-512.156306427033769	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.391554534617316	0	-1	2	2	3	2	2	2	4	5	5	4	6	4	5	5	5	7	6	6	5	6	8	7	7	9	8	9	11	9	10	7	9	10	10	11	11	10	13	12	13	13	13	12	13	13	13	14	13	13	13	14	13	13	15	17	17	17	16	19	14	18	20	20	22	23	2	0	1	0	1	1	1	2	8	7	12	5	7	5	7	5	8	5	5	7	7	8	18	5	11	14	21	24	5	23	5	21	5	25	28	30	28	18	40	33	25	35	36	29	19	35	18	37	33	37	25	34	29	5	29	48	5	41	52	40	11	41	52	61	59	62	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	2	1	2	1	1	4	1	5	1	3	1	1	1	2	2	1	2	2	2	1	1	3	2	3	2	3	1	3	2	1	4	3	1	6	2	1	4	4	3	4	3	3	3
1500	-433.705307007451609	-439.644504226536810	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.629454378430212	1	0	2	2	2	3	3	2	5	5	3	4	4	5	4	5	7	6	5	6	7	7	8	6	7	7	8	9	11	9	11	10	9	8	11	10	10	9	12	11	11	12	12	12	11	13	13	13	13	14	13	13	13	14	16	16	14	17	17	19	16	18	20	20	23	24	2	0	1	0	1	1	1	2	2	3	5	5	7	5	7	12	2	11	11	13	15	8	18	19	5	14	15	19	18	23	24	21	25	11	28	30	28	18	33	33	25	35	30	29	24	35	30	37	33	48	41	41	44	33	53	48	34	52	52	49	52	61	62	62	64	62	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	3	2	2	2	2	3	1	1	2	1	2	2	2	1	2	1	1	2	1	1	1	2	1	1	2	1	2	1	3	1	2	1	3	1	2	1	1	3	2	2	3	3	2	3	1	1	1	1	2	3
2000	-395.613597983502984	-401.552795202588186	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.678906756190616	0	-1	1	1	2	2	2	3	5	4	4	5	5	5	4	4	5	7	5	7	6	6	7	6	7	7	7	9	10	9	11	9	9	9	12	10	11	11	11	12	13	13	12	13	12	13	13	14	14	13	13	14	13	17	16	16	16	17	16	18	17	18	20	19	22	24	2	0	1	0	3	1	3	2	2	8	5	5	7	5	7	5	8	19	5	13	15	17	11	12	5	14	21	24	11	23	24	27	25	12	28	23	28	29	33	33	34	35	36	38	19	35	36	50	33	37	34	51	38	49	53	48	49	51	52	57	59	59	62	62	64	62	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	3	1	2	1	1	2	2	2	1	1	1	2	2	1	1	1	4	1	2	1	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	2	3
2500	-422.119097549645915	-428.058294768731116	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.740678066976344	0	-1	3	2	2	2	2	3	4	4	3	3	5	4	4	4	6	6	5	6	6	8	9	6	7	8	6	8	10	8	10	9	10	9	11	10	10	11	12	12	11	12	12	13	12	13	13	13	13	13	14	14	14	15	16	17	17	17	18	18	17	18	21	19	22	23	2	0	7	0	1	1	1	1	8	3	5	5	7	5	7	12	8	11	11	13	15	17	30	19	5	14	3	24	12	18	19	27	25	25	28	30	28	18	33	29	25	35	36	38	24	35	36	28	40	37	41	29	29	33	53	48	54	51	61	57	52	61	59	62	64	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	5	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	3	1	2	2	1	2	1	2	3	2	1	3	1	2	1	1	2	1	2	1	1	3
3000	-395.587345940111391	-401.526543159196592	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.743270065030432	1	0	3	2	3	3	2	3	5	4	5	4	5	5	5	5	6	7	5	7	6	8	8	6	6	7	7	9	12	9	11	8	10	9	11	10	11	9	12	13	12	13	11	12	12	13	12	13	12	13	13	14	14	15	16	16	16	18	17	18	16	18	21	21	23	24	2	0	1	0	1	1	1	2	8	3	5	5	7	5	7	12	8	11	5	13	7	17	18	19	5	14	15	24	34	23	24	21	34	25	28	30	28	18	33	49	25	35	36	38	24	35	36	37	34	37	34	34	44	49	53	48	40	51	61	57	52	59	59	62	62	64	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	3	1	1	1	1	1	2	2	2	2	1	1	1	3	1	1	1	1	2	1	3	2
3500	-427.248531311249280	-433.187728530334482	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.690218268404946	2	0	1	1	2	2	3	3	4	5	4	3	5	4	4	4	7	7	5	6	6	7	8	5	7	8	7	9	12	9	12	9	9	9	11	10	11	10	11	11	12	13	12	13	12	14	13	13	13	14	13	14	14	15	16	17	16	17	17	18	15	18	20	20	23	23	3	0	2	0	3	3	3	1	8	3	5	5	7	5	7	12	9	11	5	13	15	8	25	5	5	14	21	24	38	18	28	21	25	18	28	30	28	18	25	25	25	35	36	29	28	35	23	37	40	37	34	34	44	40	53	48	49	51	52	49	52	59	62	62	64	64	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	2	2	2	1	2	2	1	2	1	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	1	2	1	2	1	2	1	2	1	3	1	1	1	2	1	1
4000	-379.373591445635384	-385.312788664720586	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.835806815406283	1	-1	2	1	3	3	3	2	2	4	4	4	5	5	4	5	6	7	5	7	6	8	8	7	7	8	7	9	12	9	12	9	10	9	12	10	11	10	12	12	14	13	13	13	13	13	13	13	13	14	12	13	14	16	15	17	17	17	16	18	17	18	20	21	23	24	2	0	1	0	1	3	1	2	1	3	5	5	7	5	7	12	8	5	5	13	15	17	18	19	5	14	21	24	38	23	19	27	34	25	28	30	28	18	33	33	51	35	36	38	31	35	36	37	40	37	34	34	38	40	53	48	49	51	41	54	52	59	62	61	64	65	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	1	2	2	2	1	1	2	1	1	2	1	1
4500	-421.453925510991667	-427.393122730076868	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.601190724366244	0	-1	2	1	2	2	2	3	4	4	4	5	5	4	3	5	8	6	5	6	6	8	8	6	7	8	7	9	12	10	12	10	9	10	11	10	11	11	11	11	14	13	11	13	12	13	13	13	14	14	13	13	14	16	14	17	16	17	16	18	18	17	18	20	23	24	2	0	1	0	1	1	1	2	2	3	5	5	7	5	7	11	8	11	5	13	15	8	18	11	12	14	15	24	38	23	24	21	25	11	28	23	28	25	25	33	34	35	36	38	24	35	30	37	40	37	25	25	38	40	38	48	49	41	41	57	34	59	52	62	64	64	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	2	1	2	1	2	3	1	1	2	2	2	2	1	1	2	3	1	2	1	1	1	1	2	1	2	2	1	1	3	1	1	1	2	1	2	2	2	2	2	2	1	2	1	1	4	1	2	2	2	3
5000	-427.962328046939206	-433.901525266024407	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.710393515146962	1	-1	0	0	3	2	3	2	4	4	4	4	5	5	4	5	8	7	4	7	5	6	8	7	7	9	7	9	12	9	12	10	9	8	11	10	11	11	13	12	13	13	11	13	13	13	12	13	14	14	13	15	14	17	16	15	16	17	17	19	17	18	21	19	21	23	3	0	2	0	3	3	1	2	8	7	5	5	7	5	7	12	22	11	5	7	15	8	24	11	5	14	21	24	34	23	24	27	11	5	28	30	28	18	33	33	34	35	30	38	24	35	23	37	40	37	34	41	44	49	53	48	40	41	41	54	41	52	59	59	61	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	1	2	2	2	3	1	1	1	2	2	2	3	1	1	1	3	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	2	2	1	2	2
5500	-413.505914768735011	-419.445111987820212	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.732961858726087	0	-1	2	1	2	3	3	2	5	5	4	4	5	5	5	5	8	6	5	7	6	8	7	6	7	8	8	10	11	10	9	9	10	8	11	11	11	9	12	11	13	13	13	12	12	13	13	14	14	11	14	14	13	17	15	16	17	17	17	19	16	19	20	21	22	24	2	0	1	0	1	1	1	2	6	1	5	5	7	11	7	12	8	5	11	13	15	8	18	19	11	14	21	24	38	23	24	21	34	11	28	30	28	18	33	33	34	35	36	38	31	35	23	37	40	28	25	34	38	33	53	48	49	51	52	54	41	59	62	62	63	65	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	3	2	1	1	1	4	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	3	2	1	1	2	2	2	3	1	2	1	1	2	1	1	1	1	1	1	1
6000	-447.295104749376208	-453.234301968461409	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.777836989005370	2	-2	1	1	2	2	3	3	5	3	4	3	4	4	4	5	6	6	6	7	6	7	8	7	7	8	7	8	10	8	11	9	10	9	11	10	10	11	13	12	13	13	11	11	12	12	11	14	14	12	13	14	13	16	15	17	15	16	18	19	17	18	20	21	22	25	2	0	2	0	3	3	3	3	8	3	5	5	1	5	7	12	8	11	11	13	15	8	14	19	5	14	21	24	25	18	24	21	34	5	28	30	28	29	25	33	33	35	30	29	31	35	30	28	40	28	34	41	38	40	53	48	40	41	52	57	52	41	62	62	59	65	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	2	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	1	2	2	2	2	2	1	2	2	1
6500	-398.242427265552237	-404.181624484637439	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.642781824105540	2	0	1	1	2	2	2	3	4	4	4	4	4	5	4	5	7	7	5	7	6	8	8	6	6	9	7	9	12	10	11	10	10	10	11	11	10	10	12	11	13	13	13	12	12	13	13	13	14	14	13	14	14	16	14	17	16	17	18	18	17	19	21	20	22	24	3	0	2	0	3	3	3	2	8	3	5	5	7	12	7	12	8	11	12	13	15	17	18	12	5	14	21	24	18	23	24	27	25	25	28	30	28	18	25	33	34	35	36	38	19	28	36	37	40	37	34	41	44	40	38	48	49	51	34	54	52	61	62	62	62	64	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	2	1	2	2	1	1	1	2	2	1	1	1	1	1	4	2	1	2	2	2	2	1	1	2	2	2	1	2	2	1	1	1	2	1	1	1
7000	-408.653871178962333	-414.593068398047535	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.717058829293770	1	-1	2	0	2	2	3	3	5	4	4	4	5	4	4	3	7	7	5	6	6	7	8	6	6	9	7	9	11	10	9	8	8	9	11	10	10	10	12	12	12	13	11	12	12	13	13	13	13	13	13	14	14	14	16	15	16	14	18	18	16	18	21	21	22	24	2	0	1	0	1	1	1	2	8	1	5	5	7	5	7	5	8	5	5	13	15	8	18	5	19	14	21	24	11	23	24	27	25	11	28	23	28	18	33	33	34	35	36	38	31	35	36	37	33	37	41	41	44	39	44	48	40	51	41	57	52	61	52	62	59	62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	1	2	1	2	1	2	1	1	3	1	2	1	1	3	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	3	1	1	1	4	2	2	2
7500	-405.929641161674681	-411.868838380759883	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.704082400898141	1	0	2	1	2	3	3	3	5	4	5	4	6	5	4	4	7	6	5	7	7	6	8	6	8	9	7	9	11	8	12	9	10	9	11	10	10	10	11	12	11	13	12	13	12	13	13	14	13	14	12	13	14	16	12	16	17	17	17	18	16	18	20	20	22	24	2	0	1	0	1	1	1	2	2	3	5	5	7	12	7	5	9	5	5	13	15	8	18	19	11	14	15	24	18	18	24	21	25	18	28	30	28	18	33	41	34	35	36	38	19	35	43	37	33	37	41	41	44	40	38	48	40	51	52	49	52	61	61	62	64	65	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	1	3	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	2	2	1	3	2	2	2	2	1	2	1	2	1
8000	-432.913995056518900	-438.853192275604101	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.747485737601766	1	0	2	0	3	3	3	4	4	5	4	4	5	5	4	5	7	6	4	7	6	7	8	6	6	8	8	9	12	9	11	9	9	10	12	10	10	10	13	11	14	14	12	13	13	14	12	13	14	12	13	14	14	15	15	15	17	17	16	19	16	18	20	18	22	25	2	0	1	0	3	1	3	2	2	3	5	5	7	11	7	12	8	11	5	10	15	8	18	19	11	14	10	24	18	23	24	27	25	11	28	30	28	18	40	34	34	35	36	38	26	35	36	37	33	28	34	34	38	34	53	48	54	34	52	57	52	61	62	52	62	64	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	2	2	3	1	1	1	2	1	1	1	1	1	3	2	4
8500	-422.203578669448405	-428.142775888533606	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.603514974116621	1	0	2	1	2	2	2	3	4	5	5	4	5	5	4	5	8	6	6	6	6	6	8	7	7	9	7	9	11	10	12	10	10	9	11	10	11	10	12	11	13	14	12	13	12	13	12	13	14	13	11	15	14	16	16	16	15	17	17	18	16	18	19	20	22	24	2	0	1	0	1	1	1	2	2	3	5	5	9	12	7	12	22	5	5	13	15	9	11	11	11	19	21	19	11	18	24	15	25	25	28	23	28	18	33	34	34	35	36	29	24	35	30	37	33	37	25	34	44	25	53	48	40	54	41	54	41	41	59	62	64	59	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2	1	1	2	2	1	1	2	1	1	2	2	1	2	3	1	4	1	2	2	1	2	1	1	2	1	1	1	3
9000	-432.282326312627390	-438.221523531712592	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.653619141083014	0	-1	3	2	2	2	2	3	4	3	4	3	4	4	4	5	8	6	6	6	6	7	8	7	7	7	7	9	11	10	10	9	10	9	11	11	11	10	12	12	13	13	12	11	12	13	13	14	14	13	13	14	13	14	16	17	17	17	16	18	16	18	21	20	22	25	2	0	7	0	1	1	1	2	2	7	5	5	7	5	10	12	8	5	11	13	15	9	18	19	11	11	21	24	38	23	24	15	25	18	28	30	28	18	33	25	34	35	36	38	19	35	30	37	40	37	25	25	44	33	53	48	40	34	41	49	52	52	59	59	62	65	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2	3	1	1	2	1	1	3	1	2	2	2	1	1	3	2	2	2	1	1	2	3	1	2	1	2	2	3	2	1	1	3	1	2	1	1
