step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-511.633423681784734	-510.171341597265837	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.116594629866751	0	2	3	2	3	3	5	5	4	6	7	6	7	7	8	7	8	9	9	7	9	9	9	8	9	8	11	10	10	10	10	9	11	11	11	10	11	10	11	13	12	11	12	11	12	15	13	12	13	12	14	14	14	15	13	15	16	15	16	15	17	15	15	16	16	17	17	18	16	18	18	17	18	19	19	20	21	21	20	22	21	23	23	23	23	26	24	26	27	26	27	27	27	27	27	28	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	3	2	3	4	3	4	4	4	4	4	5	5	4	5	5	5	4	5	4	6	5	5	5	5	5	6	6	6	5	6	5	6	7	6	6	6	6	6	8	7	6	7	6	7	7	7	8	7	8	8	8	8	8	9	8	8	8	8	9	9	9	8	9	9	9	9	10	10	10	11	11	10	11	11	12	12	12	12	13	12	13	14	13	14	14	14	14	14	14	14
500	-929.667015212636329	-927.072934200699024	-2.594081011937319	0.000009996228758	0.000040562495491	4.057779836154006	0.203196360528092	-1	1	3	1	4	4	6	6	4	6	8	4	5	7	9	7	9	9	9	7	7	9	9	8	10	8	10	11	10	10	11	10	11	11	12	10	11	10	12	12	12	11	12	12	11	15	13	11	12	12	15	13	13	15	13	15	16	16	15	16	17	16	16	16	14	17	17	18	17	19	17	18	19	20	19	20	22	20	20	22	21	23	23	23	24	26	24	26	25	27	25	27	27	27	27	28	29	0	1	1	1	2	3	6	2	2	13	2	2	6	1	21	6	3	4	21	2	3	5	10	5	3	10	26	24	6	10	18	22	3	26	14	14	16	9	13	23	24	30	2	6	10	14	3	13	2	1	28	25	29	30	48	27	53	34	42	43	49	27	25	2	25	8	49	47	1	6	43	4	72	24	57	53	24	40	71	18	1	71	33	3	3	6	53	24	6	79	25	91	71	52	81	41	49	1	1	2	1	1	1	1	3	2	1	3	1	1	4	1	1	4	5	1	3	2	3	1	3	5	1	1	2	3	1	1	1	7	2	2	3	3	4	4	1	2	1	5	5	3	5	5	3	6	9	3	1	1	2	1	3	2	2	1	2	2	3	2	8	2	6	3	2	7	8	2	9	1	8	2	5	9	5	1	6	11	4	7	10	9	13	3	10	6	3	6	1	9	6	3	9	10
1000	-915.188651116460960	-912.860740124786275	-2.327910991674685	0.000009991830670	0.000032384919149	3.241139708976501	0.305244667502635	0	2	4	2	2	4	5	6	5	7	7	7	7	7	8	8	9	9	9	7	8	9	9	8	10	8	12	10	9	11	9	9	11	12	12	11	11	11	11	13	13	11	12	9	13	15	13	12	13	12	14	12	14	16	11	16	15	15	16	15	17	16	15	16	16	17	17	18	15	19	18	17	18	17	20	19	21	20	21	22	19	23	23	23	23	24	24	26	27	27	28	26	27	26	25	27	28	0	1	4	1	1	2	1	3	4	7	4	3	4	2	10	10	6	3	10	3	10	13	9	12	10	4	33	6	6	1	2	13	4	33	16	6	23	3	14	13	23	7	6	1	2	36	30	31	23	31	34	10	23	45	22	48	51	2	34	53	24	51	29	30	1	17	28	10	55	3	22	23	69	14	50	38	49	6	59	29	2	58	80	52	46	60	46	77	31	67	60	85	42	61	76	24	30	1	1	1	2	1	1	3	1	2	1	2	2	2	2	1	1	3	2	1	1	1	1	1	1	1	3	1	2	2	6	3	1	4	1	2	3	1	3	3	2	3	5	3	5	6	2	1	1	2	2	1	2	4	2	1	2	1	7	2	1	4	2	2	2	9	5	6	5	2	8	6	5	1	6	4	3	6	8	3	5	6	3	1	9	5	2	4	2	10	6	4	1	8	4	3	8	6
1500	-766.266276185374409	-763.334698563271331	-2.931577622103116	0.000009977721997	0.000052111533798	5.222788710204529	0.435912327795190	1	3	3	2	3	3	5	5	5	5	6	6	8	6	8	6	7	10	9	8	9	9	9	8	10	8	12	10	10	10	10	9	11	10	11	9	12	10	11	14	11	11	11	12	12	15	12	12	13	12	15	12	15	14	13	15	16	15	17	14	18	14	15	14	14	17	17	19	15	18	19	17	17	18	18	20	20	18	20	23	22	22	24	22	22	24	24	26	25	26	28	27	28	28	28	28	29	0	1	1	1	4	1	2	4	6	2	1	6	14	6	16	6	14	16	17	4	10	12	11	17	24	1	35	3	15	20	36	13	14	21	31	6	33	16	38	28	25	36	4	6	22	36	23	31	22	14	55	20	14	45	13	54	41	1	43	33	50	41	3	17	13	56	2	73	20	14	74	40	20	59	52	37	71	10	73	66	77	76	61	67	61	77	77	89	64	81	77	83	4	66	88	10	59	1	1	1	1	1	1	1	2	1	1	2	2	1	3	1	1	1	2	1	3	3	1	2	1	1	2	1	2	1	2	1	1	3	1	1	3	1	1	1	2	1	1	3	3	1	3	1	1	3	3	1	2	7	1	2	1	3	6	4	1	4	1	6	5	2	1	7	1	5	5	1	2	4	1	2	4	1	6	1	2	1	1	3	3	1	2	2	1	7	2	5	2	14	5	1	14	5
2000	-1015.876594157672912	-1012.107568147677284	-3.769026009995653	0.000010037414877	0.000088863670264	8.853242727376303	0.289111317375730	1	3	4	2	3	4	5	5	5	7	7	5	8	6	9	7	7	9	10	7	9	8	9	9	10	9	11	10	9	11	10	8	11	11	11	10	11	10	12	11	12	11	11	11	13	12	14	12	12	13	13	13	14	14	13	16	14	13	14	16	17	15	16	15	17	17	18	17	16	18	18	18	18	16	20	20	19	21	21	23	22	23	24	22	23	26	23	27	26	27	27	25	27	26	27	27	28	0	4	4	1	1	4	4	1	6	1	3	4	14	6	14	9	1	9	16	4	6	12	7	3	14	2	3	14	10	31	21	20	6	29	16	9	32	22	31	22	2	26	25	10	31	2	2	42	30	2	42	35	9	32	35	54	30	19	7	47	69	50	16	22	6	58	3	44	49	22	50	31	31	47	68	40	19	19	65	79	25	27	29	31	46	45	57	62	47	83	6	12	40	73	60	9	74	1	1	1	1	1	1	2	2	1	3	3	2	1	1	1	1	3	3	2	2	2	1	2	1	2	3	3	2	2	1	1	1	3	1	2	3	1	1	1	2	5	1	1	3	1	4	4	1	1	6	1	2	3	4	1	1	2	1	3	1	1	2	6	4	7	3	9	3	2	5	3	3	3	1	1	4	3	5	2	1	6	6	8	7	10	7	5	8	3	2	13	8	7	4	5	11	7
2500	-964.319904389065073	-961.662839616849624	-2.657064772215427	0.000009913787330	0.000042269605477	4.263719209547419	0.333978488275633	0	2	3	3	4	4	5	6	5	6	7	5	8	7	8	7	7	9	9	6	10	8	9	7	9	8	11	11	11	9	8	9	11	11	10	11	12	10	12	13	13	12	13	11	12	15	13	13	13	12	14	15	14	16	13	12	15	15	17	16	15	15	15	17	16	17	16	18	15	16	18	18	19	20	18	20	19	21	18	22	22	23	23	24	23	26	25	27	27	26	27	26	27	28	27	29	25	0	1	1	1	1	2	4	2	5	9	4	3	4	20	20	9	2	11	20	1	2	9	17	9	14	1	30	3	2	17	10	11	10	25	24	18	19	20	36	29	6	32	13	16	34	45	3	32	3	2	56	25	2	58	56	20	47	48	41	55	48	17	4	47	3	67	4	64	56	1	52	31	40	10	67	71	23	10	45	74	71	81	63	3	9	2	29	74	62	59	77	67	3	44	97	22	2	1	1	2	2	2	1	1	1	1	1	2	1	3	1	1	1	3	1	2	4	4	2	1	2	1	3	1	6	5	1	1	1	2	1	1	2	1	3	1	1	5	2	5	1	1	1	4	2	4	5	1	2	5	1	1	2	1	1	3	2	1	4	5	2	6	1	6	1	2	5	1	5	3	7	1	1	3	5	3	1	2	1	4	9	9	12	6	5	5	5	6	4	12	8	1	11	10
3000	-881.193463527572703	-878.308711993360248	-2.884751534212418	0.000010061459904	0.000050829143688	5.051865650933840	0.348736600509796	0	3	3	2	2	4	6	5	5	6	7	5	7	8	7	6	9	8	8	7	9	8	9	8	9	8	11	9	10	10	9	10	11	11	10	10	12	11	12	14	12	11	13	11	13	16	10	12	13	12	15	12	15	16	12	16	17	16	15	16	17	15	16	16	16	17	17	17	15	18	18	18	18	16	19	18	22	21	21	23	19	23	23	23	24	25	24	27	25	26	28	26	27	26	27	29	29	0	1	1	1	1	1	3	3	2	6	4	3	6	4	12	6	16	2	16	12	19	20	19	5	19	9	26	9	15	24	15	13	9	36	23	2	18	1	33	5	1	15	18	6	44	51	10	31	52	30	25	35	1	34	22	40	59	34	44	52	18	27	38	47	34	21	9	37	8	9	57	9	64	3	43	45	81	10	65	46	44	47	81	2	69	10	78	64	35	46	23	48	44	84	53	84	56	1	2	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	2	1	2	2	1	2	1	1	1	3	1	1	5	2	3	1	7	5	3	2	4	1	1	1	2	1	1	4	1	7	2	2	1	1	2	1	3	4	2	2	3	3	4	3	3	5	3	1	8	1	4	2	2	3	6	2	3	6	5	2	11	5	9	3	6	5	5	14	9	11	1	4	5	12
3500	-845.376689323500045	-842.402703458254678	-2.973985865245340	0.000011023686530	0.000059310533805	5.380281237347607	0.294220971228214	1	2	3	3	4	3	6	5	5	7	6	6	7	6	8	7	6	9	9	8	9	10	9	6	10	9	12	11	11	10	11	8	10	12	12	8	11	11	12	13	12	10	13	11	13	15	14	12	12	10	14	14	15	13	13	15	15	14	14	13	18	16	15	16	17	17	15	18	17	18	18	15	18	18	20	20	22	21	19	23	19	23	24	23	22	27	24	25	28	26	28	26	27	27	27	29	28	0	1	1	1	2	1	4	3	4	9	1	3	4	5	6	4	2	36	12	4	4	9	11	5	20	9	12	1	11	2	14	5	9	1	50	4	11	16	30	25	1	6	14	2	27	32	40	16	12	3	20	32	20	42	27	58	47	10	54	50	66	67	1	4	9	67	22	46	53	42	37	42	47	64	45	61	46	37	7	52	9	19	32	56	68	77	52	6	1	73	34	46	40	56	87	16	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	1	1	1	2	3	2	2	1	1	2	3	5	3	3	3	3	2	6	1	2	2	2	1	2	5	4	4	3	1	4	1	2	3	3	3	4	3	1	1	1	1	3	1	3	1	1	6	7	5	2	3	2	1	5	4	2	2	1	4	2	5	4	5	7	7	8	8	6	3	2	6	11	13	3	8	6	7	6	2	10	12
4000	-1072.231646826141287	-1069.784350128486267	-2.447296697655002	0.000012715957321	0.000045739628002	3.597025913675015	0.363926760688201	0	2	2	3	4	3	5	5	4	6	7	6	7	7	9	8	8	7	9	8	8	10	9	9	10	7	10	10	10	11	10	7	12	11	11	10	11	10	12	12	11	10	11	11	11	15	11	13	12	13	14	13	15	15	12	16	15	13	13	15	17	15	15	15	15	17	18	18	16	16	19	15	19	18	19	20	21	21	20	22	22	24	24	23	23	24	23	26	27	26	28	27	26	26	27	29	28	0	1	1	3	3	2	3	6	3	5	6	9	6	10	26	10	2	4	11	9	4	15	10	14	21	3	9	14	16	32	7	9	3	28	18	3	11	6	42	47	24	8	6	6	29	34	16	25	25	21	55	10	16	49	18	52	24	22	34	47	69	22	24	32	22	28	9	43	27	52	53	24	37	6	72	46	30	6	58	69	4	81	15	6	79	30	19	78	4	78	57	39	73	53	83	9	10	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	2	2	1	1	1	1	2	3	2	1	2	2	2	5	1	3	4	2	4	1	1	1	2	3	5	1	2	2	2	1	2	1	3	3	2	2	2	3	3	1	2	1	2	2	2	4	4	7	4	2	1	2	2	4	8	1	4	5	10	3	2	9	1	7	11	2	5	7	1	10	3	7	6	3	6	1	10	14
4500	-778.407719014611189	-775.654034004661412	-2.753685009949730	0.000014193962701	0.000065145351787	4.589652175429643	0.331102565552969	1	3	3	3	3	4	6	6	5	6	7	7	7	6	9	8	7	9	8	8	10	10	8	9	9	8	11	10	10	11	11	10	11	9	11	11	12	10	12	13	12	10	12	11	12	14	13	10	14	13	14	12	14	15	13	16	16	14	16	16	16	16	15	14	16	16	16	18	16	18	18	17	17	20	20	19	21	21	20	22	22	22	23	22	22	25	23	26	27	26	27	26	27	27	27	28	28	0	1	1	1	1	1	6	6	4	6	4	6	9	6	14	8	6	11	11	2	9	25	10	26	6	3	38	16	34	32	7	23	48	17	14	4	8	16	16	38	3	15	2	24	16	39	4	18	10	31	29	23	16	49	44	32	12	12	36	18	50	64	3	4	55	22	23	56	27	2	61	4	58	3	61	50	30	2	62	74	3	75	76	49	6	64	76	81	74	77	9	80	4	69	85	10	14	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	1	3	2	1	1	1	1	2	1	1	1	1	3	1	1	1	2	5	2	1	1	1	4	1	3	1	3	1	5	1	5	1	2	2	3	1	1	2	4	3	2	4	2	1	5	5	1	4	6	1	2	8	1	3	2	9	2	4	3	9	1	1	10	1	2	2	11	6	2	3	4	1	12	3	12	5	2	11	12
