step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-2868.806757121617466	-2867.344675037098568	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.533170724832521	4	9	9	12	13	16	15	19	19	26	29	31	31	40	46	47	49	51	52	50	53	55	56	56	57	60	60	62	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	5	6	6	8	8	11	13	14	14	18	21	22	23	24	24	23	25	26	26	26	27	28	28	29
500	-2032.103410805777457	-2028.642543067605629	-3.460867738171908	0.000010027526767	0.000074039106949	7.383586069721369	0.212221426598537	3	8	10	11	13	17	15	20	19	25	30	31	30	40	44	47	47	52	53	50	53	54	54	57	56	60	60	62	0	1	2	2	2	4	2	7	7	8	10	13	10	10	6	5	7	6	7	6	7	2	6	2	6	2	7	6	1	2	1	1	3	5	3	2	2	2	3	1	2	7	10	15	15	19	17	15	18	22	22	24	20	28	24	24
1000	-1942.491650993586518	-1939.770637771345719	-2.721013222240819	0.000010082568635	0.000045150355423	4.478060805638293	0.103685081656395	3	9	10	13	14	17	15	17	19	24	29	31	32	40	46	48	49	51	52	49	52	54	56	56	57	60	59	62	0	1	2	2	2	4	1	2	7	8	10	11	10	13	2	7	7	2	7	2	7	7	7	5	2	8	7	2	1	4	1	3	4	2	4	3	2	4	2	1	5	3	15	18	19	20	18	13	20	18	26	16	17	22	19	23
1500	-1807.477614304643566	-1804.385774927827242	-3.091839376816292	0.000010101795905	0.000058910799753	5.831715499381307	0.067265908923121	3	7	9	12	13	16	15	18	19	26	29	32	31	40	46	47	50	51	52	49	53	56	57	55	57	60	59	62	0	1	2	3	2	4	2	2	8	8	10	11	10	13	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	1	2	4	2	3	5	1	5	2	2	3	5	13	16	14	19	15	13	17	21	21	16	19	23	19	22
2000	-2147.905113097796857	-2145.051359511834562	-2.853753585962240	0.000010222695500	0.000050504341342	4.940413351925557	0.089326693851218	5	8	10	11	11	16	15	19	17	25	29	31	32	37	47	47	49	50	52	50	52	56	56	56	58	60	61	63	0	1	2	2	2	4	2	7	7	8	10	11	10	10	14	6	8	14	14	8	6	6	6	6	6	13	14	6	1	1	2	2	1	3	2	3	1	2	2	1	4	5	8	11	20	12	11	20	17	21	23	18	22	17	21	19
2500	-1373.162714642611945	-1370.805430971918213	-2.357283670693747	0.000010533777158	0.000035047866717	3.327188926854943	0.091552044523437	4	8	9	13	12	16	14	19	19	27	29	32	32	41	46	44	50	50	52	51	53	56	56	56	58	60	61	63	0	1	2	2	2	4	2	2	7	8	10	11	10	13	8	8	8	16	8	8	8	8	8	8	8	8	16	16	1	1	1	3	2	3	4	7	2	4	1	2	2	4	12	11	15	3	14	23	16	17	18	24	17	20	11	14
3000	-1576.814365020877858	-1574.332077261781023	-2.482287759096748	0.000011289410291	0.000041821443461	3.704484324789360	0.159889396978357	3	10	10	12	14	15	15	19	20	25	28	30	29	41	45	47	50	50	52	50	53	55	57	56	57	60	61	62	0	1	1	2	2	4	3	7	7	7	10	10	10	13	2	2	10	16	2	3	9	3	9	3	9	10	23	16	1	4	4	1	2	1	2	2	5	4	2	2	2	6	11	18	16	2	20	21	18	19	22	18	17	19	2	8
3500	-1812.420781640227688	-1810.033670390897214	-2.387111249330567	0.000012602399127	0.000043044361503	3.415568819055971	0.125300720199572	4	10	9	13	13	16	15	18	19	26	29	32	31	40	46	48	49	51	52	48	53	53	56	56	57	58	59	62	0	3	1	2	2	2	2	7	7	7	10	11	11	10	6	8	10	16	6	8	2	8	2	2	2	10	19	22	1	1	2	1	1	3	1	2	1	5	2	2	2	6	14	21	16	3	21	21	21	19	23	18	18	21	3	5
4000	-1391.046511602039118	-1389.177023241598818	-1.869488360440398	0.000014729335148	0.000029610084847	2.010279795274887	0.109332385369778	5	8	10	12	14	16	14	19	19	23	29	31	31	40	46	47	49	51	52	51	54	56	55	55	57	61	59	62	0	1	2	2	2	4	4	7	2	7	10	11	11	10	10	10	10	16	10	10	10	10	10	10	10	10	19	16	1	2	1	3	4	2	1	2	5	6	4	2	1	7	11	15	15	2	16	18	17	18	18	16	19	18	4	7
4500	-1435.744675915454309	-1434.053302159401028	-1.691373756053316	0.000020516082874	0.000032299346806	1.574342773168295	0.109149376001143	4	9	10	13	14	16	15	19	17	25	29	31	29	40	45	47	49	51	51	51	54	55	57	57	57	59	60	62	0	1	2	2	2	4	2	7	2	8	10	11	10	13	10	8	8	17	8	8	6	2	10	2	2	2	24	22	1	3	1	2	3	2	2	3	3	4	2	1	3	5	9	14	15	1	14	19	18	19	28	18	20	21	2	3
5000	-1427.580103854420031	-1426.012772287240978	-1.567331567179084	0.000035697412017	0.000045417188651	1.272282389230642	0.127498025050271	5	8	9	13	14	16	13	18	17	25	29	31	31	41	45	48	49	50	53	51	53	55	57	57	57	61	60	62	0	1	2	2	7	4	3	7	7	8	10	11	10	10	8	2	7	17	8	8	6	2	9	2	8	7	24	19	1	1	1	4	1	2	2	3	1	3	3	1	3	8	12	18	15	1	19	22	18	23	31	22	18	29	1	6
5500	-890.114758004545479	-888.751001000941187	-1.363757003604307	0.000105295591470	0.000054525378749	0.517831544395334	0.130012444368039	5	7	9	12	14	15	16	19	18	23	29	30	28	37	47	48	50	50	53	51	54	55	57	57	57	60	60	62	0	1	2	2	2	1	4	5	7	7	8	13	8	8	10	10	10	15	10	10	10	5	6	10	14	10	25	20	1	1	1	2	3	4	2	3	1	3	5	1	3	7	14	15	18	1	17	17	17	20	29	18	16	18	2	8
