step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
1	-254.010728057044076	-252.548645972525208	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.070787438142344	0	2	2	2	4	3	4	3	4	5	6	9	7	9	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	5	4	5	5
500	-121.720924753561121	-120.109761041924401	-1.611163711636722	0.000010010493141	0.000013812906084	1.379842719999052	0.088832554140749	-2	2	0	3	4	4	5	2	4	6	7	8	7	10	9	0	3	1	3	8	2	4	3	8	6	6	5	9	12	5	1	1	1	1	1	1	2	2	1	1	2	2	3	2	3
1000	-113.608259582518500	-111.653100763754637	-1.955158818763857	0.000010023496358	0.000022314781169	2.226247246604359	0.171269828479769	0	2	1	3	5	2	5	2	5	6	5	7	6	9	10	0	3	1	3	8	3	4	3	8	6	6	8	9	5	8	1	1	1	2	2	1	2	1	2	2	2	3	1	2	5
1500	-87.633353554943938	-86.114537604992407	-1.518815949951535	0.000009929858305	0.000011423627475	1.150432073130965	0.606385829462250	-2	2	1	3	5	3	5	3	4	5	5	9	7	9	9	0	3	1	3	8	3	4	2	8	6	6	5	9	5	8	1	1	2	1	1	1	1	1	1	1	1	2	2	2	3
2000	-87.745496143821910	-86.054727442134251	-1.690768701687664	0.000010034789651	0.000015783503193	1.572878330371722	0.701500434498040	0	2	1	3	4	3	4	3	4	5	7	9	7	10	10	0	3	1	3	8	3	4	3	8	6	6	5	9	5	12	1	1	1	1	1	1	1	1	1	2	2	3	1	3	1
2500	-83.419132203443894	-81.727052257677002	-1.692079945766892	0.000009900301079	0.000015603389579	1.576052026593429	0.899766641052390	0	2	1	3	4	3	5	2	4	6	7	8	7	10	10	0	3	1	3	8	2	4	3	8	6	6	5	9	12	12	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
3000	-89.069722628786508	-86.642295887265348	-2.427426741521157	0.000009893457576	0.000034989706494	3.536650986161121	0.834905161131023	-1	3	1	2	4	3	4	3	5	6	5	8	7	9	9	0	3	1	3	8	3	4	3	8	11	6	5	9	12	9	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
3500	-91.104490833610186	-89.400699872902493	-1.703790960707687	0.000010086341062	0.000016182558630	1.604403274658889	0.869488982646728	-1	2	1	2	5	2	3	4	5	4	7	7	7	9	7	0	3	1	3	8	3	4	3	8	6	6	5	9	12	5	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
4000	-91.942793621606910	-90.440432476575026	-1.502361145031881	0.000009891359524	0.000010959445480	1.107981714005452	0.712564356967324	0	3	1	3	5	3	5	3	4	5	6	8	7	7	6	0	3	1	3	9	3	4	3	8	6	6	8	9	5	5	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
4500	-90.401041745024912	-87.661134278361487	-2.739907466663427	0.000009451029471	0.000042930555862	4.542421118756254	0.962814404002994	0	3	1	2	5	3	4	3	5	5	6	8	6	8	10	0	3	1	3	8	3	4	3	8	6	6	5	9	5	12	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1
