step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8
1	-274.899674898186902	-273.437592813668005	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.333415154046880	7	10	11	13	14	15	14	18	0	1	1	1	1	1	1	1	1	2	2	3	4	4	4	6
500	-58.110821809539253	-56.137968888267288	-1.972852921271967	0.000009998748535	0.000022712493541	2.271533628673306	0.437242537795596	7	10	12	13	13	15	13	18	0	1	1	3	3	5	0	3	1	1	3	1	1	1	1	3
1000	-59.097609339741830	-56.358529961964969	-2.739079377776858	0.000010078009602	0.000045750035741	4.539590409812665	0.779603521721136	7	11	12	14	14	16	15	17	0	1	1	3	3	5	0	3	1	2	2	1	1	1	1	2
1500	-61.768244747233709	-57.720822217021322	-4.047422530212383	0.000010063960827	0.000103956874727	10.329618379610586	0.648821732199612	7	10	12	14	14	15	14	18	0	1	1	3	3	5	0	3	1	2	2	1	1	1	1	2
2000	-57.114846309161166	-55.315221659344758	-1.799624649816407	0.000010156509201	0.000018664227484	1.837661652729215	0.857920219400438	8	10	12	14	14	15	15	16	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	2
2500	-64.248386108716062	-62.510163007930252	-1.738223100785813	0.000010123322272	0.000017087023290	1.687886923979166	0.539706766419103	8	10	10	13	13	14	14	17	0	1	1	3	3	5	0	3	1	1	1	2	2	1	1	2
3000	-62.086367731942801	-59.973648039930744	-2.112719692012056	0.000009836680320	0.000025957866340	2.638884816479885	0.688671782774921	8	11	12	14	14	15	15	18	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
3500	-58.148562408436632	-55.082742081807652	-3.065820326628983	0.000009973329694	0.000057150017963	5.730284640631544	0.657835026262428	8	10	11	13	14	15	15	17	0	1	1	3	3	5	0	3	1	1	2	1	2	1	1	3
4000	-64.299079750519141	-61.600529956713778	-2.698549793805360	0.000009671149330	0.000042573923619	4.402157609947843	0.891824291223805	8	10	11	13	15	16	14	17	0	1	1	3	3	5	0	4	1	1	1	1	1	1	1	2
4500	-62.220264600308184	-60.557682759293755	-1.662581841014431	0.000010090253302	0.000015182376691	1.504657637084205	0.809053788169787	8	10	10	14	14	15	15	18	0	1	1	3	3	5	0	3	1	1	1	2	2	1	1	3
5000	-61.706502496678226	-59.727467797496928	-1.979034699181295	0.000008601093315	0.000019674262835	2.287414182698776	0.862707293770960	8	10	11	14	14	15	14	18	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	4
5500	-59.748931897431191	-56.995699656710187	-2.753232240721001	0.000009900513704	0.000045424507247	4.588095992227435	0.693779789435193	8	10	11	14	14	16	14	18	0	1	1	3	3	5	0	3	1	1	1	1	2	1	1	3
6000	-56.476692328365310	-54.422294493966106	-2.054397834399205	0.000014199126484	0.000035264869979	2.483594326547493	0.980195010277256	8	10	12	13	14	15	14	18	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
6500	-52.230926620827489	-50.503369879914281	-1.727556740913208	0.000027402358288	0.000045542673714	1.661998330036685	0.547424172296989	8	10	10	13	13	15	15	17	0	1	1	3	3	5	0	3	1	1	1	2	1	1	1	3
7000	-46.707600516293660	-45.261948718854242	-1.445651797439418	0.000057362217987	0.000054692533496	0.953459182985412	0.632622001492679	8	11	12	13	14	15	14	17	0	1	1	3	3	3	0	3	1	2	2	1	1	1	1	2
7500	-48.811307588804127	-47.427133712066208	-1.384173876737921	0.000087697128437	0.000038141744997	0.434925814294773	0.563056854527847	7	10	10	13	13	15	15	17	0	1	1	3	3	5	0	3	1	2	1	2	2	2	1	3
8000	-45.327516543202258	-43.566788495080843	-1.760728048121415	0.000258451439909	0.000048149908549	0.186301568161788	0.552628299267071	8	10	11	13	14	14	13	18	0	1	1	3	3	1	0	3	1	1	1	1	2	3	1	3
8500	-43.065378455423655	-41.641526976057833	-1.423851479365819	0.000092024269373	0.000033642093406	0.365578489619477	0.879555414754817	8	9	11	13	14	16	14	17	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	2
9000	-41.728273072795872	-40.366803024702122	-1.361470048093747	0.000145611744839	0.000079344064647	0.544901544410948	0.753738423929751	7	10	11	13	14	15	14	16	0	1	1	3	3	5	0	5	1	1	2	1	1	1	1	1
9500	-58.835199578171505	-57.466270224897698	-1.368929353273806	0.000120976413540	0.000058793035089	0.485987585257522	0.635770610596615	8	11	10	11	14	15	14	16	0	1	1	3	1	2	0	5	1	1	1	1	4	2	1	1
10000	-44.654802559401759	-43.185811413708187	-1.468991145693574	0.000300932733379	0.000095871774049	0.318582073051692	0.790643184145939	8	10	11	13	15	15	14	17	0	1	1	1	3	4	0	4	1	1	1	2	2	1	1	2
10500	-43.884496721133011	-42.501270795291859	-1.383225925841152	0.000097035810803	0.000042437879022	0.437342447809956	0.838014502820819	8	10	10	14	14	16	15	19	0	1	1	3	3	5	0	5	1	1	1	2	2	1	1	2
11000	-46.558777900374203	-45.068762369091736	-1.490015531282470	0.000153427191685	0.000046309799366	0.301835671093528	0.407357013043498	8	10	12	13	14	16	14	18	0	1	1	3	1	3	0	3	1	1	2	1	2	2	1	2
11500	-51.294921996388865	-49.853357543011398	-1.441564453377470	0.000281525543552	0.000097070716186	0.344802517601323	0.641138488600351	8	10	11	14	14	15	13	18	0	1	1	3	3	3	0	5	1	1	2	1	2	2	1	2
12000	-49.209872262254841	-47.845747801314381	-1.364124460940461	0.000164156721229	0.000084511572380	0.514822492479474	0.862854558757500	7	9	12	14	14	14	13	18	0	1	1	3	3	3	0	3	1	1	1	1	2	1	1	3
12500	-40.968505102395696	-39.576203145025161	-1.392301957370537	0.000123614994085	0.000051473875739	0.416404790698209	0.496329378657605	8	10	12	13	14	16	14	18	0	1	1	3	3	5	0	5	1	1	2	1	1	1	1	2
13000	-46.038655283245653	-44.675642720057851	-1.363012563187800	0.000279858371432	0.000146824313791	0.524637919674002	0.611376957410979	8	10	10	12	14	15	14	18	0	1	1	3	3	3	0	3	1	1	1	1	2	2	1	4
13500	-46.842847973393809	-45.465922319752046	-1.376925653641761	0.000177851364324	0.000080978888980	0.455317783409363	0.812343149795866	7	9	9	13	14	16	13	15	0	1	1	3	3	5	0	4	1	1	1	2	2	1	1	1
14000	-47.263537323134464	-45.876929428384337	-1.386607894750129	0.000109371984078	0.000082770113182	0.756776187980422	0.621354782198642	7	10	12	14	13	14	15	18	0	1	1	3	3	5	0	5	1	2	2	1	1	1	1	2
14500	-48.837216447019756	-47.448022004735229	-1.389194442284524	0.000143995078861	0.000110497291795	0.767368528625960	0.925576919306393	7	10	11	12	14	14	13	18	0	1	2	3	4	3	0	6	1	1	1	1	1	1	1	2
15000	-51.856438689872526	-50.386474877386391	-1.469963812486134	0.000155484181381	0.000049405441310	0.317752203926729	0.581204712105023	8	10	11	13	14	14	14	18	0	1	1	1	3	4	0	6	1	1	1	3	1	1	1	4
15500	-40.297662431887929	-38.912006419768936	-1.385656012118996	0.000196495074290	0.000084742299467	0.431269332185999	0.833527100168143	8	11	11	13	13	15	14	18	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
16000	-44.877912783419831	-43.064472479766494	-1.813440303653340	0.000138354916013	0.000023999582901	0.173463897002805	0.811799019152989	7	9	11	14	13	15	14	18	0	1	1	3	3	5	0	4	1	1	2	1	1	1	1	3
16500	-48.382975454434259	-46.995804544485836	-1.387170909948422	0.000188539844793	0.000080633501025	0.427673530300274	0.532231797936843	7	9	11	13	13	15	13	16	0	1	1	3	1	3	0	3	1	1	1	1	3	2	1	2
17000	-41.567742959668614	-40.181413774448714	-1.386329185219898	0.000245407467536	0.000105440442290	0.429654579579027	0.713713509545960	7	9	11	13	13	15	14	19	0	1	1	3	3	5	0	4	1	1	1	1	1	1	1	3
17500	-52.120020055184192	-50.655016318924112	-1.465003736260078	0.000068287962843	0.000068840449043	1.008090535681362	0.651118634074967	7	9	9	12	14	15	12	19	0	1	1	3	3	5	0	4	1	1	1	2	3	1	1	3
18000	-44.743640969431240	-43.327350612775689	-1.416290356655552	0.000116654934941	0.000043834387369	0.375761105962361	0.898458662872874	8	11	11	14	13	15	12	18	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
18500	-42.976170749177086	-41.489231854252594	-1.486938894924492	0.000161212613667	0.000049031509758	0.304141894625901	0.856745357348610	7	9	12	14	14	16	14	16	0	1	1	3	3	5	0	3	1	1	2	1	1	1	1	2
19000	-44.409038971107002	-42.974845931934304	-1.434193039172694	0.000090691668914	0.000083410082877	0.919710529926323	0.521954810764268	8	10	12	13	14	15	14	18	0	1	1	3	3	3	0	3	1	1	2	1	1	1	1	2
19500	-44.556022193881738	-42.787907822987783	-1.768114370893952	0.000241836438970	0.000044593862464	0.184396787570961	0.612918796704492	8	10	11	13	14	15	15	19	0	1	1	3	3	5	0	5	1	1	2	1	1	1	1	3
20000	-53.686037946377276	-52.324227752426012	-1.361810193951263	0.000190324492165	0.000114607921251	0.602171165400987	0.490705775861016	7	10	8	12	14	14	14	19	0	1	1	2	4	3	0	4	1	1	1	1	1	2	1	4
20500	-54.655260711225615	-53.277782368689358	-1.377478342536256	0.000148324202532	0.000106163291716	0.715751643382966	0.708211595894160	7	10	12	13	12	16	14	18	0	1	1	5	1	5	0	4	1	2	3	1	3	2	1	2
21000	-44.001367480476986	-42.636712558727460	-1.364654921749527	0.000114579605670	0.000072825725263	0.635590643181176	0.936954291427899	8	11	10	13	14	15	13	18	0	1	1	3	3	5	0	5	1	1	1	1	1	1	1	1
21500	-44.267425831975252	-42.532339647533568	-1.735086184441682	0.000158656200338	0.000030654669330	0.193214442702810	0.527666681943554	7	10	11	13	14	15	14	18	0	1	1	3	3	3	0	6	1	1	2	1	2	3	1	2
22000	-49.696558138865946	-47.961416361039994	-1.735141777825955	0.000143155565171	0.000027657501230	0.193198924520021	0.288572574744608	7	10	11	12	13	14	14	19	0	1	1	3	1	3	0	3	1	2	2	1	3	1	1	4
22500	-47.021876984566816	-45.562995999245068	-1.458880985321745	0.000231792967735	0.000075929702864	0.327575523993719	0.871662391899662	8	10	11	12	14	15	15	17	0	1	1	1	3	4	0	5	1	1	2	1	1	1	1	1
23000	-39.235406741118105	-37.799052692211411	-1.436354048906695	0.000132771419948	0.000046540568470	0.350531526200797	0.982006377518791	8	10	11	13	13	15	14	17	0	1	1	3	3	5	0	3	1	1	1	1	1	1	1	2
23500	-43.337291312132209	-41.837685705801157	-1.499605606331055	0.000170869638450	0.000188092730676	1.100796679751439	0.855233100420283	6	10	12	13	14	16	15	18	0	1	2	3	3	5	0	4	1	2	1	1	1	1	1	2
24000	-47.852461501847095	-46.272222112914669	-1.580239388932426	0.000202191065689	0.000050333687198	0.248941203343833	0.739498381102032	7	10	10	12	12	15	14	18	0	1	1	3	3	5	0	3	1	1	1	2	1	2	1	3
24500	-51.587447371097220	-50.226150525949095	-1.361296845148123	0.000279715983237	0.000165568466915	0.591916361012055	0.678398359516497	8	11	12	12	15	16	13	19	0	1	1	1	4	5	0	5	1	1	2	1	1	1	1	1
