step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-4272.913331421736075	-4271.451249337217632	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.947405218337735	-1	3	1	3	2	5	3	3	5	7	9	7	8	9	9	7	8	11	10	11	12	9	12	12	11	11	12	12	12	11	12	14	13	13	15	13	13	13	15	14	14	14	14	13	13	15	15	16	16	17	18	17	18	17	17	18	18	17	18	19	20	20	20	19	19	21	22	20	20	20	21	23	21	21	21	22	23	23	22	22	24	25	24	23	23	27	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	2	2	3	4	5	4	5	5	5	4	5	6	6	6	7	5	7	7	6	6	7	7	7	6	7	8	7	7	8	7	7	7	8	8	8	8	8	7	7	8	8	9	9	9	10	9	10	9	9	10	10	9	10	10	11	11	11	10	10	11	12	11	11	11	11	12	11	11	11	12	12	12	12	12	13	13	13	12	12	14	14
500	-946.021377304510565	-944.024987527491248	-1.996389777019266	0.000010009390238	0.000023343547070	2.332164748880523	0.391455270217624	0	3	1	3	3	5	3	1	6	7	9	7	9	10	10	6	5	12	11	12	11	9	13	12	8	10	11	13	12	12	11	14	14	13	15	13	14	13	15	15	14	15	11	10	13	16	15	16	13	17	18	17	18	16	14	18	19	18	18	19	21	20	20	19	20	21	21	19	19	21	21	24	21	21	21	22	24	23	22	22	24	26	25	24	23	27	27	0	8	1	8	8	8	8	1	7	4	6	6	10	10	22	6	5	10	44	25	12	12	21	12	10	22	11	15	25	31	22	12	16	21	44	24	28	20	0	26	12	31	17	16	26	33	37	42	17	27	44	43	49	47	43	38	21	49	49	55	44	54	19	43	49	55	68	33	44	65	15	61	54	50	64	64	17	43	69	37	46	67	35	49	41	79	0	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	1	1	2	1	3	3	1	1	3	1	1	1	2	3	1	1	2	5	2	3	1	1	1	1	3	5	2	4	2	2	1	1	1	5	3	4	5	3	1	2	3	7	3	4	3	9	1	6	5	6	5	1	3	8	1	5	2	3	3	1	1	13	8	2	5	3	2	5	6	4	2	1
1000	-646.009312339461303	-644.223477482904968	-1.785834856556361	0.000009990823415	0.000018022371165	1.803892473775069	0.548756535865108	-1	2	0	3	2	5	4	3	5	7	9	8	8	9	10	8	7	10	10	12	11	9	12	11	9	11	12	13	13	10	11	15	14	13	14	11	13	13	15	15	14	14	11	14	14	15	15	15	13	17	15	17	18	18	15	18	16	18	18	18	21	20	21	20	19	22	23	20	19	21	22	23	22	22	20	21	24	23	21	22	23	25	25	24	22	27	25	0	1	1	1	1	1	4	1	7	4	6	6	8	10	16	5	4	14	12	25	12	12	21	17	13	22	11	36	24	9	22	33	23	19	13	5	21	30	0	26	31	31	11	43	26	35	30	31	43	47	16	49	57	10	43	32	49	57	57	51	49	54	75	53	52	68	66	60	57	21	68	61	14	65	65	69	43	51	69	68	46	67	68	75	60	69	0	1	2	1	2	1	3	1	2	1	1	2	2	3	1	1	3	2	1	2	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	3	4	1	1	1	2	2	2	1	1	2	1	3	2	1	1	2	4	1	6	1	2	3	1	1	1	7	1	1	1	2	1	1	1	1	4	2	1	7	1	1	2	8	4	1	1	3	1	2	3	2	4	1
1500	-553.939464376492879	-551.946810146024859	-1.992654230467981	0.000010053692760	0.000023349817811	2.322511575454866	0.644452406991791	0	3	2	3	1	5	3	4	5	6	8	7	8	10	8	8	8	11	10	12	11	9	12	12	10	11	13	12	13	12	12	13	14	13	15	13	11	13	16	15	15	14	12	13	13	16	15	17	13	17	17	18	17	15	18	18	16	18	18	19	21	19	21	20	20	21	22	20	20	20	21	23	21	22	21	22	24	23	23	21	24	25	23	24	22	26	27	0	1	1	1	1	2	1	7	7	4	6	6	6	10	2	10	12	14	4	25	12	12	21	25	10	22	20	14	25	19	22	23	21	21	11	37	14	15	0	45	42	31	16	43	26	20	36	42	43	54	44	57	57	25	44	36	49	57	57	51	49	54	70	52	52	60	44	60	57	58	60	61	55	69	52	59	51	66	69	51	78	83	66	75	65	61	0	1	1	1	2	1	1	2	1	1	2	1	2	2	2	3	1	1	1	2	1	2	1	1	1	2	1	1	1	3	1	1	1	2	1	3	1	1	3	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	2	3	2	1	1	1	7	2	1	1	1	1	3	1	2	1	1	1	1	1	2	2	5	1	2	1	1	1	1	1	1	2	1
2000	-676.821779086654260	-674.560136316415651	-2.261642770238618	0.000010034917242	0.000030611533822	3.050501870953528	0.718250093126955	0	4	2	4	2	5	4	3	6	5	7	8	7	9	9	6	9	11	10	11	11	9	11	11	9	11	11	13	13	12	11	15	13	13	15	13	12	14	16	14	13	14	12	14	13	15	15	15	15	17	18	17	19	17	16	16	19	18	18	19	21	19	20	19	20	21	22	20	21	21	20	24	21	22	21	22	22	22	23	22	24	26	23	22	21	25	27	0	1	1	8	1	2	8	5	7	8	6	16	7	13	5	8	13	13	12	25	19	16	19	17	13	22	15	21	37	14	22	28	21	21	37	19	26	23	0	45	31	31	11	43	37	33	41	41	43	28	55	49	49	18	44	48	49	49	43	51	57	54	52	52	59	60	35	60	53	57	59	61	54	64	59	63	60	71	69	57	73	57	64	75	64	61	0	1	2	1	1	1	1	1	1	1	2	1	1	2	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	4	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1
2500	-559.248326007551555	-556.784102698675724	-2.464223308875825	0.000010199994227	0.000037218000569	3.648825650324147	0.581325674412423	-1	2	2	3	1	5	4	4	5	7	10	8	8	9	9	7	5	11	9	11	12	10	11	12	10	12	10	12	12	9	12	15	13	13	15	14	13	13	15	15	13	14	13	14	14	16	14	16	16	18	16	17	18	16	18	18	19	18	19	19	21	19	20	19	18	22	21	20	20	19	21	24	20	22	20	22	23	23	22	22	24	26	24	22	23	27	27	0	1	1	1	1	2	1	2	7	17	6	6	6	10	17	9	5	10	16	25	23	12	12	22	4	22	13	19	25	5	22	33	11	23	33	28	30	18	0	26	31	41	27	43	26	37	9	31	44	14	44	49	49	10	51	28	52	49	65	51	69	50	53	49	49	68	58	60	53	50	35	61	32	71	65	50	66	51	69	45	77	72	61	75	76	69	0	1	1	1	3	1	2	2	1	1	1	3	2	2	1	2	2	2	2	1	1	1	1	1	1	2	1	1	2	1	4	1	1	3	1	1	1	2	1	1	1	1	1	1	1	2	1	5	2	1	2	1	1	1	5	1	3	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	2	3	1	1	2	1	5	1	6	1	1	2	2	1	3	1
3000	-512.878701620725224	-510.695787739353079	-2.182913881372178	0.000010327550232	0.000029227992236	2.830099256685992	0.777584359716964	0	4	2	3	2	5	3	4	5	8	8	8	9	9	10	7	8	12	11	11	12	10	13	12	10	11	12	12	11	11	11	14	11	13	15	13	13	14	13	14	14	14	11	13	13	15	15	17	16	17	16	18	18	18	17	17	17	18	18	19	21	19	20	19	20	21	21	20	20	21	21	24	21	19	20	22	22	24	22	22	24	25	23	23	23	27	28	0	5	1	1	1	2	1	5	7	8	6	6	6	10	10	6	3	15	25	25	33	8	22	15	10	22	20	25	25	11	22	21	12	33	28	43	20	34	0	26	31	31	11	43	26	38	36	42	44	24	13	49	57	50	51	32	49	49	57	51	69	54	46	49	49	60	64	60	53	74	74	69	74	56	59	61	68	60	69	70	76	85	79	75	75	61	0	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	4	2	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1
3500	-510.479622678177520	-508.401606629034916	-2.078016049142597	0.000010516388757	0.000026775803636	2.546102493426921	0.714718397720531	-1	3	1	3	2	5	4	3	6	8	8	8	8	9	10	6	5	11	10	11	13	9	12	12	11	11	12	11	12	12	12	15	11	13	16	13	13	13	15	15	14	14	13	14	13	15	16	16	15	16	17	17	17	17	18	18	18	17	18	18	21	21	20	19	19	21	23	20	20	21	20	23	22	20	20	22	21	24	23	21	24	26	23	24	22	27	26	0	1	1	1	1	2	4	5	7	16	6	6	7	10	4	7	8	14	22	10	33	12	33	15	10	22	15	22	25	26	28	21	12	33	34	18	25	33	0	30	31	31	11	43	26	23	44	41	6	10	44	49	49	50	51	52	52	49	49	51	69	54	35	52	59	60	53	60	49	64	39	69	69	58	59	80	60	66	61	65	76	81	74	75	77	61	0	1	2	1	2	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	4	5	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	2	1	3	2	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1
4000	-543.619521387900704	-541.419188239109303	-2.200333148791394	0.000011347934748	0.000032662894159	2.878311770699873	0.671232888823907	0	4	1	3	2	6	4	3	5	5	10	7	8	9	10	7	9	11	11	10	13	10	12	12	11	12	12	12	12	12	12	14	13	11	14	13	13	13	16	14	14	15	11	13	13	15	14	17	16	16	17	17	17	18	18	19	18	18	18	19	20	20	19	19	18	22	22	21	19	20	21	24	20	22	21	23	23	23	23	21	24	25	24	23	24	27	27	0	5	1	1	1	2	8	3	4	4	13	6	6	10	12	4	16	14	15	10	23	12	34	20	20	22	22	13	25	5	19	21	23	12	30	14	29	15	0	26	28	31	6	43	26	33	24	22	44	43	44	49	49	50	51	48	49	49	49	51	69	54	58	52	49	60	62	60	53	49	52	69	64	71	65	36	60	68	69	69	76	79	66	75	74	61	0	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	5	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	4	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	4	3	1	2	1	1	1	1	1	1	5	1
4500	-610.253446353127629	-608.439641792537373	-1.813804560590217	0.000013114460934	0.000024556578132	1.872480939537355	0.739232498249131	0	3	1	4	2	6	2	4	6	7	10	7	8	8	8	6	8	11	10	10	11	9	13	13	12	11	13	12	13	12	12	15	13	12	14	13	14	14	15	14	13	14	12	14	12	15	16	17	16	16	17	17	18	18	18	18	19	18	17	19	20	20	20	20	20	21	22	20	19	19	21	21	20	18	21	22	23	22	23	22	25	25	25	23	23	28	28	0	1	1	1	1	2	1	5	8	16	6	6	12	10	8	4	16	10	15	10	22	13	21	45	20	22	43	20	25	26	22	21	21	13	45	43	31	26	0	28	31	31	11	43	26	29	40	31	44	15	11	49	49	50	51	50	52	49	49	51	69	54	39	70	59	60	65	60	74	49	73	32	48	49	65	54	68	68	69	62	84	80	74	75	72	79	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	3	1	1	2	1
