step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64
1	-310.173632844705708	-308.711550760186810	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.180925545669654	1	2	3	4	2	2	5	6	6	5	5	5	5	8	6	8	8	7	8	8	7	6	7	9	8	7	8	8	11	9	9	9	9	9	10	9	9	9	10	11	11	13	12	13	13	12	13	13	13	14	14	14	15	15	17	17	18	18	20	20	20	23	23	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	3	2	2	2	2	4	3	4	4	3	4	4	3	3	3	4	4	3	4	4	5	4	4	4	4	4	5	4	4	4	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	8	8	9	9	10	10	10	11	11	11
500	-275.203157276599711	-273.565386970977784	-1.637770305621952	0.000009995460121	0.000002246436215	0.224745653339630	0.335038990791164	0	2	4	4	3	3	6	5	6	6	5	6	6	9	6	9	7	8	8	9	8	4	8	9	8	6	9	7	10	9	9	8	10	10	10	9	10	8	9	12	11	14	12	14	14	11	13	14	13	15	13	13	15	14	17	17	18	19	19	19	20	24	23	24	0	1	5	2	1	2	5	3	11	6	5	22	2	32	3	6	15	10	3	5	9	2	26	15	26	22	8	11	3	10	13	8	10	12	19	26	21	10	11	33	22	3	33	29	26	30	21	31	32	13	25	17	48	21	17	52	34	40	13	46	34	63	59	53	1	2	1	1	2	1	2	1	1	1	1	2	2	1	1	3	1	1	2	3	1	1	1	2	1	1	2	1	3	2	2	2	2	2	1	2	1	1	2	1	2	4	1	1	4	1	3	3	3	4	2	3	1	3	5	1	4	4	7	4	5	1	2	5
1000	-191.761247836920603	-189.981288077927672	-1.779959758992937	0.000010013371491	0.000001816602094	0.181417627029357	0.763748311273667	1	2	4	4	3	3	6	6	7	5	6	5	5	9	6	8	7	8	9	9	7	7	7	8	8	7	8	7	10	9	8	10	9	10	10	10	9	8	10	11	11	14	12	12	12	12	14	13	12	15	14	12	15	15	17	17	17	18	20	19	20	22	24	22	0	1	2	2	2	1	13	3	12	4	2	6	2	9	5	28	13	11	26	28	3	15	12	9	28	11	8	12	18	28	4	31	9	30	16	24	23	8	31	14	9	46	37	38	18	29	20	49	36	49	43	34	34	44	51	50	54	55	58	55	60	60	45	60	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	6	1
1500	-184.593903691268878	-182.438563635533598	-2.155340055735266	0.000010095842766	0.000001189962193	0.117866553635249	0.861747903419563	1	2	3	4	3	3	5	6	7	4	5	5	5	8	6	7	9	7	7	9	8	6	7	10	9	7	6	7	12	10	10	9	9	10	8	9	10	10	9	11	11	13	12	13	12	12	11	12	12	14	14	14	16	15	17	17	18	17	21	20	20	23	23	23	0	1	1	2	1	2	2	4	11	1	6	6	5	13	4	22	26	22	7	19	8	13	12	19	28	15	1	13	36	35	21	23	16	32	13	16	21	12	28	31	36	38	37	24	25	24	30	34	38	45	44	44	43	43	42	54	55	47	60	56	53	61	56	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1
2000	-189.921921831930064	-187.784587518423649	-2.137334313506422	0.000010056492340	0.000001206801458	0.120002225113374	0.837315981801037	1	3	4	5	3	2	5	7	6	5	6	5	5	8	7	7	7	7	8	9	7	7	6	9	9	7	7	7	11	9	10	8	10	9	11	9	9	8	10	12	11	13	13	13	13	12	13	13	14	14	13	14	14	16	18	17	17	18	20	19	20	23	21	23	0	1	5	1	1	1	3	12	4	2	5	2	5	11	23	7	10	9	2	9	3	13	3	28	9	23	2	12	15	28	27	23	38	22	20	15	15	13	26	39	36	46	40	34	39	35	14	16	25	40	35	48	40	52	54	52	54	54	55	58	57	63	60	61	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
2500	-173.230672796527045	-170.711288388324306	-2.519384408202742	0.000010170124368	0.000000864330198	0.084987180800245	0.969317205028321	1	2	4	5	3	3	6	6	6	6	3	5	4	9	6	9	8	7	7	8	8	5	8	9	9	7	9	8	10	10	8	9	8	8	11	10	10	8	10	11	10	13	11	12	12	11	12	12	14	13	13	14	15	15	17	17	18	18	21	18	19	23	22	23	0	1	2	13	2	2	3	11	12	11	2	6	11	19	3	31	8	4	3	9	19	6	9	26	20	3	18	8	27	15	9	26	7	26	20	24	27	26	23	23	33	46	21	30	29	37	35	27	50	36	29	47	42	44	49	53	55	54	57	56	58	59	61	63	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-181.093287737817292	-179.302407427185159	-1.790880310632142	0.000010358956373	0.000001851663050	0.178749961184336	0.890409933911956	0	3	3	4	1	2	5	6	6	5	5	5	6	9	6	7	8	6	9	7	7	7	8	9	6	8	8	8	10	9	8	9	9	9	10	9	10	9	10	11	12	13	12	12	13	11	12	13	13	12	14	14	15	15	17	17	18	19	21	20	21	23	22	23	0	6	1	6	1	1	3	7	4	2	4	6	7	17	10	7	9	5	16	10	25	25	13	20	12	8	12	8	30	13	15	26	26	7	36	16	4	20	28	32	32	44	39	29	23	36	35	47	43	39	41	41	17	19	50	41	55	57	58	57	55	59	58	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	2	1	2	1	1	1	1	2	1	1	1
3500	-158.789171542853609	-157.003610879243809	-1.785560663609804	0.000010392121475	0.000001870999850	0.180040221234475	0.991919721192937	-1	2	4	4	1	2	6	6	6	6	5	6	4	8	7	6	8	7	8	9	5	5	7	10	8	8	8	8	11	9	9	9	9	9	10	10	9	10	10	11	10	13	12	12	11	12	13	13	13	14	15	13	15	15	16	17	16	18	20	19	20	23	23	22	0	5	6	6	1	5	2	4	21	3	4	3	6	16	21	13	8	13	9	15	3	13	21	31	10	23	12	21	32	27	28	12	18	8	8	17	7	31	25	30	19	43	36	24	31	24	33	45	41	43	42	29	49	50	53	51	47	57	58	58	60	60	60	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-163.622891765536480	-162.062123108036332	-1.560768657500140	0.000010956035601	0.000002831896007	0.258478167646181	0.947728903691038	1	2	3	4	2	3	5	7	7	5	5	6	5	9	7	9	9	8	8	8	7	6	7	9	7	7	6	8	11	9	9	8	9	9	10	9	9	9	11	10	11	13	13	12	14	13	13	14	13	12	14	15	15	15	17	15	16	18	20	18	19	24	24	22	0	1	5	5	1	2	6	11	10	3	6	10	6	32	11	26	8	10	21	23	11	11	11	9	4	5	11	12	38	23	21	15	27	27	8	26	27	8	35	37	37	29	39	18	49	41	41	41	50	24	44	46	46	47	50	50	52	57	60	57	55	64	64	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
4500	-152.683409611196680	-150.947852221919504	-1.735557389277171	0.000010496313599	0.000002026659591	0.193082987844262	0.997813127101671	1	2	3	3	2	3	5	7	7	5	5	5	6	9	6	8	9	8	9	8	7	6	8	9	8	7	7	8	11	8	9	9	10	9	10	10	9	10	11	11	10	12	11	12	14	10	13	13	13	15	15	14	14	15	16	17	19	17	20	20	21	22	23	23	0	1	1	1	1	1	3	13	7	3	5	2	3	8	5	9	13	8	8	9	11	7	11	13	27	11	10	27	14	26	27	26	32	9	9	20	26	28	24	19	16	36	36	43	48	25	29	43	39	47	40	40	42	48	48	50	56	55	55	56	60	60	61	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
