step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-627.792285754602517	-636.843129135053914	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.709200129372306	-1	0	0	3	4	1	2	3	4	4	6	5	3	4	6	4	7	4	7	7	14	5	6	5	7	5	5	11	6	7	6	6	7	7	7	7	7	7	8	11	8	9	7	8	9	7	11	10	9	10	10	14	10	11	10	11	10	12	9	12	11	12	12	12	13	12	10	11	10	17	16	11	14	12	12	13	15	16	12	14	13	15	15	16	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-267.523391975324898	-276.574235355776239	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995605144656831	-1	1	0	2	3	2	0	4	1	3	7	5	4	3	6	4	5	4	7	5	15	4	3	4	7	4	5	12	4	7	7	7	8	5	6	7	7	7	9	10	4	8	7	6	8	6	9	10	9	9	8	15	7	12	9	11	11	11	10	13	10	9	12	9	14	13	9	10	8	17	14	12	11	13	12	10	15	16	13	13	11	13	16	16	0	3	1	3	7	2	1	7	1	6	41	23	9	9	24	14	2	5	26	23	40	2	7	4	20	7	29	76	1	17	34	20	34	29	10	46	5	26	69	39	1	31	20	8	31	27	11	38	32	26	11	82	13	47	38	61	48	50	43	73	37	38	76	16	79	57	51	11	23	60	54	15	31	47	67	55	61	82	67	67	45	55	65	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-246.360187070438712	-255.411030450890053	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991128274727700	-1	0	0	3	4	1	1	3	2	4	7	6	4	2	1	4	7	4	8	4	11	4	7	3	7	5	6	12	6	5	6	6	7	8	7	7	8	6	9	11	5	9	7	8	7	8	9	11	10	10	10	14	11	10	11	11	11	13	10	9	10	13	13	11	12	11	10	11	9	18	16	11	14	11	13	11	13	17	10	14	12	16	14	14	0	1	1	7	24	1	3	15	15	9	24	30	24	15	3	14	9	1	11	14	67	15	26	9	38	20	24	64	13	3	18	8	12	26	26	16	5	26	17	60	13	36	3	25	2	23	43	42	12	37	23	48	79	69	42	67	69	53	32	25	38	68	54	54	56	60	27	34	17	62	63	47	75	61	53	19	66	77	34	48	49	52	77	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-242.725205279336222	-251.776048659787563	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994736904301458	-1	1	0	2	2	2	3	3	5	5	4	5	4	5	5	4	8	4	8	8	12	5	6	6	7	5	6	11	6	7	6	6	6	7	3	6	7	4	9	11	8	6	7	8	8	7	12	10	6	9	6	13	10	11	8	10	9	12	8	9	12	12	10	13	11	12	10	10	9	12	15	10	15	12	9	14	15	14	12	11	14	15	11	14	0	1	1	3	2	2	4	3	11	13	4	38	2	38	5	6	32	4	22	43	40	38	14	26	33	8	35	57	10	33	38	12	12	27	4	11	23	7	20	19	31	35	49	27	37	33	48	75	38	20	11	74	59	48	27	34	32	57	29	37	72	69	42	75	75	56	25	50	27	65	62	44	81	41	30	47	58	66	25	59	62	52	41	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-259.920429138712166	-268.971272519163506	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998844675025973	-2	1	0	3	4	1	2	2	4	5	5	5	3	5	6	-1	6	5	7	1	13	5	6	5	8	3	5	9	4	7	5	6	7	8	8	7	8	6	8	9	8	8	6	8	9	7	10	10	8	11	7	13	11	12	11	11	10	13	9	11	9	11	10	12	10	12	9	11	10	13	17	12	14	11	11	9	13	17	13	13	13	16	16	15	0	3	1	6	20	16	2	20	7	16	5	7	7	4	10	1	9	7	29	16	66	3	18	4	33	2	7	19	26	20	29	14	27	38	46	9	23	27	24	32	32	8	31	43	27	5	33	19	19	37	17	51	57	27	37	41	44	50	15	63	19	59	17	53	39	65	42	47	42	74	55	39	21	59	45	11	60	77	49	62	44	73	58	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-247.467950800275844	-256.518794180727184	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976172242892572	-1	1	0	2	5	1	3	3	5	3	2	4	4	4	7	5	7	4	6	8	9	4	6	3	8	5	5	12	5	6	5	7	5	8	7	7	7	7	9	11	8	9	5	8	9	6	11	10	9	10	10	14	11	9	11	12	10	12	9	13	12	11	10	9	11	11	10	12	10	15	13	10	12	13	10	12	16	14	12	11	14	12	13	15	0	3	1	1	8	3	2	6	11	3	1	7	8	24	9	14	30	2	33	35	37	10	9	2	29	18	14	67	12	14	4	5	13	36	8	22	29	16	37	49	13	25	7	8	36	13	54	15	9	44	64	62	42	2	69	51	64	50	27	47	49	45	30	6	21	42	45	51	25	56	56	45	72	65	25	72	79	56	72	51	74	45	82	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-236.890320792882790	-245.941164173334130	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999925993949015	-1	1	0	3	3	2	2	4	3	4	6	5	4	4	6	3	7	4	7	6	13	1	6	4	8	5	4	9	7	4	6	7	7	7	7	8	7	4	8	11	7	9	6	7	9	8	11	10	10	9	10	14	7	11	10	11	9	12	9	13	11	10	9	12	14	12	10	11	10	17	13	12	13	12	12	13	13	14	7	13	13	13	15	16	0	3	1	7	7	2	2	7	22	6	9	24	7	6	13	7	31	4	5	18	47	3	5	16	12	14	16	31	43	6	13	26	43	10	24	35	20	6	32	41	38	27	18	8	53	37	42	63	53	29	15	58	24	55	57	62	17	62	79	47	55	25	19	56	77	61	35	55	35	66	69	42	67	25	62	25	62	61	5	69	49	51	21	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-241.453988673202304	-250.504832053653644	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988881684794281	-1	1	1	2	4	1	3	3	4	5	3	6	4	2	6	3	7	5	7	7	14	5	6	5	6	3	5	12	6	8	7	7	5	7	6	7	7	8	8	12	9	10	7	8	7	5	8	10	9	11	10	12	9	9	11	9	8	13	10	13	10	9	12	12	12	10	7	10	9	15	13	12	14	11	9	13	15	15	9	8	13	16	15	15	0	1	1	6	7	1	3	6	26	5	6	27	26	2	46	2	29	7	13	46	55	8	18	13	9	4	4	79	10	23	23	9	26	18	9	9	9	12	32	62	45	56	10	67	29	8	25	38	34	37	56	42	44	27	31	34	19	66	47	64	31	34	19	42	48	75	23	24	19	21	55	54	40	41	36	61	63	74	45	15	53	77	60	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-247.104992920542657	-256.155836300993997	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995909503136075	-2	1	0	3	5	1	2	3	4	0	6	4	2	4	5	5	6	4	6	7	12	6	5	6	8	5	4	11	2	6	6	6	7	7	8	6	7	7	8	7	9	10	5	7	8	6	10	9	10	10	8	13	11	9	11	11	10	12	6	9	11	10	13	13	12	11	9	6	7	15	16	9	15	10	12	13	16	13	13	12	14	15	14	14	0	3	1	6	14	10	3	2	4	1	43	4	3	13	9	7	5	8	4	26	74	12	18	4	26	18	1	57	3	18	23	12	68	31	40	5	5	15	17	46	20	31	9	23	30	14	46	51	35	31	37	31	34	25	62	33	39	72	9	68	54	51	66	65	47	72	34	43	5	64	65	44	64	39	47	56	84	42	49	53	57	76	56	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-255.060008585673927	-264.110851966125267	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.959579111354371	-1	1	1	3	3	1	3	2	4	5	6	6	2	4	6	5	7	3	8	4	14	5	5	5	7	5	4	10	5	8	7	5	7	6	6	6	4	8	8	7	7	9	3	8	10	7	10	11	8	8	6	13	9	9	6	8	9	12	9	9	7	11	10	12	14	8	9	12	10	16	15	11	12	11	12	13	15	16	12	14	12	14	14	14	0	1	1	2	3	1	2	3	4	7	37	18	2	18	43	18	16	2	20	8	79	7	4	43	5	7	7	67	20	41	7	27	51	26	27	9	13	3	41	15	16	25	2	11	66	29	38	26	16	46	24	48	61	10	24	24	50	30	19	36	12	56	50	66	64	41	61	57	56	65	74	59	54	59	48	60	58	52	33	81	45	45	74	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
