step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-292.438314465023325	-299.293802415982725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.047183903181769	4	4	4	5	7	6	7	6	6	7	7	7	7	9	10	8	9	10	12	13	14	15	24	27	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	3	3	2	3	3	4	5	5	6	10	12
500	-210.982851280311962	-217.838339231271334	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.064214620278791	2	3	5	6	7	6	8	5	7	6	8	8	7	8	10	8	8	11	11	13	14	15	21	28	0	1	2	2	6	1	8	2	10	2	10	4	8	2	6	1	1	9	8	4	13	17	0	23	1	1	1	2	1	2	2	1	1	2	1	1	2	3	2	4	3	2	4	3	5	4	1	6
1000	-190.238961100599710	-197.094449051559081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.144716692435480	2	4	5	5	6	5	8	6	7	7	7	7	5	9	10	9	9	11	12	13	13	13	25	26	0	1	2	2	1	1	8	13	1	4	4	4	2	2	6	1	1	9	13	3	13	16	0	9	1	1	1	1	2	2	1	1	3	1	2	1	1	2	3	4	4	2	4	5	3	2	1	7
1500	-179.279068627238757	-186.134556578198129	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.430210421646180	2	3	4	6	8	6	8	6	4	5	8	7	7	8	11	9	9	11	12	13	14	15	24	27	0	1	2	10	1	1	13	2	1	2	10	10	8	2	6	1	6	9	13	3	13	16	0	18	1	1	1	1	3	2	1	2	1	1	1	1	1	2	2	4	2	3	2	4	3	5	1	11
2000	-179.009723924314471	-185.865211875273843	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.423277197482273	2	3	5	5	7	4	8	6	7	8	7	8	7	9	10	8	10	10	12	12	15	14	24	27	0	1	2	2	1	1	8	4	1	4	4	4	8	4	6	1	16	9	13	3	13	18	0	9	1	1	1	1	3	1	1	1	2	1	2	1	1	3	3	3	2	1	3	4	4	2	1	8
2500	-172.398151350230336	-179.253639301189708	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568095861647564	3	4	5	6	7	6	8	6	6	7	7	7	7	9	10	8	10	10	11	13	15	14	24	28	0	1	2	2	1	1	13	2	1	2	4	4	8	5	6	1	6	9	13	3	7	15	0	18	1	1	1	1	3	2	1	1	1	1	1	1	1	1	2	2	2	3	2	4	4	2	1	7
3000	-173.048951896491531	-179.904439847450902	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.517423637561022	3	4	5	5	6	6	8	6	7	7	8	6	7	10	10	8	10	9	12	12	14	15	24	28	0	1	2	2	1	1	13	2	1	4	4	4	8	2	6	9	16	9	8	3	13	18	0	18	1	1	1	1	1	2	1	1	3	1	2	1	1	2	2	1	1	2	3	3	3	2	1	9
3500	-159.834315843030112	-166.689803793989483	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690120961986518	3	4	5	5	6	5	7	6	5	7	8	7	7	6	9	7	9	10	11	13	14	16	24	26	0	1	2	2	1	1	8	2	1	4	10	4	8	2	6	1	16	9	13	3	19	18	0	22	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	4	1	3	1	5
4000	-166.919297714369975	-173.774785665329347	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.441176580342423	3	4	5	5	7	6	8	6	6	8	6	8	7	9	11	9	10	10	11	13	13	16	24	26	0	1	2	2	1	1	13	2	1	4	4	4	8	2	6	2	10	9	13	3	13	6	0	23	1	1	1	1	3	2	1	1	1	2	1	1	1	2	3	2	1	2	1	5	3	4	1	1
4500	-145.975447298860161	-152.830935249819532	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.601183919099729	3	4	5	6	7	6	7	5	6	6	7	8	7	9	10	8	9	10	12	13	15	15	24	27	0	1	2	2	6	1	8	2	1	2	4	10	8	2	6	9	16	9	13	3	19	18	0	23	1	1	1	2	1	2	2	1	2	1	1	1	1	3	2	1	1	2	2	3	1	2	1	2
5000	-158.228544751290542	-165.084032702249914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680883830604223	3	4	5	6	8	7	8	6	6	8	8	7	8	9	10	9	9	9	11	13	14	16	24	27	0	1	2	2	6	1	8	2	1	4	4	4	8	2	6	6	6	9	13	6	19	18	0	23	1	1	1	1	1	2	2	1	2	2	1	1	2	2	1	1	1	2	2	3	2	3	1	1
5500	-145.128804330212489	-151.984292281171861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544460982317283	3	4	5	5	7	6	8	6	6	7	7	7	8	9	11	7	10	10	11	14	12	14	25	27	0	1	2	2	6	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	13	18	0	23	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	2	2	2	2	4	2	2	1	1
6000	-150.667822325860243	-157.523310276819615	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648664779691417	3	4	5	5	7	6	8	6	7	8	8	8	7	9	11	8	10	11	12	12	14	14	24	27	0	1	2	2	1	1	13	2	6	4	4	4	8	2	12	6	16	9	13	3	19	18	0	23	1	1	1	1	2	2	1	1	1	2	2	2	1	2	1	2	1	2	2	3	1	2	1	1
6500	-150.517391755250884	-157.372879706210256	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535681824662477	3	4	5	5	5	6	7	5	6	7	7	7	7	9	10	6	8	10	9	12	14	14	25	27	0	1	2	2	1	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	13	1	0	23	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	2	4	6	1	1
7000	-153.856577948628029	-160.712065899587401	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.430849416934761	2	4	5	5	7	7	8	6	6	7	7	8	8	10	9	8	9	10	12	14	14	14	23	26	0	1	2	2	1	9	8	2	1	4	4	10	8	2	6	9	1	9	13	3	13	18	0	23	1	1	1	1	2	1	1	1	2	1	2	1	1	4	1	1	3	2	2	5	3	2	1	2
7500	-152.758679552761151	-159.614167503720523	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661518904016335	2	4	5	5	7	6	7	6	5	7	7	6	8	8	11	7	9	10	12	12	15	15	24	26	0	1	2	2	1	1	8	2	1	4	4	4	8	2	6	1	16	9	13	3	19	18	0	23	1	1	1	1	3	2	1	1	2	1	1	1	1	1	3	3	1	2	2	5	2	3	1	1
8000	-150.576746955524783	-157.432234906484155	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.494650208125261	3	4	5	5	8	6	7	6	5	8	7	8	8	10	10	8	9	10	12	13	14	16	24	27	0	1	2	2	1	1	8	2	1	4	4	4	8	2	6	1	16	6	13	3	19	9	0	23	1	1	1	1	2	2	1	1	2	2	1	2	1	3	2	2	1	2	2	3	1	6	1	2
8500	-162.315770640188560	-169.171258591147932	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635210428681316	3	4	5	5	7	5	7	5	4	7	7	7	8	9	8	8	8	11	11	11	13	14	25	27	0	1	2	2	1	1	8	2	1	4	4	4	8	2	6	1	1	9	13	3	19	18	0	23	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	2	3	5	1	2	1	2	1	2
9000	-157.640817862299826	-164.496305813259198	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598702597786375	2	3	5	6	7	7	7	6	6	5	7	7	8	9	10	9	10	10	12	13	14	13	24	26	0	1	2	10	1	1	8	2	1	2	4	4	8	10	9	9	16	9	8	3	19	18	0	23	1	1	2	1	2	2	1	1	2	1	1	1	1	2	2	2	1	2	3	3	1	2	1	1
9500	-160.401828970111069	-167.257316921070441	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616182737338416	2	4	5	6	7	6	8	6	5	7	8	7	8	8	10	8	9	9	13	12	13	15	24	25	0	1	2	2	1	1	4	2	1	2	4	4	8	2	1	1	16	9	13	3	13	18	0	23	1	1	1	2	2	2	1	1	1	2	1	1	1	2	4	3	1	3	2	3	3	3	1	1
10000	-157.377257077839289	-164.232745028798661	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595895063274454	2	4	5	5	7	6	8	6	7	7	6	7	8	9	11	8	9	10	13	12	13	14	25	27	0	1	2	2	6	1	8	2	1	4	2	4	8	10	17	6	1	9	13	2	13	18	0	23	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	3	2	2	3	3	1	1	2
10500	-147.528043613626465	-154.383531564585837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682813979909640	3	4	5	5	7	5	7	6	6	7	6	7	8	9	9	9	10	10	12	13	15	14	24	27	0	1	2	2	1	1	8	2	1	4	4	4	8	2	6	5	16	9	13	5	19	18	0	23	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	3	2	3	1	2	1	1
11000	-163.820749081098057	-170.676237032057429	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.510378110546916	1	3	4	6	7	6	6	5	5	8	8	7	8	8	11	8	9	11	12	13	14	14	24	27	0	1	2	2	6	1	8	2	1	4	4	4	8	2	9	6	16	1	13	3	13	18	0	23	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	4	3	3	3	1	1	2
11500	-165.550557797890690	-172.406045748850062	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702720536452643	2	4	5	5	5	6	8	6	6	7	7	6	7	9	11	7	9	8	9	13	14	15	22	27	0	1	2	2	1	1	8	2	1	4	4	4	8	2	1	6	16	9	13	3	19	6	0	23	1	1	1	1	1	2	1	1	2	1	1	1	1	3	4	1	2	1	1	2	2	3	1	2
12000	-147.153103698171350	-154.008591649130722	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596150043167924	3	4	5	5	6	6	7	6	7	6	8	8	7	10	9	6	9	11	11	13	13	15	24	26	0	1	2	2	1	1	8	2	1	2	4	4	8	12	6	1	16	9	13	3	13	18	0	23	1	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	2	2	2	4	3	2	1	1
12500	-152.784214727099567	-159.639702678058939	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.498078674079932	2	3	5	5	6	4	7	5	6	6	8	7	7	9	11	8	9	10	12	13	14	15	24	27	0	1	2	2	1	1	8	2	1	4	10	4	8	9	6	5	16	9	13	3	19	18	0	23	1	1	1	1	3	1	1	1	3	1	1	1	1	2	3	2	1	2	2	4	1	2	1	2
13000	-149.705311967132843	-156.560799918092215	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.694781173886756	2	3	5	5	6	6	7	5	6	7	7	7	7	10	9	8	9	10	12	14	12	14	24	27	0	1	2	2	1	1	8	2	1	4	4	4	8	10	6	1	16	9	13	3	13	18	0	23	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	2	1	2	3	4	3	2	1	2
13500	-155.465356920614539	-162.320844871573911	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.551431087336371	2	4	5	5	8	6	7	6	6	8	8	7	7	10	11	9	8	10	12	13	14	14	25	28	0	1	2	2	6	1	8	2	1	4	4	2	8	2	6	17	6	6	13	3	8	18	0	23	1	1	1	1	1	2	1	1	2	2	1	1	1	3	2	1	1	2	3	3	3	1	1	1
14000	-157.264543226520630	-164.120031177480001	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532927557706201	3	4	5	6	6	6	8	6	7	5	8	8	8	9	10	6	8	11	12	13	14	14	23	28	0	1	2	10	1	1	8	2	6	2	4	10	8	12	6	1	16	9	13	3	19	18	0	23	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	2	1	2	1	4	1	2	1	3
14500	-163.820524254434218	-170.676012205393590	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.497733792604121	1	3	5	5	8	5	7	4	7	5	8	7	6	10	10	9	9	10	11	13	12	16	23	25	0	1	2	2	1	1	13	2	6	2	10	10	8	5	5	1	5	16	13	3	13	18	0	23	1	1	1	1	4	2	1	1	1	1	2	1	1	1	1	4	1	1	3	4	3	3	1	1
15000	-160.760145420385157	-167.615633371344529	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.681286225140691	3	4	5	5	7	6	8	6	6	7	6	8	8	9	9	9	9	9	10	12	14	15	24	28	0	1	2	2	1	1	8	2	1	4	4	4	8	2	6	1	6	9	13	3	19	18	0	23	1	1	1	1	2	1	2	1	2	2	1	1	1	3	1	2	2	2	1	2	2	2	1	2
15500	-153.564182943739411	-160.419670894698783	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615638155100276	3	4	5	5	7	6	8	6	5	7	7	7	8	9	11	8	10	11	11	13	14	15	24	28	0	1	2	2	1	1	8	2	1	4	4	4	8	10	6	1	6	9	13	3	13	18	0	23	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	2	2	2	2	1	1	2
16000	-148.944204528141938	-155.799692479101310	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690713857622782	3	4	5	5	7	7	7	5	7	8	7	8	7	10	10	9	10	11	9	14	12	16	24	26	0	1	2	2	1	1	8	2	1	4	4	4	8	10	6	6	16	9	13	3	19	18	0	23	1	1	1	1	2	2	1	1	2	2	1	2	1	1	2	1	1	2	1	4	1	3	1	1
16500	-147.875135850048707	-154.730623801008079	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539948844916024	3	4	5	5	8	6	7	6	5	7	7	6	8	8	10	7	9	10	12	12	14	14	25	27	0	1	2	2	1	1	8	2	1	4	4	4	8	10	6	9	16	9	13	3	13	18	0	23	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	3	2	4	2	2	1	1
17000	-147.504794411370455	-154.360282362329826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.805571236100345	3	4	5	6	7	6	8	6	6	7	8	7	8	10	10	8	10	9	12	13	14	15	25	26	0	1	2	2	6	1	8	2	1	4	4	4	8	4	6	1	16	6	13	3	19	18	0	23	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	4	1	2	1	1
17500	-161.850764504080502	-168.706252455039873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670795033824658	3	4	5	5	8	6	7	6	6	7	7	7	8	9	11	7	9	10	11	12	14	13	24	27	0	1	2	2	1	1	8	2	4	4	4	4	8	6	6	6	16	9	13	3	13	15	0	23	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	2	2	4	4	2	1	2
18000	-160.617673899408118	-167.473161850367489	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536637879986784	1	3	5	5	5	5	7	5	7	7	6	7	7	9	11	8	10	11	12	10	15	15	24	28	0	1	2	2	1	1	8	2	6	4	4	4	8	2	6	5	16	9	13	14	13	18	0	23	1	1	1	1	2	2	1	1	2	1	1	1	1	3	2	2	1	2	2	1	3	2	1	2
