step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-1381.432634180987407	-1388.288122131946693	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.033834122284528	1	2	5	4	4	4	5	5	6	6	7	6	8	7	8	8	8	7	8	8	9	9	9	9	10	10	10	11	12	12	13	12	12	13	13	13	13	13	16	15	16	15	15	15	15	14	16	16	16	16	16	16	15	18	17	17	18	18	18	18	19	18	17	19	18	20	21	24	24	23	24	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	4	3	4	4	4	3	4	4	4	4	4	4	5	5	5	5	6	6	6	6	6	6	6	6	6	6	8	7	8	7	7	7	7	7	8	8	8	8	8	8	7	9	8	8	9	9	9	9	9	9	8	9	9	10	10	12	12	11	12	13
500	-729.993524613551585	-736.849012564510986	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.105253484062071	1	2	3	4	5	5	5	5	6	7	7	6	7	8	9	8	9	7	8	8	10	10	6	9	10	10	11	11	12	12	13	12	13	13	14	13	14	13	15	15	15	15	15	15	15	14	15	15	16	16	15	17	15	19	17	18	18	17	19	19	20	18	17	19	17	21	18	23	24	24	24	28	0	1	1	2	1	3	1	1	4	7	5	6	7	7	11	23	10	8	11	7	11	5	5	11	14	8	6	14	8	15	8	24	27	15	0	15	38	32	18	32	0	30	11	34	32	21	6	22	32	38	6	43	21	47	36	43	49	32	45	15	30	30	47	49	44	36	15	50	0	67	65	20	1	1	1	2	2	1	3	2	1	2	1	1	1	2	1	1	1	1	1	2	2	4	1	1	2	3	3	3	5	2	3	1	1	2	1	2	1	1	3	3	1	2	4	2	1	2	5	3	3	2	5	1	3	2	3	2	1	2	3	5	5	3	1	2	1	4	7	4	1	5	3	11
1000	-502.190415258887185	-509.045903209846585	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.414186643475857	-1	1	5	4	4	5	5	2	5	6	7	6	7	8	8	9	9	7	9	9	9	9	10	9	10	11	10	11	12	12	13	12	12	13	13	13	11	13	16	16	14	15	15	16	15	13	17	13	15	15	17	16	15	17	17	18	17	19	18	18	19	18	18	20	19	21	21	24	22	22	25	26	0	1	1	2	1	5	8	1	4	6	3	8	3	1	11	18	1	6	11	13	11	12	16	10	14	22	5	5	25	21	22	37	7	19	0	17	24	32	34	32	0	21	10	43	32	24	14	22	37	32	41	43	30	39	42	44	38	38	40	30	42	34	47	45	53	39	52	58	0	44	65	17	1	1	4	1	2	1	2	1	1	1	1	2	1	5	1	1	5	1	1	1	1	2	1	2	2	2	2	4	1	2	2	1	4	3	1	3	1	1	2	2	1	3	3	1	2	2	4	2	2	2	2	1	3	1	1	2	2	3	1	4	2	2	1	2	2	3	2	3	1	3	3	8
1500	-468.639822290284428	-475.495310241243828	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569703786563556	1	3	6	4	3	4	6	5	7	6	6	4	8	8	8	8	9	7	8	8	10	10	10	10	10	9	11	11	12	12	12	12	13	13	14	13	11	13	16	16	15	16	15	15	15	13	16	14	17	17	16	17	15	18	17	17	18	18	19	19	19	17	18	19	19	20	21	24	24	22	23	27	0	1	1	2	1	1	1	2	4	6	6	1	7	3	11	10	3	3	11	3	3	13	16	19	13	8	13	7	25	15	3	37	20	17	0	30	24	32	17	32	0	46	36	34	38	15	21	31	32	38	41	46	46	47	43	34	40	38	49	55	53	53	39	58	56	63	52	57	0	65	65	3	1	1	3	1	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	3	1	2	3	1	3	2	1	1	1	1	2	2	1	2	1	1	1	2	3	1	3	2	1	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2	4	3	1	1	2	6
2000	-531.796803059222952	-538.652291010182353	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745094021185190	1	2	6	3	4	3	5	5	6	7	7	6	7	8	8	9	6	7	6	9	10	8	10	10	10	11	8	11	12	13	14	12	13	13	13	14	13	13	14	16	16	15	15	15	15	12	16	17	17	16	17	15	15	17	17	18	17	18	18	18	19	18	16	17	18	18	21	23	24	24	25	24	0	1	5	2	1	1	1	1	4	6	19	8	7	3	11	10	6	8	6	18	11	3	16	19	13	3	7	7	25	15	22	21	20	15	0	46	32	32	28	38	0	21	34	30	30	21	26	31	38	32	41	46	30	39	43	34	45	38	49	52	53	53	39	45	44	39	52	40	0	44	70	20	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	3	1	2	2	1	2	3	1	1	1	1	1	2	1	2	1	1	1	1	3	1	3	2	1	2	1	1	1	3	1	2	1	1	2	2	1	2	2	2	2	3	1	3	1	6
2500	-470.689338919646161	-477.544826870605561	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.584839630849940	2	3	3	5	4	4	5	4	7	5	7	5	7	7	9	8	8	7	9	7	10	10	10	10	11	10	9	11	13	13	14	12	12	13	13	14	14	13	15	14	16	15	15	15	16	12	16	16	16	16	17	15	15	18	17	17	19	19	18	18	19	19	17	19	18	20	20	24	24	22	24	24	0	1	1	2	1	1	1	1	4	6	6	8	7	7	17	6	10	10	11	3	15	8	16	11	20	7	20	27	20	15	26	24	27	21	0	21	32	32	17	32	0	30	36	30	40	15	22	31	32	38	41	46	34	39	43	30	49	50	38	42	52	53	47	45	44	63	34	58	0	65	65	47	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	3	1	2	2	2	1	2	3	2	2	1	2	2	1	1	1	1	3	1	1	1	1	1	1	1	3	2	2	2	1	1	1	1	1	2	1	1	2	1	3	2	1	1	1	2	4	3	1	1	2	3
3000	-479.504212577092346	-486.359700528051746	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628684729186903	2	3	6	5	3	4	5	6	7	6	7	7	8	7	9	8	8	7	9	9	9	9	7	9	10	11	11	11	13	11	13	11	12	12	14	14	13	13	15	15	16	15	14	15	15	13	16	16	17	16	17	16	14	17	16	16	18	18	18	18	20	17	17	19	18	21	20	24	23	23	21	27	0	1	1	2	1	1	5	7	4	1	7	3	10	7	11	23	6	3	7	3	11	10	10	11	20	22	17	7	28	21	7	24	25	15	0	34	32	32	17	32	0	30	34	36	32	11	17	31	38	37	41	30	30	39	43	42	49	32	40	53	62	42	39	40	44	63	42	57	0	71	65	34	1	1	2	1	1	1	2	1	1	3	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	2	2	1	3	1	1	2	1	1	1	1	3	2	1	2	1	1	2	3	2	2	2	2	1	2	2	1	1	1	1	3	1	2	2	1	1	2	1	2	2	2	1	2	2	8
3500	-480.416291008211203	-487.271778959170604	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542311395646922	1	2	5	4	2	4	6	5	6	6	8	7	9	7	9	8	7	6	7	8	9	9	10	9	10	10	8	12	12	12	13	13	12	12	14	13	14	11	14	14	14	16	15	15	16	15	16	16	16	16	16	15	15	18	17	18	19	19	18	18	19	17	16	19	19	19	21	24	24	22	22	26	0	1	5	2	1	1	6	1	4	3	19	8	5	8	18	17	10	6	6	7	11	8	16	6	20	3	8	27	13	15	8	38	25	11	0	21	38	24	23	38	0	30	30	30	38	21	39	31	37	34	41	34	30	39	36	44	45	37	49	43	62	46	39	38	44	63	62	45	0	65	44	34	1	1	1	1	1	2	1	2	1	1	1	1	3	2	2	1	1	1	2	1	1	2	1	2	1	2	1	2	1	2	3	2	1	3	1	2	2	1	2	2	1	1	2	2	2	3	1	2	1	3	1	1	2	2	2	2	2	2	1	1	1	1	1	5	2	2	2	3	1	1	3	8
4000	-476.819552274309558	-483.675040225268958	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715783550677126	0	2	4	4	4	4	5	5	6	6	7	7	7	7	8	8	9	8	8	9	9	9	8	9	11	11	10	11	11	12	14	12	13	13	14	13	11	13	14	16	16	15	15	14	15	15	16	16	16	17	17	16	15	18	18	16	18	17	19	18	19	18	18	18	17	20	21	24	25	23	24	27	0	1	1	2	1	1	1	1	4	6	5	8	7	7	10	8	10	5	11	5	15	8	10	11	20	6	8	20	20	15	26	37	20	15	0	30	24	32	6	32	0	21	36	36	38	34	39	31	32	37	41	46	34	39	43	44	40	38	40	36	53	46	47	49	44	63	36	50	0	65	70	22	1	1	2	1	2	2	2	2	2	1	2	1	1	2	1	1	2	2	1	3	1	2	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	5	2	1	3	1	1	1	1	1	2	1	3	1	1	1	3	2	1	1	2	1	3	2	2	1	1	2	1	4	2	1	3	1	7
4500	-495.731560561514357	-502.587048512473757	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590548848875892	1	2	5	4	3	4	5	6	6	3	6	5	8	8	9	8	9	8	8	7	9	9	9	10	10	9	10	11	12	12	13	13	12	13	13	14	14	12	16	14	15	16	15	15	15	14	13	17	16	17	16	16	14	18	18	17	18	19	15	18	19	19	18	19	18	20	20	23	24	22	24	27	0	1	10	2	1	1	10	12	2	1	10	10	8	3	16	6	13	9	10	7	11	16	6	16	20	8	13	27	27	16	22	38	25	17	0	15	38	24	47	38	0	30	46	46	38	15	18	22	37	38	41	36	30	47	43	44	59	40	32	34	53	53	47	32	44	39	52	64	0	65	70	23	1	1	1	1	1	1	1	1	3	2	2	1	1	1	1	2	1	1	5	2	2	1	2	1	1	2	1	1	1	2	2	1	1	2	1	2	1	1	2	1	1	2	1	1	1	2	2	5	2	2	1	1	1	3	2	1	1	2	1	3	2	2	2	3	2	2	2	1	1	2	1	6
