step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80
1	-2827.514567487081422	-2826.052485402562525	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.615686423066569	0	2	3	1	8	6	8	7	7	9	9	11	10	12	11	13	11	12	14	13	13	14	15	13	14	14	13	14	14	15	15	14	15	16	16	17	17	17	18	17	17	18	17	18	16	18	18	17	17	19	19	18	17	21	20	20	19	20	20	20	20	21	20	21	22	20	23	23	21	23	21	22	22	21	24	23	23	23	24	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	3	4	4	4	5	5	6	5	6	6	7	6	6	7	7	7	7	8	7	7	7	7	7	7	8	8	7	8	8	8	9	9	9	9	9	9	9	9	9	8	9	9	9	9	10	10	9	9	11	10	10	10	10	10	10	10	11	10	11	11	10	12	12	11	12	11	11	11	11	12	12	12	12	12	13
500	-877.611509845836508	-875.741377642000998	-1.870132203835508	0.000010012358620	0.000020143703948	2.011883983868512	0.271359802420171	0	1	3	2	9	6	5	7	6	9	9	11	10	12	10	13	12	9	11	11	11	14	16	13	12	15	13	14	14	15	14	15	16	17	17	17	18	16	19	18	17	18	17	19	16	19	17	14	18	20	19	15	17	22	20	17	20	21	20	20	20	22	21	20	23	21	24	22	21	22	22	22	23	22	25	24	24	24	25	26	0	1	2	2	7	3	3	6	7	9	8	9	10	8	9	10	10	3	7	7	8	14	18	17	7	19	12	10	15	3	17	7	26	18	21	19	27	7	18	26	5	15	19	24	15	30	18	21	15	38	5	20	19	44	7	31	19	38	26	56	47	48	52	19	28	48	15	15	56	18	48	21	3	38	36	51	48	52	48	27	1	1	1	1	2	2	1	1	1	2	2	2	1	2	2	2	1	4	5	3	1	1	4	1	4	2	1	3	2	6	1	5	1	3	2	4	2	7	5	2	4	3	5	2	3	2	5	2	5	3	5	2	5	2	11	2	7	2	3	2	2	8	3	8	6	3	8	6	2	9	6	8	11	6	4	3	6	6	9	9
1000	-707.564777329279764	-705.657582839074280	-1.907194490205468	0.000010014191871	0.000021076775655	2.104690615742780	0.349694558478581	0	1	3	2	7	4	7	7	8	9	9	12	10	11	10	14	12	10	11	13	13	15	15	12	14	13	13	15	11	14	16	15	16	15	16	17	17	17	18	18	16	16	17	18	16	17	18	14	17	20	19	16	18	20	20	19	20	21	20	21	21	21	21	21	22	20	24	24	20	24	22	23	21	21	22	23	23	24	25	26	0	1	1	2	3	3	3	6	7	9	8	9	10	11	9	13	13	7	7	9	14	14	18	13	29	19	15	12	7	12	13	29	19	18	21	26	27	52	23	26	5	30	19	24	27	27	34	21	27	38	38	20	43	44	19	31	19	38	26	31	47	48	52	19	41	48	46	27	31	18	48	48	7	52	40	65	48	52	48	46	1	1	2	1	2	1	2	2	1	1	1	3	1	1	2	1	2	2	2	3	1	2	3	1	1	1	2	2	2	1	2	3	2	3	1	3	2	1	2	2	5	1	3	3	1	2	2	1	4	1	1	2	1	2	6	1	5	2	4	2	1	6	3	6	4	4	5	6	2	9	6	8	7	3	2	1	6	5	9	6
1500	-635.369241373839031	-633.738577277257605	-1.630664096581456	0.000010055831936	0.000014352521114	1.427283312312177	0.438344191064955	0	1	3	2	7	6	9	7	8	10	9	11	10	13	10	13	11	12	13	13	14	14	15	14	14	14	13	12	14	12	16	14	15	15	16	17	18	17	18	17	16	18	16	18	15	15	18	16	17	20	19	15	17	21	21	19	19	20	19	20	20	22	19	22	22	19	23	24	20	24	22	22	22	22	23	23	24	20	25	26	0	1	1	2	3	3	3	6	5	9	8	9	9	11	9	17	13	7	7	28	14	14	18	13	28	19	15	12	28	15	24	7	19	18	21	19	45	52	23	26	7	30	19	24	27	27	34	21	45	38	38	20	43	44	26	31	43	52	40	31	47	35	52	53	38	48	46	27	31	41	48	14	52	78	59	38	66	52	66	46	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1	2	3	1	1	1	3	2	2	1	2	1	1	1	1	2	1	1	1	2	2	1	1	2	2	3	2	2	2	1	2	1	2	2	1	2	1	1	3	1	1	3	1	1	1	3	2	3	2	2	5	6	2	6	2	5	5	1	2	3	4	3	5	6
2000	-574.469629052207893	-572.897963837607790	-1.571665214600086	0.000009972814761	0.000012795080978	1.282995952859827	0.523255754821128	0	1	4	2	9	6	9	8	7	8	10	12	10	12	11	14	12	9	13	12	14	14	15	13	15	14	14	13	12	15	14	15	15	16	16	17	18	16	18	17	16	17	17	19	16	18	18	17	16	19	20	18	18	21	21	20	20	20	20	21	20	19	20	21	22	21	20	23	20	23	20	21	23	22	25	23	22	21	24	27	0	1	1	2	3	3	9	6	3	9	8	9	9	8	9	12	13	9	7	7	14	14	18	13	28	19	15	7	7	27	13	28	19	18	22	26	45	7	23	26	29	30	19	24	15	27	34	35	27	38	50	38	43	24	40	31	43	38	40	31	47	48	38	53	38	48	46	67	31	34	62	48	63	78	59	65	71	52	71	46	1	1	2	1	3	1	1	1	2	1	1	2	2	3	2	1	1	1	2	1	1	1	3	1	1	1	1	2	2	1	2	1	2	3	1	2	1	4	2	2	2	1	2	3	3	2	1	1	2	1	1	1	1	3	2	3	2	2	2	4	1	1	2	2	2	2	1	2	4	4	1	2	3	1	2	1	1	2	4	5
2500	-527.770528989383706	-526.237951574089152	-1.532577415294515	0.000009964451028	0.000011812104570	1.185424519332279	0.672300448086353	-1	1	4	2	7	5	9	7	7	9	9	11	10	12	12	13	12	12	11	13	13	14	14	12	13	15	13	13	11	15	15	13	14	16	15	16	17	15	19	17	17	17	16	18	15	18	18	17	18	19	19	18	18	20	20	17	18	19	20	20	20	22	21	21	22	20	21	23	22	22	22	23	21	22	24	24	24	21	25	27	0	1	2	2	3	3	9	6	3	9	8	10	9	11	12	17	13	7	7	29	14	14	18	13	7	19	15	29	7	15	17	9	19	18	21	26	45	20	23	33	28	30	33	24	27	27	34	35	45	38	38	38	43	44	26	31	33	38	40	31	34	48	52	53	58	48	46	67	56	61	66	62	58	78	59	58	71	52	77	67	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	3	2	2	1	1	1	1	2	1	2	1	1	3	1	3	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	2	1	2	1	3	1	1	2	1	1	1	1	1	1	2	1	1	1	3
3000	-536.041621320058312	-534.437250078814486	-1.604371241243875	0.000010212946865	0.000013923021135	1.363271670714858	0.650591095469954	0	1	3	2	8	6	7	7	6	8	9	10	9	12	11	13	10	13	14	14	13	15	15	13	15	15	12	12	15	16	16	14	15	16	15	17	18	16	18	18	16	18	17	18	15	18	19	17	17	20	20	19	17	21	20	19	18	18	19	20	20	20	20	20	22	20	22	23	22	21	21	22	21	22	24	23	23	21	24	26	0	1	1	2	3	3	9	6	3	9	8	9	9	8	12	13	13	12	7	28	14	14	18	13	32	19	15	5	7	15	24	7	19	18	21	33	45	29	23	26	28	29	19	24	27	27	34	35	45	38	58	38	19	44	40	31	29	38	26	31	47	48	52	53	58	48	46	46	56	61	66	62	52	78	59	50	71	58	77	46	1	1	1	1	3	1	1	1	1	1	1	2	1	2	1	1	1	2	3	1	1	2	2	2	1	1	1	2	6	2	2	4	1	2	1	1	2	1	2	2	2	2	1	3	1	2	2	1	1	2	1	2	2	2	1	1	2	1	2	2	1	1	1	2	2	2	2	3	2	1	1	1	1	1	2	1	1	2	1	4
3500	-522.258009306893314	-520.274074500079564	-1.983934806813763	0.000010763340245	0.000024755943237	2.300024218611584	0.607804551056978	-1	1	3	2	8	6	9	7	7	9	9	11	9	12	10	13	11	12	14	14	14	15	14	13	14	15	14	14	13	15	15	12	16	17	16	18	17	16	19	18	18	18	17	18	16	18	19	17	18	19	18	18	17	21	21	19	18	19	20	21	20	21	21	22	22	21	22	23	21	22	21	23	22	21	23	24	22	20	25	27	0	1	1	2	3	3	9	6	3	9	8	7	9	11	9	17	13	7	29	12	14	14	18	17	9	19	15	7	7	9	13	7	19	18	21	26	45	20	23	26	29	30	33	24	27	27	34	21	45	38	38	38	33	44	40	31	33	38	26	44	47	48	52	53	38	48	46	46	56	61	48	62	52	78	59	50	71	52	77	68	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	3	1	2	2	3	3	2	1	2	4	1	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	1	1	1	2	1	2	1	2	3	2	1	2	2	2	3	2	2	3	1	1	2	1	2	1	2	2	1	1	2	2
4000	-497.297554406749555	-495.557258576487015	-1.740295830262518	0.000011175382584	0.000018919042088	1.692921199455022	0.685830540253210	-1	1	4	2	7	6	9	7	7	9	9	12	10	10	12	11	11	12	13	14	14	14	15	14	15	15	14	11	14	15	15	14	15	15	16	17	18	16	19	17	18	18	16	18	16	19	18	17	18	20	19	18	17	20	20	19	18	20	19	20	20	21	20	20	22	19	24	22	21	22	22	22	22	20	24	24	23	23	25	26	0	1	1	2	3	3	9	6	3	9	8	9	10	11	9	13	13	7	28	28	14	14	18	13	29	19	15	7	28	15	17	28	19	18	21	26	45	20	23	26	29	30	33	31	27	27	34	35	45	38	38	38	43	24	26	31	43	38	26	31	47	48	52	53	58	48	68	46	56	61	62	62	63	52	59	50	71	74	77	68	1	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	3	1	2	1	1	1	2	2	2	2	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	2	2	3	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2
4500	-499.569577507973918	-498.063033246029477	-1.506544261944447	0.000011848537130	0.000013256673518	1.118844746221553	0.689459021502733	-1	1	4	2	8	6	9	7	7	9	10	9	11	12	11	13	12	12	13	14	13	14	15	13	14	14	14	12	13	15	16	15	15	15	17	18	18	16	19	17	17	18	17	18	16	19	18	18	17	19	20	19	18	20	20	20	19	18	20	18	21	20	20	21	23	21	24	22	22	24	21	22	22	22	23	23	23	24	25	26	0	1	1	2	3	3	5	6	3	9	8	9	10	11	12	13	13	9	7	28	14	14	18	13	28	19	15	7	7	29	24	29	19	18	21	40	45	28	34	26	7	30	33	24	27	27	34	35	45	38	58	38	43	44	33	31	33	38	26	31	47	48	52	53	50	62	68	46	56	61	62	62	52	63	59	58	71	74	77	68	1	1	2	1	3	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	3	1	2	1	2	2	2	1	2	2	2	2	2	1	1	2	1	2	2	1	1	1	2	2	1	1	2	2	2	1	3	1	2	1	1	2	3	1	1	2	1	2	1	1	2	1	2	2	1	2	1	2
