step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
1	-2267.791821594416433	-2266.329739509897536	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.219395715489098	3	2	2	6	7	5	6	6	6	6	6	6	7	9	8	7	7	7	9	7	8	8	8	8	8	8	8	9	10	9	9	9	9	10	11	10	10	11	10	11	11	11	11	11	12	12	12	12	13	14	13	14	13	14	14	14	15	15	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	4	3	3	3	3	3	3	3	4	6	5	4	4	4	6	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	7	6	6	7	6	7	7	7	7	7	8	8	8	8	8	9	8	9	8	9	9	9	10	10
500	-397.166606442557679	-395.114298174586281	-2.052308267971371	0.000010012613349	0.000024812140580	2.478088358713382	0.354003747221850	3	2	2	3	7	5	3	6	5	6	5	6	7	8	8	7	7	5	8	7	8	8	8	8	8	8	8	8	9	9	7	9	9	10	11	7	10	11	10	11	11	11	10	11	12	11	10	12	12	13	11	14	13	14	14	14	15	15	2	0	0	2	8	4	3	3	4	4	7	0	11	8	9	9	9	7	12	12	10	17	13	8	16	16	20	36	18	10	6	17	26	26	28	18	29	36	31	30	18	34	36	18	28	39	29	34	42	36	18	28	31	37	28	18	29	28	1	1	1	1	1	2	1	3	2	2	2	1	2	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	3	2	2	2	1	2	3	2	1	4	2	2	6	1	2	3	2	1	1	2	1	5	6	4	6	3	4	8	5	7
1000	-365.766753746051336	-363.273837630209641	-2.492916115841722	0.000010021523163	0.000037454587222	3.737414623853339	0.540298530165317	3	2	2	3	7	4	4	6	5	6	6	6	7	7	8	7	7	5	8	7	7	6	8	8	6	8	8	9	9	8	9	9	9	10	10	7	10	11	10	10	10	11	11	11	10	11	12	12	13	14	13	14	13	12	11	14	15	15	2	0	0	2	8	4	3	3	6	4	7	0	11	8	17	25	9	7	12	12	4	9	11	14	9	25	20	36	36	21	21	17	26	26	28	18	29	36	31	30	36	34	37	18	28	31	36	26	48	18	29	45	46	43	45	36	18	28	1	1	1	1	1	1	2	2	1	3	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	2	1	2	2	1	2	1	2	1	3	1	2	3	1	1	5	1	1	2	2	1	7	4	3	2	1	1	6	7	5
1500	-316.579775315544225	-314.451691410202670	-2.128083905341569	0.000009967565353	0.000026716327780	2.680326321900226	0.610385522399201	3	2	2	4	6	4	5	4	6	6	6	6	7	7	8	7	7	7	9	7	8	8	8	8	5	8	8	9	8	9	9	9	9	10	11	10	10	11	10	11	10	11	11	10	12	11	12	12	12	14	13	14	13	14	14	11	15	14	2	0	0	2	8	2	8	3	25	4	7	0	11	5	16	25	9	7	12	12	10	9	13	14	2	16	20	18	18	21	21	16	26	26	28	29	18	36	31	30	29	34	37	18	35	31	41	42	34	36	44	45	46	43	45	28	41	45	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	2	2	1	2	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	3	2	2	2	2	2	4	2
2000	-310.212582273404109	-308.320532707690234	-1.892049565713890	0.000009991509670	0.000020648997520	2.066654409665968	0.712232267017090	3	2	2	6	5	4	5	4	6	5	6	6	7	6	8	7	7	7	9	7	7	8	8	7	5	8	8	8	9	9	8	8	9	10	11	10	9	10	9	10	11	11	11	11	11	12	11	11	13	14	13	13	13	14	14	14	13	14	2	0	0	6	8	2	8	3	25	2	7	0	7	5	17	25	9	11	12	12	4	9	13	14	6	16	20	18	18	21	21	16	26	26	28	29	18	29	31	21	18	34	37	38	28	39	29	34	42	44	44	35	46	37	52	45	47	52	1	1	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	2	1	1	2	1	3	2	1
2500	-306.763702136975837	-304.732904949943759	-2.030797187032078	0.000009999112942	0.000024214177580	2.421632570948437	0.678532921305710	3	2	2	6	6	4	5	3	6	5	6	5	7	7	8	7	7	7	9	7	7	7	7	8	5	8	8	9	10	8	9	9	9	10	11	10	9	9	10	11	8	11	11	11	10	12	12	12	13	14	13	14	13	14	14	12	15	15	2	0	0	10	8	2	8	3	25	6	7	0	7	5	17	25	9	11	12	12	6	9	11	14	6	16	20	41	41	21	21	16	26	26	28	41	18	18	31	30	18	34	37	38	28	31	29	42	34	44	44	28	46	43	56	45	47	55	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	3	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	2	1	1	2	2	1	2	2	1	2	2	1	3	1	2	2	2	1	1
3000	-318.684911144057764	-316.571519713601504	-2.113391430456283	0.000010353115351	0.000027339388392	2.640691952676987	0.581140447756872	2	1	1	6	7	4	5	4	6	5	6	6	7	7	8	7	7	6	9	7	7	8	8	8	5	7	8	9	10	9	9	9	8	10	11	9	9	10	10	11	8	11	11	11	12	11	12	12	12	14	13	14	13	14	14	14	15	15	2	0	0	10	8	1	8	3	25	6	7	0	7	8	25	25	9	7	12	12	10	9	13	14	6	25	20	18	36	4	21	16	26	26	28	18	41	41	31	30	18	34	37	38	28	31	41	42	42	44	44	45	46	43	45	45	47	55	1	1	1	1	2	2	1	1	1	1	1	1	1	3	3	2	1	1	2	1	2	2	1	1	1	2	1	1	1	3	2	2	1	2	2	2	1	2	1	2	2	1	2	1	1	2	3	1	1	2	2	2	2	3	2	2	2	1
3500	-318.165288794772380	-316.000717899179108	-2.164570895593295	0.000010400019508	0.000028908536795	2.779661785463226	0.609831291816022	3	2	2	4	6	5	5	4	6	4	6	6	6	7	8	7	7	7	9	7	7	8	8	8	5	8	8	9	10	9	8	9	9	10	11	10	10	11	10	9	11	11	11	11	11	11	12	12	13	13	12	14	13	14	14	13	12	15	2	0	0	2	8	4	8	3	25	2	7	0	7	5	9	25	9	11	12	12	6	9	13	14	10	16	20	18	18	21	21	16	26	26	28	18	18	28	31	21	18	34	37	36	29	39	18	42	42	44	44	45	46	43	45	45	29	55	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	2	2	2	2	2	3	1	1	1	1	1	2	1	1	2	1	2	2	3	2	2	2	1
4000	-317.285314169504545	-315.679780378314831	-1.605533791189727	0.000010882358660	0.000014866497296	1.366109844421371	0.585872262875615	3	2	2	6	7	4	5	4	6	3	6	5	7	7	8	7	7	7	8	7	7	8	8	8	5	8	8	9	9	9	8	9	8	10	11	10	9	10	10	10	10	11	11	10	12	11	12	12	13	14	11	14	13	14	14	14	13	14	2	0	0	10	8	10	8	3	25	2	7	0	7	8	17	25	9	7	12	12	6	16	8	14	6	25	20	18	18	21	21	25	16	26	28	29	18	29	31	30	29	34	37	29	35	39	41	34	34	44	44	45	46	43	45	45	47	45	1	1	1	2	2	1	1	2	1	1	1	1	2	2	1	2	1	2	2	2	3	1	4	1	1	2	1	2	2	2	1	3	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	3	2	1	2	2	2	2	2	1	1
4500	-320.743174845996919	-319.151959137206916	-1.591215708790027	0.000011599678064	0.000015440212800	1.331089769415751	0.648330321697632	3	2	1	6	5	5	5	3	6	4	6	5	6	7	8	7	7	7	8	6	8	8	8	8	5	8	8	9	8	7	9	9	9	9	11	9	9	9	10	9	11	10	11	11	12	11	11	11	13	14	13	14	13	13	14	13	15	15	2	0	0	6	3	10	8	3	25	2	7	0	7	5	17	25	9	13	12	12	30	16	7	14	10	17	20	18	18	6	21	16	26	26	28	18	29	18	31	30	29	34	37	29	28	39	29	42	42	44	44	56	46	43	45	45	38	56	1	1	1	1	3	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	2	1	2	3	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	5	2
