step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69
5000	-404.040658800870517	-410.896146751829917	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630787640666002	0	2	2	1	2	5	5	9	9	8	9	9	11	10	11	12	11	11	12	13	12	11	14	16	16	14	18	18	21	20	22	20	22	23	23	25	23	23	25	24	24	24	24	25	25	26	27	27	27	29	29	30	30	30	31	29	31	31	32	32	33	34	33	34	34	35	36	35	36	0	1	1	1	4	3	0	3	6	6	6	10	11	10	6	13	9	9	22	13	14	10	21	21	21	22	21	21	24	24	28	27	27	30	27	37	30	0	29	31	31	34	32	0	31	41	41	44	11	45	46	41	44	48	50	47	56	47	54	0	48	57	56	61	61	65	62	61	0	1	1	1	1	1	1	1	3	2	2	3	1	1	2	3	1	1	1	1	1	1	2	1	2	2	2	4	3	3	2	3	1	2	2	2	1	2	1	2	1	1	1	2	1	2	1	2	1	12	2	2	3	2	2	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1
5500	-405.293263541671593	-412.148751492630993	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736227671179245	0	1	1	2	3	4	4	8	9	7	9	9	12	10	10	11	10	11	11	12	13	13	15	15	14	16	18	18	21	19	22	22	22	22	23	25	24	23	23	25	24	26	24	26	26	26	26	27	27	28	29	29	29	30	30	29	30	31	30	31	33	34	33	34	32	35	35	35	36	0	1	1	2	4	1	0	6	6	6	8	10	14	10	9	10	10	6	14	11	16	16	21	21	21	22	21	24	30	23	28	30	28	29	32	34	34	0	29	31	31	33	39	0	40	40	41	44	16	31	46	47	44	48	50	47	56	52	48	0	49	63	57	61	48	61	62	61	0	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1	3	1	2	1	1	2	1	1	1	3	1	1	2	2	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	8	2	1	2	1	2	2	1	1	1	2	1	3	1	1	1	3	2	1	1	1
6000	-435.627355452293557	-442.482843403252957	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.474310121739134	0	2	2	2	3	4	4	7	9	10	9	9	13	9	10	12	12	12	11	14	14	13	14	14	16	12	17	19	20	21	22	21	23	21	23	26	23	22	25	24	24	25	23	24	26	26	26	27	26	28	30	28	28	30	30	30	30	31	32	31	32	34	34	35	34	35	35	36	36	0	1	1	1	4	2	0	6	8	8	1	6	2	8	11	19	15	19	15	9	26	10	10	16	21	10	24	27	24	24	30	28	27	27	28	34	34	0	43	31	31	30	32	0	40	40	41	49	23	45	46	40	44	48	45	47	52	47	54	0	48	56	52	59	61	61	62	61	0	1	1	1	1	1	1	1	2	2	1	4	2	5	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	4	1	2	2	2	2	2	1	1	1	1	1	3	1	1	1	2	1	1	7	1	2	2	2	2	2	2	1	2	1	1	3	2	3	1	1	2	1	2	1
6500	-419.627836763219875	-426.483324714179275	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631154440120581	-1	1	1	2	3	4	4	6	9	6	8	6	12	10	11	10	11	10	10	13	13	14	15	14	15	14	17	18	20	20	22	22	22	22	23	24	24	23	24	24	25	25	25	25	25	27	26	27	26	28	30	28	30	29	29	31	29	32	31	32	33	35	33	33	33	35	36	35	36	0	1	1	2	4	2	0	1	11	1	2	6	19	8	8	11	19	9	9	13	14	13	21	21	10	19	25	21	28	28	29	29	14	30	33	30	34	0	32	28	40	36	32	0	40	45	41	44	15	45	31	40	49	48	40	41	47	52	54	0	54	63	57	59	48	65	62	65	0	1	1	1	1	1	3	1	4	1	4	3	1	1	2	2	1	1	1	1	1	2	2	1	1	5	2	1	2	1	1	1	1	5	1	1	2	1	1	1	3	1	1	2	1	1	1	1	2	8	1	4	2	2	1	2	3	1	2	1	1	2	1	2	1	2	1	1	1	1
7000	-373.322793859640569	-380.178281810599970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.582320688362407	-1	1	2	2	3	4	5	8	9	7	9	9	11	10	11	12	11	12	12	13	13	13	12	15	15	15	17	19	21	20	21	21	22	22	23	25	24	22	24	24	24	25	23	24	25	28	26	26	27	28	30	28	29	29	30	31	30	32	32	32	33	34	33	35	35	34	36	35	35	0	1	1	1	4	3	0	6	10	6	8	6	9	10	9	14	11	11	8	9	23	16	14	21	21	18	24	10	25	27	21	24	27	30	28	30	30	0	43	28	28	29	32	0	31	45	41	44	44	40	46	47	49	44	50	57	41	47	54	0	59	56	56	66	54	54	62	61	0	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	1	1	1	1	1	2	1	5	3	1	4	3	2	2	2	3	2	1	1	2	3	2	1	1	2	2	1	1	1	2	1	2	1	2	1	1	2	2	1	1	1	1	1	1	2	3	1	1	1
7500	-388.222677431014688	-395.078165381974088	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677482258896905	0	2	2	2	3	4	4	8	8	10	9	8	10	9	10	12	11	11	11	12	13	13	14	15	15	14	18	17	20	20	21	22	21	22	22	26	23	22	23	23	25	25	24	25	25	27	27	26	26	29	29	29	27	29	31	31	28	33	32	31	33	35	31	34	34	34	35	35	36	0	1	1	1	4	2	0	6	6	8	9	6	8	8	9	10	11	11	9	15	14	6	10	21	22	16	24	24	24	22	27	29	24	27	33	34	33	0	32	31	31	37	33	0	40	40	41	44	44	41	46	47	49	44	40	57	47	52	44	0	54	63	57	61	54	61	63	59	0	1	1	1	1	1	1	1	3	2	1	1	2	1	1	1	1	1	1	2	1	2	4	2	1	2	2	2	1	2	3	2	1	2	2	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	2	1	1	1	2	4	3	1	2	4	1	2	2	2	1	2	1	2	1	1
8000	-358.707787786259985	-365.563275737219385	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734208877399563	-1	1	1	2	3	4	4	8	10	7	9	8	13	9	12	11	12	11	10	12	12	11	14	15	15	14	18	19	21	21	23	21	23	22	24	24	25	23	22	25	25	26	24	25	25	27	27	26	26	28	29	29	29	30	30	31	31	33	33	28	32	34	33	34	33	34	34	34	36	0	1	1	2	4	3	0	10	8	6	6	6	8	10	19	11	19	11	8	6	14	9	21	21	21	16	24	25	24	28	28	28	28	30	29	34	34	0	32	27	31	36	39	0	31	31	41	44	44	45	46	41	49	48	45	47	52	56	54	0	54	57	57	59	54	54	63	54	0	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	1	1	1	4	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	2	1	2	1
8500	-375.941990154520454	-382.797478105479854	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657867252438580	0	1	2	1	2	4	5	6	9	9	10	9	12	10	10	10	12	11	9	13	13	13	14	15	15	15	18	18	20	19	22	20	22	22	22	22	25	23	25	24	25	26	24	25	26	26	27	27	27	29	29	30	29	30	30	28	31	32	31	32	32	35	33	35	35	35	36	35	35	0	1	1	1	4	3	0	6	3	8	6	8	15	10	6	10	15	19	8	11	14	10	21	21	21	22	24	24	30	24	28	27	29	30	28	28	34	0	43	31	31	37	32	0	31	31	41	44	44	31	46	47	49	48	45	46	56	52	54	0	54	63	52	59	61	61	63	54	0	1	1	1	1	1	1	1	2	5	1	3	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	2	1	1	4	2	2	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	2	1
9000	-367.451464162339107	-374.306952113298507	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649810178468648	0	1	3	2	3	5	5	8	8	8	9	7	12	10	10	12	10	11	11	13	12	13	14	16	15	15	17	19	20	21	22	21	23	22	24	25	24	23	25	25	25	26	23	25	25	27	27	27	27	29	30	30	29	30	30	29	30	32	31	30	33	34	33	35	35	36	36	34	36	0	1	2	1	4	3	0	2	2	6	9	6	19	3	10	19	11	8	15	15	14	16	21	21	14	22	24	24	27	24	28	28	32	30	28	30	34	0	43	29	31	34	32	0	28	31	41	44	44	46	46	47	49	48	50	47	56	52	54	0	48	56	47	59	61	54	62	61	0	1	1	1	1	1	1	1	4	2	2	1	1	1	3	1	1	1	2	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	2	2	1	1	1	2	2	2	1	1	3	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	3	2	3	2	1	2	2	1	1
9500	-361.941337106609296	-368.796825057568697	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623837845332276	0	1	1	2	3	4	3	9	9	9	8	7	13	10	11	11	11	10	12	13	13	14	14	16	15	16	18	18	20	20	23	22	21	23	24	25	24	23	24	24	25	25	23	25	25	27	27	26	26	28	29	28	29	29	30	31	29	33	31	31	32	33	31	33	34	36	35	35	37	0	1	1	3	4	3	0	6	2	6	6	6	19	9	10	10	8	11	15	10	14	16	14	22	21	9	24	26	24	27	29	33	24	30	33	34	34	0	43	31	31	37	32	0	31	45	41	44	44	45	46	47	49	48	50	57	52	56	53	0	59	57	57	59	61	61	57	65	0	1	1	1	1	1	1	1	2	4	2	3	2	1	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	3	1	1
