step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
18500	-75.158655902779586	-84.209499283230926	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.965224173097612	-6	4	5	11	11	12	19	26	21	30	40	59	62	53	71	0	1	1	2	1	3	5	9	4	8	10	14	12	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19000	-70.453725110163461	-79.504568490614801	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.943171444846857	-4	3	8	4	20	11	12	24	21	35	46	58	59	52	63	0	1	2	1	3	4	2	5	3	5	10	14	14	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19500	-71.874882789692180	-80.925726170143520	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994750608713103	0	5	9	3	17	12	18	21	29	39	46	54	57	56	62	0	1	4	1	2	3	3	5	5	9	10	10	11	12	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-68.879785308006575	-77.930628688457915	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980337398673585	-3	5	7	10	19	9	18	21	27	40	45	61	58	51	62	0	1	1	3	6	2	6	6	5	9	10	14	14	10	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20500	-74.567071112036103	-83.617914492487444	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.885666996223278	-5	2	-2	3	20	9	21	17	29	41	50	51	62	54	67	0	1	1	3	6	4	8	6	8	9	10	10	12	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21000	-79.128837307050645	-88.179680687501985	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983169754565058	-1	2	9	8	14	11	18	18	27	35	43	57	59	55	53	0	1	1	1	4	2	3	3	6	9	9	11	14	10	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21500	-78.667114665212836	-87.717958045664176	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971078917178732	1	3	6	8	10	15	20	25	29	40	42	64	63	53	71	0	1	2	2	4	5	5	4	8	9	8	14	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22000	-78.803900197770176	-87.854743578221516	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.951582939248121	-5	7	7	10	23	14	2	26	29	42	49	56	61	51	64	0	1	7	2	4	4	1	2	5	8	10	14	12	10	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22500	-72.676662303261637	-81.727505683712977	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.905571975968015	-3	4	10	4	17	12	16	26	29	33	41	57	59	52	66	0	1	1	1	4	3	3	5	5	8	10	14	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23000	-68.255566692665397	-77.306410073116737	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.921181319876777	-3	1	4	8	18	10	12	18	30	36	46	53	64	59	65	0	1	1	2	6	3	3	6	8	9	10	11	12	12	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23500	-72.213635367545081	-81.264478747996421	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990213700396449	-4	4	3	5	23	10	16	23	30	33	41	58	54	59	72	0	1	1	3	6	3	3	7	8	9	9	13	11	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-74.687918111201355	-83.738761491652696	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.952849287308313	-7	1	10	11	16	2	14	16	26	41	49	56	58	52	73	0	1	6	6	3	1	6	3	7	9	10	14	14	10	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-85.817430787011645	-94.868274167462985	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.964818145709391	-6	5	8	10	20	9	14	28	28	37	51	57	58	41	61	0	1	2	2	2	3	3	4	5	9	10	11	11	9	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25000	-72.196469076435633	-81.247312456886974	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983162967254202	-7	4	10	4	19	6	17	24	28	36	46	57	60	58	68	0	1	2	1	6	2	6	3	8	9	10	11	12	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25500	-72.636101121292029	-81.686944501743369	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.924482005254848	-1	3	8	8	16	12	17	17	13	34	45	57	62	60	67	0	1	1	1	3	2	6	6	2	8	10	11	12	12	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26000	-76.860112758015319	-85.910956138466659	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972990119924384	-4	-1	3	10	22	8	15	19	28	37	50	54	52	60	59	0	1	2	2	7	1	4	6	8	8	10	11	11	13	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26500	-78.410027797082009	-87.460871177533349	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.901009551070523	1	5	11	9	17	5	8	19	29	37	41	58	50	58	65	0	1	4	2	3	1	1	7	4	9	10	13	10	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27000	-75.525229631464683	-84.576073011916023	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.901093412877085	-3	4	4	10	21	6	13	27	22	41	49	59	53	61	56	0	1	1	3	7	2	3	9	4	8	10	15	11	13	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27500	-78.855616018265323	-87.906459398716663	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.932198631251791	-4	4	5	11	21	16	16	9	26	37	47	51	64	52	61	0	1	1	2	8	8	8	3	5	9	10	10	14	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
