step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-5566.193321569235195	-5564.731239484716752	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.212710413144158	6	8	6	8	9	9	10	10	10	13	11	10	10	11	12	12	14	13	13	14	13	15	15	18	16	14	16	16	17	16	15	17	17	17	17	18	16	17	18	18	21	21	19	22	21	22	21	22	21	21	21	22	22	21	23	22	23	23	23	23	24	24	23	24	25	25	25	25	25	26	25	28	30	30	32	31	34	35	37	39	39	39	42	42	43	45	45	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	4	3	2	2	3	3	3	4	4	4	4	4	5	5	6	5	4	5	5	6	5	5	6	6	6	6	6	5	6	6	6	8	8	7	8	8	8	8	8	8	8	8	8	8	8	9	8	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	11	12	12	13	13	14	15	16	17	17	17	18	18	19	20	20
500	-1540.140094951399533	-1537.388447845955625	-2.751647105443828	0.000009984374415	0.000045754893343	4.582649992847482	0.234580548356384	7	8	6	7	9	9	10	9	9	14	11	11	10	11	11	12	13	13	13	15	13	14	16	17	16	15	17	16	17	16	12	17	17	18	17	15	17	18	18	19	21	22	18	22	22	23	20	22	20	21	21	23	21	19	20	23	23	24	22	22	24	24	23	24	25	25	25	24	26	26	26	29	30	30	32	28	32	36	38	40	39	40	42	43	44	45	46	3	3	0	3	4	4	3	3	3	15	4	2	3	9	5	11	12	4	12	10	8	13	21	31	12	18	36	18	18	21	11	22	22	31	36	19	36	0	30	32	31	22	18	18	31	29	37	22	35	34	24	32	43	37	4	37	54	47	31	33	26	29	59	48	56	0	37	36	0	55	55	0	44	0	18	0	0	67	76	76	10	76	13	76	76	76	74	1	1	1	1	1	2	3	1	1	1	2	1	3	2	1	1	1	3	1	1	3	2	1	3	2	2	2	2	3	2	1	3	2	4	1	1	2	1	1	1	6	7	2	5	5	3	2	5	2	2	2	4	2	1	8	4	3	2	7	3	4	4	1	1	1	1	5	5	1	5	4	1	4	1	12	1	1	9	8	11	17	7	16	11	16	9	12
1000	-920.290436667944164	-918.066475834771040	-2.223960833173174	0.000010051323537	0.000029593161535	2.944205449769337	0.353467633892571	6	7	4	8	9	9	10	10	10	14	11	11	9	10	12	13	14	13	13	15	14	14	16	19	17	15	16	17	17	16	15	16	17	17	18	15	17	17	19	18	19	22	20	22	18	22	20	22	22	22	22	22	22	20	22	23	22	23	23	24	24	24	24	24	25	25	25	24	25	27	25	29	31	30	33	28	34	35	37	39	40	38	43	43	44	43	46	3	3	0	1	1	2	3	4	1	7	3	6	4	2	9	5	12	7	12	15	2	12	21	34	12	18	36	15	18	21	16	22	22	31	27	19	36	0	30	32	31	32	28	26	31	26	35	33	27	45	41	40	43	36	18	57	27	47	31	42	28	29	59	32	56	0	57	37	0	55	44	0	55	0	11	0	0	76	76	76	76	77	76	76	76	79	76	1	2	1	1	2	2	3	1	2	3	4	1	1	2	1	2	2	1	1	1	4	2	1	1	3	1	1	3	2	1	2	2	3	2	1	1	1	1	2	1	1	4	3	3	1	3	1	3	4	2	2	2	1	2	6	1	4	2	5	1	2	4	1	3	1	1	2	3	1	4	2	1	4	1	13	1	1	7	7	10	11	2	13	9	16	2	10
1500	-786.942813263445942	-784.954760005886783	-1.988053257559177	0.000010164723432	0.000023486995131	2.310637892669890	0.458823360854704	7	8	6	9	10	9	8	11	10	13	11	10	8	12	13	12	14	12	13	15	13	15	15	18	17	15	15	17	17	16	16	16	17	17	18	18	17	17	18	18	22	21	19	22	18	22	21	20	22	20	20	21	21	19	24	21	23	24	23	24	25	25	24	24	24	25	26	25	24	26	26	28	30	31	33	28	34	36	37	39	40	39	43	43	44	45	45	3	1	0	3	7	7	3	2	3	3	4	7	3	9	2	11	12	7	12	5	8	12	21	34	17	18	19	18	26	21	16	22	32	31	27	27	27	0	30	32	51	40	28	18	31	18	35	32	35	45	31	40	43	27	26	54	56	47	31	52	44	46	59	48	56	0	57	56	0	18	44	0	55	0	18	0	0	76	76	76	76	79	76	76	76	84	78	1	1	1	1	1	1	1	2	2	2	1	1	1	1	3	1	2	2	1	3	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	6	1	5	2	2	2	1	2	2	2	2	4	2	1	2	4	2	1	3	1	2	2	1	2	2	1	7	2	1	3	1	13	1	1	7	7	8	10	1	12	9	13	2	6
2000	-756.318910812633931	-754.194048300145937	-2.124862512487981	0.000010242720755	0.000027364642664	2.671618539423359	0.428155150327112	7	8	6	8	10	9	10	10	10	13	11	9	10	12	12	13	13	14	13	14	13	13	16	19	16	15	15	16	17	17	16	16	17	17	18	19	17	16	19	17	21	21	19	19	22	23	21	22	19	21	20	23	22	19	22	23	23	24	22	24	24	25	23	24	25	23	26	26	26	26	25	28	30	31	33	28	35	36	36	40	40	38	43	43	44	45	45	3	3	0	3	3	1	1	4	2	7	1	3	4	9	5	6	7	15	12	15	8	12	21	34	12	18	19	26	26	21	5	22	32	31	37	27	27	0	30	32	31	40	28	26	51	29	35	33	35	24	31	42	43	37	18	54	54	47	41	42	44	46	59	48	56	0	56	56	0	44	55	0	55	0	55	0	0	76	76	76	76	78	76	76	76	84	81	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	2	2	1	2	1	2	3	2	2	3	1	1	1	1	2	2	2	1	1	1	2	2	1	1	1	3	2	2	2	1	3	2	4	1	1	2	2	2	2	5	3	3	1	1	2	2	2	1	1	1	1	1	2	1	5	2	1	4	1	6	1	1	5	5	8	8	1	12	9	12	1	3
2500	-709.437809531869561	-707.539447489736517	-1.898362042133016	0.000010553956605	0.000021978496080	2.082488767299876	0.464903362279523	6	8	4	9	10	10	11	10	11	14	11	11	9	10	12	13	13	13	13	15	13	15	15	18	16	14	15	16	16	16	15	16	18	17	17	19	17	18	18	18	21	20	20	21	21	22	21	22	21	20	19	23	23	21	23	23	24	24	23	24	24	23	24	24	25	26	25	25	25	26	25	28	29	28	30	28	32	32	38	39	39	37	42	43	44	45	44	3	1	0	1	4	13	2	3	1	13	2	8	3	13	5	11	12	7	12	7	5	12	21	34	17	18	19	26	18	21	16	22	32	31	27	27	27	0	30	22	51	40	28	26	51	29	36	33	35	51	24	42	43	37	46	54	27	47	51	42	44	46	59	48	56	0	56	56	0	44	44	0	55	0	55	0	0	76	76	78	76	78	76	80	78	84	83	1	1	1	1	1	1	2	3	3	3	1	1	3	1	1	2	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	1	3	1	2	2	1	1	2	1	2	1	1	4	2	2	2	2	1	1	1	2	1	1	1	1	4	1	1	4	1	5	1	1	3	4	6	5	2	10	4	11	1	1
3000	-655.589177119661144	-653.304720633866509	-2.284456485794582	0.000010550596630	0.000032871353158	3.115591877016417	0.581517474780504	7	9	6	8	9	8	10	10	10	13	10	9	11	12	13	11	15	14	14	14	13	14	15	17	17	15	16	17	17	15	16	17	18	18	18	18	17	16	18	18	21	19	19	22	21	22	20	20	21	21	19	22	22	20	24	21	23	24	22	23	24	25	24	22	26	26	24	26	25	25	26	28	30	30	31	31	34	32	37	40	38	40	41	42	44	45	44	3	3	0	3	1	1	2	5	5	13	4	3	2	9	2	11	12	7	12	2	8	12	21	16	17	18	19	18	26	21	16	22	32	24	27	27	27	0	23	32	51	40	28	28	51	29	35	33	35	51	24	42	43	27	44	54	56	47	51	42	44	46	59	48	57	0	57	57	0	44	70	0	55	0	55	0	0	76	78	78	79	79	78	83	78	84	83	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	2	2	2	2	1	3	1	1	1	2	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	2	1	3	1	1	1	1	2	2	2	2	1	1	2	3	2	2	1	2	1	2	2	1	1	1	1	2	1	1	3	1	3	1	1	1	3	6	1	2	7	1	10	2	1
3500	-637.926024249287593	-636.013976440226656	-1.912047809060976	0.000010654267276	0.000022554163665	2.116913634716851	0.597469926460153	6	8	5	8	9	10	11	9	10	13	11	10	9	11	11	12	13	14	12	13	13	14	15	18	15	15	16	16	18	15	16	17	18	16	17	19	15	17	19	19	19	20	19	21	22	22	22	23	20	22	21	23	22	21	23	22	23	24	21	24	24	24	23	24	26	26	25	25	24	25	24	28	29	30	32	30	35	32	38	38	40	39	41	42	43	44	45	3	1	0	3	1	4	2	3	4	13	5	4	1	4	13	5	12	20	12	15	4	12	21	34	12	18	37	18	26	21	11	22	22	16	27	27	19	0	30	32	31	33	28	26	41	29	35	32	27	41	41	42	43	27	44	54	56	47	41	42	44	46	59	48	56	0	57	57	0	55	44	0	55	0	73	0	0	76	78	78	80	80	78	80	78	84	83	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	3	1	1	1	1	1	3	2	2	2	1	2	2	1	3	1	2	1	1	3	2	2	3	3	2	2	1	2	1	2	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	2	2	1	2	1	2	1	1	2	2	4	2	1	6	2	10	1	2
4000	-572.016773984079578	-570.298281443712767	-1.718492540366862	0.000010872439813	0.000017831012380	1.640019414787198	0.676361036294219	6	8	4	8	8	9	10	10	11	13	11	11	11	12	10	12	13	13	13	14	14	14	16	19	16	14	16	17	17	16	15	17	17	17	18	18	16	18	18	18	18	20	19	21	20	21	21	22	22	21	21	22	22	21	23	23	24	24	22	24	24	24	24	25	25	24	25	25	24	26	26	28	29	29	31	31	34	35	37	38	40	40	43	42	44	45	45	3	1	0	1	1	1	2	4	15	13	5	15	3	9	4	11	12	2	12	13	13	12	21	34	17	18	19	26	26	21	16	22	22	31	37	37	19	0	30	22	31	40	28	26	41	29	35	33	35	41	45	42	43	37	44	54	56	47	41	42	44	46	59	48	56	0	57	57	0	61	44	0	44	0	73	0	0	76	78	78	80	80	78	82	79	84	81	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	2	2	1	2	2	2	1	2	1	2	2	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	4	1	2	2	2	2	1	1	1	1	2	1	2	1	2	2	2	1	2	1	2	1	1	1	1	1	1	3	1	4	1	1	1	1	2	2	2	1	1	5	1	4	1	2
4500	-526.246594953685417	-524.540397546640406	-1.706197407044975	0.000011984480095	0.000019297780137	1.610230897337658	0.720084692010468	7	7	5	8	9	10	9	10	10	13	11	10	9	12	12	12	14	13	13	13	12	15	15	18	16	15	15	17	18	15	15	17	17	16	17	19	16	17	19	18	20	22	20	22	20	21	21	21	21	21	21	20	23	21	23	22	24	23	23	23	25	24	24	25	24	26	26	26	26	26	25	28	31	30	33	31	35	36	37	39	39	40	43	42	43	46	45	3	3	0	2	1	4	1	7	7	15	13	3	4	9	13	11	12	15	12	2	8	12	21	34	17	18	19	26	18	21	16	22	22	31	27	37	27	0	30	32	24	52	28	26	31	29	35	33	36	41	45	40	43	36	44	54	56	47	41	52	44	46	59	48	56	0	56	57	0	44	44	0	61	0	73	0	0	77	78	79	79	80	81	82	84	84	83	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	2	2	2	2	2	1	1	2	1	1	2	1	1	1	2	3	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	2	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1	2	1
