step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-1632.437757415965280	-1630.975675331446382	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.357216209982112	0	3	5	4	5	6	6	7	6	7	7	8	9	7	7	8	7	8	11	8	9	10	9	9	9	9	11	12	10	10	11	11	11	11	10	11	10	12	11	12	11	12	12	11	12	13	12	13	13	13	12	14	14	12	13	14	13	14	13	16	14	14	15	15	14	16	16	15	16	15	17	17	17	16	17	18	18	19	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	3	4	3	4	4	4	5	4	4	4	4	4	6	4	5	5	5	5	5	5	6	6	5	5	6	6	6	6	5	6	5	6	6	6	6	6	6	6	6	7	6	7	7	7	6	7	7	6	7	7	7	7	7	8	7	7	8	8	7	8	8	8	8	8	9	9	9	8	9	9	9	10
500	-566.150883477017032	-564.145649696200167	-2.005233780816829	0.000010001987419	0.000023555333668	2.355065316630554	0.520332340925890	-2	3	5	4	5	6	7	7	5	8	8	8	9	7	8	8	8	9	10	8	8	8	10	9	8	9	12	11	7	10	11	11	12	11	11	10	10	13	9	10	9	12	12	11	12	14	12	13	13	13	13	13	14	13	11	15	13	14	14	15	13	14	14	16	14	16	16	15	16	15	17	17	17	17	17	18	17	19	0	1	4	2	2	4	2	4	4	4	3	3	5	6	3	9	29	7	8	2	3	14	25	16	6	25	16	40	9	17	20	12	13	17	8	22	22	24	6	16	20	10	41	41	12	37	25	30	37	39	40	41	42	43	8	42	42	54	22	30	42	34	37	50	43	52	49	7	52	10	65	28	57	59	43	49	66	49	1	2	1	1	1	1	3	1	1	2	2	2	2	1	2	1	1	1	2	3	2	1	1	1	2	1	2	1	2	2	3	1	1	2	2	2	2	3	2	1	1	1	2	1	2	2	2	1	2	2	2	4	1	1	2	2	1	1	3	2	1	2	2	2	1	2	1	4	2	4	2	3	2	1	3	2	1	3
1000	-478.573406354201495	-476.300977910015376	-2.272428444186136	0.000009992387039	0.000030788590403	3.081204749459160	0.749192331226308	0	2	4	3	6	6	6	8	5	6	7	8	9	7	6	7	8	7	12	8	9	11	8	8	10	10	10	13	7	10	12	11	11	11	11	11	9	12	12	11	10	12	12	11	13	13	12	13	13	13	12	13	14	13	13	14	13	15	13	15	15	15	14	15	14	16	17	16	15	13	17	15	17	16	18	18	17	19	0	1	2	2	3	9	3	15	2	4	4	4	5	6	9	9	29	2	8	11	12	37	18	16	14	14	16	40	9	17	20	12	13	29	8	37	14	24	25	16	20	26	41	41	21	22	25	30	36	39	40	41	42	43	35	42	42	54	36	34	26	48	22	70	43	43	46	57	43	39	65	51	57	59	65	67	69	74	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	3	2	1	2	1	1	2	2	1	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	2	2	2	2	1	2	2	2	1	2	1	1	2
1500	-480.350583916454127	-478.554365712084063	-1.796218204370069	0.000010106776274	0.000018488443087	1.829311601018471	0.608249160610993	0	3	5	4	5	6	5	7	5	8	6	8	9	7	7	8	8	9	11	7	10	11	9	9	10	10	12	12	7	10	12	11	11	11	10	9	8	13	11	10	9	12	11	10	12	14	12	13	14	13	13	15	15	13	13	15	13	14	13	15	15	14	15	14	14	15	16	15	17	15	17	18	17	16	17	18	18	20	0	1	2	2	2	3	4	7	2	7	4	2	5	6	2	9	29	6	8	11	11	36	14	16	14	2	16	40	2	29	20	21	13	30	8	37	6	24	25	16	20	14	41	41	21	22	14	29	22	39	40	41	42	43	35	42	42	54	47	34	42	17	46	39	54	43	47	57	58	64	43	51	57	46	66	67	69	74	1	2	1	1	1	1	1	1	1	1	1	3	2	1	2	1	1	2	2	1	3	1	1	1	2	3	2	1	2	2	2	1	2	1	2	1	1	3	1	1	1	2	1	1	1	2	3	2	1	2	2	3	2	1	2	1	1	1	1	2	1	3	1	1	1	2	2	1	2	1	3	2	2	1	1	1	1	1
2000	-447.777032933110036	-445.792274147610840	-1.984758785499187	0.000010236597097	0.000023566147049	2.302146585054946	0.729649281575750	1	3	5	4	4	5	6	7	6	7	8	8	9	7	8	8	8	7	11	7	10	10	7	9	9	9	11	13	7	10	9	11	11	11	11	11	9	12	10	12	11	12	12	12	12	12	12	12	13	13	13	15	14	13	14	14	13	14	14	16	14	15	16	15	14	16	15	16	17	16	17	16	17	17	18	18	18	20	0	1	4	2	2	2	2	3	2	4	10	3	7	6	8	7	29	3	8	3	12	25	6	16	6	14	16	40	3	17	20	12	13	17	8	37	14	24	25	27	20	25	41	41	21	22	26	30	46	39	40	41	42	43	35	42	42	54	46	30	42	48	46	39	54	54	46	57	58	64	65	51	57	67	65	67	69	74	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	3	1	2	2	2	1	2	2	2	2	1	2	2	2	1	2	1	1	2
2500	-447.349643904391598	-445.543625178506829	-1.806018725884765	0.000010461310315	0.000019388471461	1.853350190037906	0.615661347186574	0	2	4	4	5	6	5	6	6	7	6	7	9	8	8	8	8	8	11	9	9	11	9	9	9	9	11	13	7	10	11	10	11	12	10	12	10	13	10	11	11	11	12	12	11	13	12	13	14	13	13	13	14	13	14	14	13	13	14	17	14	15	15	15	15	16	14	16	17	16	18	16	18	16	17	17	17	19	0	1	2	2	3	4	4	2	3	4	4	2	5	6	8	9	29	6	8	11	12	37	6	16	6	6	16	40	9	17	20	21	13	17	8	22	14	24	14	16	20	14	41	41	21	26	14	30	36	39	40	41	42	43	35	42	42	43	36	30	42	48	36	50	43	54	26	56	58	64	66	51	57	46	65	67	58	74	1	1	1	1	1	1	1	2	1	1	1	3	2	1	1	1	1	1	3	2	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	1	1	1	3	2	2	1	2	1	1	2	1	2	2	1	1	1	3	1	2	2	2	2	2	2	1	2	1	1	1	2	1	1	1	2	2
3000	-459.333720679444980	-457.660678869876904	-1.673041809568091	0.000010546313499	0.000016135617001	1.529976991683879	0.679204001750112	0	4	6	3	6	6	4	7	5	6	6	8	7	7	8	7	8	8	11	8	10	10	9	9	9	10	11	12	7	10	11	11	11	11	10	11	11	12	10	11	9	11	11	11	12	14	12	13	13	12	13	13	13	12	13	13	12	15	14	15	14	15	14	14	14	16	16	14	16	16	18	17	17	15	17	18	19	19	0	4	2	1	4	2	4	4	7	7	7	10	5	6	8	9	29	14	15	11	12	14	6	16	14	14	16	40	9	17	20	21	13	17	8	22	22	24	6	16	20	26	41	41	21	36	26	34	22	39	40	41	42	43	35	42	42	43	36	34	56	48	49	39	54	43	26	47	58	64	65	51	68	46	58	67	58	74	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	2	1	2	2	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	2	2	2	1	1	2	1	1	2	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	1	2	2
3500	-476.539080660286231	-474.643830462437450	-1.895250197848784	0.000010800030268	0.000022406601732	2.074679531183259	0.701046713510646	1	3	5	4	5	5	6	6	5	7	8	6	9	7	7	7	8	9	11	8	9	10	9	9	9	10	10	12	7	10	12	10	12	11	11	12	8	11	11	11	11	12	12	12	11	13	9	14	13	14	13	15	14	13	13	15	13	14	13	16	14	13	15	14	14	17	15	14	17	15	18	18	18	16	17	18	19	18	0	1	2	2	4	2	4	4	2	3	10	2	5	6	8	9	29	14	8	10	12	37	6	16	6	14	16	40	9	17	20	12	13	29	8	37	6	24	18	16	20	25	20	41	12	22	14	62	37	39	40	41	42	43	19	42	42	43	36	34	42	17	46	39	43	43	25	47	58	64	65	51	57	49	65	67	69	74	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	2	2	2	1	2	1	3	2	2	2	2	2	1	1	1	2	1	1	2	1	2	2	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	3	2	1	2	2	2	1	2	1	1	1
4000	-437.501000504625551	-435.928856141031815	-1.572144363593763	0.000011392167645	0.000014629584722	1.284179199015293	0.738440558828885	0	4	5	5	6	6	5	7	6	7	7	7	9	7	8	7	8	9	11	7	9	11	9	10	9	10	11	12	7	9	11	11	11	11	10	11	9	13	11	11	11	12	12	12	12	12	13	13	14	13	13	13	14	13	13	13	13	15	12	15	14	14	14	14	14	16	16	15	17	16	17	17	16	16	18	18	18	18	0	1	2	2	3	2	2	4	3	7	3	7	5	6	8	9	29	14	8	7	12	37	2	16	6	37	16	40	2	29	20	21	13	30	8	37	14	24	25	16	20	25	31	41	12	22	26	34	46	39	28	41	56	43	35	42	42	54	36	34	42	48	46	39	54	43	26	57	58	64	65	51	57	59	65	67	58	74	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	2	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	2	1
4500	-469.720144458461618	-467.956996365180657	-1.763148093280989	0.000012991054665	0.000022715035355	1.748513568789150	0.610001690622896	0	3	4	2	5	6	6	6	6	6	8	7	9	8	8	8	8	9	9	9	9	10	9	10	8	9	12	13	7	11	10	11	10	11	10	12	8	12	12	9	10	11	11	12	13	14	12	12	13	13	12	14	15	12	11	14	12	14	12	16	15	14	14	14	14	16	16	14	16	16	16	16	16	16	17	19	19	18	0	4	2	1	2	2	3	3	4	4	7	4	5	6	8	9	29	6	8	11	12	37	3	16	6	14	16	40	9	29	20	21	13	29	19	37	6	24	26	16	20	26	41	41	12	49	14	29	36	39	40	41	56	43	35	42	42	54	22	17	56	48	26	50	54	54	56	57	58	64	58	51	57	36	65	46	69	74	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	2	1	1	1	2	1	1	1	3	1	1	2	1	2	2	1	1	2	2	1	2	2	2	1	2	2	1
