step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
1	-2130.538814948279651	-2129.076732863760753	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.643595903719759	3	5	8	7	9	9	10	9	10	12	11	11	11	12	13	13	14	15	16	18	17	18	22	22	25	33	34	35	38	40	40	41	43	44	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	4	3	4	5	4	4	4	5	5	5	6	6	7	8	7	8	10	10	11	15	16	16	18	19	19	19	20	21
500	-751.069707867783222	-748.698343830520230	-2.371364037263009	0.000009999656998	0.000033686675786	3.368783128410911	0.197098345504329	2	6	8	5	9	7	8	10	8	13	11	10	11	12	10	14	14	15	16	19	17	19	22	19	26	33	35	33	38	40	40	42	43	44	0	4	4	1	7	4	6	7	4	11	5	7	2	6	4	15	12	14	15	15	15	21	18	15	24	24	24	24	24	24	24	24	24	24	1	1	1	2	1	2	1	1	2	1	2	1	2	2	3	2	2	2	3	5	3	2	3	8	6	10	12	6	13	14	14	18	13	16
1000	-751.626596532660756	-749.406524619765150	-2.220071912895570	0.000009974510202	0.000029258431780	2.933320151829778	0.275387164175661	3	6	8	4	9	6	7	9	7	13	11	12	10	13	12	13	14	15	15	18	17	19	22	19	22	34	33	33	38	40	40	41	43	45	0	4	6	1	7	4	6	7	4	8	7	8	2	6	4	15	12	14	15	15	15	21	18	16	24	25	25	15	24	15	24	25	27	25	1	1	2	1	1	1	1	2	2	2	2	2	2	3	5	1	1	1	2	2	3	1	3	2	3	9	6	9	12	12	9	13	8	12
1500	-654.644207685389460	-652.125432951197467	-2.518774734192028	0.000010084276221	0.000038502821808	3.818104637709573	0.384203072242721	4	6	8	5	10	8	9	10	11	13	11	11	11	13	13	14	15	15	15	18	16	18	22	22	25	32	31	34	39	41	41	42	44	45	0	4	4	1	7	4	6	7	4	7	7	7	2	6	4	15	12	14	15	15	15	21	18	16	24	24	25	15	27	15	27	26	27	27	1	1	2	1	1	2	1	1	2	3	2	1	2	3	6	1	4	1	1	2	2	1	4	3	2	7	3	9	7	12	6	7	8	9
2000	-683.719801171712220	-680.840688615407771	-2.879112556304399	0.000010157376017	0.000051106745497	5.031490949334667	0.462439522102821	3	6	9	5	10	8	9	10	8	12	12	11	11	12	12	14	14	15	16	19	16	18	22	22	25	33	33	36	38	40	40	42	43	44	0	4	6	1	7	4	6	7	4	5	8	8	2	6	4	15	12	3	15	15	15	21	18	16	24	24	25	15	27	20	27	27	27	31	1	1	1	1	1	1	1	1	2	1	1	1	2	2	4	1	2	3	3	3	2	1	2	3	3	4	4	7	3	12	4	6	6	2
2500	-684.884679932523795	-681.969551133217351	-2.915128799306408	0.000010134092424	0.000052316179692	5.162394174136214	0.458075904358635	3	6	9	5	9	7	8	9	10	12	11	11	11	12	12	14	14	15	16	19	17	19	23	22	25	33	35	35	37	40	39	42	42	44	0	4	4	1	7	4	6	7	4	7	7	5	2	6	4	15	12	3	15	19	15	21	18	16	24	24	26	14	27	9	29	31	27	33	1	1	2	1	1	1	1	1	2	1	2	1	3	3	4	1	1	3	2	1	2	1	3	4	1	4	1	10	1	15	1	2	4	1
3000	-632.519130779184252	-630.076329275480020	-2.442801503704178	0.000009810364600	0.000035153739807	3.583326536804742	0.470144161449897	2	6	9	5	10	7	9	10	10	13	10	11	11	13	13	14	13	16	16	16	17	19	22	21	25	33	35	35	39	39	40	41	42	44	0	4	6	1	7	4	6	7	4	11	7	11	2	6	4	15	12	6	15	15	15	21	18	16	24	25	26	18	27	18	29	29	32	33	1	1	1	2	1	1	1	1	2	1	1	1	2	3	4	1	2	4	2	1	2	2	2	4	3	3	1	10	2	12	1	1	1	1
3500	-636.560378305525319	-633.787478104202251	-2.772900201323074	0.000010315963825	0.000048030604538	4.655949298792926	0.430587487268155	3	6	8	5	9	7	8	9	11	13	11	10	11	13	13	14	13	16	14	18	17	18	22	22	26	33	35	35	38	40	40	41	43	44	0	4	6	1	7	4	6	7	4	7	7	5	2	3	4	15	12	14	15	21	19	21	18	16	24	25	26	15	27	14	29	29	32	33	1	1	1	1	1	1	1	1	3	2	2	1	3	3	3	1	2	1	1	1	2	1	4	3	3	4	1	11	2	14	1	1	1	1
4000	-629.988807981034938	-627.390592128836488	-2.598215852198425	0.000010793887373	0.000043943478361	4.071144791714072	0.347269151473893	3	6	8	5	10	8	9	10	8	13	11	12	11	12	13	14	14	14	16	19	17	19	21	22	26	33	35	33	38	39	40	41	43	44	0	4	4	1	7	4	6	7	4	7	5	5	2	6	4	15	12	6	15	15	19	21	18	16	24	25	26	15	27	23	29	29	32	32	1	1	2	1	1	1	1	1	2	2	1	1	3	3	3	1	1	3	2	3	1	1	5	4	2	3	1	12	2	13	1	2	1	2
4500	-582.186183934219116	-579.630535803137263	-2.555648131081870	0.000012592772829	0.000049547283006	3.934580864708254	0.376809739864130	3	6	9	5	9	7	8	9	9	11	12	10	11	10	13	14	14	15	16	17	16	18	22	22	26	33	35	36	38	40	40	42	43	44	0	4	6	1	7	4	6	7	4	5	7	8	2	6	4	15	12	14	15	21	15	21	18	16	24	25	26	15	27	15	29	29	32	33	1	1	1	1	1	1	1	1	2	2	2	1	3	2	4	1	2	3	2	1	2	1	4	4	2	4	1	11	2	15	1	2	1	1
