step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72
1	-1850.854074318291168	-1857.709562269250455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.406927518783392	3	14	16	24	23	28	25	32	35	29	40	34	41	41	48	48	51	52	56	55	60	61	59	59	64	64	65	65	67	66	68	73	71	77	74	74	78	78	75	76	78	88	82	83	81	84	79	83	80	83	83	87	85	87	90	87	92	94	92	91	90	93	97	95	93	97	95	105	101	98	98	102	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	4	4	4	5	6	5	6	5	7	7	8	8	8	8	9	9	10	10	10	10	10	10	11	11	11	11	11	12	12	13	12	12	13	13	12	12	13	14	13	14	13	14	13	14	13	14	14	14	14	14	15	14	15	15	15	15	15	15	16	16	15	16	16	17	17	16	16	17
500	-778.461707566394352	-785.317195517353753	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.176767803902707	2	8	16	20	15	28	25	31	33	28	39	29	43	38	41	46	46	38	54	56	45	54	57	60	65	66	62	63	64	52	66	74	68	77	69	72	77	76	64	76	74	83	79	81	67	83	76	84	79	83	76	80	83	86	87	87	92	88	91	89	90	94	94	95	95	99	94	103	100	97	99	101	0	1	2	2	2	4	4	3	12	4	6	2	3	4	18	18	4	8	12	19	12	17	16	21	22	13	19	19	23	21	20	26	22	19	30	22	29	21	20	16	31	25	30	14	0	21	24	20	45	30	21	14	21	27	21	21	10	32	47	21	12	20	30	14	21	16	22	31	30	14	30	40	1	1	2	3	1	1	1	2	1	3	1	5	7	3	1	2	5	1	4	1	3	2	2	4	3	2	1	1	1	1	2	2	2	3	4	3	2	6	2	5	1	3	5	9	1	5	2	7	4	7	6	7	8	4	7	9	12	3	3	8	17	5	7	8	12	9	8	6	10	9	10	4
1000	-650.276637401949756	-657.132125352909156	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.409459404178998	1	13	13	24	24	26	20	18	33	31	39	35	39	38	50	45	48	53	57	53	62	50	55	47	61	66	67	63	67	63	64	67	68	74	68	68	80	73	75	64	74	89	81	77	75	84	72	81	78	82	81	87	80	85	90	84	95	94	93	92	87	92	96	96	92	97	92	102	103	94	96	102	0	1	1	8	8	8	3	3	3	3	4	4	6	4	11	12	14	16	20	16	19	16	22	14	16	30	30	14	25	19	22	30	20	13	30	13	28	35	25	19	33	39	30	36	0	50	23	34	45	35	35	48	38	35	46	32	36	61	36	46	50	23	54	54	38	33	18	59	51	37	26	57	1	2	2	1	1	1	1	1	3	2	2	2	3	2	3	1	2	1	1	1	1	1	1	1	2	1	1	5	1	1	2	1	3	5	1	4	3	1	2	1	1	2	2	2	1	1	6	1	1	2	3	2	1	2	2	4	4	2	4	1	2	5	2	2	5	8	7	1	3	2	7	1
1500	-600.580455183315621	-607.435943134275021	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.499220394934515	1	9	17	24	25	22	27	32	36	29	33	36	43	38	50	50	47	46	48	53	57	55	58	53	64	61	64	65	69	65	67	75	71	78	75	71	76	79	74	76	76	87	80	82	78	83	76	80	81	83	84	88	79	85	89	88	81	93	91	91	88	94	96	93	90	94	94	98	102	97	94	96	0	1	2	3	6	3	6	6	5	4	2	8	14	8	12	18	14	13	12	12	19	16	18	12	23	15	21	23	16	26	23	30	16	24	30	20	20	35	15	31	36	44	30	39	0	35	31	40	45	35	35	48	30	38	54	54	47	35	41	43	38	57	43	65	43	33	15	33	56	59	56	62	1	1	1	1	1	1	1	1	2	2	4	1	1	1	3	1	1	1	1	2	2	1	2	2	1	2	1	2	3	2	1	2	3	4	1	2	2	1	5	2	1	1	3	2	1	2	1	1	1	2	2	2	3	2	1	1	1	3	2	2	1	2	3	1	2	3	6	4	3	2	2	1
2000	-540.384033751255515	-547.239521702214915	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677579671075709	2	13	16	19	23	28	23	30	32	27	42	34	42	31	44	47	49	51	52	56	59	58	57	61	66	63	63	65	65	65	65	73	64	73	72	73	78	78	71	68	73	85	84	82	79	84	78	75	81	85	79	86	84	85	90	84	92	88	92	91	89	86	97	94	89	97	90	101	101	98	93	103	0	1	2	3	3	5	4	4	5	4	14	8	14	6	14	13	15	16	16	18	19	18	18	23	23	21	21	20	20	26	22	26	23	24	30	31	40	35	29	14	33	29	51	39	0	35	31	28	45	35	35	47	35	35	46	35	67	35	52	35	50	47	53	56	54	67	47	57	60	59	56	67	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	2	2	2	1	4	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	4	1	2	3	1	1	2	2	2	2	1	1	2
2500	-589.023364719248207	-595.878852670207607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.516404615552246	2	14	10	21	22	27	23	34	24	30	40	35	41	44	50	46	49	51	57	56	60	55	54	61	64	60	63	63	67	64	66	72	69	71	70	69	77	80	73	74	73	86	80	84	74	81	76	72	82	83	78	84	83	87	89	88	92	95	89	81	90	84	98	93	92	96	96	106	96	93	99	100	0	1	1	3	3	2	2	6	3	6	12	7	8	6	8	12	14	16	13	16	19	18	18	15	20	19	21	23	25	26	18	26	23	24	30	28	29	35	15	33	33	39	35	39	0	51	40	20	45	51	35	48	38	50	51	50	62	56	47	35	60	37	56	38	35	62	52	31	56	62	60	67	1	1	2	1	1	2	2	1	2	1	1	2	2	2	3	2	1	1	3	4	1	1	1	1	2	1	1	2	1	1	3	2	2	1	1	1	1	2	4	1	1	3	1	2	1	1	1	1	2	1	1	2	1	1	2	2	1	2	2	1	2	2	1	2	3	3	3	5	1	1	2	1
3000	-561.121264615136397	-567.976752566095797	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630978431897428	2	11	16	20	23	23	25	29	33	28	38	34	41	42	32	48	48	48	52	57	60	59	57	58	62	63	65	61	64	68	68	70	68	76	74	75	74	70	75	74	78	89	80	79	73	81	79	80	80	82	85	83	87	83	91	85	88	86	89	82	86	91	91	90	92	99	97	97	96	91	99	99	0	1	2	2	3	4	4	6	5	6	5	6	15	15	8	13	14	13	14	18	19	18	13	16	20	19	19	15	25	26	28	26	23	24	38	31	25	21	29	31	33	39	35	39	0	35	31	33	45	35	46	48	50	38	51	50	40	38	33	38	60	31	53	61	60	62	57	62	54	47	54	62	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	2	3	1	1	1	2	2	1	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	4	2	1	2	1	1	1	2	2	2	2	2	2	1
3500	-569.488245487148106	-576.343733438107506	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570547254461452	1	16	11	20	24	28	27	32	31	25	37	33	37	36	43	45	46	53	54	50	58	59	57	61	60	63	61	65	67	66	66	73	67	76	73	73	78	75	74	78	74	83	71	80	74	85	78	82	81	78	80	82	83	81	84	83	92	90	88	91	87	83	97	96	91	96	96	99	95	100	92	101	0	1	1	2	2	5	4	6	5	4	2	6	14	8	13	6	6	20	20	12	19	16	14	23	18	21	21	20	25	21	16	26	23	24	43	33	28	35	29	33	33	29	30	39	0	54	31	33	45	38	35	28	38	35	54	50	47	38	33	56	54	33	60	58	61	57	40	67	58	67	54	68	1	2	1	1	1	1	1	1	1	1	3	1	1	1	2	3	3	1	1	3	1	2	5	1	1	1	1	3	1	1	3	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	2	1	2	1	1	3	2	3	2	1	2	1	1	1	1	4	1	2	1	1	1
4000	-577.431974419853304	-584.287462370812705	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.580719631109454	3	13	14	22	19	22	24	29	29	30	37	31	34	38	42	47	45	45	54	56	61	59	60	55	60	64	66	67	66	67	69	74	73	71	75	70	75	71	71	73	76	89	78	81	71	82	79	80	78	80	75	83	83	87	88	82	94	85	80	91	91	84	93	95	91	97	97	103	99	100	92	100	0	1	2	2	2	3	6	4	2	4	8	8	8	13	14	18	14	15	16	14	22	16	16	6	15	21	21	22	25	26	22	26	28	23	38	23	29	30	29	22	40	23	38	39	0	51	33	28	45	38	38	40	38	38	56	26	62	38	36	38	54	47	50	50	46	57	40	66	65	62	56	57	1	2	1	2	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	3	2	5	3	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	3	1	1	1	2	2	2	1	1	1	1	3	2	1	3	2	3	1	2	1	1	2	3	2	1	2	1	1	2	2	1
4500	-582.929340912854855	-589.784828863814255	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614543598852568	6	13	14	20	21	24	27	29	35	31	37	34	41	31	48	48	47	54	55	46	55	53	58	58	63	65	67	63	66	66	63	73	66	75	75	73	78	69	72	69	77	86	78	83	79	87	79	77	82	81	80	86	87	85	90	86	88	96	90	85	88	85	94	93	91	90	94	104	98	100	93	100	0	1	1	3	2	4	4	7	5	4	12	6	14	6	6	20	8	20	8	8	15	16	22	16	20	21	21	16	25	19	23	30	23	24	38	31	22	30	25	31	15	39	38	39	0	51	40	18	45	38	35	47	50	38	51	35	40	35	47	38	60	40	55	56	60	62	62	72	35	59	56	67	1	1	1	1	2	1	1	1	2	2	1	2	2	1	3	1	3	1	4	1	2	1	1	2	3	2	1	3	1	2	1	1	1	1	1	2	3	1	2	1	4	2	1	2	1	2	2	3	1	2	1	2	1	2	3	2	2	4	2	2	1	2	1	1	1	1	1	1	4	2	1	1
