step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-18859.431081680515490	-18857.968999595996138	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.174512133452650	0	3	8	10	12	13	15	16	17	18	18	17	18	22	21	20	20	21	23	23	24	24	24	24	27	26	26	26	26	27	27	27	28	28	27	27	28	29	29	29	29	30	29	29	30	32	31	31	32	33	31	32	31	33	33	33	32	36	34	34	34	34	37	35	35	37	37	37	37	40	38	40	42	46	46	48	48	49	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	6	7	8	8	9	9	9	9	9	11	11	10	10	11	12	12	12	12	12	12	14	13	13	13	13	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	16	16	16	16	17	16	16	16	17	17	17	16	18	17	17	17	17	19	18	18	19	19	19	19	20	19	20	21	23	23	24	24	25
500	-3309.339732323879616	-3305.960784823290396	-3.378947500589378	0.000010043126524	0.000070505102630	7.020234432014085	0.106720951784847	-1	2	6	9	12	11	15	15	17	18	17	16	17	22	21	21	21	21	23	20	24	25	21	21	28	27	25	26	26	28	28	24	29	29	27	28	29	30	29	30	30	31	28	30	31	32	32	32	33	34	31	33	31	33	32	34	33	37	35	35	35	35	38	36	36	38	38	35	38	41	39	41	43	46	47	49	49	50	0	0	2	0	6	4	5	5	5	7	5	6	8	12	12	13	0	8	15	0	0	18	3	3	20	11	16	20	2	20	23	2	20	27	20	12	13	23	23	3	20	8	23	9	24	13	24	20	24	23	3	20	2	23	23	23	23	20	24	24	3	23	23	23	23	23	23	3	23	24	23	24	23	23	23	23	23	32	1	1	2	1	1	1	2	2	2	2	2	3	2	3	2	2	1	3	2	1	1	4	6	7	7	9	2	4	12	6	6	12	7	3	4	9	9	7	5	19	7	13	5	11	8	8	9	8	10	11	12	12	17	9	9	13	11	16	8	10	15	10	16	13	15	17	15	17	16	16	17	18	17	20	21	25	19	21
1000	-2360.043621817560052	-2357.483810623042700	-2.559811194517167	0.000010024572250	0.000039575374734	3.947836750357886	0.122688234984888	-1	4	6	8	11	13	16	17	16	18	16	17	15	22	21	20	19	21	23	20	24	22	21	21	27	27	27	26	26	27	26	24	29	28	28	28	27	29	30	30	29	29	30	28	31	32	32	31	32	33	31	32	31	32	33	34	33	36	35	35	34	35	38	36	36	38	38	38	38	40	39	41	42	47	47	49	49	50	0	0	2	0	4	5	6	13	5	6	5	5	4	12	12	8	0	16	15	0	0	18	2	2	24	21	22	24	3	23	32	2	20	22	32	3	22	23	30	2	20	8	38	24	31	22	24	20	23	23	24	20	2	23	23	23	23	23	36	25	24	23	23	23	23	24	23	24	23	23	23	20	23	23	23	23	23	32	1	1	1	1	2	1	1	2	2	2	2	4	3	3	3	3	1	1	1	1	1	1	9	9	3	2	3	2	11	3	1	8	6	3	3	10	3	4	1	15	5	7	1	4	3	6	8	8	9	7	4	8	15	6	8	11	9	13	4	5	9	10	12	13	14	16	15	12	16	16	14	16	17	18	19	23	12	20
1500	-1308.822007309536048	-1306.720454384465029	-2.101552925071058	0.000009989596114	0.000026061920758	2.608906352257189	0.202446845390999	0	4	7	9	13	11	15	15	18	18	18	17	17	21	21	19	19	22	24	20	24	24	21	23	26	26	26	25	27	26	25	25	28	29	27	27	29	28	29	30	27	31	29	29	31	33	32	30	32	33	32	33	32	34	33	34	33	36	34	32	34	35	37	35	36	38	38	38	38	41	39	41	43	45	47	49	49	50	0	0	2	0	6	4	6	5	5	7	5	5	8	12	12	13	0	10	15	0	0	18	3	20	20	21	22	24	17	23	20	23	32	27	28	23	22	23	30	3	32	27	38	36	31	34	24	25	23	43	44	32	23	53	23	23	23	23	40	48	41	23	23	23	23	23	23	32	23	23	23	25	23	23	23	23	70	36	1	1	2	1	2	2	2	1	3	2	2	2	2	2	2	2	1	2	2	1	1	2	6	1	3	1	1	1	5	3	3	2	2	2	2	6	2	5	2	14	2	2	1	1	3	3	6	3	7	2	2	6	6	1	8	11	7	8	2	1	3	9	11	9	11	14	11	7	15	16	13	10	15	14	16	23	4	22
2000	-1128.891040285051304	-1126.469552332974899	-2.421487952076321	0.000010060119080	0.000035398500180	3.518695941693327	0.217536790673891	-1	3	8	10	12	14	14	16	17	18	18	17	18	23	20	20	20	21	23	21	23	24	21	25	25	25	26	26	27	24	27	26	28	28	27	26	29	30	29	29	29	30	29	28	30	32	32	31	33	32	31	32	29	33	33	34	32	35	34	35	33	35	37	35	36	38	37	36	38	41	38	39	43	47	46	49	48	50	0	0	2	0	4	5	5	5	6	7	9	7	8	12	12	13	0	16	15	0	0	18	3	20	20	21	22	24	26	23	25	25	25	22	28	24	22	23	30	3	32	27	30	36	31	34	44	32	39	43	44	32	30	53	23	23	23	30	44	41	25	53	23	23	23	23	23	25	23	23	23	25	30	23	23	23	71	40	1	1	3	1	1	1	1	2	2	2	1	2	1	3	2	2	1	1	2	1	1	2	6	2	2	1	1	1	2	2	2	1	2	3	1	1	3	5	2	12	2	2	3	1	1	2	4	3	2	1	3	2	3	2	6	11	5	5	3	4	5	5	11	8	10	12	10	4	12	14	9	9	13	13	16	24	6	15
2500	-913.888462562624795	-911.827307939949151	-2.061154622675682	0.000010036737911	0.000025106149141	2.501425200530620	0.295198195783371	0	2	7	11	12	13	15	16	16	17	16	18	18	22	21	21	19	20	22	20	24	24	21	22	24	25	26	25	27	26	28	27	28	27	27	27	29	28	29	30	29	31	30	28	31	33	31	31	33	33	31	33	29	34	32	34	32	37	35	34	34	34	37	35	36	37	38	35	37	40	38	41	43	46	47	48	48	50	0	0	2	0	4	5	5	5	6	6	5	5	8	12	12	18	0	8	15	0	0	18	3	20	20	21	22	24	26	23	25	25	25	22	28	28	22	23	23	20	25	27	38	36	31	34	44	33	43	43	44	33	23	53	53	23	53	50	51	32	48	53	23	53	23	23	53	33	23	23	66	60	43	38	23	23	74	23	1	1	2	1	1	1	1	2	2	2	2	2	2	3	2	1	1	2	1	1	1	3	7	1	2	1	1	2	1	3	2	2	2	2	2	1	2	5	4	8	3	2	2	1	2	3	2	1	2	1	2	3	3	4	1	9	2	3	2	6	2	3	9	3	10	11	6	5	10	11	1	4	8	11	15	21	2	12
3000	-902.272447662669265	-899.931914309295735	-2.340533353373492	0.000010169082176	0.000033334243875	3.277999262817461	0.391787029068334	1	2	8	10	13	11	15	16	16	17	18	18	17	22	20	20	20	22	21	22	23	23	21	24	27	26	26	27	27	27	28	26	28	29	26	27	28	26	29	30	30	29	29	28	31	32	31	31	32	33	32	32	29	33	34	34	33	36	34	34	34	34	38	36	36	37	37	38	37	40	38	41	42	47	46	49	49	49	0	0	2	0	6	4	5	6	5	7	9	5	7	12	12	13	0	16	15	0	0	18	3	20	32	21	16	35	21	23	25	20	32	27	24	35	27	23	30	36	32	22	38	36	31	27	44	33	43	38	44	25	23	53	57	23	53	38	44	48	41	53	30	53	38	23	53	25	53	30	50	48	70	58	38	23	74	23	1	1	3	1	2	1	2	4	2	2	1	3	1	2	1	2	1	1	1	1	1	1	4	1	1	2	4	1	2	3	1	2	2	2	1	1	2	2	2	3	2	4	2	1	2	3	2	2	1	4	2	2	4	2	1	8	2	6	3	2	2	3	8	3	6	10	5	6	7	8	2	6	1	9	12	21	2	12
3500	-785.169497130344439	-783.293852836313590	-1.875644294030854	0.000010617036621	0.000021506174276	2.025628717636209	0.389350986683663	0	3	8	10	13	12	15	16	16	18	18	18	18	22	21	20	20	22	23	23	24	24	23	24	28	27	26	27	26	27	27	25	28	28	26	27	28	28	29	30	30	28	29	29	31	32	32	30	31	33	30	33	30	34	32	34	32	36	35	33	34	34	37	35	35	38	38	37	37	38	38	40	41	46	45	49	48	46	0	0	2	0	6	4	6	7	6	7	9	7	8	12	12	13	0	16	15	0	0	16	3	20	32	29	22	35	21	23	32	20	32	27	24	35	22	23	30	44	32	22	38	36	31	22	44	32	43	38	44	41	38	55	53	23	53	49	44	48	25	53	38	55	38	65	64	25	53	50	63	33	58	50	38	38	75	23	1	1	2	1	1	1	2	1	2	2	1	2	1	2	1	2	1	1	2	1	1	2	7	1	2	1	2	1	2	3	1	1	2	1	1	1	2	3	1	1	3	2	1	1	2	3	2	2	1	2	1	2	1	1	2	6	1	2	2	1	3	2	6	2	3	2	2	6	5	2	1	7	3	5	10	14	2	8
4000	-747.584932710548060	-745.470257244484856	-2.114675466063158	0.000011541726420	0.000030518027195	2.644147511694945	0.602366352560245	-2	4	7	10	12	13	14	16	16	19	19	17	18	21	21	19	20	21	22	23	24	25	24	24	28	26	26	26	25	27	27	25	28	27	27	27	29	28	29	30	29	31	30	28	31	32	31	32	33	33	31	32	31	34	33	33	32	35	34	34	33	34	37	35	35	37	38	36	37	41	37	40	41	47	47	49	48	48	0	0	2	0	4	5	6	5	7	7	9	6	8	12	12	13	0	16	15	0	0	18	2	20	32	29	22	24	21	23	32	20	32	27	28	28	27	30	30	44	32	34	38	36	31	27	44	25	43	43	36	33	38	53	53	53	53	49	51	48	25	56	58	53	50	50	56	48	64	58	65	41	58	70	58	23	74	23	1	1	2	1	1	1	1	2	1	2	1	2	2	2	2	1	1	2	1	1	1	2	8	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	3	1	1	2	3	2	2	2	1	2	2	2	2	2	1	1	2	2	1	2	1	1	2	1	2	3	2	1	2	1	4	3	3	7	12	1	8
4500	-670.490048727272324	-668.866624716473325	-1.623424010799008	0.000013316383781	0.000018771969271	1.409689716078828	0.462816681408670	1	3	8	10	12	13	14	16	17	18	19	17	18	22	21	20	21	22	23	22	24	24	25	23	25	27	26	25	26	27	28	26	28	28	27	27	29	30	30	30	30	31	30	28	31	33	31	30	32	32	31	32	30	34	33	32	31	37	34	34	34	34	37	36	35	37	38	38	37	40	38	39	42	46	45	47	48	49	0	0	2	0	4	5	5	6	5	6	9	7	8	12	12	13	0	16	15	0	0	18	3	20	20	29	22	24	21	23	32	20	20	22	28	28	34	30	30	44	25	34	23	35	31	27	40	23	43	43	44	33	23	55	56	53	53	50	40	41	52	53	65	56	50	65	55	61	64	58	65	48	71	73	70	23	75	23	1	1	3	1	1	1	1	2	3	2	1	1	1	3	2	1	1	1	1	1	1	1	11	1	2	1	2	1	1	1	2	2	3	2	1	1	1	1	2	1	2	2	3	1	2	3	1	3	1	1	2	2	3	1	1	1	1	3	2	2	1	2	1	2	2	1	3	1	1	2	2	4	3	2	3	11	2	13
