step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
1	-587.740419658327482	-586.278337573808585	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.453937231538886	-1	3	5	6	5	5	6	6	8	8	8	9	11	12	14	12	12	14	13	13	14	13	14	14	14	15	16	14	14	15	17	16	17	16	16	17	17	19	17	18	18	20	19	18	19	20	19	20	21	20	20	22	22	23	23	25	26	32	34	36	39	40	46	46	47	48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	3	4	4	5	5	5	5	6	7	8	7	7	8	7	7	8	7	8	8	8	8	9	8	8	8	9	9	9	9	9	9	9	10	9	10	10	11	10	10	10	11	10	11	11	11	11	12	12	12	12	13	14	17	18	19	20	21	24	24	24	25
500	-325.395744865594850	-323.888976349591815	-1.506768516003033	0.000010017233079	0.000002905167878	0.290016999203904	0.266599402226330	-2	3	5	7	5	6	5	6	7	8	8	10	12	12	13	12	11	14	11	12	14	13	14	14	13	15	17	15	15	15	17	17	17	17	16	17	18	18	18	19	18	20	19	18	20	19	18	21	19	20	21	22	22	23	22	24	25	32	33	36	39	39	47	47	47	49	0	1	1	5	2	2	2	2	7	4	7	9	11	17	13	4	12	19	11	3	20	10	6	11	6	15	12	15	21	5	29	23	29	15	21	24	36	33	21	15	11	32	13	27	21	31	33	37	17	39	42	48	26	47	46	49	52	57	26	23	42	33	4	42	51	10	1	2	3	1	1	1	1	1	1	1	1	2	2	1	1	4	1	2	2	3	1	3	5	4	3	1	3	1	1	4	1	2	1	2	1	1	1	1	2	3	6	2	5	1	2	1	1	2	4	1	1	1	3	2	2	3	2	3	9	12	10	12	20	13	13	19
1000	-319.270215781520960	-314.528616236033997	-4.741599545486983	0.000010039383785	0.000000221717060	0.022084727986397	0.297006183258955	-1	1	6	6	5	6	6	7	8	8	8	8	12	12	14	13	12	15	12	14	14	13	15	14	13	15	17	14	14	16	18	15	17	15	17	17	18	18	16	18	18	20	19	18	20	21	19	21	20	20	20	22	22	22	23	25	25	32	35	37	38	41	46	46	47	48	0	1	2	2	1	1	5	5	2	5	8	5	11	8	12	19	12	14	10	16	7	13	20	19	8	25	2	7	13	20	23	17	18	16	23	5	28	24	24	34	27	32	44	30	39	47	39	10	37	35	30	36	50	17	11	47	26	44	56	28	34	28	33	59	38	42	1	1	4	3	2	3	1	1	3	2	1	1	2	3	3	1	1	1	2	1	5	1	1	1	3	1	7	4	1	1	1	2	1	1	1	5	2	1	1	2	1	2	1	1	2	1	1	5	1	1	2	3	1	4	7	3	4	6	5	10	11	13	15	5	14	13
1500	-304.896267352930124	-303.363641701303607	-1.532625651626534	0.000010079267117	0.000002760127093	0.273842042406805	0.377982230695313	0	4	5	5	4	3	6	6	9	8	8	10	10	11	15	12	13	14	12	11	14	13	13	14	13	15	15	15	15	16	17	16	17	15	17	17	17	19	18	17	17	18	19	17	19	19	20	20	21	17	20	22	21	23	22	26	27	32	33	36	39	39	46	45	47	49	0	1	2	6	1	1	5	4	11	8	8	7	10	13	16	12	16	9	3	10	11	14	16	16	8	22	17	25	25	29	26	27	15	24	15	24	9	23	26	22	28	30	33	28	41	35	31	43	45	23	44	45	14	37	48	30	44	56	56	41	11	54	42	60	45	59	1	3	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	2	5	2	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2	1	1	1	1	1	1	2	1	2	2	1	2	3	3	1	4	5	4	3	10	16	7	13	5	13	9
2000	-305.784614866035213	-303.371489338384151	-2.413125527651081	0.000009983611656	0.000000927785808	0.092930879174984	0.405632711216171	-1	3	5	6	4	5	6	7	6	8	9	10	9	12	13	12	12	15	13	13	14	12	14	14	14	15	15	14	14	14	16	16	16	17	15	17	18	19	17	18	19	20	20	19	19	20	20	20	20	20	21	21	22	21	23	25	27	33	35	36	40	39	46	46	47	48	0	1	5	2	1	2	6	1	5	6	3	6	2	10	22	12	12	20	14	14	12	12	22	10	17	30	20	9	14	7	24	4	15	29	10	21	34	20	28	30	13	39	23	17	39	36	39	17	20	26	45	37	33	26	51	46	46	56	56	47	57	57	57	62	55	57	1	2	1	2	2	1	1	4	1	2	2	4	3	2	1	1	1	1	1	1	1	1	1	4	1	1	1	4	1	3	2	4	1	2	3	1	1	3	1	2	5	1	4	3	1	1	1	3	3	2	1	2	3	3	1	2	4	4	4	9	7	7	8	4	11	11
2500	-305.441827559258172	-303.538227867028979	-1.903599692229175	0.000010115466262	0.000001567062425	0.154917468380056	0.384986218877203	-1	4	4	6	5	6	6	7	8	8	7	9	11	11	15	13	13	15	13	13	15	12	15	14	14	15	15	15	14	15	17	16	18	16	16	17	16	17	17	16	18	21	19	18	19	20	18	20	19	20	20	22	22	23	22	25	27	33	34	37	39	41	45	43	46	48	0	1	1	3	3	2	5	6	6	11	2	7	10	11	20	9	12	12	4	10	25	11	12	16	22	5	22	16	8	12	30	29	6	13	25	16	11	18	28	28	28	45	38	28	38	38	39	19	39	39	36	43	32	42	47	52	51	42	58	53	15	42	58	61	52	59	1	3	3	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	2	1	2	3	1	1	6	1	1	2	3	1	1	5	2	1	2	4	1	1	1	1	1	1	2	1	1	1	3	2	1	3	1	4	1	2	2	3	5	1	7	10	8	6	2	10	8
3000	-301.578650143819345	-299.896094999454533	-1.682555144364784	0.000010143513588	0.000002120487000	0.209048568981185	0.429868434130927	-1	4	5	5	6	4	6	7	8	9	8	10	11	12	14	12	11	15	12	12	12	14	14	14	14	15	16	14	14	16	17	16	16	15	16	16	17	19	17	19	18	18	19	17	20	20	19	20	21	20	20	22	21	23	23	24	26	32	35	36	39	41	47	46	48	47	0	1	2	2	1	1	2	3	2	6	4	10	7	12	21	10	3	14	10	8	7	11	20	12	16	5	22	12	12	23	15	14	24	19	14	21	23	31	35	29	33	27	27	10	17	18	19	18	15	41	28	50	41	27	48	31	54	55	58	47	38	57	59	60	58	58	1	3	1	1	4	2	2	1	1	2	1	1	2	1	1	1	2	1	2	2	2	3	1	2	1	4	1	2	3	1	1	3	1	1	3	2	1	1	1	3	1	1	2	3	5	2	3	2	3	1	2	1	1	3	1	5	2	4	1	7	9	7	7	5	8	7
3500	-297.539669597221746	-295.910794208125310	-1.628875389096442	0.000010376555508	0.000002367476899	0.228156337359751	0.386536208807983	0	3	5	7	4	6	7	6	9	8	8	10	10	12	15	12	12	13	13	13	15	14	14	15	14	15	14	12	14	15	17	17	17	16	17	17	17	20	17	19	18	21	19	18	20	20	20	19	22	21	21	22	23	22	24	25	26	33	34	37	40	40	45	47	46	49	0	1	1	3	1	5	3	5	7	6	5	10	7	10	25	12	4	13	4	1	23	10	14	23	20	7	12	7	16	17	15	21	23	26	26	12	12	29	30	35	30	43	37	33	40	31	44	35	40	47	39	26	47	33	42	49	22	38	58	34	55	23	51	63	57	59	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	1	2	2	3	7	1	2	1	1	1	3	2	2	1	1	1	2	2	1	1	3	4	3	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	3	2	2	4	7	1	9	7	11	9	2	9	8
4000	-240.257952381353874	-237.473576464042395	-2.784375917311468	0.000010823424785	0.000000748299743	0.069137057590175	0.566008066436773	-2	4	6	6	5	5	7	6	8	8	8	10	11	12	14	12	12	14	13	14	14	12	15	14	15	15	16	14	14	14	16	16	17	16	16	17	17	20	17	18	17	21	18	18	19	19	20	21	21	20	18	22	22	23	23	23	24	32	34	37	39	38	44	45	47	48	0	1	6	2	2	2	6	6	7	8	8	10	12	13	19	12	12	16	16	14	11	12	18	12	22	22	28	17	16	13	29	30	28	29	22	16	28	28	16	32	34	32	31	41	39	44	40	50	45	51	34	14	50	48	45	53	47	38	58	57	58	60	62	63	61	61	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	3	1	1	1	1	1	1	2	1	1	5	1	1	2	1	2	6	1	6	3	1	3	1	4	4
4500	-281.656644256522156	-278.967759603693992	-2.688884652828142	0.000010639483249	0.000000790473392	0.074296220377933	0.545766992739996	0	3	4	5	6	4	6	6	7	9	8	9	11	12	14	13	13	15	12	12	15	13	14	14	15	16	16	15	14	16	16	17	17	14	15	17	17	19	17	18	19	20	18	18	20	20	19	21	21	20	20	21	22	24	23	24	26	33	34	35	39	41	46	47	46	48	0	1	2	6	2	2	2	4	7	5	5	9	11	13	16	19	13	3	13	4	16	11	19	13	6	8	35	20	5	35	34	28	28	9	34	15	15	17	10	36	39	35	27	34	37	30	35	11	32	37	17	44	33	55	52	50	17	54	58	32	59	61	62	65	58	60	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	4	1	3	1	3	1	2	6	5	1	1	3	1	1	1	1	3	1	2	1	3	3	1	1	2	1	2	1	2	2	5	2	2	2	1	2	1	1	2	7	5	1	7	3	1	2	1	6	8
