step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-1086.031803137279667	-1092.887291088238953	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.823500707334417	0	6	10	8	10	10	10	10	11	11	14	14	14	14	15	16	16	18	20	21	22	23	23	23	25	26	29	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	4	5	5	5	5	6	6	7	7	7	7	8	8	8	9	10	11	11	12	12	12	13	13	15	17
500	-216.593402498865942	-223.448890449825313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459458404239435	1	7	9	7	10	8	10	11	11	9	12	14	14	14	16	16	13	18	20	21	22	22	22	23	24	26	27	35	0	1	6	1	6	4	4	5	3	4	4	8	11	7	4	14	0	15	18	17	17	18	15	17	14	15	0	26	1	2	1	3	2	1	1	1	2	1	2	1	1	2	4	1	1	2	2	4	5	2	2	8	4	6	1	5
1000	-200.649586745071247	-207.505074696030618	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.603094619947915	0	6	10	9	10	8	11	11	11	11	12	12	15	13	15	17	17	17	19	21	23	23	24	24	24	25	30	34	0	1	6	2	6	2	2	6	3	2	10	5	11	7	7	7	0	15	18	17	20	19	16	17	16	16	0	26	1	3	2	1	2	1	4	1	1	2	1	1	2	1	2	3	1	1	1	2	1	2	5	4	4	4	1	3
1500	-191.002620570234285	-197.858108521193657	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.471492737468442	0	6	8	8	10	9	10	10	10	11	14	12	14	15	16	16	16	19	20	21	22	24	23	23	24	26	29	33	0	1	2	2	6	3	4	6	3	7	10	8	10	7	7	2	0	15	18	17	17	19	16	20	15	14	0	26	1	3	1	1	1	1	1	1	1	1	2	2	1	4	3	5	1	1	1	2	3	2	3	1	4	5	1	3
2000	-206.054562881452085	-212.910050832411457	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.457018719024242	0	6	8	9	11	10	11	11	12	10	14	15	14	13	15	16	17	18	20	22	22	23	23	23	26	27	27	34	0	1	2	2	6	3	4	6	3	2	10	8	10	7	14	4	0	14	16	17	17	19	16	20	16	16	0	26	1	3	1	1	1	1	2	1	1	2	2	1	2	1	2	4	1	3	3	4	2	2	3	1	7	5	1	3
2500	-192.701527409340457	-199.557015360299829	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459376549386110	1	6	10	8	11	9	10	11	11	11	15	14	14	14	14	16	17	18	20	22	22	22	23	23	25	25	30	33	0	1	6	2	6	2	4	6	3	7	13	6	10	7	7	14	0	4	18	17	17	18	15	17	23	18	0	26	1	3	1	1	1	1	2	1	1	1	1	3	2	1	2	1	1	5	1	3	3	2	5	3	1	3	1	6
3000	-206.845742010531410	-213.701229961490782	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.466237072165448	0	6	9	8	10	8	10	10	10	11	14	15	13	14	15	15	17	19	21	21	22	24	22	23	26	23	29	34	0	1	6	2	6	2	4	6	3	2	13	8	7	7	7	7	0	15	18	17	17	18	15	20	15	14	0	26	1	3	1	1	1	2	1	1	1	2	1	4	2	1	3	2	1	4	1	2	3	1	4	1	6	4	1	6
3500	-187.191284826633677	-194.046772777593048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.395544078403788	1	5	11	7	11	9	11	10	11	12	13	15	11	14	15	15	16	17	20	21	21	22	23	23	25	26	27	34	0	1	6	2	6	2	4	6	6	13	13	8	4	4	7	7	0	16	18	17	17	19	16	21	7	25	0	26	1	2	1	1	1	2	2	1	1	1	1	2	2	3	2	2	1	1	2	2	2	1	4	1	8	1	1	4
4000	-176.001890997706369	-182.857378948665740	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.512728532099096	0	7	9	8	11	10	10	11	11	11	14	15	13	15	15	16	16	18	20	20	22	24	21	24	25	27	28	34	0	1	2	2	6	3	4	6	3	2	13	8	10	4	7	14	0	15	15	17	17	18	15	20	14	25	0	26	1	3	1	1	1	1	1	1	1	2	1	2	1	3	3	1	1	2	3	2	2	3	3	2	4	1	1	3
4500	-198.175872641823929	-205.031360592783301	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.756975878093120	1	6	8	8	11	10	10	9	9	10	14	13	14	14	15	17	17	19	21	20	20	23	21	23	26	24	28	34	0	1	2	2	6	8	4	3	3	2	10	8	10	2	14	15	0	15	18	17	17	19	15	20	26	15	0	26	1	3	1	1	1	1	1	1	1	2	2	3	2	4	1	1	1	1	1	1	2	1	3	2	2	4	1	4
