step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
6500	-208.993084809760092	-207.485030896298355	-1.508053913461738	0.000039421437444	0.000044260518589	1.122752529061064	0.529544936770552	2	4	7	6	9	10	9	10	12	12	13	12	10	11	13	12	17	19	18	19	20	20	22	21	0	0	2	1	2	7	4	3	8	5	13	14	4	2	14	3	2	12	17	17	10	19	18	18	1	1	2	2	3	1	1	2	1	1	2	1	2	4	1	2	4	4	1	1	3	1	1	2
7000	-159.973494634783464	-158.611456137882385	-1.362038496901093	0.000157028684424	0.000095138063143	0.605864231059697	0.640219783393982	2	4	6	6	8	11	9	9	14	11	13	12	12	11	13	15	17	19	21	18	21	21	22	23	0	0	2	1	3	7	4	3	8	8	13	14	4	8	14	9	12	12	20	17	10	18	18	18	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	3	1	1	4	1	2	2
7500	-178.064861771013511	-176.661278917177697	-1.403582853835819	0.000190092475312	0.000075151237960	0.395340414376748	0.490406535172591	1	5	7	7	7	11	9	9	14	11	13	10	10	9	12	14	17	19	20	19	20	21	21	22	0	0	2	1	2	4	4	3	8	5	13	14	4	2	14	5	15	16	16	9	10	18	17	14	1	1	1	3	1	3	1	1	3	2	1	1	1	2	2	3	3	3	3	2	5	2	2	5
8000	-180.499263605983344	-179.067496476067930	-1.431767129915413	0.000172329158392	0.000061318756895	0.355823457081173	0.431600792907070	2	2	6	7	8	9	8	9	13	11	12	11	12	12	13	15	15	19	21	18	20	21	21	22	0	0	2	1	2	4	4	2	3	5	4	8	4	3	8	9	9	12	17	17	8	14	14	18	1	1	2	2	3	1	1	3	2	2	3	1	2	3	2	1	1	3	2	2	4	4	6	1
8500	-165.372676600677664	-163.961356453447308	-1.411320147230365	0.000162934758519	0.000062404700841	0.383004224560866	0.713526082442835	2	5	7	6	9	10	8	9	13	12	14	11	11	11	13	14	17	19	20	19	18	19	21	23	0	0	2	1	2	7	4	3	8	3	13	2	4	5	12	8	15	12	20	17	10	17	18	18	1	1	1	2	3	1	1	1	2	2	2	2	2	1	1	2	2	3	1	1	3	1	1	2
9000	-183.057128457664135	-181.674808350613290	-1.382320107050842	0.000205894119357	0.000090534296584	0.439712881876034	0.356712671651574	1	5	6	7	9	11	8	10	13	12	14	11	12	12	12	12	17	17	20	18	18	21	21	22	0	0	2	1	3	7	4	2	15	8	13	8	4	8	8	2	8	16	20	16	10	14	12	23	1	1	1	4	1	2	1	2	1	1	1	1	2	1	1	4	3	3	2	3	3	4	4	1
9500	-179.535690671993621	-178.172321266719422	-1.363369405274194	0.000269563591439	0.000140507191948	0.521239501217261	0.624120139315729	1	3	7	7	8	10	8	10	12	12	14	10	13	12	13	14	17	19	20	20	18	21	20	21	0	0	2	1	4	7	4	5	8	8	13	3	6	12	12	10	14	17	21	12	10	19	14	18	1	1	2	3	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	5	3	1	4	1
10000	-200.276908242130673	-198.730481609748381	-1.546426632382300	0.000216659326603	0.000057642495909	0.266051301887596	0.405843516358023	0	2	6	7	9	11	8	9	11	11	12	11	13	12	13	14	16	20	21	19	20	21	18	22	0	0	2	1	2	4	4	4	8	8	6	5	4	3	8	9	15	12	15	17	10	23	12	14	1	1	2	5	3	3	1	1	1	1	1	1	3	3	1	1	2	5	4	1	6	3	4	4
10500	-169.797892771246467	-168.295129300208430	-1.502763471038035	0.000170291227929	0.000049850344403	0.292735832664007	0.514238759897965	0	4	6	8	7	11	9	8	13	11	14	12	12	12	12	15	17	19	21	18	20	19	21	21	0	0	2	1	2	4	4	2	2	5	4	5	4	2	8	14	9	12	22	9	9	20	18	18	1	1	1	4	2	2	1	2	4	1	3	2	2	4	2	1	2	2	1	2	3	1	1	1
11000	-176.844084899844290	-175.219229671484044	-1.624855228360260	0.000243633722104	0.000055970851139	0.229733596219743	0.529179159453764	1	5	7	7	9	9	9	10	13	11	14	11	12	13	13	15	17	20	20	20	21	21	20	23	0	0	2	1	2	4	4	2	3	5	13	5	4	12	8	14	9	14	8	17	9	14	12	18	1	1	1	3	2	1	1	3	3	1	1	1	3	1	1	1	2	3	4	2	3	3	6	3
11500	-179.017250127505690	-177.627988143947249	-1.389261983558437	0.000180075721089	0.000076158087398	0.422922573558682	0.529014298719275	0	4	7	6	8	10	8	9	13	12	13	10	12	12	13	14	17	18	20	20	19	22	19	22	0	0	2	1	2	7	4	3	3	8	13	2	4	12	14	8	14	16	17	17	16	5	12	18	1	1	1	2	2	1	1	1	3	2	1	3	3	1	1	3	1	2	2	2	3	6	5	3
12000	-202.086704465089895	-200.678994130418346	-1.407710334671556	0.000202114134570	0.000078538309094	0.388583951643432	0.408123165906551	0	5	6	7	9	11	9	7	13	11	13	9	11	12	12	15	18	19	20	19	18	21	21	23	0	0	2	1	8	4	4	3	8	8	13	3	4	5	12	2	15	16	2	9	16	9	19	23	1	1	1	3	1	2	2	1	5	2	2	1	2	1	1	5	5	3	7	3	1	4	1	1
12500	-190.821750965177444	-189.460886152562807	-1.360864812614626	0.000194637087501	0.000109784967287	0.564049579126111	0.593399470482317	0	4	6	7	9	10	8	8	11	12	14	12	12	10	13	14	16	19	21	20	19	22	21	21	0	0	2	1	8	7	4	3	3	8	4	14	4	8	9	14	5	17	21	16	10	20	17	9	1	1	1	2	1	1	1	1	2	2	3	2	2	1	1	3	4	2	1	3	4	1	3	4
13000	-182.594058343470408	-181.151485768888676	-1.442572574581722	0.000227078228515	0.000078052744621	0.343726235363392	0.614413896700055	1	3	6	7	9	10	8	9	14	11	14	11	13	12	14	14	18	19	19	19	20	21	21	22	0	0	2	1	2	4	4	2	10	3	6	5	6	5	14	10	16	8	17	17	10	17	8	12	1	1	1	2	2	2	1	3	1	2	2	1	2	2	1	2	2	4	1	1	3	1	5	4
13500	-191.339870489775677	-189.903585729122085	-1.436284760653600	0.000217782236696	0.000076356558085	0.350609669748088	0.406934383675097	1	5	6	8	9	10	9	8	11	11	14	11	12	12	14	14	17	19	19	19	21	21	18	22	0	0	2	1	2	4	4	3	2	5	13	5	4	5	5	14	5	12	9	9	16	5	3	17	1	1	1	4	2	1	1	1	4	1	1	1	2	2	2	2	5	4	3	3	4	5	7	3
14000	-174.275973625518560	-172.776210597668126	-1.499763027850435	0.000219101639458	0.000064594427798	0.294814899414962	0.482963182583522	1	5	7	7	9	10	8	10	14	11	14	11	12	13	13	15	17	19	20	19	21	20	20	22	0	0	2	1	3	7	4	5	5	5	13	5	4	2	2	15	9	15	18	17	14	9	18	18	1	1	1	3	1	1	1	1	3	1	1	1	3	3	4	1	2	3	1	2	5	2	1	2
14500	-171.487224557908348	-170.109887074243289	-1.377337483665050	0.000254772997437	0.000115672395329	0.454021409224517	0.576331005693705	1	5	7	8	9	11	9	9	13	11	14	10	13	12	14	14	16	19	20	16	19	21	20	22	0	0	2	1	3	4	4	3	5	8	13	3	4	5	14	2	14	14	21	12	10	19	20	23	1	1	1	3	1	2	1	1	2	1	1	2	2	1	1	5	2	4	1	3	4	1	1	1
15000	-186.753894846966659	-185.351112460904773	-1.402782386061892	0.000228424380645	0.000090616399555	0.396701960183875	0.592607365908042	0	4	6	6	9	10	8	9	14	11	12	12	12	10	13	15	17	19	20	19	20	20	21	21	0	0	2	1	3	4	4	3	14	8	4	14	6	5	12	5	14	16	9	16	9	17	18	18	1	1	1	3	2	2	1	2	1	1	3	1	1	1	1	2	2	2	3	2	2	1	2	1
15500	-184.458817387097042	-183.023952359475430	-1.434865027621606	0.000199037347281	0.000070105472137	0.352222701391996	0.534774601132203	1	4	6	7	8	10	8	10	14	9	14	11	12	11	13	15	17	18	19	20	21	22	19	21	0	0	2	1	3	7	4	2	8	5	13	8	4	8	14	9	3	17	15	19	17	20	8	17	1	1	1	2	1	1	1	4	2	1	2	1	2	1	1	1	5	1	2	1	3	1	4	2
16000	-177.929867742826360	-176.446177479168313	-1.483690263658035	0.000166940565651	0.000051188533022	0.306627288711577	0.482985976547938	1	4	7	6	8	10	8	9	13	9	14	11	13	12	13	15	16	19	19	19	19	20	22	22	0	0	2	1	2	4	4	2	14	3	13	8	4	3	14	2	14	12	17	17	8	14	22	16	1	1	2	3	2	2	1	2	1	1	1	1	2	3	1	6	2	4	1	1	6	4	1	4
16500	-179.922683163975023	-178.514886671084184	-1.407796492890828	0.000336822292487	0.000130837731258	0.388447362826650	0.621881248960409	2	3	6	7	9	10	8	9	13	11	14	10	12	12	13	13	15	18	20	19	20	22	21	22	0	0	2	1	3	7	4	2	4	5	13	3	6	12	12	12	16	12	18	14	18	17	20	23	1	1	1	3	1	1	1	2	4	1	1	2	1	1	1	1	1	4	1	3	1	3	1	1
