step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
5500	-271.931487607658426	-278.786975558617826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554579693798624	2	7	4	5	6	7	8	7	11	10	12	12	13	15	13	14	16	16	19	21	20	20	22	25	25	27	29	31	0	5	1	0	4	0	5	1	7	6	5	2	5	15	12	12	13	15	18	21	15	18	21	21	0	21	24	26	1	1	1	1	1	1	1	2	1	2	2	2	3	1	1	1	2	2	1	1	2	2	1	2	1	3	2	2
6000	-254.789211324218599	-261.644699275177970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585621564301328	3	7	6	5	6	8	9	9	11	11	12	12	11	15	13	15	16	17	19	20	18	21	22	25	25	27	28	32	0	4	1	0	4	0	5	3	7	6	13	7	7	15	13	7	13	16	18	21	16	18	21	16	0	23	24	26	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	3	1	1	1	1	2	2	4	1	2	1	3
6500	-254.254635910010478	-261.110123860969850	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524952225842676	2	6	6	5	6	8	8	10	11	10	12	12	13	14	12	15	17	17	18	19	21	23	23	25	25	27	29	32	0	4	1	0	4	0	5	1	5	6	5	4	9	12	9	15	11	12	18	16	16	18	21	21	0	23	24	26	1	1	2	1	1	1	1	5	2	1	3	3	1	1	1	2	2	3	1	2	3	2	1	2	1	2	2	4
7000	-291.122876959497432	-297.978364910456833	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552689864311822	3	6	6	4	6	7	9	10	11	11	13	12	11	15	13	15	18	17	19	20	21	21	23	24	25	27	28	32	0	4	1	0	4	0	5	3	2	6	13	7	7	15	13	15	13	15	18	15	12	18	21	14	0	21	24	26	1	1	1	1	1	1	1	2	3	2	1	2	1	1	1	1	2	2	1	4	6	2	1	5	1	3	2	2
7500	-195.005220400414657	-201.860708351374029	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.540728006306627	3	5	6	4	5	6	9	10	12	11	13	13	13	14	13	14	17	17	20	18	20	22	23	26	25	27	29	33	0	4	1	0	4	0	5	3	5	6	9	7	7	15	5	12	15	15	18	12	13	18	21	25	0	21	24	26	1	1	2	1	1	1	2	2	4	2	1	2	2	1	4	1	3	2	2	2	2	2	2	1	1	3	2	2
8000	-203.226322002934324	-210.081809953893696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.423937881218441	1	7	6	5	6	7	9	8	11	12	12	13	13	14	12	15	18	17	19	20	20	22	23	26	25	27	29	32	0	4	1	0	4	0	5	1	5	6	5	2	7	9	4	9	13	13	18	15	9	18	21	25	0	21	24	26	1	1	2	1	1	1	2	4	2	2	2	3	3	2	4	2	3	2	1	4	6	2	2	1	1	3	1	3
8500	-200.440083700277000	-207.295571651236372	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594300412209632	3	6	6	4	6	7	8	9	11	11	13	13	11	14	13	15	18	18	19	19	20	22	22	26	25	27	29	33	0	4	1	0	4	0	5	1	7	6	7	7	5	15	13	15	13	15	18	15	15	18	21	25	0	21	24	26	1	1	2	1	1	1	1	3	1	2	2	2	2	1	1	1	4	2	1	3	3	2	1	1	1	4	1	3
9000	-210.247605762605673	-217.103093713565045	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598390235135834	3	7	6	5	6	7	10	9	11	11	13	12	14	14	13	14	15	17	19	18	20	21	23	26	24	27	28	33	0	4	1	0	4	0	5	3	5	6	7	2	12	9	9	15	7	15	18	15	2	21	21	25	0	23	24	26	1	1	2	1	1	1	2	2	2	3	1	2	1	2	1	1	2	1	1	2	7	1	2	1	1	2	1	4
9500	-205.871319833978959	-212.726807784938330	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.490328164552154	2	7	6	5	6	7	9	10	10	11	12	12	11	14	13	14	17	17	18	17	20	22	23	26	25	27	29	32	0	4	1	0	4	0	5	3	2	6	2	2	7	12	2	12	15	13	18	15	20	18	21	25	0	21	24	26	1	2	2	1	1	1	1	2	1	2	2	3	2	1	3	1	2	4	1	3	2	3	3	1	1	3	3	2
10000	-192.189315625012711	-199.044803575972082	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524670826966956	3	6	7	4	5	6	10	9	11	10	13	13	13	13	13	15	17	17	19	21	20	22	22	25	24	27	28	33	0	4	1	0	4	0	5	3	2	6	9	4	7	9	7	2	16	16	18	16	15	18	21	25	0	21	24	26	1	1	3	1	1	1	3	1	3	2	1	6	2	1	2	5	1	1	1	3	5	2	1	1	1	4	1	3
10500	-196.841080892729195	-203.696568843688567	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.767381260233671	4	7	6	3	5	8	9	6	11	11	13	11	11	15	13	14	17	17	19	21	21	21	23	26	25	26	28	33	0	5	1	0	4	0	5	1	4	6	13	7	7	15	5	9	15	15	18	15	16	18	21	25	0	20	24	21	1	1	1	1	1	1	2	1	3	2	1	1	1	1	5	2	2	2	1	4	3	2	1	1	1	2	1	4
11000	-194.488471793910406	-201.343959744869778	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595960553083151	4	6	6	4	6	7	10	10	10	11	11	12	13	13	13	15	17	18	20	20	20	20	22	26	24	27	28	32	0	4	1	0	4	0	5	1	4	6	5	9	2	9	9	15	13	13	18	15	13	18	21	25	0	21	24	26	1	1	1	1	1	1	1	3	2	1	2	1	3	1	1	1	2	3	1	3	3	1	1	1	1	3	1	2
11500	-200.728996038089548	-207.584483989048920	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.516373532259175	3	5	6	4	6	7	9	9	11	10	12	13	12	15	13	13	18	17	19	18	19	22	24	26	25	27	28	32	0	4	1	0	4	0	5	1	4	6	5	9	7	15	5	9	15	15	18	15	20	18	21	25	0	21	24	21	1	1	1	1	1	1	2	3	3	1	2	1	1	2	3	1	3	2	1	2	1	3	2	1	1	4	1	7
12000	-202.919113930269191	-209.774601881228563	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.510149307350335	3	7	6	4	5	7	10	9	12	12	13	12	13	15	12	15	17	18	20	21	21	23	23	26	25	26	28	32	0	5	1	0	4	0	5	3	2	6	9	4	9	9	2	15	12	14	18	12	15	18	21	25	0	21	24	26	1	1	1	1	1	1	3	2	3	2	1	3	1	2	3	1	3	2	1	3	4	2	1	1	1	2	1	3
