step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17
8500	-89.110807751348446	-87.697142722556904	-1.413665028791543	0.000091647348379	0.000078396294800	0.855412580801557	0.823247169125691	1	2	4	6	8	9	11	13	12	11	10	12	13	14	14	15	17	0	1	2	0	4	5	6	9	6	6	6	5	9	10	8	9	14	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2
9000	-79.083280884910948	-77.665752141402038	-1.417528743508916	0.000151292296906	0.000056587587139	0.374028210926203	0.858270364341952	1	3	3	7	8	10	10	13	11	12	13	13	13	14	14	15	16	0	1	1	0	4	5	5	9	6	9	9	7	9	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-79.210809592426173	-77.799010949853212	-1.411798642572958	0.000070213230510	0.000059627915047	0.849240443911876	0.851731114391003	1	3	5	8	9	10	12	13	12	12	12	13	14	14	15	15	16	0	1	2	0	4	5	5	10	6	6	5	7	10	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10000	-77.890297569682062	-76.327538280206426	-1.562759289475631	0.000086021645779	0.000108469411989	1.260954856254431	0.974236421227966	1	2	4	7	9	10	12	14	11	12	12	13	13	13	13	14	15	0	1	2	0	4	5	5	15	6	9	6	7	9	11	10	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-88.654839096277797	-87.124329312013415	-1.530509784264388	0.000131557587616	0.000036189425062	0.275084286036910	0.862480556664002	1	2	4	6	8	10	10	14	12	13	12	12	14	14	13	14	16	0	1	1	0	4	5	5	15	6	9	6	7	9	11	6	10	14	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
11000	-76.646129529276891	-75.285199638311610	-1.360929890965280	0.000072355758850	0.000041954166848	0.579831757896552	0.857146251141190	1	3	5	7	8	10	11	13	11	13	12	12	13	14	15	15	16	0	1	2	0	4	5	5	9	6	9	9	7	7	11	8	7	14	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
11500	-80.330172616604230	-78.886074728684264	-1.444097887919971	0.000105759910199	0.000036182224893	0.342116637812076	0.908736730278864	2	3	5	6	8	10	11	13	11	12	13	13	12	14	14	14	15	0	1	1	0	4	5	5	9	5	6	9	7	9	11	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-84.212072270429573	-82.842689902467356	-1.369382367962221	0.000110420985586	0.000053428204614	0.483859153494658	0.943561358060395	0	3	6	7	9	10	13	14	11	13	12	12	13	14	13	15	16	0	1	2	0	4	5	5	15	6	9	6	5	9	11	9	10	14	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1
12500	-72.840002244547449	-71.460231588203428	-1.379770656344020	0.000087977477571	0.000039303171099	0.446741281791807	0.914145175340706	1	3	5	7	9	10	11	13	11	13	12	12	13	13	14	16	16	0	1	2	0	4	5	5	9	6	9	6	7	9	11	8	10	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-79.630044839295408	-78.224192813095414	-1.405852026199995	0.000069989956104	0.000027406183590	0.391573092988478	0.966930203887247	1	3	5	7	8	10	11	12	11	12	12	12	12	13	14	15	17	0	1	2	0	4	5	5	6	6	9	6	7	9	11	8	9	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
