step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87
1	-3717.222487176316463	-3724.077975127275749	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.932400165243423	1	0	5	5	8	6	7	7	6	8	9	8	7	8	8	9	12	12	11	12	15	15	14	15	16	17	17	16	17	17	19	18	19	19	20	22	21	22	22	21	22	22	24	23	23	24	24	23	24	25	25	24	25	26	26	28	25	27	27	28	27	28	27	29	28	28	30	31	30	31	29	30	29	30	31	32	31	32	33	36	40	42	42	44	46	48	48	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	3	4	3	4	4	3	4	5	4	4	4	4	5	6	6	6	6	8	8	7	8	8	9	9	8	9	9	10	9	10	10	10	11	11	11	11	11	11	11	12	12	12	12	12	12	12	13	13	12	13	13	13	14	13	14	14	14	14	14	14	15	14	14	15	16	15	16	15	15	15	15	16	16	16	16	17	18	20	21	21	22	23	24	24
500	-672.570548096839730	-679.426036047799130	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.344391443557036	2	0	6	4	9	6	8	8	6	8	8	9	7	8	8	9	12	12	12	12	15	15	13	16	16	15	16	17	16	17	18	18	18	20	21	21	20	21	22	21	22	22	25	24	24	23	25	23	24	25	24	22	24	26	26	27	26	26	28	29	28	27	27	29	28	28	29	32	30	31	30	31	29	30	28	33	31	31	34	33	40	43	41	42	45	48	48	2	0	4	2	8	1	3	3	2	9	13	10	9	6	4	4	16	5	9	15	7	12	12	12	13	15	17	26	23	17	18	28	19	32	37	27	29	0	27	9	32	34	42	12	29	26	52	36	29	39	40	30	36	49	48	42	34	33	45	51	30	44	27	26	40	47	0	17	54	36	59	29	59	73	54	29	18	74	27	0	0	79	66	38	0	0	81	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	2	2	2	3	2	4	3	2	3	3	3	1	1	1	3	4	1	3	1	1	4	3	1	2	7	2	1	1	7	5	2	1	2	6	1	2	3	2	1	2	3	3	3	2	2	6	1	6	9	3	2	1	13	2	4	1	9	1	1	1	7	10	1	11	1	1	5	7	12	1	1	5
1000	-518.168837578970169	-525.024325529929570	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.388107949296782	0	-1	5	5	9	6	7	8	6	8	9	7	7	9	8	8	11	13	11	13	16	15	15	15	17	18	18	15	16	17	20	17	20	19	21	22	20	22	23	19	21	22	25	23	24	24	25	23	24	25	25	24	25	26	26	27	26	27	28	28	27	27	26	30	28	29	31	32	29	32	29	31	30	31	31	31	29	33	33	35	41	42	42	44	46	48	48	2	0	1	2	7	1	1	9	3	1	12	1	4	7	6	6	5	5	3	5	3	6	20	19	28	32	21	18	13	18	27	21	40	26	22	13	32	0	35	30	31	34	52	37	22	48	48	31	39	39	44	26	33	37	48	39	39	63	55	63	7	26	36	36	53	57	0	57	22	36	49	29	40	43	39	52	26	76	35	0	0	71	80	62	0	0	85	1	1	2	3	1	4	4	1	1	4	1	4	1	1	1	1	1	2	4	1	4	5	1	1	1	1	1	1	5	1	1	1	1	1	3	5	1	1	1	1	1	2	1	1	5	1	1	1	1	2	1	4	3	3	1	2	1	1	1	1	10	4	3	5	2	2	1	4	6	6	2	9	5	3	3	3	5	1	7	1	1	6	3	8	1	1	1
1500	-512.742397691446968	-519.597885642406368	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.566337905373414	2	0	5	5	7	7	7	5	6	9	10	7	7	7	8	8	11	12	12	12	14	15	13	15	15	16	18	16	17	17	19	18	19	19	21	22	20	22	22	21	21	23	24	22	23	24	25	23	23	25	25	23	26	26	27	27	25	27	26	28	26	28	26	29	28	27	30	32	30	32	29	29	28	30	31	31	30	32	32	35	38	42	40	45	45	48	48	2	0	1	1	3	4	3	2	8	14	15	3	3	4	3	7	10	15	11	5	20	23	4	19	18	25	24	25	18	13	28	23	16	26	37	27	23	0	17	31	33	29	49	37	24	27	42	36	35	38	43	39	48	57	51	30	35	36	31	53	29	51	36	48	35	53	0	51	54	72	66	46	50	46	69	77	47	75	63	0	0	72	81	72	0	0	84	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	1	1	1	2	4	1	2	5	2	1	2	3	1	4	1	1	3	1	1	3	3	1	1	1	2	1	1	2	1	2	6	1	3	4	1	4	1	3	3	3	1	1	3	3	2	1	4	1	3	1	1	2	1	3	1	1	7	1	7	1	1	1
2000	-569.441573720436622	-576.297061671396023	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.438442393865700	2	0	4	5	8	6	7	7	6	8	9	6	7	8	8	8	13	12	11	11	13	15	15	12	15	17	18	16	18	17	19	18	20	20	20	22	22	21	22	21	23	22	25	22	21	25	24	24	24	25	25	25	25	27	26	28	24	28	27	28	27	28	27	26	28	29	30	31	30	32	29	31	30	30	30	30	30	32	34	37	40	42	42	43	46	48	49	2	0	2	2	12	1	3	3	3	4	5	1	4	13	3	6	16	14	16	11	20	3	7	12	19	22	16	24	25	18	22	22	29	28	15	27	29	0	33	32	40	23	47	34	23	36	27	27	36	42	29	41	37	35	48	31	39	27	52	63	35	48	53	46	55	59	0	71	33	61	57	27	63	55	60	42	31	74	72	0	0	77	81	72	0	0	86	1	1	2	3	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	6	3	3	1	1	6	2	2	3	2	1	1	1	6	2	2	1	1	2	1	4	1	1	3	1	3	2	1	2	3	1	2	3	1	5	1	6	1	1	3	2	1	1	1	1	1	1	5	2	3	7	1	1	1	4	4	1	1	1	1	5	1	6	1	1	1
2500	-649.064901083905511	-655.920389034864911	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.534050190471753	1	0	5	5	7	6	7	7	7	8	9	9	8	9	8	6	12	13	12	12	16	15	14	14	16	18	18	15	17	17	19	18	20	19	20	22	21	23	22	22	23	21	23	24	22	25	24	22	24	25	25	22	25	27	26	29	26	26	27	29	27	25	26	30	27	29	30	30	29	32	29	29	28	30	31	33	30	31	34	37	40	42	42	45	46	49	48	2	0	2	2	1	4	16	4	3	1	15	4	3	15	6	1	8	14	5	5	13	12	5	18	16	11	17	24	21	23	26	21	32	32	26	27	32	0	25	34	24	32	42	27	19	31	45	18	38	45	37	25	47	40	48	42	47	46	50	54	43	36	46	40	46	65	0	37	50	60	36	62	62	62	69	77	43	69	58	0	0	40	81	67	0	0	85	1	1	2	2	3	1	1	1	1	4	1	2	2	1	1	2	2	2	2	2	4	2	4	1	4	4	2	1	1	1	1	1	1	1	1	1	1	1	2	2	4	2	1	3	4	2	1	2	1	1	2	2	1	3	2	5	1	1	1	1	3	1	1	3	1	1	1	3	2	1	3	2	2	2	1	1	2	1	2	1	1	10	1	7	1	1	1
3000	-505.455353845399372	-512.310841796358773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525586953812455	1	0	5	5	9	7	7	7	7	9	9	8	7	8	9	10	13	12	12	12	14	15	15	14	17	17	16	16	16	18	19	18	19	20	20	22	21	22	23	21	22	21	24	23	22	23	24	24	25	25	25	24	24	27	27	27	25	27	27	29	27	29	28	30	29	27	31	31	29	31	29	30	29	31	31	32	30	31	32	36	40	41	41	44	46	47	48	2	0	2	2	8	4	4	4	4	3	4	8	3	1	9	14	2	16	16	12	10	12	15	16	24	23	24	17	19	26	26	25	18	20	29	27	33	0	34	29	25	31	31	40	17	27	25	36	31	44	46	29	41	52	46	49	33	46	24	59	21	53	50	59	59	37	0	52	50	65	43	55	25	43	43	33	39	69	36	0	0	79	81	56	0	0	86	1	1	2	2	1	1	1	1	1	2	2	1	1	4	1	1	6	1	1	1	1	3	3	2	1	1	1	1	2	1	1	1	3	4	2	3	1	1	2	1	3	1	2	1	6	3	2	1	2	1	1	4	1	1	2	1	2	2	5	1	5	2	2	2	1	3	1	5	2	1	2	1	6	4	3	5	3	1	6	1	1	6	1	6	1	1	1
3500	-495.678502329162257	-502.533990280121657	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558156673440655	2	1	3	4	9	7	7	7	6	7	10	9	7	9	9	10	13	10	11	13	15	14	12	15	16	18	17	16	17	18	19	17	20	20	19	22	20	22	22	22	22	23	24	23	24	24	25	21	24	25	25	24	25	26	27	29	26	28	27	28	26	28	27	30	28	28	29	32	30	32	28	31	27	30	31	31	31	32	33	35	40	42	41	43	46	47	49	2	0	2	2	13	4	2	3	3	9	5	8	9	3	8	5	11	15	7	23	17	12	16	19	14	21	21	14	24	23	26	23	30	32	29	27	31	0	27	33	33	31	38	37	38	36	27	27	39	37	31	44	49	49	48	35	39	46	51	53	42	55	48	65	57	63	0	40	52	41	49	55	47	51	63	44	39	60	36	0	0	81	72	70	0	0	86	1	1	1	1	1	2	2	1	1	1	1	1	1	4	1	1	1	1	2	1	1	1	1	1	3	1	1	3	1	3	1	2	1	1	1	3	1	1	3	1	1	2	1	3	1	1	4	2	1	1	3	1	1	1	3	3	2	2	1	2	2	1	3	1	1	1	1	3	3	6	2	2	1	2	2	3	4	2	4	1	1	1	6	5	1	1	1
4000	-537.393613177770703	-544.249101128730103	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.577215400716519	2	0	5	5	6	7	8	8	7	9	8	8	6	8	7	9	11	11	11	12	14	16	15	14	16	18	17	16	18	17	20	18	19	19	20	23	21	21	22	20	23	22	24	23	23	24	23	22	24	26	25	24	24	25	25	29	25	26	27	29	27	28	26	29	27	28	30	31	31	31	29	31	29	30	31	31	30	32	32	36	41	40	42	44	46	48	48	2	0	2	2	3	3	15	6	3	9	13	3	2	9	4	15	10	10	7	19	11	24	21	20	24	25	15	21	28	22	5	23	32	26	33	48	30	0	30	24	37	29	39	39	38	48	37	27	37	44	48	41	41	49	36	53	41	36	45	66	40	41	36	55	44	47	0	67	52	23	66	64	45	71	59	73	47	48	63	0	0	80	80	69	0	0	84	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	5	1	1	1	7	2	1	1	1	1	3	1	1	3	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	3	1	2	3	1	4	2	1	2	2	2	1	1	4	7	1	1	2	1	2	1	4	3	2	1	1	2	3	7	1	1	2
4500	-489.652706921270180	-496.508194872229581	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587829493570469	1	0	5	5	7	5	6	7	5	7	9	8	6	9	9	10	13	13	10	12	14	16	14	15	17	18	17	15	17	16	19	19	20	19	21	23	21	23	21	21	21	22	22	23	23	25	23	22	25	24	25	24	25	26	27	28	25	27	27	29	26	28	28	29	29	28	31	32	30	32	28	31	29	31	32	33	31	33	34	37	41	42	42	44	46	48	48	2	0	2	2	3	2	3	3	2	4	10	8	9	8	1	13	12	16	8	7	16	28	17	16	17	23	24	17	19	18	21	22	27	24	25	48	31	0	33	33	26	26	31	37	29	48	21	27	44	47	44	43	48	52	50	21	25	36	49	52	50	54	41	55	55	38	0	57	52	72	54	58	49	41	69	77	50	64	70	0	0	81	80	81	0	0	85	1	1	2	2	1	2	1	1	3	1	1	1	1	1	2	3	2	1	2	2	2	1	1	2	2	3	1	1	3	2	2	2	1	2	2	1	1	1	1	1	1	2	2	1	3	1	4	2	1	1	1	1	2	1	2	7	4	1	2	2	1	1	4	2	1	3	1	4	3	1	1	1	2	3	1	2	6	2	1	1	1	1	3	1	1	1	1
