"","R","w.mu","w.sigma","w.k","mu1","mu2","r.imp.cases","p.obs.cases","p.seq.data","type","n","prop.ances.ok","msup.ances","msup.kappa","merr.date","prop.imp.ok","mu.ok","mu1.ok","mu2.ok","merr.pi","time"
"5809c89830",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",81,0.6625,0.471953125,0.58912037037037,0.730478395061728,NA,1,1,1,0.325540847643169,463
"5809c898301",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",81,0.683544303797468,0.456328125,0.605478395061728,0.749382716049383,NA,1,1,0,0.321185355132649,450
"589a8ca2f1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",82,0.7875,0.513984375,0.621951219512195,0.761737804878049,1,1,1,1,0.308588215015037,687
"589a8ca2f11",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",82,0.725,0.436328125,0.603353658536585,0.769283536585366,1,0,0,1,0.324613223260524,1066
"613885472c",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",126,0.729508196721312,0.470850409836066,0.645535714285714,0.734375,1,1,1,1,0.297299327626518,1118
"613885472c1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",126,0.65,0.354456967213115,0.646428571428571,0.743303571428571,1,0,0,0,0.311819132549186,1687
"62070d0802",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",70,0.716417910447761,0.558955223880597,0.596339285714286,0.780089285714286,1,1,1,1,0.329312513424856,504
"62070d08021",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",70,0.712121212121212,0.527238805970149,0.609196428571429,0.824196428571429,0.5,1,1,1,0.322640495044697,474
"64304c7a5d",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",108,0.730769230769231,0.473016826923077,0.562731481481481,0.761689814814815,1,1,1,1,0.348769577006646,1186
"64304c7a5d1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",108,0.631067961165049,0.452163461538462,0.570601851851852,0.766840277777778,1,1,1,1,0.346005482739148,1248
"6c88b5f01e",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",140,0.707692307692308,0.421052631578947,0.441517857142857,0.706607142857143,0.333333333333333,1,1,1,0.537192665556159,2161
