step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54
10500	-306.110054947573929	-304.502897640901551	-1.607157306672366	0.000105713617675	0.000025049915172	0.236960154451467	0.672780115271765	-1	0	2	2	5	2	3	2	6	8	3	5	6	6	5	7	5	7	8	8	10	9	9	7	11	11	13	13	14	14	16	16	17	17	18	18	19	19	19	20	22	24	21	21	22	20	24	21	23	25	27	27	25	28	0	1	1	2	11	1	6	1	3	4	6	6	1	4	4	11	11	13	13	14	10	24	17	15	23	18	26	14	27	26	27	30	32	30	0	33	34	32	35	36	34	48	46	39	34	39	36	38	45	44	49	48	48	52	1	1	1	1	1	1	1	1	2	3	1	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	3	2	1	1	3	1	2	1	1	2	2	3	2	1
11000	-337.265064923491593	-335.629398427964645	-1.635666495526920	0.000146175681224	0.000032968861520	0.225542725330675	0.631600597184495	-1	0	2	1	5	1	3	3	6	7	3	3	5	6	6	7	6	7	9	7	8	10	9	10	12	10	11	14	13	16	15	17	16	16	18	18	19	20	20	20	21	23	22	22	22	21	24	22	23	24	27	26	26	27	0	1	1	2	11	1	6	1	3	9	6	6	8	4	13	5	5	13	9	13	9	20	17	14	17	20	8	10	24	14	27	28	28	28	0	30	14	32	35	33	36	48	46	39	33	39	41	38	37	44	49	42	45	53	1	1	1	1	1	1	2	2	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	4	3	2	1	1	1	1	7	1	1	2	1	1	1	1	3	1	1	1	2	1	3	1	2	1
11500	-323.874860405325876	-322.364337009357087	-1.510523395968799	0.000117871828990	0.000033890999819	0.287524170188767	0.624874479211882	-1	0	2	3	5	2	3	3	6	9	4	6	6	6	5	8	7	7	7	7	9	11	10	7	12	13	12	14	14	17	17	18	16	16	17	18	19	20	19	20	22	23	20	21	19	22	24	21	23	24	27	27	25	27	0	1	1	2	11	1	3	1	3	14	6	6	4	4	4	11	7	13	4	4	20	14	17	14	23	22	24	26	27	26	27	33	26	28	0	30	30	32	35	33	36	48	35	39	32	43	36	45	48	39	49	42	48	42	1	1	2	1	1	1	1	2	1	1	1	2	3	1	1	2	2	1	2	2	1	2	1	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2
12000	-321.222396214280479	-319.721625561193832	-1.500770653086650	0.000119574906204	0.000035168482973	0.294112570013515	0.570286706841580	-1	0	2	2	4	2	4	1	6	8	5	5	4	4	5	7	7	7	8	7	10	10	8	9	11	12	13	14	14	17	17	18	16	15	17	19	19	20	19	21	21	24	21	21	21	20	23	22	21	24	26	26	25	27	0	1	1	2	6	1	6	1	3	4	5	6	4	2	4	11	5	15	13	9	10	19	17	10	23	14	24	26	26	33	27	30	34	20	0	30	26	32	35	33	36	48	46	46	37	39	36	38	36	39	49	42	42	48	1	1	2	1	1	1	1	1	2	3	1	1	1	3	1	1	1	1	2	1	1	1	1	1	2	5	2	1	1	1	2	1	1	3	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2
12500	-319.565438123560511	-317.949551809759953	-1.615886313800582	0.000135948640996	0.000031721786177	0.233336544921848	0.629345879458296	0	1	2	3	4	3	4	3	6	8	4	5	6	6	5	7	6	7	9	8	9	9	10	10	11	12	13	14	13	17	17	17	16	15	17	18	18	19	20	20	21	24	22	21	21	21	22	21	23	24	27	26	26	27	0	1	1	2	8	3	6	1	3	13	6	6	4	2	2	11	11	13	10	4	14	13	17	21	23	19	20	20	13	34	28	28	34	28	0	33	34	32	35	36	30	48	35	35	38	35	41	38	48	44	49	42	48	53	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	1	1	2	2	2	2	1	1	2	2	3	3	2	1	1	1	1	1	1	1	1	2	1	3	2	3	2	1	2	1	1	1	2	2	1	2	1
13000	-338.569882402151677	-337.085522713781927	-1.484359688369761	0.000135404240880	0.000041448702385	0.306110813929954	0.615236865219054	0	1	2	2	5	3	4	3	6	8	4	2	6	6	5	6	6	8	8	8	9	10	9	10	12	12	12	14	15	17	16	17	17	14	18	19	20	19	19	21	20	23	20	20	21	22	23	22	22	24	26	26	27	27	0	1	1	2	11	12	12	1	3	9	12	1	4	4	2	12	11	14	13	13	9	18	17	21	5	20	15	26	27	20	27	34	34	26	0	32	34	33	35	36	36	45	39	39	38	43	36	38	32	44	45	38	52	52	1	1	2	1	1	1	1	2	2	1	1	2	2	2	2	3	1	1	1	1	1	1	2	1	3	1	3	1	2	4	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	3	2	2	3	1	1
13500	-320.066253519069278	-318.515812172783342	-1.550441346285941	0.000132221534061	0.000034890681505	0.263880477208123	0.675387807786790	0	1	3	3	5	2	4	2	7	8	4	5	6	7	5	8	7	7	9	9	10	10	9	9	10	13	13	14	14	16	17	17	15	17	17	16	19	18	19	21	22	23	20	21	18	22	23	22	23	25	28	27	26	28	0	1	1	2	11	1	6	1	1	9	6	6	2	2	4	11	11	15	10	4	20	10	5	9	5	4	20	26	21	33	27	26	26	26	0	33	34	30	35	33	36	48	39	39	32	43	40	40	40	44	49	53	48	52	1	1	1	1	1	1	1	1	2	1	1	2	2	3	1	2	1	1	1	3	1	1	1	1	3	3	2	1	2	1	2	2	1	2	1	1	1	1	1	4	2	1	1	1	1	2	1	1	1	2	2	1	2	1
14000	-327.543489025907263	-325.749053900510546	-1.794435125396725	0.000129432299583	0.000023025659093	0.177897319041848	0.698003710059406	0	1	2	3	4	3	4	3	6	8	5	6	4	6	5	8	6	7	8	9	10	10	9	8	12	12	13	13	13	16	16	17	17	17	18	18	20	19	19	21	21	22	21	21	22	22	23	22	23	23	27	28	25	28	0	1	1	2	6	1	6	1	8	9	5	6	2	4	4	11	11	15	9	4	24	14	17	14	23	20	24	26	21	26	29	26	28	30	0	30	33	34	35	33	36	32	39	39	30	43	32	33	48	44	49	53	48	53	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	2	2	2	3	2	1	1	1	1	1	1	2	2	1	1	1	3	1	2	3	1	2	3	2	2	3
14500	-352.000229753710244	-350.490589343713793	-1.509640409996469	0.000147882345959	0.000042605733636	0.288105610984538	0.611824240242992	-1	1	3	3	4	0	2	3	7	8	5	6	7	7	6	8	6	7	9	9	11	10	10	9	11	13	13	14	14	16	15	17	16	15	17	18	20	20	19	20	20	23	20	21	20	21	23	23	24	24	27	26	25	27	0	1	2	2	7	1	6	1	2	15	7	6	4	4	2	5	5	4	18	13	2	9	17	15	23	19	13	21	14	20	13	14	21	28	0	33	34	26	35	33	33	45	39	39	30	43	36	38	48	44	32	48	42	53	1	1	1	1	1	1	2	2	4	1	2	2	2	2	2	2	1	2	1	1	4	1	2	2	1	2	3	1	2	3	3	4	2	1	1	2	2	3	1	2	1	1	1	1	2	1	3	2	1	2	3	2	1	1
15000	-305.433122632810864	-303.443856730866457	-1.989265901944431	0.000124138932371	0.000017418363250	0.140313461034527	0.666063537031490	-1	0	1	3	2	1	3	2	5	8	4	4	5	6	5	7	6	7	8	9	10	11	10	8	11	12	13	15	14	15	16	17	17	17	18	18	18	19	19	20	22	24	20	21	21	22	23	21	23	24	26	26	26	28	0	1	2	2	6	1	6	1	3	14	5	6	2	4	4	11	11	4	14	13	24	20	17	15	17	14	24	26	21	26	29	20	30	26	0	32	30	34	35	36	36	48	39	39	32	43	41	38	48	44	49	48	42	48	1	1	1	1	1	1	1	2	2	1	1	2	3	1	1	2	1	2	1	2	1	1	2	2	2	2	2	1	1	2	1	4	1	3	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	1	3
15500	-331.479992092748319	-329.939549563594198	-1.540442529154098	0.000073687503861	0.000019848833585	0.269364987888458	0.556434437466789	-2	0	0	2	3	0	3	2	6	8	4	5	4	7	5	6	7	6	8	8	10	10	9	10	12	12	13	15	14	16	15	16	17	16	18	18	19	20	19	19	22	23	21	21	22	22	24	21	23	24	27	26	26	27	0	1	1	2	6	1	6	1	3	14	5	7	2	3	2	11	11	13	9	14	9	2	17	15	17	20	22	20	27	22	27	14	32	22	0	33	30	34	35	33	34	48	39	39	38	43	41	32	38	44	49	42	42	53	1	1	1	1	1	1	1	2	3	1	1	2	2	3	2	1	2	1	1	1	2	7	1	3	4	2	1	3	1	3	2	5	1	4	1	1	2	3	1	1	3	2	1	1	1	1	1	3	2	2	2	2	2	1
16000	-333.386340609177012	-331.845749333580841	-1.540591275596184	0.000131858701459	0.000035507102927	0.269281454573613	0.530083821726968	-1	1	1	3	2	1	3	4	5	6	4	5	6	6	5	8	6	7	8	8	8	10	8	9	11	12	13	11	13	15	16	17	16	16	18	17	19	20	19	19	22	24	20	20	21	22	23	22	24	24	26	27	27	27	0	1	1	2	6	1	6	1	3	15	5	6	2	4	4	11	11	14	14	13	10	15	17	19	16	28	24	20	13	26	24	33	20	20	0	30	33	32	35	30	36	48	39	39	32	43	33	45	38	43	49	45	48	48	1	1	1	1	1	1	1	2	2	1	1	2	3	1	1	2	1	1	2	2	1	2	2	1	3	1	1	1	3	2	3	1	4	4	1	1	1	2	1	2	2	1	1	1	2	1	2	1	2	2	1	3	2	2
16500	-349.412734947934439	-347.770286691081765	-1.642448256852677	0.000127409301147	0.000028411518934	0.222994072473430	0.645888210778286	0	1	2	3	5	2	3	2	7	7	4	4	6	6	6	6	6	8	9	8	9	10	9	9	10	13	12	12	15	16	16	18	15	16	15	18	19	20	19	20	20	21	20	20	22	21	24	22	24	24	27	25	27	27	0	1	1	2	11	1	6	1	13	13	6	6	4	4	4	11	11	15	14	13	20	13	17	15	11	20	21	10	24	22	27	30	21	28	0	34	33	33	35	36	36	30	39	39	38	35	41	32	48	44	49	38	52	52	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	3	2	1	3	3	3	4	1	4	2	1	1	1	3	2	2	1	3	1	1	1	4	2	3	1	2	2	2	1	1
17000	-319.677248556571158	-318.017675877267038	-1.659572679304094	0.000124391462726	0.000026969920992	0.216814887461846	0.719633792065146	0	1	2	3	5	2	4	4	6	7	3	6	7	7	5	5	6	6	9	9	11	9	9	8	10	11	13	14	13	16	16	17	16	16	19	18	20	20	20	21	21	21	21	21	22	22	24	23	24	24	28	28	27	27	0	1	1	2	11	1	6	1	1	15	6	7	8	4	2	11	11	15	14	14	20	10	17	10	23	14	24	26	26	28	29	30	14	28	0	34	34	32	35	34	36	38	39	39	38	43	36	42	42	44	49	54	48	48	1	1	1	1	2	1	2	2	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	3	1	1	1	3	2	1	2	2	1	1	1	1	1	3	2	1	2	2	1	2	2
17500	-287.581260300911651	-286.033891432149574	-1.547368868762055	0.000140722960317	0.000037367310823	0.265538123552730	0.874241911489580	-1	0	2	2	5	2	3	3	5	8	4	5	5	7	6	6	6	4	8	9	10	10	8	10	12	12	13	14	13	17	16	16	17	15	18	18	19	20	19	20	21	24	21	21	21	22	23	22	23	23	27	28	26	27	0	1	1	2	11	1	6	1	3	14	6	6	18	13	4	11	5	4	9	15	19	9	17	14	17	20	24	20	22	34	27	28	34	26	0	32	30	33	35	36	33	48	39	39	30	43	41	38	48	44	49	53	42	53	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	3	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1
18000	-319.547206007585885	-318.008875614503154	-1.538330393082759	0.000122537052157	0.000033153342593	0.270557696707137	0.700245633836737	0	1	2	3	4	2	3	3	6	8	5	5	5	5	6	8	6	7	8	9	10	9	9	10	12	13	14	12	12	15	17	17	16	17	17	19	19	21	19	20	19	23	21	21	21	22	23	22	23	24	27	27	25	27	0	1	1	2	6	1	6	1	3	4	5	7	4	2	4	5	11	2	4	10	19	18	17	19	16	28	29	20	24	20	27	26	30	28	0	30	34	36	35	36	33	45	39	39	30	43	41	32	32	46	49	53	49	42	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	3	2	1	1	1	1	1	2	1	1	2	1	3	2	2	1	2	1	2	1	1	1	1	2	1	2	1	3	1	2	3	2	2	2	1	1	2
18500	-314.003468926407152	-311.901219641070327	-2.102249285336853	0.000123395591016	0.000015344379961	0.124351120126141	0.673235134121272	0	1	2	2	5	2	3	3	7	8	4	4	5	7	6	7	6	6	7	8	11	9	9	9	11	11	14	13	13	15	17	16	16	14	18	17	19	19	19	20	21	24	20	21	20	21	22	21	23	24	28	28	27	27	0	1	1	2	11	1	6	1	3	13	6	6	4	4	13	11	11	4	4	14	18	18	17	19	23	20	21	26	24	34	27	21	30	26	0	33	32	32	35	33	36	45	35	39	32	39	41	32	48	44	49	53	42	42	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	2	1	4	1	1	2	1	2	2	1	2	1	3	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	3	1	2	2	1	2	1
19000	-311.110192031737142	-309.374602762625273	-1.735589269111854	0.000129121014565	0.000024929923723	0.193074100349787	0.741751187747160	0	1	2	3	4	2	3	4	5	7	5	4	4	6	6	6	6	7	8	8	11	10	9	10	12	13	12	15	14	16	15	17	16	15	18	17	19	21	19	19	21	24	21	21	20	22	23	22	24	24	27	28	26	27	0	1	1	2	7	1	6	1	3	14	6	6	1	2	13	11	5	14	14	14	19	15	17	13	23	10	24	24	27	34	27	30	34	26	0	33	34	45	35	36	36	48	39	39	32	43	41	45	38	44	48	53	42	53	1	1	1	1	1	2	1	2	2	1	2	2	1	2	1	1	1	1	1	1	2	1	2	4	2	3	1	2	2	1	2	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1	1	1	1	2	3	1	1	1
19500	-299.776430886168384	-298.255236885682791	-1.521194000485613	0.000104288565157	0.000029275636857	0.280717610912943	0.690903933877603	-1	0	3	2	5	2	4	3	5	6	3	6	7	7	4	6	7	6	8	8	8	10	9	10	11	12	13	14	14	16	16	16	16	14	17	18	18	20	19	20	21	23	20	21	22	21	23	23	22	25	26	27	26	28	0	1	1	2	11	1	6	4	3	2	6	6	10	9	2	5	11	2	10	14	13	19	17	20	17	13	24	26	24	34	27	26	34	26	0	34	30	32	35	36	33	38	39	39	38	43	36	38	38	44	49	53	48	53	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	1	2	2	1	2	1
20000	-331.029764675124056	-329.482910007804833	-1.546854667319250	0.000111503204456	0.000029639546939	0.265817893609483	0.643914314880346	0	1	2	2	5	2	3	2	7	9	4	5	7	6	5	6	7	7	8	8	10	10	9	9	11	12	13	14	12	16	15	17	17	15	18	18	18	19	19	21	21	23	22	21	22	20	23	20	23	24	27	28	23	26	0	1	1	2	11	1	6	1	2	3	7	6	14	4	2	11	11	15	13	14	24	18	17	8	17	20	29	20	13	26	24	10	34	26	0	32	30	34	35	36	36	48	46	39	38	39	41	30	45	39	49	53	45	53	1	1	1	1	1	1	1	1	3	4	1	1	1	2	2	2	2	1	1	1	1	1	1	3	2	2	1	2	2	1	2	4	1	2	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	2	2	2	1	2
20500	-307.529951948404289	-305.782081846851838	-1.747870101552424	0.000132780469300	0.000025189500760	0.189707875663572	0.699880375707818	0	1	3	3	3	1	2	2	6	9	4	6	4	7	3	7	7	7	8	9	10	10	8	9	11	13	13	14	14	17	16	16	15	15	17	17	20	20	19	21	21	24	22	20	21	21	22	22	23	24	27	27	26	28	0	1	1	2	6	1	6	1	3	14	5	7	2	4	2	11	11	13	9	14	18	10	17	14	23	14	21	26	24	34	24	26	26	26	0	33	30	30	35	33	33	48	46	39	32	39	41	45	48	44	49	48	42	53	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2	1	2	1	1	1	1	1	1	2	2	2	1	3	1	2	2	1	1	1	1	2	1	1	3	3	1	1	1	2	1	1	1	1	3	2	2	1	1
21000	-334.349817875792155	-332.531072022700812	-1.818745853091326	0.000149848052503	0.000025813195495	0.172262468971933	0.583380416955059	-1	1	3	3	3	2	1	4	7	7	5	5	6	5	5	7	7	7	8	9	10	10	10	9	10	12	13	15	14	17	14	18	17	16	17	19	19	20	19	19	18	24	22	21	21	20	24	23	22	24	27	27	26	27	0	1	1	1	6	7	1	3	3	4	5	6	4	2	4	11	11	14	13	13	19	13	17	2	17	4	24	31	24	34	26	34	34	31	0	41	34	32	35	33	33	48	46	39	38	39	36	45	32	44	42	42	45	42	1	1	2	2	1	1	2	1	2	2	1	1	1	2	2	1	1	1	1	2	1	1	2	3	1	4	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	2	2	1	2	3	1
21500	-318.973528133259549	-317.445482112025957	-1.528046021233614	0.000137949252353	0.000038149556829	0.276547760706082	0.711254365956476	-1	0	3	2	4	3	1	2	5	8	5	5	6	6	6	6	7	7	8	8	10	7	9	8	12	11	12	14	15	15	16	17	17	15	17	19	20	20	19	20	22	22	22	21	21	21	24	21	24	24	27	26	25	27	0	1	1	2	6	7	1	1	4	13	5	6	9	1	4	11	11	3	13	15	18	4	17	14	23	21	21	20	22	26	27	30	30	20	0	34	36	30	35	34	38	32	46	39	32	39	41	36	42	46	42	38	48	53	1	1	2	2	1	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	2	2	1	1	2	1	1	3	3	1	2	1	1	4	1	3	1	2	1	3	1	2	1	1	2	1	1	1	1	1	3	3	2	1
22000	-298.984467794699015	-297.479446348861813	-1.505021445837228	0.000122578212048	0.000035694191631	0.291195237997886	0.691977752778779	-1	1	3	2	3	3	1	2	5	9	5	5	6	7	5	7	7	8	8	8	11	10	10	9	11	12	12	14	15	15	15	17	17	16	18	18	19	20	19	20	20	24	22	21	21	20	23	22	23	25	26	27	26	27	0	1	1	2	7	7	1	1	3	14	5	5	4	15	2	11	5	13	14	13	24	4	11	13	23	20	24	26	27	26	22	34	30	30	0	33	34	34	35	36	36	45	46	39	38	39	33	34	48	35	49	42	42	53	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	3	2	2	1	2	2	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	2	1	3	2	2	1	1
22500	-323.888987923313721	-322.303231150578142	-1.585756772735573	0.000114564604140	0.000028226288149	0.246378786545408	0.570111689699178	0	1	1	3	5	4	2	4	6	5	3	6	6	6	5	7	6	7	8	8	10	10	10	9	10	13	12	14	14	16	15	17	17	15	17	17	18	19	19	19	21	23	22	21	21	21	23	22	24	23	28	26	25	28	0	1	1	2	11	7	1	1	1	4	7	6	4	2	2	11	11	1	13	15	19	20	17	13	17	20	24	26	27	34	24	26	34	26	0	30	30	32	35	32	36	48	46	35	30	35	45	32	32	44	49	42	42	52	1	1	1	1	1	1	1	2	3	1	1	1	1	2	2	2	2	3	2	1	1	1	2	2	2	2	2	1	1	1	3	3	1	1	1	1	1	1	2	1	2	1	1	2	2	2	1	3	3	1	2	2	1	1
23000	-330.748752917666195	-329.141886725553945	-1.606866192112267	0.000128446533003	0.000030452498884	0.237083073959979	0.700295907074937	-1	0	2	2	5	1	3	2	6	9	4	5	6	4	6	8	7	8	8	9	11	11	9	8	11	13	14	15	14	17	17	18	16	15	16	18	18	21	20	20	21	24	21	22	21	21	22	22	23	25	27	28	27	25	0	1	1	2	11	1	6	1	3	4	6	7	4	3	4	11	11	13	13	14	20	19	17	13	23	20	10	26	21	34	26	33	26	26	0	33	33	30	35	30	26	48	39	39	34	35	38	38	38	44	49	53	54	42	1	1	2	1	1	1	2	1	1	4	1	1	2	1	2	2	2	1	1	2	1	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	2	2	2	3	1	1	1	4	3	1	1	1	2	2	1	2	1
23500	-343.284769699053186	-341.639559629828398	-1.645210069224808	0.000108768340152	0.000024143650063	0.221973140614762	0.629827942730340	-2	0	2	2	4	1	3	3	5	8	3	5	6	7	5	7	5	7	9	9	11	10	10	9	8	11	13	14	14	16	16	18	16	16	17	19	20	19	18	20	20	23	21	22	20	20	21	22	23	24	27	28	25	27	0	1	1	2	11	1	6	1	3	3	6	6	4	9	3	11	11	4	13	4	14	14	25	18	17	18	24	21	18	26	27	33	26	21	0	34	33	33	35	33	32	38	46	39	32	39	41	30	48	44	49	53	32	42	1	1	2	1	1	1	1	2	1	2	1	2	3	1	2	2	1	2	1	4	3	1	1	1	2	2	2	2	3	3	1	2	3	3	1	2	1	2	1	1	1	2	1	2	1	1	1	3	1	1	2	2	2	1
24000	-348.992791554079361	-347.238275440404493	-1.754516113674844	0.000159593217166	0.000029992764091	0.187932573977250	0.632016591875263	-1	1	1	3	5	3	2	3	5	8	4	6	7	6	5	6	6	8	9	8	9	9	8	9	11	12	12	15	15	13	15	18	16	14	17	18	20	21	19	18	21	24	22	21	21	21	23	23	22	24	27	27	26	27	0	1	1	2	11	7	1	1	3	4	6	6	2	4	2	11	11	14	9	14	4	10	17	13	23	19	13	22	19	19	13	34	34	26	0	34	34	33	35	28	36	32	46	39	30	39	38	45	32	44	53	53	38	48	1	1	1	1	1	1	2	2	2	2	1	1	3	2	2	1	1	1	2	1	3	1	1	1	2	3	3	3	3	2	3	2	1	1	1	2	3	3	1	2	1	4	1	1	4	1	1	2	3	2	1	1	2	2
24500	-304.367457188787341	-302.958260346707391	-1.409196842079937	0.000134474383946	0.000051940904217	0.386251289599415	0.784384619596485	-1	1	3	3	5	3	1	3	6	7	4	6	6	5	4	7	6	7	8	6	11	8	9	10	12	12	13	14	13	17	16	17	17	15	17	16	20	20	19	21	20	24	22	21	22	21	22	22	24	25	27	27	25	27	0	1	2	2	11	7	1	1	3	4	6	6	2	4	2	5	11	13	14	4	19	20	17	19	23	22	24	22	24	34	29	34	36	26	0	34	30	32	35	36	36	48	46	39	38	39	33	41	48	44	49	53	42	42	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	2	3	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2
25000	-362.345425726435849	-360.834653624987311	-1.510772101448521	0.000112521477851	0.000032334275431	0.287360920322983	0.520201422056197	-2	1	2	2	4	1	2	3	7	7	5	5	6	5	5	7	5	7	8	8	11	11	9	10	11	13	14	14	14	15	16	17	17	17	18	19	20	21	19	19	21	23	22	21	21	20	23	21	23	24	27	28	26	26	0	1	1	1	6	1	6	1	14	4	5	7	1	8	4	11	5	15	2	14	24	19	17	10	16	21	14	20	24	26	22	26	30	13	0	33	34	32	35	33	33	48	46	39	32	39	34	26	34	43	49	38	48	48	1	2	2	2	2	2	1	3	1	2	1	2	4	2	2	1	1	1	4	2	1	1	3	1	3	1	4	3	2	1	3	2	1	4	1	1	1	1	1	1	2	1	2	2	3	1	4	3	3	1	3	3	2	2
25500	-327.143974191209338	-325.632471497608265	-1.511502693601073	0.000164296694913	0.000047133875600	0.286882676644680	0.696065689648278	-1	0	2	3	3	1	3	2	6	8	5	5	7	5	5	8	7	7	7	9	10	10	9	10	11	12	12	13	14	17	16	17	16	16	18	18	19	20	19	21	20	23	22	20	22	20	23	21	23	25	28	27	25	28	0	1	1	3	6	1	6	1	1	4	5	7	15	2	2	17	11	9	15	15	18	13	17	19	17	13	22	21	27	31	14	33	26	26	0	34	32	33	35	36	34	48	46	39	38	39	41	32	38	39	48	53	42	53	1	1	1	1	1	1	1	2	3	2	1	1	1	2	3	1	1	1	2	2	2	1	1	2	2	2	1	3	1	1	5	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	3	3	4	1	1	2
26000	-330.795350302802149	-329.002865278240790	-1.792485024561336	0.000160567741762	0.000028639524286	0.178364122030836	0.730742822322310	-2	0	-1	2	4	2	4	3	5	8	5	6	6	6	5	7	7	7	8	8	10	10	9	7	11	12	11	14	15	16	15	18	16	15	17	18	19	20	19	19	21	23	22	21	20	21	23	22	23	25	26	27	27	28	0	3	1	1	2	2	6	2	8	1	5	6	4	4	4	11	11	13	13	14	15	18	17	8	17	22	24	26	27	26	27	34	34	26	0	33	34	40	35	34	34	45	46	39	32	39	41	32	38	46	48	42	42	53	1	1	1	2	2	1	1	1	1	3	1	1	2	2	2	1	1	1	1	1	3	1	1	2	2	1	2	1	2	2	2	2	1	2	1	1	2	1	1	3	2	2	1	1	1	1	1	2	2	2	2	2	2	1
26500	-343.828424087008329	-342.132895904111194	-1.695528182897152	0.000139941659128	0.000028674858194	0.204905804122052	0.674345815551822	0	1	2	2	4	3	2	3	4	9	5	5	6	7	6	8	7	8	8	9	11	10	9	9	11	12	13	15	13	17	17	18	16	15	17	19	18	19	18	20	22	23	21	21	22	20	24	20	23	25	27	27	27	27	0	1	1	2	6	7	1	1	3	8	5	6	2	1	2	11	11	15	13	13	24	24	17	14	23	21	24	24	10	33	14	31	10	26	0	32	33	32	35	32	36	38	46	39	38	39	34	32	48	44	48	42	48	45	1	1	1	1	1	1	1	2	1	2	1	1	3	3	2	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	6	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1	4	1	1	2	3	3	3	3
