step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-1030.952018984651886	-1040.002862365103283	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.029856981518928	6	24	8	16	21	24	20	24	27	21	28	34	26	23	28	36	27	29	25	29	33	27	27	34	42	36	28	35	30	29	28	34	38	34	33	32	36	35	31	32	44	35	35	35	36	33	35	39	40	46	38	41	43	43	44	44	41	47	41	43	43	42	48	50	48	55	53	55	51	63	64	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-542.244780210363842	-551.295623590815239	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.078955754155143	6	26	12	15	20	25	18	20	30	22	28	36	27	23	24	31	30	29	26	27	33	25	20	26	39	38	30	35	33	26	29	36	39	36	36	31	29	33	28	35	41	38	39	38	37	27	34	42	39	49	31	40	37	43	40	45	35	38	41	42	45	39	43	45	45	50	48	48	44	61	54	0	8	1	1	1	5	4	4	7	3	24	11	8	5	3	24	10	5	23	23	17	10	3	7	24	20	20	10	17	7	19	39	29	27	31	5	24	6	23	22	37	36	2	37	17	8	37	9	34	43	8	32	47	46	29	26	18	16	34	33	48	19	42	33	48	65	34	25	40	50	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-393.495372977515444	-402.546216357966784	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.639762911168624	-1	19	5	10	20	10	21	22	19	15	28	34	24	24	18	34	25	30	22	28	26	24	29	28	39	37	29	30	28	21	31	34	34	34	28	35	35	30	32	32	40	27	37	28	34	33	34	31	38	50	35	34	45	43	42	45	38	40	42	34	46	39	44	49	51	52	49	49	53	61	57	0	10	1	3	6	3	10	9	3	3	22	39	5	2	4	48	2	24	9	5	8	15	14	14	24	31	13	14	5	15	17	24	27	44	8	22	24	13	5	11	32	6	23	8	44	24	17	19	46	58	27	42	49	43	60	58	18	34	49	38	43	40	32	61	64	63	16	63	67	65	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-361.594985849825775	-370.645829230277116	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982909027021025	4	22	11	11	16	26	16	24	16	20	19	35	27	20	24	38	27	26	24	29	27	30	27	36	44	28	23	32	21	28	30	34	39	34	23	33	36	34	32	33	44	29	36	36	38	31	33	31	36	49	39	42	48	42	41	43	38	48	31	42	37	46	49	50	48	39	50	50	54	62	65	0	3	1	1	3	27	4	2	4	7	7	48	11	3	14	38	29	5	11	21	35	35	9	26	57	19	5	15	5	29	19	17	8	17	7	30	30	17	17	30	32	35	20	22	37	17	30	29	28	56	17	59	51	28	48	37	17	66	19	36	30	57	57	56	44	44	56	52	62	69	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-366.979573452410079	-376.030416832861420	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994353764429713	6	28	12	14	21	25	24	25	26	18	23	36	22	21	30	39	28	29	20	17	31	26	23	23	40	30	31	28	32	31	29	35	35	32	34	36	38	33	31	34	45	26	36	32	27	31	38	39	41	44	39	39	36	37	42	47	32	50	42	35	37	43	44	35	44	55	55	55	49	60	65	0	24	1	3	4	20	20	5	11	3	5	29	19	10	24	60	7	8	4	4	45	14	19	19	32	13	9	23	42	7	23	34	2	28	11	11	12	2	22	27	36	13	27	8	10	7	18	42	36	64	36	36	30	46	33	25	24	34	38	39	15	61	51	21	52	12	55	50	16	66	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-364.107244162415668	-373.158087542867008	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999892152294456	3	23	8	17	16	27	19	25	27	23	18	36	28	23	30	34	21	26	13	24	29	19	27	33	38	29	30	37	28	29	27	36	36	31	36	31	36	30	33	29	44	37	36	35	36	27	29	33	39	46	43	42	41	44	41	42	28	40	38	38	45	43	47	38	52	57	48	52	50	58	62	0	4	1	1	19	14	19	7	10	7	1	34	20	11	46	40	5	17	3	22	5	19	7	8	33	9	17	4	4	2	4	27	6	26	36	31	30	2	13	7	60	27	34	36	47	10	2	31	30	12	34	27	33	55	34	48	7	40	57	30	60	42	12	16	63	63	49	49	56	68	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-368.679745043521166	-377.730588423972506	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.969684973684819	7	24	10	17	22	24	19	22	27	18	20	37	22	25	27	36	29	27	22	31	32	26	17	36	38	36	27	29	30	32	31	38	41	31	32	34	39	36	29	29	32	33	32	36	36	33	28	39	41	43	34	33	46	42	44	45	34	48	38	40	48	38	49	53	44	55	52	47	39	55	59	0	4	1	3	4	23	3	11	11	1	10	15	23	4	13	17	5	7	10	9	22	10	3	15	40	28	4	23	14	2	11	20	6	27	22	11	46	30	2	14	2	9	6	5	40	22	14	24	57	9	18	15	45	27	45	49	2	53	40	44	24	52	24	68	48	61	61	50	30	54	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-369.754461360042569	-378.805304740493909	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979716281038310	5	26	10	17	22	23	17	20	31	22	26	33	29	22	22	34	25	16	29	26	29	29	19	37	35	38	27	38	26	31	30	33	38	33	32	26	37	34	32	34	34	36	33	28	31	36	35	40	42	38	42	35	41	37	45	44	43	45	42	40	40	38	42	47	47	47	55	54	55	60	55	0	18	1	3	23	23	1	7	5	7	8	19	5	4	18	15	4	3	5	23	2	4	3	22	6	43	7	17	4	15	10	36	22	29	10	4	34	10	19	45	21	30	22	14	11	2	12	16	47	27	43	22	13	9	26	37	33	26	26	22	50	29	35	32	36	46	64	49	59	67	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-374.102491115181465	-383.153334495632805	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994235620810440	8	25	12	15	17	20	22	26	22	19	29	28	17	25	26	31	19	25	22	30	34	29	30	36	40	40	24	30	31	29	30	20	36	39	32	36	36	24	30	31	36	35	33	27	38	31	37	33	39	47	36	41	41	38	44	32	35	49	26	44	41	38	44	49	37	57	49	53	50	62	64	0	5	1	3	3	4	17	5	6	3	14	32	3	19	7	18	4	10	17	17	30	4	18	59	29	20	10	59	27	59	18	1	39	57	9	39	2	17	14	27	31	17	12	32	43	17	48	15	37	51	22	46	27	29	45	38	28	62	13	36	8	40	57	60	38	64	54	60	29	68	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-380.463529192374153	-389.514372572825494	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982932011359952	6	25	11	15	18	21	19	26	25	17	26	31	13	24	28	40	24	24	14	22	28	25	21	24	38	28	28	35	32	33	25	29	35	38	29	31	40	33	27	34	43	34	34	32	37	31	32	39	40	46	33	43	40	46	45	36	41	45	41	45	37	42	38	52	49	52	55	48	47	37	61	0	13	1	1	19	7	19	20	13	3	7	2	1	13	23	70	3	5	3	4	23	13	1	7	32	31	8	46	8	14	10	27	21	12	20	7	36	17	7	12	53	9	21	26	35	39	23	32	61	27	27	61	42	53	25	18	48	16	56	36	38	43	31	65	70	60	62	52	57	36	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
