step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
1	-610.996162637027055	-609.534080552508158	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.959093854959771	-1	2	3	2	5	3	6	6	6	7	10	11	12	15	17	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	4	4	4	4	6	6	7	8	9	11
500	-108.817693757167035	-106.340266577641643	-2.477427179525392	0.000009985946116	0.000036842847334	3.689469871521860	0.636327520658695	0	3	4	2	6	2	6	6	7	7	10	11	13	16	15	20	0	4	4	1	3	0	6	3	3	3	10	2	12	12	12	14	1	1	1	1	1	1	2	1	2	2	1	3	1	4	2	2
1000	-108.337105381950650	-106.198016588764460	-2.139088793186193	0.000009949485066	0.000026964592964	2.710149599207994	0.743697197412972	0	2	4	1	6	2	6	5	6	7	10	12	13	15	17	20	0	4	2	1	3	0	6	3	3	3	10	2	12	12	12	14	1	1	1	1	2	1	2	1	1	2	2	4	1	1	2	2
1500	-105.398790467955905	-103.808100147698028	-1.590690320257883	0.000009958718851	0.000013243122572	1.329801831976716	0.550887985304378	0	2	3	1	4	3	6	6	6	7	11	11	12	16	16	21	0	1	1	1	3	0	6	5	5	9	10	4	12	12	12	14	1	1	1	1	1	1	1	1	1	1	2	7	1	2	1	2
2000	-107.941913803245825	-105.212554655035120	-2.729359148210701	0.000009967885462	0.000044919592146	4.506431410723090	0.701542729411608	-1	2	3	3	5	2	6	5	6	7	10	10	12	15	18	20	0	1	2	1	3	0	6	3	3	5	10	2	12	12	14	14	1	1	1	2	1	1	2	1	1	1	2	4	1	2	2	2
2500	-106.217104760745983	-104.006354956004543	-2.210749804741444	0.000010052764359	0.000029226311274	2.907290992702623	0.593254539724437	0	1	4	2	5	3	6	6	7	8	11	11	12	14	16	20	0	1	4	2	3	0	6	3	5	9	9	4	12	12	12	14	1	1	1	1	1	1	2	1	1	1	2	3	1	2	3	3
3000	-103.399656428002416	-101.312176895539721	-2.087479532462692	0.000010319596234	0.000026534695755	2.571292049948825	0.617887429311937	-1	0	3	1	5	3	6	6	6	7	10	10	12	15	17	19	0	1	2	1	3	0	6	5	3	5	10	2	12	12	12	14	1	1	1	1	2	1	2	1	2	1	2	5	1	2	4	2
3500	-116.854632277992479	-114.604447168310983	-2.250185109681491	0.000010824763683	0.000032669377807	3.018022264748166	0.714735876250194	-1	3	3	1	5	4	6	6	6	7	10	10	12	13	17	18	0	4	4	1	3	0	6	5	3	4	9	4	12	12	12	14	1	1	1	1	1	1	1	1	2	3	1	3	1	1	2	2
4000	-101.226648195391178	-99.682534232451673	-1.544113962939503	0.000011183769697	0.000013582333697	1.214468293305413	0.690802173554352	-1	3	4	2	6	4	5	7	6	8	10	11	13	15	17	20	0	1	4	1	3	0	6	5	3	5	10	2	12	12	12	14	1	2	2	1	1	1	1	1	1	1	1	5	1	2	3	2
4500	-104.621142959896829	-102.309441935727662	-2.311701024169164	0.000011182723107	0.000035718326888	3.194063426955291	0.439787366817233	0	2	3	2	4	4	7	7	6	6	10	12	13	14	17	20	0	1	2	1	3	0	6	10	3	3	10	1	12	12	12	14	1	1	1	1	1	1	1	1	1	2	3	5	1	1	3	3
