step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113
1	-8402.010241278034300	-8400.548159193514948	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.995676957266195	1	1	1	2	2	4	3	3	4	5	6	5	6	6	6	6	6	7	8	8	7	7	8	8	11	9	8	8	8	9	8	9	10	10	9	11	9	11	10	11	10	11	10	10	10	10	10	10	10	10	11	11	11	11	11	11	12	11	12	13	11	11	11	14	13	13	12	13	12	12	12	12	12	12	12	13	13	13	14	14	13	13	15	13	15	14	14	14	14	15	16	16	16	16	16	15	15	16	15	16	16	16	16	17	17	17	18	18	19	19	19	20	21	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	4	3	4	4	4	4	4	5	6	6	5	5	6	6	8	6	6	6	6	6	6	6	7	7	6	8	6	8	7	8	7	8	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	9	8	8	8	10	9	9	8	9	8	8	8	8	8	8	8	9	9	9	10	10	9	9	11	9	11	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	13	13	13	13	13	14	15
500	-1228.857598499647111	-1226.313818873147738	-2.543779626499397	0.000010028111315	0.000039078622554	3.896907536029835	0.242138113237541	-2	0	-2	1	2	3	2	3	4	5	6	5	4	3	6	5	6	4	5	7	4	7	8	7	9	7	5	7	7	6	8	9	10	8	9	10	8	10	7	10	10	11	9	9	10	10	9	10	10	9	11	11	11	11	11	11	12	9	11	13	8	11	10	14	13	13	12	13	12	12	11	11	12	12	12	13	13	12	14	14	13	13	15	13	13	14	14	14	14	15	16	16	16	16	16	15	15	16	14	16	15	15	16	17	17	15	18	18	19	19	19	20	21	0	1	0	1	3	2	2	4	6	8	14	9	8	4	27	13	13	14	14	11	14	16	12	14	18	11	14	27	30	21	39	16	20	20	17	11	28	30	30	22	32	14	27	28	30	47	20	34	61	39	26	32	16	32	18	19	28	20	26	47	11	11	14	36	14	48	61	50	26	33	47	48	19	61	49	39	36	49	36	44	14	21	11	11	27	19	19	67	27	50	18	19	49	27	27	61	30	39	30	48	89	30	39	89	39	39	26	14	72	24	0	0	2	1	2	1	3	4	2	2	2	1	2	2	1	1	2	1	1	2	1	2	1	1	2	3	3	4	1	1	2	1	2	1	4	2	1	3	2	1	3	1	2	1	6	4	2	3	1	1	2	2	2	2	2	5	2	7	4	2	2	3	3	2	3	5	3	9	2	3	3	4	2	2	1	3	3	2	5	3	2	3	4	7	8	8	4	7	8	6	1	8	6	11	8	5	8	11	6	9	6	8	5	1	9	8	2	8	7	7	13	8	10	1	1	14
1000	-991.582985093519142	-989.549581424124767	-2.033403669394384	0.000010036720263	0.000024373689126	2.428451574527721	0.300241204558055	0	1	1	2	2	3	3	3	4	5	5	5	4	3	6	5	6	7	8	7	5	7	8	8	11	8	5	8	8	9	8	9	10	9	9	10	9	11	7	10	10	9	9	10	10	10	10	10	10	9	9	10	11	11	11	11	12	11	12	13	8	10	8	14	13	13	12	12	12	12	12	12	12	12	12	12	12	13	13	14	10	13	15	13	15	14	13	14	14	15	16	13	16	16	15	15	15	16	14	15	16	16	16	16	17	16	18	18	19	19	18	20	21	0	1	1	2	3	3	4	4	6	8	14	9	8	4	21	13	13	11	14	14	14	16	9	11	42	27	14	20	21	21	39	16	20	20	16	20	28	45	21	16	22	26	26	28	21	34	19	34	61	39	19	22	32	40	11	20	20	33	47	34	27	61	14	26	27	57	81	39	27	46	33	34	62	61	19	39	51	26	69	65	61	50	62	63	63	61	43	75	78	39	27	75	61	87	61	27	50	90	50	34	95	50	39	95	50	50	33	14	107	26	0	0	63	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	3	3	2	2	2	3	2	2	2	1	3	2	1	2	3	2	3	2	1	1	2	5	3	1	1	2	4	1	2	1	2	2	1	3	2	1	5	3	5	1	1	2	2	2	5	5	8	1	2	3	5	2	2	2	2	2	4	2	2	4	1	1	2	4	4	4	4	4	1	2	1	4	10	1	4	3	7	5	4	1	5	6	1	6	7	1	6	7	5	12	1	9	1	1	13
1500	-921.958593860278711	-919.911692153595254	-2.046901706683484	0.000010091923519	0.000024865089598	2.463860288883737	0.463787927510449	0	1	1	2	2	3	3	3	4	5	6	5	3	3	6	5	5	7	7	7	5	7	8	8	11	8	5	7	7	8	8	8	10	9	9	9	8	11	7	10	10	10	10	9	10	10	8	10	9	10	10	11	11	11	11	11	12	11	11	11	10	10	8	11	10	13	11	13	12	12	12	12	12	12	12	12	12	11	12	13	11	13	14	11	15	11	14	13	12	14	16	16	15	16	15	15	15	15	15	16	16	15	16	16	17	17	18	18	19	19	19	19	21	0	1	1	2	3	3	4	4	6	8	14	9	4	4	21	13	13	14	14	11	14	16	12	19	42	27	14	11	21	21	39	22	20	19	32	19	28	21	21	22	32	18	26	26	30	47	20	34	63	39	36	32	40	41	42	48	33	33	33	34	63	63	11	43	11	34	63	50	11	33	58	34	62	81	78	39	51	49	43	65	49	76	73	18	77	49	79	86	63	39	26	96	81	79	67	61	90	90	76	72	95	82	50	95	98	97	100	27	107	67	0	0	10	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	4	2	1	2	2	2	1	1	3	2	1	2	2	1	1	2	2	1	2	1	4	2	3	2	2	1	1	2	2	1	1	1	2	1	3	1	1	1	1	2	1	1	2	2	1	2	1	4	1	3	3	5	2	1	3	2	1	1	4	2	2	2	2	2	1	2	1	3	2	2	2	4	4	7	1	2	4	2	4	1	1	3	2	1	2	4	1	2	2	2	12	1	7	1	1	9
2000	-864.489098929654347	-862.562199279650144	-1.926899650004160	0.000010091542077	0.000021741451384	2.154423101870545	0.520610087890698	0	1	1	2	2	3	3	3	4	4	6	5	5	4	6	6	6	7	8	8	6	7	7	7	11	8	7	8	8	9	8	8	10	8	9	9	9	11	7	11	9	10	10	10	10	9	10	10	9	9	11	11	11	11	11	11	12	11	12	12	10	11	11	13	13	10	12	13	12	11	12	12	12	11	12	11	11	11	12	14	12	13	14	13	14	14	14	14	13	15	16	14	15	16	15	15	15	16	15	16	16	16	16	17	17	17	18	18	19	19	19	20	20	0	1	1	2	3	3	4	4	6	8	14	9	10	7	14	13	13	14	14	14	14	16	12	14	42	27	14	11	21	21	39	16	20	11	32	11	28	21	21	16	16	18	11	28	21	27	34	34	27	39	26	16	22	41	18	33	33	28	33	34	49	61	61	79	28	34	49	39	26	20	58	48	62	49	49	39	26	61	43	44	61	50	73	74	60	19	79	75	81	39	92	20	92	87	75	89	68	90	68	72	95	82	99	95	90	90	100	67	100	101	0	0	53	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	3	2	2	2	1	2	3	1	1	2	2	2	2	1	2	1	2	1	2	1	5	1	3	1	2	4	2	3	2	2	2	2	2	2	2	3	2	4	1	2	1	1	3	1	1	1	1	4	2	1	4	2	3	1	2	1	2	3	2	2	1	2	4	2	3	2	2	2	4	2	1	1	5	2	4	1	2	2	2	1	1	1	2	1	2	1	1	1	2	2	5	2	3	1	1	8
2500	-786.347710275785289	-784.323053919336985	-2.024656356448270	0.000010164756008	0.000024452240489	2.405590500206241	0.550831025199279	0	1	1	1	2	3	3	3	4	5	6	5	4	4	5	6	6	7	8	7	6	7	7	8	11	9	8	8	7	9	8	9	10	10	8	11	9	11	7	9	10	8	10	10	10	8	10	9	10	10	11	10	11	11	11	10	12	11	12	12	11	11	10	14	12	13	12	13	12	12	11	12	12	12	12	12	13	13	13	14	12	12	15	12	14	13	14	14	14	15	15	16	16	15	15	15	13	16	14	14	16	16	16	17	17	16	17	18	19	19	18	19	19	0	1	1	1	3	3	4	4	6	8	14	9	8	7	14	13	13	14	14	14	15	16	12	11	42	27	14	20	21	21	39	22	46	48	22	26	28	30	21	22	40	18	27	19	21	20	20	20	14	39	14	40	16	41	42	46	51	33	47	34	63	63	26	79	44	60	63	39	27	33	33	48	62	49	63	39	61	61	43	44	63	39	73	49	51	26	79	81	78	39	84	78	86	87	86	89	39	90	76	72	95	90	99	88	98	90	100	49	107	101	0	0	51	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	2	3	3	1	1	1	2	2	2	1	3	1	1	2	1	2	2	1	1	1	1	2	1	2	1	1	2	2	2	1	2	2	4	3	5	1	4	1	3	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	3	1	2	2	5	2	2	1	4	2	5	2	2	3	2	1	2	1	7	1	3	3	1	1	1	3	1	2	2	1	1	1	3	1	1	2	3	2	2	1	1	3
3000	-809.537480055782794	-807.312053180612338	-2.225426875170417	0.000010187023492	0.000030034534501	2.948313069474739	0.567122317949129	-1	1	1	1	2	2	3	3	4	4	5	5	5	4	5	6	6	7	7	7	6	7	7	8	11	8	8	8	8	9	8	9	9	10	8	11	9	11	7	11	10	9	10	10	10	10	9	8	10	10	10	11	11	11	11	11	11	11	12	12	11	11	9	14	12	11	12	11	11	12	12	12	12	12	11	12	11	13	12	14	13	12	15	13	15	13	14	14	14	15	16	16	15	15	15	15	14	16	15	16	16	16	16	16	17	16	17	18	19	19	19	19	21	0	1	1	1	3	3	4	4	6	8	14	9	8	7	14	13	13	11	11	11	15	16	12	19	42	11	14	20	21	21	39	22	20	48	16	27	28	45	21	16	22	18	19	33	21	20	48	20	63	39	27	41	32	41	42	51	33	47	33	48	49	63	27	79	44	34	63	39	27	36	46	34	62	63	49	50	19	49	43	65	49	39	73	77	51	77	79	26	81	68	84	78	86	87	88	89	82	90	68	72	95	99	99	95	98	82	100	101	100	101	0	0	8	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	3	2	1	2	2	1	1	2	2	2	2	1	1	1	2	3	2	1	1	4	2	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	2	1	3	3	3	1	2	1	1	3	1	2	3	2	1	2	3	4	2	1	3	2	2	5	1	3	2	3	2	1	1	1	2	1	2	3	1	1	1	1	1	2	1	2	2	2	1	1	6
3500	-788.973421591435681	-786.722172990753620	-2.251248600682100	0.000010056936150	0.000030382317046	3.021031116591384	0.597221297588531	-1	1	1	2	2	3	3	3	4	5	6	5	4	4	5	6	6	7	8	8	6	7	7	8	11	8	8	8	8	9	8	9	10	10	9	11	9	10	7	11	10	10	10	8	10	7	10	9	10	10	9	11	11	11	11	11	11	11	12	12	11	11	9	14	11	12	12	11	12	12	12	12	12	12	12	11	13	13	11	14	13	12	15	13	14	12	14	14	13	15	16	14	16	16	15	15	15	14	15	16	16	16	16	16	16	17	18	18	18	19	19	20	20	0	1	1	2	3	3	4	4	6	8	14	9	8	7	14	13	13	14	14	46	15	16	12	46	42	14	14	46	21	21	39	22	20	48	16	27	28	29	21	16	16	51	27	46	21	14	20	46	19	39	18	32	35	41	42	33	46	47	57	34	63	46	11	79	44	48	49	39	33	57	46	48	62	63	49	39	27	61	43	65	61	50	73	74	19	63	79	67	49	50	84	86	81	87	88	86	50	68	98	34	95	90	99	95	97	99	100	101	100	101	0	0	40	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	3	3	1	1	1	2	1	1	2	2	1	2	2	1	2	2	1	3	3	1	2	1	5	2	1	1	1	2	3	2	1	1	3	2	2	2	1	1	1	3	1	1	2	2	3	2	2	2	3	2	2	2	1	3	2	1	3	2	2	3	2	1	3	2	2	3	1	4	2	2	2	3	5	2	2	2	2	1	3	2	2	1	4	1	1	1	1	1	2	2	2	1	2	1	1	4
4000	-761.440902926622243	-759.407105111379224	-2.033797815243007	0.000010721482407	0.000026047661864	2.429483244481276	0.567118750044908	0	1	1	2	2	2	3	3	4	5	6	5	4	4	5	5	6	7	7	8	6	7	8	8	11	9	8	8	8	9	8	9	10	10	9	10	9	11	7	10	9	8	10	10	10	7	10	9	10	10	11	11	11	11	11	11	12	11	12	13	11	11	9	13	12	12	12	12	12	11	11	12	12	11	12	13	13	10	11	14	13	13	15	13	15	14	14	12	14	15	15	16	16	15	15	15	15	16	14	16	16	16	16	17	17	17	18	18	19	19	19	19	21	0	1	1	2	3	3	1	4	6	8	14	9	4	7	14	13	13	11	11	46	15	16	12	11	42	27	11	46	21	21	39	22	48	48	22	26	28	30	21	22	22	11	11	20	21	14	20	46	63	39	19	32	40	41	42	33	33	27	33	34	19	49	19	79	44	48	49	50	33	33	46	51	62	49	51	68	27	63	43	65	67	68	62	74	11	49	79	61	51	50	84	77	86	79	88	89	76	97	76	72	95	90	99	95	90	99	100	101	100	101	0	0	85	1	1	1	1	1	1	3	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	3	2	2	1	2	1	2	2	1	2	1	1	2	1	1	2	1	2	1	1	3	1	4	2	2	2	1	3	4	2	1	2	1	1	1	2	2	2	3	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	4	1	8	4	2	1	2	5	2	2	1	2	3	1	2	1	1	1	1	1	2	2	1	3	2	2	3	2	1	1	5
4500	-767.070013703468021	-765.340307353472554	-1.729706349995447	0.000012452306497	0.000020760652305	1.667213404198102	0.606978067371711	0	1	1	2	2	2	3	3	4	4	6	5	5	4	5	6	6	7	8	8	6	7	8	8	11	9	7	8	8	9	8	9	10	9	9	11	9	11	7	10	9	9	10	10	10	7	10	10	9	10	11	11	11	11	11	11	12	10	12	13	11	11	10	12	12	13	11	13	12	11	12	12	12	12	11	10	13	13	13	13	10	13	14	13	15	13	14	14	14	14	16	16	16	16	15	14	15	16	15	14	16	15	16	17	17	17	16	18	19	19	19	20	19	0	1	1	2	3	3	4	4	6	8	14	9	8	7	14	13	13	11	46	46	15	16	12	11	42	27	14	46	21	21	39	16	20	20	22	19	28	30	21	16	22	19	27	28	21	14	46	34	19	39	26	40	40	41	42	33	33	46	34	48	49	63	49	43	44	33	49	50	51	47	47	48	62	67	81	39	36	67	43	65	49	76	62	74	78	67	79	86	86	76	84	61	61	87	88	67	76	99	82	72	95	90	90	95	98	99	100	101	100	101	0	0	60	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	3	1	3	2	1	2	2	1	1	1	3	2	1	2	2	2	3	2	1	1	2	2	1	1	2	1	1	1	1	3	3	2	1	1	2	2	1	1	3	1	1	2	1	1	1	1	2	2	1	2	1	1	3	2	1	2	2	1	1	1	2	2	4	5	2	1	3	4	1	2	2	1	1	2	2	1	2	2	2	3	2	1	1	3
