step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-683.102527012221003	-689.958014963180403	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451029874259961	0	2	2	2	2	3	2	2	5	5	6	6	7	7	6	8	8	8	8	8	9	9	9	9	10	9	10	10	11	13	10	11	11	12	12	11	12	11	12	11	11	12	11	12	14	14	14	13	15	13	13	16	15	16	15	14	14	15	16	15	16	16	17	17	16	16	17	16	17	19	18	18	18	19	20	19	19	20	20	21	21	23	22	23	22	22	24	23	25	25	26	29	31	32	32	32	35	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	3	3	3	4	4	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	7	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	8	7	7	8	8	8	8	7	7	8	8	8	8	8	9	9	8	8	9	8	9	10	9	9	9	10	10	10	10	10	10	11	11	12	11	12	11	11	12	12	13	13	13	15	16	16	16	16	18	19
500	-498.192618746762435	-505.048106697721835	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.361577203764300	-1	2	2	1	1	2	3	3	5	5	6	6	7	7	7	8	6	8	8	8	8	9	10	9	11	10	10	11	11	13	9	12	11	11	13	10	12	12	12	11	11	12	11	12	13	13	14	14	15	13	12	16	12	16	15	15	14	15	16	14	14	17	16	17	17	16	16	17	18	20	18	18	17	20	21	19	18	20	20	21	21	23	23	23	23	21	24	23	22	25	26	29	31	33	31	31	36	37	0	5	4	1	1	1	6	5	5	1	7	9	5	8	2	5	9	11	11	8	12	12	8	15	15	22	10	13	31	11	4	23	16	8	38	17	1	33	18	8	16	12	5	12	11	34	30	10	32	40	31	61	36	30	25	28	38	9	11	53	10	21	25	63	30	46	50	6	46	71	56	51	44	63	0	51	32	17	66	37	36	77	29	27	32	63	70	75	5	15	72	65	0	95	90	0	0	2	1	1	1	1	1	1	1	1	2	2	2	1	3	2	2	3	1	1	1	2	2	2	3	1	2	1	3	2	2	4	4	1	1	4	1	1	6	1	3	4	2	2	6	3	5	1	1	4	1	2	1	1	1	2	2	2	1	6	5	1	5	5	3	1	3	1	1	7	3	1	2	2	3	2	1	3	2	9	2	5	4	2	4	6	9	3	2	2	10	10	4	7	1	2	3	1	1	17
1000	-433.626320487927671	-440.481808438887072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.479296452712861	0	3	2	2	2	3	2	2	5	6	7	7	7	7	6	8	8	7	9	8	10	9	8	9	9	10	11	11	11	12	10	10	10	11	12	11	11	12	13	11	11	13	12	11	15	14	14	13	15	12	12	17	15	14	15	14	15	15	16	14	15	15	18	18	15	15	16	15	18	20	18	17	18	19	20	18	19	20	20	19	22	22	22	22	22	22	24	23	26	25	27	30	32	32	33	33	34	38	0	7	1	1	1	1	1	1	5	6	3	9	8	15	8	11	18	7	5	1	13	15	8	10	11	15	26	31	8	21	16	13	15	32	31	25	20	8	51	8	24	50	33	21	34	43	29	10	60	25	13	62	39	48	23	30	30	48	27	32	44	38	62	30	7	35	54	54	44	53	22	53	47	66	0	56	52	66	71	65	52	30	49	62	55	63	86	60	68	55	81	85	0	92	92	0	0	91	1	1	1	1	1	2	1	1	2	2	3	1	4	1	2	1	1	2	5	3	2	1	4	1	2	2	1	1	6	1	2	1	1	1	1	1	1	4	1	4	1	1	2	1	2	2	2	2	1	1	2	1	1	1	3	1	1	1	3	3	2	1	2	3	6	1	1	1	4	3	4	1	1	2	1	2	1	2	1	2	3	4	4	4	4	2	1	5	6	6	3	3	1	1	1	1	1	6
1500	-440.663794149407863	-447.519282100367263	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.423188534264453	1	2	3	3	3	2	3	3	5	4	6	6	7	7	5	9	8	9	9	8	9	9	9	10	10	10	10	9	11	13	11	11	11	11	12	12	11	12	12	11	11	12	10	12	14	15	13	12	15	14	12	14	14	15	14	14	15	14	16	15	15	16	16	17	17	16	17	16	15	19	18	17	16	19	21	19	20	20	20	22	20	22	21	23	22	21	24	22	26	25	27	29	32	32	32	33	35	38	0	1	1	1	1	1	2	1	5	5	10	5	11	2	7	7	15	8	2	5	13	12	20	20	11	6	23	13	20	40	15	22	19	28	37	10	18	14	23	8	21	32	2	12	7	14	22	23	40	14	34	38	18	35	1	39	36	18	50	52	11	38	53	68	12	61	21	53	11	31	54	55	41	60	0	48	68	54	71	8	73	49	62	75	55	53	64	78	59	79	78	91	0	91	91	0	0	90	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	4	5	3	1	1	1	1	2	5	1	1	2	1	2	1	1	1	1	3	2	3	1	4	1	1	3	2	5	4	2	1	2	3	1	1	3	1	8	1	2	2	1	1	5	2	1	1	6	1	2	1	3	4	1	1	2	2	1	4	2	2	1	10	2	3	2	1	5	4	3	1	5	2	3	1	1	2	3	1	1	6
2000	-468.841480214662738	-475.696968165622138	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.388633707468826	0	1	3	3	2	3	3	2	5	5	7	7	7	7	7	6	8	9	8	9	10	9	10	9	9	9	10	8	11	14	10	11	10	12	12	10	11	10	12	11	11	12	11	12	14	14	15	12	15	13	13	15	15	16	14	14	14	16	16	15	16	16	17	17	16	17	17	15	17	20	18	18	19	20	21	19	20	19	19	21	20	24	22	23	21	21	25	23	26	25	26	28	31	32	32	32	34	38	0	1	1	2	1	5	2	1	5	8	9	7	10	10	4	8	5	28	8	10	20	5	22	9	10	28	13	8	3	37	19	12	7	23	31	24	8	20	20	17	22	4	24	41	32	40	50	36	51	43	12	16	56	39	7	34	1	44	45	20	1	5	52	68	37	20	49	45	12	47	54	12	37	46	0	55	45	24	34	3	79	83	61	66	21	49	44	45	82	43	62	91	0	92	42	0	0	93	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	3	1	2	3	1	3	1	2	2	1	2	2	4	1	1	1	4	1	1	1	4	1	1	2	1	5	2	1	1	1	1	1	1	1	2	3	1	2	5	1	5	1	1	3	7	9	2	1	3	5	1	1	4	2	1	4	4	3	1	3	4	4	3	9	1	1	3	4	7	3	5	4	1	8	4	1	1	2	12	1	1	4
2500	-474.873576175542553	-481.729064126501953	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.503294628688554	0	2	2	2	3	3	3	3	4	5	6	3	7	7	6	8	8	8	8	8	9	9	8	8	10	8	9	10	11	14	11	10	10	12	11	11	13	10	12	11	10	12	11	13	15	13	14	13	15	13	12	17	14	16	14	14	15	15	15	16	14	16	17	17	15	16	17	16	17	19	17	16	18	20	19	20	18	20	20	22	20	21	20	21	23	22	24	23	25	25	24	29	31	33	32	31	35	37	0	1	1	1	3	1	4	3	7	8	1	3	5	12	10	3	6	7	11	12	14	11	15	11	23	10	13	17	20	44	17	19	27	22	38	26	26	15	24	2	23	32	8	26	5	29	38	27	50	10	40	57	43	32	17	18	37	29	48	30	39	35	58	66	3	57	37	42	49	47	72	47	72	43	0	54	60	59	69	59	53	52	52	75	35	52	50	75	43	7	81	85	0	93	89	0	0	95	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	2	2	3	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	4	1	1	3	3	6	1	2	2	1	4	1	1	2	4	3	4	1	1	1	1	2	3	1	1	5	1	2	3	1	2	1	1	1	5	1	2	1	1	2	4	3	1	1	1	10	3	5	2	6	8	2	3	1	1	2	1	1	2
3000	-488.719411910249278	-495.574899861208678	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442353562154122	-1	2	3	0	3	1	1	3	5	6	7	6	7	7	6	8	8	8	8	8	10	10	9	9	10	9	10	10	11	13	8	9	11	11	12	11	12	12	13	11	10	13	11	12	14	14	14	14	14	14	13	17	16	17	14	14	14	16	15	16	17	16	18	17	17	15	14	17	18	19	18	19	19	19	20	18	20	19	20	21	21	24	22	22	21	22	24	23	26	24	27	30	32	33	32	33	35	37	0	7	6	1	1	4	1	7	1	5	10	9	1	5	8	12	13	7	5	10	31	1	14	14	7	17	14	18	20	12	7	20	20	27	3	13	22	29	33	26	14	41	1	29	8	24	41	17	10	21	29	46	30	38	39	41	39	67	50	47	66	25	62	47	35	9	43	39	8	76	56	23	41	59	0	29	54	52	78	62	68	84	79	46	46	39	72	80	77	64	89	71	0	92	87	0	0	93	1	1	2	1	3	1	1	1	2	2	1	1	2	2	1	1	1	3	2	2	1	5	1	1	3	1	1	1	2	3	3	1	1	1	5	2	1	1	1	1	1	3	7	1	7	3	2	3	2	2	1	1	2	3	1	3	1	1	1	1	1	3	1	1	4	5	1	2	7	1	2	5	5	2	1	2	2	1	1	3	2	1	1	4	4	4	3	1	3	2	1	7	1	2	3	1	1	2
3500	-424.016333301910208	-430.871821252869609	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550404226592159	0	3	2	3	1	3	2	3	5	5	6	5	7	8	7	9	5	8	8	8	9	9	6	9	10	9	10	10	11	13	10	12	11	12	12	12	12	10	12	11	11	12	11	12	14	15	15	14	15	13	13	15	14	16	15	15	14	16	16	14	15	14	17	17	15	15	18	17	17	18	18	19	19	18	19	19	20	20	20	21	22	24	22	24	22	23	24	23	24	24	25	28	31	32	31	31	35	37	0	7	1	5	1	3	1	3	2	4	5	2	17	15	10	12	2	2	12	5	11	11	12	7	11	12	20	15	20	37	19	27	31	27	24	22	22	11	27	31	16	31	12	25	24	51	62	33	27	33	15	35	35	57	30	37	36	57	53	31	21	15	46	61	38	29	54	55	51	57	40	52	35	35	0	51	49	58	34	59	47	72	78	75	26	80	46	72	73	12	70	87	0	80	91	0	0	87	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	3	1	4	2	2	1	4	2	1	1	2	1	1	1	1	1	1	2	1	2	3	1	1	1	1	3	2	4	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	3	4	1	1	2	3	1	1	1	2	2	2	3	3	1	2	2	1	4	4	3	2	1	3	6	1	5	2	2	6	3	2	1	4	3	1	1	6
4000	-483.066868634170362	-489.922356585129762	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495174678122576	0	3	3	2	3	4	2	2	6	5	6	7	7	5	5	8	6	8	8	9	8	8	9	9	8	10	10	9	11	13	10	10	10	12	12	11	11	11	12	11	11	13	11	11	15	13	15	12	13	13	13	17	15	15	15	14	15	15	17	16	16	15	16	18	14	17	16	16	16	20	17	17	19	18	20	18	20	19	19	19	20	23	20	23	23	22	25	22	24	24	27	29	31	33	32	32	35	35	0	8	4	1	1	8	1	1	10	3	7	10	10	5	2	7	10	2	10	15	10	11	8	17	15	14	28	18	21	38	23	20	13	26	32	11	12	28	25	21	17	11	7	23	13	44	39	8	41	43	48	69	36	40	46	25	44	51	48	38	34	42	38	60	15	57	22	45	48	80	53	42	40	59	0	7	65	57	59	43	46	68	46	79	7	49	84	34	78	12	70	84	0	82	92	0	0	74	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	3	1	2	1	2	2	2	4	2	2	2	1	1	1	1	1	1	1	1	1	3	2	1	2	2	3	3	4	1	5	1	1	5	1	1	1	1	3	2	1	3	2	1	3	3	2	1	3	1	3	1	4	1	2	1	1	1	3	1	1	6	3	1	1	3	3	3	3	2	15	4	1	5	2	7	3	3	1	4	2	1	1	8
4500	-454.496893906205457	-461.352381857164858	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.449056553076444	0	2	1	2	3	2	3	2	6	6	5	6	7	7	6	9	7	8	8	8	9	9	9	8	10	9	11	10	11	13	10	12	12	12	11	11	12	11	13	12	12	11	11	12	14	14	14	13	12	13	14	14	14	16	12	15	15	14	16	15	17	16	15	18	15	16	18	16	17	17	15	18	19	19	20	20	19	21	21	21	22	23	23	23	23	22	24	23	25	25	26	29	31	33	32	33	34	37	0	3	1	1	3	1	3	1	8	6	8	6	7	1	2	10	6	2	2	7	13	10	14	2	24	17	28	20	13	24	24	13	38	36	23	25	27	28	20	10	17	22	15	26	32	48	31	22	10	12	49	49	20	40	19	29	50	41	51	51	71	24	26	54	24	50	69	46	30	65	48	31	40	35	0	61	62	55	18	30	41	73	77	78	30	79	83	54	79	15	87	84	0	91	92	0	0	81	1	1	1	2	1	1	1	1	1	3	2	3	2	3	2	3	3	3	3	2	1	1	1	4	2	1	1	1	2	4	1	3	1	1	2	1	1	1	2	4	2	1	2	2	2	1	1	2	3	3	1	1	4	2	2	2	1	2	1	1	1	6	3	2	4	1	1	1	2	1	1	7	2	3	1	2	1	4	7	3	4	3	2	2	5	1	1	4	2	10	1	3	1	3	1	1	1	8
