step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
1	-69.196643256287004	-67.734561171768121	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.425143790576324	2	1	2	1	3	4	5	7	8	10	10	12	14	17	18	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	4	5	5	6	7	8	9
500	-69.892466538108565	-63.170963744699613	-6.721502793408958	0.000010020840909	0.000342098756149	34.138727403115638	0.401401977390994	2	-1	1	1	4	3	6	7	7	11	10	13	14	18	18	2	0	2	2	1	4	1	0	0	7	4	10	11	13	12	1	1	1	1	2	2	2	1	1	2	5	1	1	2	3
1000	-52.689479009777074	-49.997885860577497	-2.691593149199578	0.000009975772713	0.000043681773969	4.378786007512542	0.665502346828055	2	0	3	1	2	4	4	8	9	11	10	12	14	17	19	4	0	4	2	2	2	2	0	0	8	8	10	12	10	14	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1
1500	-42.448366211339668	-39.961907247402124	-2.486458963937542	0.000010037851826	0.000037314629316	3.717391924217621	0.997409299171880	2	1	3	2	3	4	4	6	8	11	10	12	15	16	19	2	0	2	2	4	2	4	0	0	9	9	11	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-46.198514325779684	-43.874684320421778	-2.323830005357908	0.000010116220307	0.000032667910305	3.229260466321050	0.660520057753056	3	0	2	1	3	5	5	7	8	10	10	12	14	17	16	4	0	2	2	3	5	5	0	0	9	9	10	9	13	12	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
2500	-43.040834211074653	-34.940642498809126	-8.100191712265525	0.000010252928758	0.000574922534506	56.073981208655084	0.958915146337219	2	0	3	2	3	4	4	7	8	9	10	12	14	16	18	2	0	1	2	1	4	1	0	0	8	8	11	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-47.961698468027421	-46.031808431116026	-1.929890036911396	0.000010391664968	0.000022466728452	2.161995072142359	0.921711764588200	3	0	2	1	3	3	6	6	9	10	8	13	14	18	17	4	0	4	2	4	4	6	0	0	9	7	10	12	15	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3500	-44.212174362570622	-37.231636283457220	-6.980538079113402	0.000010295537137	0.000387557625124	37.643264257259872	0.969142231525944	1	0	2	2	4	2	5	8	8	10	10	12	14	16	18	2	0	1	1	3	2	5	0	0	8	9	10	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-42.417973424759282	-40.514571987674856	-1.903401437084423	0.000009428519329	0.000019754157120	2.095149453639080	0.991935924864078	2	-1	2	1	3	4	5	7	8	11	9	11	14	17	19	2	0	4	2	4	4	3	0	0	9	9	11	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-46.278996941297990	-44.148326442671681	-2.130670498626310	0.000010459136566	0.000028107103673	2.687325430310122	0.943849080945663	3	0	2	1	4	4	3	8	8	11	10	13	15	16	19	4	0	2	2	1	7	3	0	0	11	9	10	10	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-41.708650001735634	-39.391071034586083	-2.317578967149553	0.000010435004093	0.000033507844678	3.211100290868132	0.990334360997034	2	0	3	1	4	4	5	6	9	10	11	12	13	16	18	2	0	4	2	3	4	1	0	0	9	10	10	11	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-42.957445978338576	-41.248126512323445	-1.709319466015131	0.000010264727715	0.000016606201412	1.617792685036714	0.962816766359169	2	1	3	2	4	5	4	8	8	10	9	12	15	17	19	2	0	4	2	3	4	2	0	0	9	9	11	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-123.802723256710422	-119.396533960773468	-4.406189295936953	0.000011774086145	0.000146690163100	12.458730239462888	0.917478983427639	2	1	3	2	3	5	5	8	8	10	10	10	13	17	19	2	0	4	2	1	5	3	0	0	8	8	9	9	10	14	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1
6500	-128.125249869125810	-124.526708916668781	-3.598540952457037	0.000007528354644	0.000060374957221	8.019674958618968	0.974050435990409	2	0	3	1	3	4	6	7	7	10	9	9	14	16	18	2	0	1	2	1	3	6	0	0	11	8	9	10	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-42.199363463791492	-38.931466162192386	-3.267897301599107	0.000006526971778	0.000042720032392	6.545153533303846	0.991108211054155	3	0	2	2	4	4	6	8	8	11	10	12	14	18	17	3	0	2	2	4	3	6	0	0	11	9	11	11	15	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-48.183180573623112	-45.925918873098603	-2.257261700524509	0.000018522407194	0.000056272297773	3.038066120863520	0.726892546232512	2	0	3	1	3	4	6	8	7	10	10
