step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-3902.704591596104365	-3901.242509511585467	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.209317256631452	1	0	2	5	8	8	9	9	10	12	12	13	14	13	13	16	17	18	17	17	19	19	19	18	20	19	19	19	21	19	21	21	22	22	24	24	24	24	25	25	26	25	24	26	27	25	26	25	25	27	27	27	27	26	28	28	29	29	30	30	30	31	32	32	32	32	35	34	36	34	36	36	37	36	38	37	38	38	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	4	4	5	5	5	6	6	7	7	7	7	8	9	9	9	9	10	10	10	9	10	10	10	10	11	10	11	11	11	11	12	12	12	12	13	13	13	13	12	13	14	13	13	13	13	14	14	14	14	13	14	14	15	15	15	15	15	16	16	16	16	16	18	17	18	17	18	18	19	18	19	19	19	19
500	-1064.682689192889711	-1061.196503215346411	-3.486185977543267	0.000010009559056	0.000075053119904	7.498144472322231	0.155673754977116	2	-1	3	4	7	9	7	9	11	12	11	11	14	14	13	16	17	17	17	17	20	19	16	18	20	19	20	16	20	19	22	21	23	23	25	24	24	25	26	25	27	26	22	27	28	25	27	26	25	28	28	27	27	26	29	28	30	29	31	31	29	31	33	33	32	32	36	33	36	32	37	35	38	37	39	36	37	39	2	0	2	3	4	4	4	4	4	11	5	5	5	15	9	15	12	14	0	9	15	12	10	14	18	7	0	0	9	12	12	11	28	28	28	28	11	28	28	28	28	17	28	28	28	28	28	23	28	12	28	28	23	7	28	36	28	28	5	20	7	5	17	23	9	32	12	12	23	29	7	29	9	4	20	7	7	32	2	1	2	1	2	2	2	3	3	1	2	4	3	1	1	2	2	2	1	5	4	3	2	2	2	8	1	1	5	4	7	7	5	5	4	4	8	8	8	4	7	4	3	9	10	4	5	6	8	9	10	7	7	11	7	3	12	8	13	10	11	13	10	8	11	7	16	12	9	7	15	9	16	20	16	17	18	13
1000	-735.761053947904543	-733.352031667207257	-2.409022280697235	0.000010028213261	0.000034909631400	3.481141704185436	0.216187909990999	1	0	3	5	7	9	9	9	8	11	12	12	15	12	12	14	16	17	15	18	19	19	20	18	20	19	19	16	22	20	22	18	23	22	25	25	23	25	26	25	27	25	24	26	27	24	27	26	25	27	27	27	26	24	28	28	29	29	31	30	30	31	29	31	31	33	35	34	34	34	37	36	38	36	38	38	38	36	2	0	2	3	4	9	9	4	5	9	7	9	11	9	5	15	11	14	0	17	18	19	17	18	18	20	0	0	32	22	28	9	34	28	34	31	17	28	28	28	28	23	34	28	28	28	28	17	34	32	28	44	29	29	31	36	28	28	42	32	17	54	42	37	37	63	13	12	32	32	32	23	11	17	32	32	32	32	1	1	1	1	1	1	1	2	1	1	2	2	2	4	5	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	4	7	1	5	1	2	3	4	5	5	6	2	1	7	7	5	6	5	2	3	8	1	2	2	3	1	7	6	4	5	6	4	2	4	4	3	12	13	10	6	13	9	14	13	12	11	13	13
1500	-627.555669366585221	-624.886389736012802	-2.669279630572456	0.000009983423576	0.000042971134100	4.304248314399649	0.269058590600495	2	-1	2	5	7	7	8	9	10	12	12	13	15	13	14	17	17	16	16	18	18	20	20	19	20	19	18	17	21	19	20	18	23	22	22	22	24	23	23	25	26	26	25	26	27	25	25	25	26	27	26	27	27	23	28	26	30	29	30	30	30	31	31	32	32	32	35	35	36	34	37	36	37	37	39	37	38	37	2	0	2	3	4	4	4	5	7	9	9	11	9	9	14	15	10	14	0	17	14	19	11	18	18	20	0	0	20	19	28	7	34	28	31	28	29	35	31	35	35	37	38	35	31	36	36	29	35	37	28	41	42	23	36	36	36	56	42	23	54	48	53	54	54	32	17	17	23	23	17	54	42	32	32	54	23	17	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	2	3	1	1	1	2	3	4	1	2	1	1	1	2	1	2	6	1	2	1	2	2	1	2	2	2	2	1	2	3	2	2	2	2	1	6	1	1	2	4	2	3	2	1	5	3	3	2	4	4	8	10	10	7	7	12	8	6	9	9	7	8	11
2000	-586.965606750307302	-584.985743919991251	-1.979862830316011	0.000009994260864	0.000022882299403	2.289543940664175	0.346829490844957	1	-1	3	5	7	8	10	9	11	13	13	13	15	14	11	17	16	16	16	17	20	19	20	18	19	20	17	18	21	20	21	19	23	21	23	25	25	24	25	26	27	25	24	26	26	25	26	26	25	28	27	28	27	27	28	28	29	30	31	30	29	31	32	32	33	30	35	34	36	33	36	37	37	35	37	36	38	37	2	0	2	3	4	4	5	4	7	9	7	9	11	9	7	15	11	14	0	17	18	19	10	18	14	20	0	0	20	22	28	17	31	28	31	31	32	35	35	35	39	23	28	35	35	34	46	32	31	42	44	35	42	23	44	47	36	46	53	42	54	54	42	61	62	42	66	23	42	66	17	23	67	42	23	61	66	11	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	2	1	1	1	2	1	4	1	3	1	1	1	2	1	2	2	1	2	1	2	2	1	2	3	1	4	3	1	1	2	1	4	2	1	1	2	1	3	1	1	2	3	2	2	2	2	3	2	1	3	4	8	7	1	10	11	1	6	7	4	5	12
2500	-500.413644296506618	-498.303148500240013	-2.110495796266619	0.000009820651920	0.000025856844284	2.632905075432658	0.603202491863336	1	-1	2	4	8	7	9	10	10	12	13	13	14	12	13	17	17	16	17	18	19	19	19	18	19	19	19	18	22	20	21	21	22	23	24	23	24	25	25	26	26	25	24	26	28	26	27	24	25	27	25	27	27	27	28	27	29	30	29	30	30	31	31	32	33	32	35	34	36	34	37	35	38	37	37	37	38	38	2	0	2	3	4	4	5	4	7	9	9	7	11	9	7	15	12	14	0	17	18	19	17	18	18	20	0	0	20	22	28	23	28	31	34	31	23	34	35	35	34	37	31	39	39	36	36	12	34	32	34	41	42	48	35	36	55	56	53	42	54	54	59	62	62	53	66	32	67	66	66	68	71	67	70	61	71	17	1	1	1	1	1	2	1	3	1	2	1	2	1	2	2	2	2	2	1	1	2	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	5	1	4	1	1	1	2	2	2	1	2	1	3	2	2	1	1	1	2	2	7	1	1	4	1	1	1	2	4	1	10
3000	-471.025113604866988	-469.276439398177615	-1.748674206689388	0.000010093499902	0.000017293027232	1.713283538965894	0.658720855022320	2	0	2	6	7	8	8	9	10	12	13	13	15	14	13	16	16	17	17	18	19	19	20	18	20	20	19	19	22	20	22	21	21	22	23	23	24	25	25	26	26	24	24	26	28	25	26	23	25	27	27	27	28	26	26	28	29	30	29	31	29	31	33	32	32	31	35	33	36	33	37	35	37	37	36	38	38	38	2	0	2	3	4	4	4	5	7	7	9	9	11	15	7	15	12	14	0	17	18	19	17	18	18	20	0	0	26	22	28	17	28	28	34	34	32	31	35	35	35	23	34	35	44	34	36	32	34	23	41	41	42	23	35	47	46	56	53	53	48	61	59	61	54	59	66	54	67	66	67	62	67	69	70	61	69	66	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	2	2	1	1	2	1	2	2	1	2	1	1	1	2	2	2	2	2	1	2	1	1	2	2	1	4	1	1	2	2	2	1	2	1	1	3	3	1	3	1	3	1	2	3	1	1	1	2	1	1	1	6	2	4
3500	-484.272330986995314	-482.641396630331712	-1.630934356663584	0.000010454028093	0.000014927721282	1.427939656288695	0.657905374120064	2	0	2	5	8	8	8	9	10	12	12	14	15	13	13	16	16	17	16	18	19	18	19	19	20	18	20	19	21	19	22	21	22	22	23	23	24	24	24	25	26	25	25	24	28	26	26	25	26	27	28	28	28	27	28	27	28	29	30	30	30	31	33	33	32	32	35	34	36	35	35	35	38	36	39	37	39	39	2	0	2	3	4	4	4	4	7	9	9	11	8	7	7	15	10	12	0	7	18	19	17	18	21	17	0	0	26	22	28	23	28	28	28	28	23	31	28	44	39	29	35	35	44	36	36	32	39	42	41	41	37	48	35	46	36	56	42	42	48	48	59	62	62	59	66	61	66	63	63	68	66	67	70	62	71	74	1	1	2	1	1	2	2	2	1	1	1	2	2	2	3	1	2	1	1	6	2	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	3	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	1	2	3	2	2	3	2	1	1	2	2	2	2	1	1	1	2	1	2	3	2	2
4000	-442.100075431949051	-440.443942595321687	-1.656132836627373	0.000010116159232	0.000015063379437	1.489041353781828	0.656835429090358	2	0	3	5	7	9	9	10	10	10	12	13	14	13	14	17	16	18	16	17	20	18	20	19	20	19	17	19	22	19	21	21	22	23	24	23	24	25	26	25	25	25	24	27	26	26	26	24	26	26	27	27	28	27	29	28	29	29	30	31	30	32	33	32	31	31	35	33	36	35	36	35	38	37	39	38	37	38	2	0	2	3	4	4	5	4	7	7	7	10	11	9	14	15	12	14	0	17	18	19	17	18	18	20	0	0	26	22	28	17	31	31	31	31	23	43	35	35	35	32	34	35	28	36	36	32	34	32	41	41	42	48	35	46	47	56	53	59	48	48	59	61	54	59	66	61	67	66	66	68	67	67	70	68	69	74	1	1	2	1	1	2	1	3	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	1	2	2	1	1	2	1	2	1	1	1	1	2	1	2	3	2	2	1	2	2	1	1	2	2	2	1	1	1	2	1	3	3	2	1	2	1	2	2	1	2	2	1	1	1	2	3	1	1
4500	-437.532920217380422	-435.829920997144143	-1.702999220236254	0.000011299464354	0.000018107234567	1.602486100202844	0.669512784159421	2	0	2	4	8	9	7	9	10	12	12	12	14	12	13	15	16	19	16	17	17	18	19	18	21	19	18	17	21	20	21	22	23	22	23	24	24	24	24	25	26	24	25	26	27	26	27	25	26	25	27	28	26	27	28	27	28	29	31	29	31	30	32	33	33	33	35	35	36	35	37	36	37	36	38	38	38	38	2	0	2	3	4	5	4	5	7	9	9	9	12	7	14	15	12	21	0	17	14	19	17	21	18	20	0	0	20	22	28	17	31	28	31	34	32	31	35	35	39	32	31	35	40	36	46	23	34	32	41	41	42	48	35	36	36	56	53	23	54	54	60	61	61	63	66	62	66	66	67	64	67	67	70	68	69	74	1	1	1	1	3	1	1	1	2	1	1	1	1	3	1	1	2	1	1	1	2	1	2	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	2	2	1	2	2	2	1	1	3	1	1	1	1	1	1	3	2	2	1	2	5	2	2	1	1	1	1	1	3	2	1	1	1	1	1	1	2	1	2
