step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
1	-4659.512711147936898	-4658.050629063418455	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.481040656855606	0	3	7	7	11	11	10	12	12	12	13	14	15	15	17	17	18	19	18	19	18	18	21	21	21	21	24	22	22	23	23	23	25	24	27	26	27	30	28	28	29	29	30	30	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	6	6	5	6	6	6	7	7	8	8	9	9	9	10	9	10	9	9	11	11	11	11	12	11	11	12	12	12	13	12	14	13	14	15	14	14	15	15	15	15	17
500	-569.480796417311467	-567.033610643742691	-2.447185773568819	0.000009971622738	0.000035864811637	3.596687578377884	0.238417674396799	1	3	7	7	12	10	9	11	12	11	13	14	15	12	17	14	19	16	15	19	19	16	21	21	21	21	24	22	23	23	23	24	25	25	28	26	27	31	28	28	30	29	30	31	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	7	10	14	16	16	14	0	19	14	19	22	21	22	14	16	14	22	22	14	11	19	22	16	23	22	19	16	16	16	20	1	1	1	1	2	1	2	1	1	1	2	2	2	1	3	2	4	2	1	4	6	1	5	5	3	3	3	3	9	4	8	5	5	10	8	7	6	9	6	10	11	7	12	13	8
1000	-388.119269632287626	-386.359013781701492	-1.760255850586129	0.000009961473932	0.000017347587243	1.741467915394445	0.302088907895424	0	2	7	8	11	11	10	13	13	12	13	15	14	12	16	15	18	17	19	20	18	18	21	22	22	20	24	22	23	23	24	23	25	24	27	24	28	31	28	28	29	28	30	31	35	0	1	0	0	4	7	3	7	6	6	7	10	6	0	7	7	10	14	16	19	14	0	16	21	20	22	21	22	18	19	14	22	32	24	16	23	28	35	36	28	36	20	36	36	36	1	1	1	1	2	1	1	2	1	1	1	2	1	1	4	2	3	3	2	1	6	1	5	4	1	1	3	3	5	3	6	3	2	1	6	2	3	3	2	4	4	4	5	5	6
1500	-335.383000444769095	-333.550535336514656	-1.832465108254441	0.000009977788624	0.000019142003238	1.918461490739940	0.540771719878335	-1	4	6	7	11	11	9	13	12	12	12	15	15	16	17	16	18	18	19	18	19	18	21	20	20	22	23	22	22	24	23	24	25	25	27	25	27	29	27	28	29	29	30	31	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	20	16	14	0	20	21	20	22	21	22	24	19	18	22	32	29	19	16	28	30	36	32	36	30	39	39	44	1	2	1	1	3	1	2	1	1	1	2	1	2	1	2	3	1	1	1	1	1	1	2	1	2	3	2	2	2	3	2	3	1	2	5	4	2	2	1	2	3	3	1	4	2
2000	-301.846185576527887	-299.713180392021798	-2.133005184506096	0.000009992516992	0.000026916328044	2.693648463702624	0.692549147188990	0	3	6	7	12	11	10	13	12	12	14	13	16	16	18	16	18	19	18	19	18	19	21	20	21	21	24	23	22	23	20	23	26	24	27	26	27	31	29	29	30	29	30	30	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	16	19	14	0	19	21	19	22	21	22	24	23	18	22	32	29	19	23	32	42	36	32	39	35	36	36	44	1	1	1	1	3	1	2	2	1	1	2	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	3	3	1	1	1	2	2	1	4	2	2	1	2	3	1	1	2	1	1
2500	-289.534369856306000	-287.596272642573979	-1.938097213732010	0.000010153764363	0.000022163745790	2.182810728931835	0.583717660564301	0	4	7	8	11	11	9	12	13	12	14	14	15	15	17	18	18	20	19	20	19	18	22	20	21	20	24	22	22	23	23	23	24	24	26	26	27	30	28	28	30	28	30	30	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	16	19	14	0	20	21	19	22	21	22	24	20	18	22	32	29	23	16	32	42	36	32	39	35	36	36	44	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2	2	2	3	1	1	2	1	1	1	1	1	2	2	1	2	2	3	1	1	2	4	2	1	1	2	1	1	2	2	2
3000	-310.033841298984726	-307.746452807814137	-2.287388491170575	0.000010141421567	0.000031681780274	3.123997958767519	0.647417464350785	1	3	7	7	11	11	10	13	13	12	12	14	15	15	17	17	19	18	19	18	19	18	21	20	21	20	24	23	22	23	23	23	25	25	27	26	27	31	28	29	28	28	29	31	33	0	1	0	0	4	7	3	7	6	6	7	10	10	0	11	11	13	14	20	16	18	0	20	21	19	22	21	22	24	23	18	22	32	24	16	19	28	35	36	37	36	35	36	36	44	1	1	1	1	2	1	1	2	1	1	2	1	2	1	2	3	2	2	1	1	1	1	2	1	1	1	2	2	2	1	3	3	1	3	5	2	2	4	1	1	1	1	2	2	1
3500	-302.265697900640987	-300.560232936801697	-1.705464963839312	0.000010581193523	0.000017019395637	1.608457080032087	0.553944413816555	0	3	6	7	11	11	9	13	13	12	12	15	15	15	17	16	18	17	18	19	18	18	21	21	20	20	24	22	22	23	23	23	25	24	26	27	28	30	29	27	29	29	31	30	34	0	1	0	0	4	7	3	11	6	6	7	10	10	0	7	11	13	14	16	19	18	0	20	21	16	22	21	22	24	20	18	22	28	24	23	16	40	42	36	28	36	35	39	36	44	1	1	1	1	2	1	2	1	1	1	2	2	2	1	3	2	2	1	1	1	1	1	1	2	2	1	2	2	1	3	2	3	2	2	2	4	1	1	1	2	1	3	1	1	2
4000	-322.310028574338673	-320.738727683987349	-1.571300890351305	0.000011553444334	0.000014812625853	1.282096094107750	0.605775564628180	1	4	8	8	11	11	10	11	12	13	13	15	16	16	17	16	18	18	18	20	19	18	22	21	22	22	25	22	23	22	24	23	26	23	27	24	26	30	28	26	28	29	30	31	34	0	1	0	0	4	7	3	7	6	9	7	10	10	0	7	11	13	14	16	19	18	0	16	21	19	22	21	22	24	20	18	22	28	24	23	25	28	35	36	28	36	20	39	39	44	1	2	1	1	2	1	1	1	1	1	2	1	2	1	3	2	1	1	1	2	1	1	2	1	2	2	4	2	1	2	3	2	1	1	4	1	2	1	3	1	2	4	1	2	1
4500	-304.264897346208272	-302.450134082639977	-1.814763263568319	0.000012433362181	0.000023310548897	1.874838724877681	0.583290001823041	0	2	6	7	10	11	9	13	12	13	13	14	15	14	16	16	18	17	18	20	19	18	22	21	21	21	24	22	22	23	22	23	24	23	25	25	27	31	28	28	29	29	30	31	34	0	1	0	0	4	7	3	7	6	6	7	10	10	0	7	7	10	14	16	19	18	0	19	21	16	22	21	22	24	19	18	22	28	24	23	23	32	35	36	32	36	35	39	39	39	1	1	1	1	2	1	3	2	1	1	2	1	1	1	4	3	2	1	1	1	1	1	2	2	3	2	2	2	1	2	2	2	1	1	1	1	1	2	3	2	2	2	1	1	3
