step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52
1	-716.607718515713941	-725.658561896165338	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.716027928785585	0	8	7	18	21	16	21	22	19	25	20	33	21	26	23	29	25	29	33	34	35	36	28	35	29	33	33	40	38	38	39	38	45	42	48	42	37	41	46	45	42	49	50	60	54	54	64	52	52	54	61	67	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-279.700380512008451	-288.751223892459791	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.909754906224474	0	9	7	14	23	19	24	13	18	27	21	36	22	21	27	29	21	27	26	34	31	31	28	34	33	28	23	40	37	38	36	39	48	44	47	34	35	44	48	43	31	50	52	53	44	50	62	42	52	56	60	68	0	1	1	3	9	4	11	3	2	9	8	23	8	8	9	11	4	8	5	15	26	6	14	21	15	14	6	36	6	15	21	37	30	32	38	16	13	12	40	32	17	45	34	40	13	29	43	18	21	35	49	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-271.497382488192500	-280.548225868643840	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996599888987894	-1	11	8	22	16	19	17	21	22	18	24	32	15	24	23	31	24	26	31	36	29	35	26	37	30	27	35	41	26	34	40	38	41	36	43	36	36	42	43	37	44	52	49	55	47	54	66	47	51	57	51	61	0	3	1	2	2	7	2	2	10	2	13	29	3	10	10	21	5	5	29	18	7	18	8	29	29	10	21	27	8	18	12	16	19	10	27	9	25	27	30	21	21	26	33	49	24	48	50	37	39	43	45	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-268.440395937019446	-277.491239317470786	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996292398925074	0	8	5	17	23	11	19	23	18	25	19	26	13	26	24	28	28	25	38	27	30	40	27	35	25	36	31	36	33	34	36	39	45	45	51	34	29	39	49	46	39	45	48	50	58	53	64	39	50	51	60	67	0	1	1	13	6	3	2	4	3	7	6	8	3	4	11	7	18	5	36	5	5	29	18	21	11	37	5	17	17	14	21	27	19	36	24	17	23	37	48	22	30	26	33	48	39	22	45	26	34	34	42	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-275.942561147686376	-284.993404528137717	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986765390633728	-2	11	9	17	21	14	22	24	20	26	24	29	18	30	22	33	19	21	35	33	35	38	26	34	21	36	29	28	42	32	38	39	43	39	51	40	35	37	48	33	30	49	46	54	56	51	62	41	54	50	59	65	0	1	1	2	13	3	6	4	3	3	25	15	3	8	6	23	2	2	11	27	28	16	7	11	2	20	8	13	37	5	30	27	24	40	39	20	8	7	22	15	5	41	29	39	50	43	49	27	36	32	33	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-268.795495966526687	-277.846339346978027	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982460685408247	-8	6	2	9	21	17	22	15	23	23	19	29	17	24	23	25	23	26	31	35	33	38	31	34	28	31	34	41	42	37	42	27	33	46	48	43	37	41	49	42	46	49	47	56	51	52	54	49	56	53	57	69	0	3	1	3	6	8	13	4	8	4	6	7	4	8	8	7	5	13	5	16	17	27	11	17	17	14	25	37	20	21	27	13	12	38	40	33	7	26	37	37	22	28	20	42	29	36	41	28	43	48	42	49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-268.836924685860367	-277.887768066311708	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998368829596124	-1	7	3	18	10	9	19	23	23	17	21	35	21	15	13	25	14	30	29	36	37	27	26	34	32	21	32	41	42	29	40	42	45	42	37	45	36	41	48	46	42	48	49	56	49	49	64	52	53	54	57	69	0	1	1	5	2	3	17	17	4	15	17	19	14	5	2	26	2	16	26	23	30	9	26	19	8	14	16	35	20	13	30	27	18	27	18	12	25	12	41	20	35	34	33	45	33	19	51	38	43	28	44	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-264.579671264049864	-273.630514644501204	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.953066057503600	-1	6	9	16	19	5	21	21	14	28	17	30	12	24	25	31	25	28	34	32	35	30	28	34	29	36	30	40	40	37	40	36	45	44	47	44	34	39	47	46	44	48	48	56	49	52	64	46	47	57	49	65	0	1	1	9	4	1	2	6	6	14	6	8	6	13	9	25	7	8	10	27	16	14	14	22	14	10	15	27	30	16	21	16	16	19	34	28	17	37	41	31	28	22	41	51	31	48	44	30	34	48	48	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-265.154751747267994	-274.205595127719334	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999716823677237	2	7	8	20	22	17	22	19	22	29	19	33	17	27	27	26	28	24	30	31	30	38	13	31	24	35	34	39	40	32	42	39	48	32	47	41	38	44	43	45	40	43	48	58	53	54	64	45	51	53	55	62	0	1	1	23	13	3	4	2	6	9	23	25	3	23	8	18	7	6	7	4	25	9	2	18	6	19	10	11	12	25	24	12	41	19	29	27	34	30	12	41	20	32	26	51	48	38	50	41	36	35	45	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-277.414587132745282	-286.465430513196623	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987590841090435	4	9	10	17	24	17	23	17	14	24	15	33	24	22	21	29	22	25	35	30	35	34	27	36	27	35	27	37	35	41	35	33	42	42	48	30	20	39	45	49	42	48	53	58	54	49	54	46	43	51	62	55	0	1	1	9	6	2	4	1	3	15	3	10	1	37	11	5	9	13	14	13	18	5	4	36	5	20	10	36	14	23	36	14	28	24	29	18	3	31	34	39	24	36	35	40	35	41	46	34	19	38	40	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
