step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-10377.710748897075973	-10376.248666812556621	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.396921097926188	4	3	9	9	9	12	23	21	16	21	22	21	23	30	26	27	30	28	29	30	27	30	28	29	37	27	33	32	33	29	36	28	42	30	32	40	33	36	31	38	34	33	36	35	39	39	39	34	38	35	33	35	36	38	38	39	44	38	41	40	36	38	43	40	43	48	46	41	49	45	46	47	44	41	45	49	47	44	47	45	50	51	49	48	52	50	50	58	53	56	56	56	58	64	66	76	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	4	3	2	3	3	3	4	5	4	4	5	4	5	5	4	5	4	5	6	4	5	5	5	5	6	4	7	5	5	6	5	6	5	6	5	5	6	6	6	6	6	5	6	6	5	6	6	6	6	6	7	6	7	6	6	6	7	6	7	8	7	7	8	7	7	8	7	7	7	8	8	7	8	7	8	8	8	8	8	8	8	9	9	9	9	9	9	10	11	12
500	-952.908741094715765	-951.202219300846878	-1.706521793868888	0.000010023311586	0.000016147720495	1.611016514553739	0.355741393583924	-9	-12	10	8	8	9	9	14	7	21	20	16	15	25	25	19	28	28	21	22	13	25	23	27	36	20	28	27	31	29	33	25	41	25	29	26	28	35	33	38	35	34	30	37	35	40	38	27	38	31	30	26	34	39	40	36	35	38	38	38	38	38	39	38	44	49	45	39	48	41	45	46	45	40	46	42	46	43	48	47	49	50	46	41	53	51	50	59	53	56	51	51	57	63	62	71	2	0	1	1	2	1	9	7	0	8	8	21	6	9	8	12	26	11	0	11	7	16	9	13	10	8	12	13	52	22	11	16	23	16	22	12	23	17	24	19	52	30	12	20	52	64	34	34	35	26	10	16	35	31	34	34	23	53	16	52	48	23	26	12	24	83	20	35	68	57	84	29	32	64	41	41	41	29	53	52	53	78	52	52	79	72	53	76	22	74	0	78	60	83	86	0	1	1	2	4	5	2	1	1	1	2	2	1	1	5	2	1	1	2	1	1	1	1	3	3	4	1	2	2	1	1	5	1	3	1	1	2	1	2	1	3	2	2	3	3	1	1	2	1	2	2	2	1	3	2	2	2	3	1	4	2	2	2	2	6	7	1	8	2	1	1	1	3	4	1	3	1	3	2	3	3	3	1	4	3	2	1	4	3	4	4	1	1	3	2	2	1
1000	-863.490664920125141	-861.805492064031114	-1.685172856094069	0.000009958060463	0.000015527954713	1.559335251209339	0.641852437814740	2	-2	8	10	6	12	13	17	10	21	21	19	18	27	25	24	29	25	27	27	27	29	28	23	35	27	34	29	35	29	28	28	44	27	26	40	34	38	32	35	33	32	35	32	41	35	40	32	35	30	32	36	36	37	38	37	37	33	40	39	36	35	36	35	43	39	46	39	49	45	44	47	45	42	46	47	47	40	44	46	45	51	45	43	47	49	50	57	50	52	58	57	56	58	59	71	2	0	1	1	2	3	9	7	0	8	8	7	6	9	8	12	10	11	0	11	12	12	9	13	8	15	22	13	41	12	11	16	23	12	16	49	23	17	24	19	21	16	34	20	52	32	56	34	35	15	26	16	35	31	42	43	23	22	52	29	48	23	10	32	24	29	20	35	81	57	41	78	64	46	60	84	71	66	53	66	22	78	29	29	53	22	81	80	60	74	0	82	76	86	71	0	1	1	1	1	2	1	1	1	1	1	1	1	1	4	1	1	2	1	1	2	2	1	3	1	3	1	1	2	1	2	2	1	4	1	1	1	1	2	1	2	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	7	1	4	2	1	2	1	1	2	1	1	1	1	1	1	2	3	2	2	2	3	5	1	1	2	2	1	1	2	1	3	1
1500	-827.871741146720979	-826.256368992337570	-1.615372154383416	0.000009957332035	0.000013841652166	1.390096475373579	0.577502894730573	6	0	8	9	9	13	11	14	6	18	23	18	21	28	28	20	31	27	27	27	27	24	23	24	39	18	32	30	30	29	36	29	45	29	27	36	32	35	28	36	35	35	33	36	39	36	39	30	38	35	32	36	36	39	37	37	40	39	39	41	37	37	43	36	43	47	40	40	44	44	40	47	43	42	44	44	47	41	49	46	42	51	41	49	52	51	48	54	54	58	55	55	54	62	57	74	2	0	1	1	2	3	9	7	0	8	26	7	6	9	8	12	10	11	0	11	22	16	9	13	10	8	16	13	21	16	11	22	23	16	16	21	23	17	24	19	12	30	21	20	29	32	43	16	35	26	15	21	35	31	43	34	37	53	36	52	48	37	25	32	39	29	20	49	81	57	52	78	64	64	52	60	71	41	49	78	68	80	29	76	83	66	81	66	86	74	0	78	76	86	86	0	1	1	1	1	2	1	1	1	1	1	1	2	2	3	3	1	2	1	1	1	1	1	2	1	4	1	2	1	1	2	1	1	3	2	1	2	1	1	1	1	3	1	1	3	1	1	2	2	2	3	2	1	2	1	1	2	2	1	1	1	2	1	1	1	4	3	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	3	1	2	2	2	1	1
2000	-804.947203543567980	-803.122897770506825	-1.824305773061153	0.000009937964058	0.000018865568846	1.898333374519533	0.760274094838842	2	-1	9	7	10	11	17	19	14	21	24	21	23	29	23	24	26	26	30	30	26	32	30	30	31	26	33	31	32	29	34	28	43	29	26	30	34	37	32	37	35	34	35	32	35	37	35	33	32	37	32	35	29	38	35	34	32	35	41	40	37	35	34	34	42	44	44	35	51	42	45	39	41	42	46	46	49	43	45	43	42	50	50	50	50	48	45	59	53	56	55	53	56	59	63	73	2	0	1	1	2	3	9	7	0	8	10	7	6	9	8	12	8	11	0	11	12	12	9	13	8	10	21	13	21	21	11	12	23	21	12	12	23	25	24	19	29	30	21	20	22	21	34	21	53	26	15	36	35	31	34	34	23	53	52	52	48	23	10	32	39	52	20	53	81	57	72	29	64	64	52	22	71	72	53	72	68	80	60	76	79	60	81	83	86	74	0	82	84	89	86	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	1	2	1	1	1	2	2	3	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	1	1	3	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	2	1
2500	-806.493739386185780	-805.071186394925917	-1.422552991259848	0.000010118997957	0.000008944986721	0.883979496695201	0.733724659220956	3	-6	10	7	0	14	16	18	12	21	23	19	23	28	25	24	27	25	27	26	24	28	22	31	27	28	27	33	29	27	31	29	40	26	32	38	33	34	33	32	32	31	30	34	34	39	36	28	38	34	30	35	29	36	32	40	33	39	40	38	37	39	43	39	42	41	44	43	51	40	42	40	44	41	40	42	47	45	42	47	48	48	37	46	49	48	52	52	55	47	51	57	58	57	58	70	5	0	1	1	2	3	9	7	0	8	10	7	6	9	8	12	10	11	0	11	12	16	9	13	10	8	21	13	16	16	11	12	23	12	53	52	23	17	24	19	29	30	34	20	29	32	43	34	53	26	25	41	16	11	34	34	23	35	36	52	48	37	26	32	39	41	44	35	68	57	29	41	64	64	83	52	71	72	35	78	68	78	29	76	49	66	81	84	86	74	0	80	76	89	86	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	2	1	2	1	1	1	1	2	1	4	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	3	1	2	2	1	1	1	2	1	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	3	1	1	1	2	1	3	1	1	1	1	1	1	2	2	1	2	1
3000	-812.341289137760214	-810.646873727639445	-1.694415410120824	0.000010300646245	0.000016292583607	1.581704994031675	0.746733561084178	4	0	7	8	6	9	13	19	10	22	23	16	23	20	24	24	31	27	25	27	25	25	29	27	38	29	34	28	30	22	30	30	42	30	30	42	34	37	31	35	32	32	36	34	37	35	35	36	37	35	29	33	27	34	37	40	41	38	40	31	38	35	44	38	38	43	44	40	52	45	35	48	43	43	44	50	47	43	47	34	44	51	48	47	50	45	49	57	52	54	51	54	54	61	68	70	2	0	1	1	2	1	9	7	0	8	8	7	6	9	8	12	10	11	0	11	12	12	9	13	10	8	22	13	22	12	11	22	23	16	53	16	23	17	24	19	16	30	34	20	41	32	34	53	35	26	8	60	22	31	34	47	37	53	16	21	48	23	25	32	39	52	20	53	81	57	29	78	64	64	52	84	71	80	68	29	68	84	66	41	79	52	81	76	86	74	0	82	76	89	83	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	3	1	2	1	2	1	2	1	1	1	5	1	1	2	1	2	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	3	1	2	1	1	2	2	1	1	1	1	3	1
3500	-796.164439335308884	-794.460653567439294	-1.703785767869580	0.000010572902497	0.000016963066440	1.604390700114554	0.704032851572224	4	-1	10	10	6	13	15	17	11	22	19	22	21	24	25	18	28	28	31	25	23	27	23	27	33	26	35	33	34	25	32	24	42	31	24	39	34	35	30	35	31	32	38	32	39	38	38	33	37	35	29	37	27	37	38	34	41	38	37	33	37	37	44	33	44	42	45	39	42	47	43	45	45	41	44	50	46	39	43	36	45	48	46	50	49	48	51	55	52	54	52	54	55	61	63	72	2	0	1	1	2	3	9	7	0	8	8	16	6	9	8	7	10	11	0	11	16	16	9	13	26	8	22	13	41	16	11	16	23	12	16	56	23	17	24	19	22	30	34	20	60	64	56	34	53	26	8	41	35	31	22	34	23	22	12	41	48	37	25	32	39	52	44	53	49	57	52	78	64	64	29	83	71	80	53	60	49	78	52	52	79	83	81	84	86	74	0	82	76	29	86	0	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	5	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1	1	2	2	1	1	2	2	1	1	1	2	2	1	2	1	1	1	3	1	2	2	2	3	1	1	1	1	1	2	1	1	1	4	2	1
4000	-798.223684119955692	-796.528436845477245	-1.695247274478430	0.000011263337837	0.000017837957743	1.583718610004240	0.740698450443994	6	-1	10	10	6	12	15	18	13	21	21	22	22	25	24	19	31	29	23	27	21	24	26	30	35	27	29	27	31	30	31	27	34	27	29	38	30	37	31	36	34	27	38	35	40	39	35	31	39	32	30	36	35	35	38	39	40	38	41	39	36	33	40	35	39	47	48	41	42	42	39	45	40	43	43	50	45	42	46	45	48	52	48	46	53	47	50	54	53	57	58	55	57	60	61	77	2	0	1	1	2	3	9	7	0	8	8	21	6	9	10	7	15	11	0	11	16	21	9	13	26	8	16	13	34	34	11	22	23	16	16	12	23	17	24	19	29	22	47	20	52	34	34	12	35	26	15	27	35	31	34	47	23	35	52	52	48	23	25	32	39	43	44	53	49	57	41	78	64	64	52	84	71	52	68	78	69	80	60	52	68	60	81	84	86	74	0	82	84	86	86	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	2	2	2	1	1	2	1	2	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	2	2	2	1	1	2	2	1	1	2	1	2	1
4500	-804.894762620081906	-803.471375307790026	-1.423387312291926	0.000012451055653	0.000011039087302	0.886598502942537	0.596225170129466	3	-1	8	10	5	13	14	17	10	21	19	18	18	28	22	25	26	26	25	29	21	30	27	27	36	29	34	28	29	23	29	28	37	27	29	41	31	35	32	41	31	34	34	33	41	35	36	33	31	31	32	34	36	37	35	39	39	38	38	36	37	40	43	35	43	39	45	43	44	46	41	43	44	40	45	51	49	42	38	46	49	51	42	43	50	45	51	57	49	55	53	51	53	64	66	74	2	0	1	1	2	3	9	7	0	8	8	7	6	9	8	21	8	11	0	11	12	12	9	13	26	10	22	13	12	21	11	12	23	12	12	16	23	17	24	19	29	30	34	20	41	32	43	34	12	8	15	41	49	31	34	47	23	35	22	41	48	37	26	32	39	41	44	53	49	57	29	78	64	64	29	84	71	60	35	78	69	80	60	60	79	72	81	84	86	64	0	80	84	89	86	0	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	2	1	1	2	1	2	3	2	2	3	1	2	2	1	2	2	2	2	2	3	1	2	1	4	1	2	2	1	1	2	1	1	2	2	2	1	1	2	2	1	2	2	2	1	1	1	2	1	2	2	2	1	2	2	2	1	2	2	2	1	2	1	2	1	2	2	2	1	1	1	1	2	1	4	1	1	2	3	3	1
