step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
5000	-420.132895794317164	-426.988383745276565	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635797746393964	-1	1	6	7	8	11	11	12	13	13	17	21	19	21	22	21	21	22	21	22	22	22	22	23	24	23	25	25	27	27	26	26	26	28	29	30	28	30	31	31	31	31	30	32	33	32	33	33	33	34	34	36	35	35	35	36	37	36	38	37	37	37	38	39	41	41	41	44	43	45	46	45	45	43	48	50	0	1	2	3	4	3	5	7	3	7	10	13	11	13	13	13	13	16	11	19	13	14	0	21	18	19	16	24	25	21	25	25	28	30	31	31	31	28	34	37	36	25	34	30	36	36	43	41	41	42	42	53	45	48	40	49	38	49	45	45	50	40	36	53	63	64	64	66	67	64	68	69	74	67	70	66	1	2	3	1	1	2	1	1	3	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2	1	2	2	2	1	3	1	2	2	1	2	1	1	2	1	1	1	1	2	2	3	2	3	2	2	3	4	2	2	2	1	2	1	2	2	1	2	1	1	4
5500	-479.939189186919748	-486.794677137879148	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661073591035533	0	2	6	6	8	10	9	11	13	14	17	21	19	20	22	21	21	21	21	22	23	21	22	23	25	24	26	24	26	27	26	24	27	27	30	29	28	29	32	31	30	30	30	31	32	32	33	33	32	32	32	34	35	35	35	36	36	36	37	36	37	37	39	38	39	42	40	44	43	47	45	44	43	45	48	49	0	1	2	1	3	3	3	7	6	8	10	13	11	13	13	13	11	13	13	19	12	14	0	16	18	20	16	15	32	24	18	18	28	28	32	29	32	28	33	37	18	18	28	30	24	36	39	37	15	42	32	39	45	42	36	54	42	36	45	53	54	50	56	53	41	64	64	67	66	67	66	67	67	73	70	69	1	1	2	2	1	3	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	3	1	2	2	2	2	2	2	3	2	6	6	2	2	4	2	1	3	4	1	3	1	2	2	2	1	2	4	2	1	1	2	1	1	4	2	2	3	1	2	2	2	1	1	1	3
6000	-441.280701380573873	-448.136189331533274	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.563354142559037	-2	-1	7	5	9	11	11	12	14	13	18	19	20	21	21	22	22	23	20	22	21	23	23	23	25	23	25	24	24	28	26	26	28	28	29	29	28	30	32	30	32	32	31	32	32	31	34	32	32	34	34	35	36	35	32	36	36	37	38	34	37	37	39	39	41	41	42	44	44	45	46	46	44	45	48	49	0	1	4	1	3	3	5	7	6	8	5	11	12	12	12	13	13	15	11	19	12	14	0	21	29	20	16	21	18	28	29	29	28	28	32	32	25	34	38	25	22	32	38	30	30	34	41	35	36	41	35	45	45	37	40	54	24	49	45	45	51	50	56	53	49	64	64	66	64	64	66	68	64	68	70	67	1	1	1	3	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	2	3	1	1	2	4	3	1	2	2	1	2	2	2	1	3	2	2	4	2	1	4	2	3	1	1	2	2	2	3	1	2	2	2	2	3	1	3	1	2	4
6500	-454.427595853935657	-461.283083804895057	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596961444954737	0	2	7	5	9	11	10	12	13	12	18	19	21	22	23	21	21	22	22	21	22	20	22	23	24	24	25	25	26	27	27	26	25	27	29	28	28	29	32	31	31	32	29	31	34	32	35	33	33	34	35	36	35	35	36	36	35	35	37	35	38	38	39	38	39	41	43	43	43	46	44	46	44	46	47	50	0	1	4	2	2	3	5	7	6	5	10	11	12	22	12	12	12	17	13	12	20	11	0	17	18	19	16	21	25	28	25	17	19	33	31	29	29	34	34	43	29	37	28	28	30	38	43	37	32	41	50	53	45	40	51	49	33	49	45	45	54	50	56	45	58	64	64	64	66	68	66	67	68	73	70	74	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	3	2	1	2	2	4	1	1	1	1	1	2	2	2	2	2	2	3	2	2	4	3	4	2	1	1	1	2	1	2	4	1	1	1	1	2	2	2	3	3	2	4	1	2	1	2	1	1	1	2
7000	-422.941632592065559	-429.797120543024960	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.593469125551917	0	1	5	7	7	10	11	12	12	14	18	19	20	21	22	21	21	22	23	22	23	23	22	24	24	21	24	25	27	27	26	27	28	27	28	30	29	28	31	31	31	31	30	29	32	32	34	33	33	34	34	36	35	33	34	37	35	35	37	34	37	37	40	39	39	41	43	43	44	45	45	45	44	46	48	50	0	1	2	3	2	4	5	7	6	7	8	11	12	12	13	12	12	14	20	14	13	14	0	21	19	11	21	21	21	28	18	26	34	28	32	35	35	28	34	29	31	32	34	30	43	38	39	31	42	31	42	45	45	40	54	49	46	42	53	45	50	54	56	52	56	64	66	64	68	66	69	67	67	73	70	74	1	1	2	1	2	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	2	1	4	2	2	2	1	1	2	1	2	1	1	1	2	2	2	1	1	1	2	1	2	1	1	1	2	1	2
7500	-452.582743573104381	-459.438231524063781	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702252209625828	-2	2	5	7	8	10	11	13	13	13	18	20	20	21	21	21	22	23	23	20	22	23	22	24	24	23	24	26	26	27	26	26	29	27	29	29	29	29	31	30	29	31	30	30	32	32	33	33	32	33	34	36	34	34	36	36	35	36	37	35	38	38	39	40	40	41	42	45	43	45	43	45	43	44	47	48	0	1	2	3	4	5	5	7	6	5	10	11	7	11	12	12	13	14	17	11	15	14	0	20	13	20	13	15	25	28	25	18	21	24	25	31	31	34	38	31	31	41	38	24	30	43	33	36	36	42	50	53	45	48	36	49	46	48	45	44	48	54	56	60	63	64	66	66	64	64	67	64	67	73	70	73	1	2	2	1	1	1	1	1	1	2	2	1	5	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	3	2	2	1	2	1	1	3	2	1	1	2	1	1	1	2	1	1	1	2	1	1	4	2	1	1	3	2	4	3	1	3	1	1	1	2	1	3	1	2	1	1	1	3
8000	-429.408620560193356	-436.264108511152756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572009993669204	-1	1	5	7	7	9	10	13	13	13	16	19	20	21	19	21	22	23	22	21	22	23	23	23	24	24	23	25	26	27	26	27	28	27	29	29	28	29	31	31	31	31	30	31	33	32	34	33	32	33	34	36	35	36	35	35	37	36	37	36	38	36	38	40	39	42	42	44	43	46	45	45	44	46	48	48	0	1	2	3	3	4	5	7	6	7	10	11	15	12	11	12	12	15	20	13	15	14	0	21	18	19	16	21	21	28	18	25	34	28	20	25	14	34	34	35	31	31	34	19	44	30	43	37	37	35	43	45	45	41	48	49	46	49	45	45	48	50	56	52	63	64	64	64	64	68	66	64	67	73	70	73	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	1	1	3	2	4	1	2	1	2	2	2	5	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	3	2	1	2	1	1	1	3	2	1	2	2	1	1	1	3
8500	-438.685577298092426	-445.541065249051826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591193395447492	-1	1	6	5	8	10	10	13	12	13	18	20	21	19	23	22	21	21	23	21	22	21	22	23	24	24	25	25	26	27	27	26	27	28	30	28	29	28	30	30	30	31	29	32	33	32	35	33	32	35	34	35	35	34	35	36	37	36	37	35	37	36	38	39	40	42	41	45	43	46	45	45	45	44	48	48	0	1	4	2	3	4	5	5	3	7	10	11	12	11	12	12	12	12	20	11	12	14	0	13	21	20	16	21	18	24	25	11	28	30	29	25	25	27	34	36	31	29	34	30	44	43	34	40	42	40	40	45	45	37	48	37	47	37	52	45	62	36	58	60	63	64	64	67	64	74	64	74	67	64	70	69	1	1	1	1	1	2	1	3	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	2	4	1	1	2	2	2	2	1	1	1	3	1	3	1	1	3	2	1	1	2	2	2	2	1	3	2	4	1	1	1	3	1	2	1	2	1	2	2	1	2	1	2	3	2	3
9000	-454.205465714332718	-461.060953665292118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624871541592249	-1	2	7	6	7	11	11	13	13	14	17	19	20	22	21	21	21	22	22	22	20	23	23	24	25	24	25	24	25	27	24	27	27	25	29	28	28	30	32	31	30	32	30	28	32	33	34	34	33	34	34	36	34	34	36	36	35	37	38	36	37	38	39	40	39	42	41	44	44	46	46	45	43	45	47	50	0	1	4	2	4	5	5	7	6	7	10	11	12	12	12	11	11	13	21	13	12	14	0	21	31	20	17	17	31	24	18	25	34	28	18	32	25	34	38	31	25	32	34	30	43	36	38	32	25	49	42	45	45	41	48	48	30	56	52	53	55	50	49	52	49	67	64	67	64	68	72	69	67	73	64	71	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	3	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	3	1	2	2	2	3	3	3	2	1	1	2	2	4	4	1	1	2	1	2	1	1	2	1	1	1	1	2	3	2	3	1	1	2	2	2	1	1	1	2	4	2
9500	-451.325521761380401	-458.181009712339801	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594687372762735	-1	1	7	7	8	10	11	12	13	13	17	19	20	21	23	21	21	19	20	22	23	22	22	24	24	22	23	25	26	28	26	26	26	28	28	30	29	29	31	31	32	32	28	31	33	32	35	33	33	34	34	36	36	35	35	35	36	37	38	36	37	36	39	38	40	41	43	44	43	46	45	44	44	43	49	49	0	1	2	1	3	4	5	3	4	7	7	11	12	13	20	18	13	11	11	19	12	14	0	15	18	19	16	24	17	21	25	18	21	33	29	30	31	24	24	37	25	36	28	30	44	30	34	40	36	41	40	45	45	48	42	49	46	56	52	45	55	55	49	52	63	64	66	67	66	74	66	67	66	64	70	71	1	1	3	2	1	1	2	2	3	1	3	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	2	1	2	3	2	3	1	2	2	1	2	4	3	2	4	1	2	2	2	1	4	1	2	1	1	2	2	1	2	1	2	1	1	1	1	1	3	1	1	2	1	1	1	1	3	1	2	3	2	2
