step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-29608.589925059182860	-29607.127842974663508	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.434980590539234	-1	1	2	4	3	4	4	4	3	4	6	5	5	6	5	6	6	6	8	7	8	10	8	9	8	10	10	9	10	12	11	9	9	11	11	11	12	11	12	11	14	12	12	12	13	13	13	13	15	15	14	15	16	14	14	14	15	15	18	15	15	16	15	15	15	16	16	16	17	16	18	17	16	18	20	21	17	18	18	18	18	18	18	19	20	19	18	19	19	19	20	20	20	22	19	21	21	23	22	22	21	21	23	22	24	23	24	25	26	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	3	2	3	4	3	3	4	3	4	4	4	5	4	5	6	5	5	5	6	6	5	6	7	6	5	5	6	6	6	7	6	7	6	8	7	7	7	7	7	7	7	8	8	8	8	9	8	8	8	8	8	10	8	8	9	8	8	8	9	9	9	9	9	10	9	9	10	11	11	9	10	10	10	10	10	10	10	11	10	10	10	10	10	11	11	11	12	10	11	11	12	12	12	11	11	12	12	13	12	13	13	14	14
500	-3457.360632296887161	-3453.661469587832471	-3.699162709054568	0.000010027254439	0.000085285591762	8.505378245331475	0.213516713329557	-1	1	2	1	2	3	4	4	2	5	7	5	3	6	5	3	6	5	8	8	7	10	8	10	8	9	9	10	11	9	12	8	6	11	10	8	9	11	12	11	12	11	10	13	10	13	14	10	15	16	11	15	16	13	14	14	14	13	17	15	15	17	16	16	15	16	16	17	18	17	18	18	16	19	20	22	18	18	19	19	17	18	19	19	20	20	18	20	20	20	21	21	20	22	19	22	21	23	21	23	21	21	23	21	25	24	25	26	27	26	0	1	1	1	2	1	13	5	0	4	8	8	4	7	7	0	13	13	12	14	15	0	17	18	15	33	0	21	0	16	23	21	15	26	0	16	16	32	34	0	16	32	33	26	6	33	35	16	37	51	16	32	33	37	41	45	36	37	41	43	37	42	36	41	42	37	30	37	16	60	51	48	48	37	37	41	30	54	37	51	16	33	48	36	42	48	48	67	36	48	37	37	51	36	30	48	51	45	58	48	51	45	58	51	6	37	51	30	45	45	1	1	2	1	1	1	1	1	1	3	2	1	1	1	1	1	2	1	2	2	2	1	1	2	2	1	1	2	1	4	1	1	1	1	1	2	4	2	1	1	5	2	2	4	3	4	3	7	3	5	4	4	6	4	1	2	3	2	3	3	4	3	6	2	2	4	5	7	8	1	5	4	5	9	8	8	6	4	8	7	10	7	7	7	8	8	4	2	10	9	9	9	4	11	7	9	8	6	5	9	10	6	9	8	13	8	11	13	15	10
1000	-2637.459145436341259	-2633.985353546530860	-3.473791889810593	0.000010030180385	0.000074643898922	7.441929861618770	0.270312674616545	0	2	2	3	3	3	5	4	2	4	7	5	4	6	5	5	6	5	8	8	6	9	8	10	8	9	8	9	7	12	12	10	8	11	11	12	9	11	12	11	11	12	11	13	11	13	13	10	14	15	12	14	16	11	15	13	12	12	17	16	16	16	16	16	15	17	17	17	14	17	18	15	16	18	20	22	17	19	18	19	19	17	19	19	21	19	18	19	20	19	21	21	21	23	20	22	22	24	23	23	22	20	24	22	24	23	25	26	24	27	0	1	1	1	2	1	13	5	0	4	5	5	4	7	13	0	13	13	12	14	15	0	17	18	21	33	0	21	0	37	23	25	21	26	0	37	16	25	34	0	16	32	33	34	27	33	35	16	37	41	22	42	43	37	41	45	48	37	69	43	54	42	48	51	52	54	54	37	29	60	51	57	48	58	58	59	54	67	54	69	41	43	72	57	42	57	73	67	72	57	58	58	69	57	37	48	69	102	68	57	69	40	58	69	6	58	69	58	40	41	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	2	1	2	2	1	2	2	1	2	3	1	1	1	4	1	1	2	1	4	1	3	3	3	3	1	4	1	2	2	1	1	2	3	5	3	4	2	1	3	5	5	5	1	3	3	3	6	5	3	5	1	3	5	5	3	3	5	6	4	2	1	2	4	7	6	4	8	6	8	7	3	5	7	7	5	8	5	12	6	9	12	6	9
1500	-2094.763313238769115	-2091.295724801660072	-3.467588437108971	0.000010104222815	0.000074911601546	7.413890500491599	0.439983017667708	-1	1	1	2	3	3	4	4	4	3	5	6	3	6	5	7	6	7	9	7	7	9	8	9	9	9	9	10	9	11	12	10	8	10	8	12	10	12	12	11	13	12	12	12	12	13	14	12	16	15	12	15	16	12	14	14	14	12	18	16	16	15	16	15	16	17	17	16	16	17	19	16	16	17	21	22	17	19	18	16	18	18	19	20	21	20	17	20	19	20	21	21	19	23	19	22	22	24	23	22	20	21	24	22	25	23	24	26	26	27	0	1	1	1	2	1	13	5	0	4	8	11	4	7	7	0	13	13	11	14	15	0	17	18	21	33	0	21	0	37	23	25	21	26	0	30	22	32	34	0	51	32	33	34	27	33	35	37	37	41	16	42	43	37	51	45	48	37	80	43	54	42	48	51	52	54	54	54	41	53	51	57	48	58	58	59	54	67	54	51	69	70	72	57	62	72	73	78	72	72	58	58	80	57	67	90	69	102	92	89	80	45	74	80	45	74	51	58	56	102	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	2	2	3	1	3	2	4	1	1	2	1	1	1	2	2	2	2	1	1	2	4	2	2	1	3	2	3	2	4	2	3	1	3	2	1	1	1	4	5	3	1	1	2	4	5	6	3	6	1	1	6	2	1	2	2	6	5	4	12	3	8	11	8	3
2000	-1858.583456720898539	-1855.380355749025966	-3.203100971872617	0.000010203077798	0.000064044819951	6.277009860923104	0.570564890478645	-1	0	1	2	2	1	4	5	3	5	5	6	3	6	6	6	5	6	8	7	7	11	8	9	8	10	10	9	10	12	11	10	9	11	11	12	11	11	13	12	15	12	12	12	12	13	13	13	13	16	13	13	17	12	15	14	14	13	18	14	14	15	16	16	15	16	17	15	15	16	18	16	17	16	20	22	17	18	18	17	19	18	18	20	19	20	19	19	19	20	20	20	21	22	19	21	20	22	21	21	21	19	23	22	25	23	25	25	24	28	0	1	1	1	2	1	13	5	0	4	5	11	4	7	7	0	7	13	12	14	15	0	17	18	21	33	0	21	0	37	23	25	21	26	0	37	16	32	34	0	51	32	33	34	35	33	35	36	37	51	16	32	60	37	51	45	48	37	69	43	54	32	48	51	52	54	68	54	51	60	51	57	48	58	58	59	66	67	68	69	69	70	72	57	62	72	73	78	83	57	58	58	80	89	67	90	59	102	92	83	80	40	74	80	1	92	69	58	102	109	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	4	2	2	1	1	1	1	1	2	1	1	4	2	1	1	3	1	2	1	1	3	1	2	2	3	2	1	1	2	1	2	1	1	3	3	3	1	1	1	3	4	4	3	1	1	1	1	1	1	1	2	5	5	3	11	2	7	10	3	3
2500	-1689.184907540673294	-1685.980709613139652	-3.204197927533628	0.000010598916983	0.000066577041291	6.281494741267442	0.600581607371357	-1	1	2	2	3	4	4	4	3	4	6	5	3	5	5	7	5	7	8	8	6	10	8	10	8	10	10	9	10	12	12	9	9	11	11	11	10	11	12	10	14	12	13	13	12	12	13	13	16	16	13	14	17	14	15	14	15	15	17	14	15	16	14	15	15	16	16	17	15	16	19	17	17	19	21	21	18	18	18	17	18	19	19	18	21	20	18	19	20	20	21	20	19	22	20	22	21	23	22	22	21	21	23	20	24	23	25	26	24	28	0	1	1	1	2	1	13	5	0	4	5	8	4	7	7	0	13	13	12	14	15	0	17	18	21	33	0	15	0	37	23	25	21	26	0	37	16	32	34	0	51	32	33	34	27	33	35	36	54	41	16	42	60	30	51	45	48	54	69	43	54	42	48	51	52	54	54	54	51	60	51	57	63	58	58	59	66	67	68	69	69	70	72	57	62	72	73	78	83	57	58	58	80	83	88	90	93	102	92	83	104	40	92	80	40	92	104	58	102	109	1	1	1	2	1	4	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	4	1	2	1	1	2	2	1	1	3	1	2	2	4	2	1	1	1	1	1	1	1	2	2	3	1	1	1	4	5	2	1	2	1	1	1	1	1	2	1	5	1	2	8	2	2	9	2	2
3000	-1589.105859541054542	-1585.816068479109163	-3.289791061945293	0.000010831403397	0.000071890746178	6.637251290691497	0.649711443366946	-1	0	2	1	2	3	5	4	3	5	6	6	3	6	6	7	5	6	9	8	7	11	7	10	8	10	10	10	10	13	12	10	9	11	11	11	9	12	13	12	14	12	12	12	12	13	12	12	13	16	13	14	17	12	15	14	15	14	18	14	15	15	15	15	15	17	17	15	16	17	18	17	17	18	20	21	18	18	17	18	18	18	18	20	19	19	19	19	20	19	21	20	19	21	20	21	22	23	22	23	21	21	24	20	24	23	25	26	25	27	0	1	1	1	2	2	13	5	0	4	5	5	4	7	7	0	13	13	12	14	15	0	17	18	21	33	0	21	0	37	23	25	21	26	0	37	16	32	34	0	51	32	33	34	27	33	35	36	37	41	22	42	60	37	41	45	48	49	69	43	54	42	48	51	52	68	68	54	51	60	51	57	63	58	58	59	66	67	68	69	69	70	72	57	62	72	73	78	83	83	58	74	80	83	88	90	104	102	92	94	104	40	92	93	56	92	101	92	102	109	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	1	2	2	2	2	1	2	3	2	2	1	1	1	1	1	1	1	3	2	1	1	1	1	1	5	1	1	1	1	1	1	1	1	2	1	4	2	1	6	1	2	6	2	1
3500	-1359.862188720552695	-1357.480737679734148	-2.381451040818602	0.000011675262598	0.000039680941751	3.398719422026874	0.647399662022609	0	2	2	2	4	3	5	5	3	5	5	6	4	6	5	5	6	6	8	7	7	11	8	9	8	10	11	9	7	13	12	9	9	11	11	11	10	10	13	10	14	13	11	13	12	14	13	13	13	15	12	15	17	14	14	14	15	15	15	15	16	16	15	16	16	17	16	16	17	17	18	17	16	17	20	21	18	18	18	18	19	18	18	20	20	18	18	19	19	19	20	20	19	23	20	20	22	23	22	22	21	19	23	20	24	23	23	26	25	28	0	1	1	1	2	1	13	5	0	4	5	5	4	13	13	0	13	13	12	14	15	0	17	18	21	33	0	21	0	37	23	25	21	26	0	37	29	32	34	0	51	32	33	34	27	33	35	36	37	41	29	42	60	49	51	45	48	49	51	43	54	42	48	51	52	54	54	54	59	60	51	57	63	58	58	69	66	67	68	69	69	70	57	57	62	72	73	78	83	83	58	74	80	89	88	90	104	102	92	72	104	6	92	93	102	92	104	74	102	109	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	2	3	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	3	2	1	2	1	1	1	1	1	3	1	7	2	1	3	1	1	7	3	1
4000	-1298.198601961236136	-1295.944239863265693	-2.254362097970340	0.000013770966230	0.000041723917925	3.029846797073297	0.622375496491363	0	1	2	1	3	3	4	5	4	5	6	6	3	5	6	6	5	6	8	6	7	10	9	9	8	10	9	9	11	13	11	10	9	11	11	11	9	11	13	11	14	13	13	13	12	14	13	13	13	16	13	14	16	14	15	14	15	16	15	14	16	15	15	15	15	15	16	17	16	15	17	17	16	17	21	21	18	17	18	18	18	18	17	18	20	19	17	18	18	19	20	20	20	22	20	22	22	23	23	23	22	21	24	21	25	24	25	26	25	27	0	1	1	1	2	1	13	5	0	4	5	5	4	7	13	0	13	13	12	14	15	0	17	18	21	33	0	21	0	37	23	25	15	26	0	37	16	32	34	0	51	32	33	34	27	33	35	36	37	51	22	42	60	49	41	45	48	49	51	43	54	42	48	51	52	54	54	54	59	60	51	57	63	58	58	59	66	67	54	69	69	70	57	57	62	72	73	78	83	83	74	74	80	89	88	90	104	102	92	83	104	56	92	93	102	92	101	74	102	109	1	1	1	1	1	2	1	1	1	2	3	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	2	2	1	2	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	4	2	2	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	3	1	6	2	1	3	2	1	7	3	1
4500	-1159.352951979695035	-1157.294688933264979	-2.058263046430006	0.000019868122850	0.000049546914565	2.493789420337772	0.781720652214475	0	1	2	2	3	4	4	5	3	5	7	6	3	6	5	6	7	6	8	7	7	9	9	10	8	10	11	10	10	11	11	9	9	11	11	12	9	12	12	12	15	12	12	13	13	11	13	13	13	15	13	15	16	14	14	14	16	15	15	15	15	15	15	15	16	16	17	16	17	17	18	18	17	19	19	21	17	18	18	18	19	19	18	18	21	20	18	19	20	19	21	21	20	22	20	21	22	23	22	21	22	21	22	21	25	24	24	25	25	26	0	1	1	1	2	1	13	5	0	4	5	5	4	7	7	0	13	13	12	14	15	0	17	18	21	33	0	21	0	37	23	25	21	26	0	30	16	32	34	0	51	32	33	34	27	33	35	36	37	51	29	42	60	49	51	45	48	49	51	43	54	42	48	51	52	54	54	54	59	60	51	57	63	58	58	59	66	67	68	69	69	70	57	57	62	72	73	78	83	83	74	74	80	100	88	90	104	102	92	83	104	27	92	93	102	92	101	103	102	109	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	2	3	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	3	1	1	2	2	1	2	1	1
