step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-514.144743578044654	-512.682661493525757	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.419689520546768	0	1	3	1	3	3	4	4	6	4	5	6	5	7	7	7	7	8	7	8	9	9	9	9	8	9	10	10	10	13	10	11	10	11	11	11	11	11	11	13	12	13	11	12	13	15	12	12	12	14	13	13	13	14	14	15	14	16	14	15	16	16	15	15	15	16	15	15	17	17	18	17	18	18	18	19	18	20	23	20	21	23	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	3	2	3	3	3	4	4	4	4	4	4	4	5	5	5	5	4	5	5	5	5	7	5	6	5	6	6	6	6	6	6	7	6	7	6	6	7	8	6	6	6	7	7	7	7	7	7	8	7	8	7	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	10	9	10	12	10	11	12	11
500	-297.706956982708220	-296.184209768188055	-1.522747214520189	0.000009990155253	0.000002794837767	0.279759192569723	0.494921623168444	0	1	4	2	3	4	4	5	7	5	5	6	5	8	6	8	7	8	8	9	9	10	8	9	8	9	11	9	11	12	10	11	10	11	9	10	10	11	11	13	12	13	10	12	11	15	13	13	12	14	12	12	13	13	15	15	14	16	12	14	15	14	16	15	15	16	15	15	16	17	18	17	17	19	19	19	18	21	23	20	22	23	21	0	1	4	1	1	4	4	7	2	4	5	3	1	15	6	15	6	5	11	9	18	25	13	9	8	14	20	16	14	36	28	43	3	17	12	24	14	24	36	33	43	22	19	18	21	43	28	22	33	38	19	22	45	26	40	54	45	20	35	48	48	44	50	53	50	60	42	51	28	31	72	56	30	63	72	48	73	70	83	77	72	66	74	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	3	4	1	1	1	1	2	3	1	2	1	2	3	3	2
1000	-232.439969822391674	-230.521065650972105	-1.918904171419556	0.000010006600823	0.000001522187429	0.152118332310222	0.839573625836020	0	1	2	2	3	4	4	4	6	5	5	6	6	8	7	7	7	7	8	8	9	9	9	10	8	10	11	11	10	11	11	12	10	9	12	11	10	11	12	14	12	14	11	12	14	14	11	12	13	14	12	13	13	13	14	15	15	17	13	15	16	16	16	14	13	16	16	16	18	17	18	17	18	18	18	18	18	20	24	20	21	23	22	0	1	1	1	2	3	5	4	5	1	6	7	6	9	11	2	7	9	9	18	17	18	17	14	18	16	21	23	19	20	6	33	19	13	38	34	18	34	26	65	33	35	21	37	54	32	33	34	48	51	24	28	38	43	39	65	49	60	47	54	42	40	56	31	32	45	59	38	66	56	68	67	67	58	62	70	46	77	73	70	76	83	76	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2
1500	-217.273734515875987	-215.780460508760427	-1.493274007115569	0.000010055753332	0.000003011110952	0.299441608426223	0.980752381224687	-1	1	2	1	3	2	5	5	6	3	6	5	5	7	7	7	8	9	8	8	9	9	9	9	8	10	11	10	10	14	11	11	10	10	11	11	11	12	11	13	11	13	12	12	12	15	13	13	11	14	13	14	13	14	14	16	14	17	14	14	14	15	15	15	15	17	15	16	17	16	19	16	17	17	19	19	19	18	22	19	20	22	21	0	1	2	1	2	1	6	5	12	4	2	5	10	12	13	7	12	14	11	9	19	16	16	14	7	20	24	15	22	48	29	24	22	23	22	24	29	26	23	43	33	27	18	18	26	40	37	41	25	44	37	48	43	44	35	54	40	68	42	41	42	44	53	52	45	59	54	43	65	62	70	62	64	41	69	58	66	65	78	63	66	76	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
2000	-211.084603040194736	-209.711012519385605	-1.373590520809133	0.000009949872702	0.000004643111567	0.466650348813369	0.987990030353888	0	2	3	1	4	4	3	5	5	5	5	7	6	6	8	7	7	9	6	9	10	9	9	9	8	7	10	11	11	13	9	11	10	10	11	12	12	11	10	13	13	13	11	12	13	14	12	13	11	14	12	13	13	14	14	16	14	17	14	16	15	16	13	15	15	16	12	15	18	18	18	18	19	18	17	18	18	19	21	20	21	23	21	0	1	2	1	3	2	4	2	7	6	3	6	10	6	8	8	10	12	11	12	12	19	26	25	9	8	18	22	18	44	17	34	31	23	23	22	34	24	31	67	28	39	23	27	47	51	33	27	21	35	29	67	32	48	37	30	21	65	44	55	48	42	36	45	42	50	33	54	56	66	60	62	58	58	61	75	60	58	80	71	77	80	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-202.955904084044249	-201.117090386531856	-1.838813697512393	0.000009916638586	0.000001664536760	0.167852921680851	0.998620482711562	0	2	3	2	4	3	4	4	5	4	5	6	5	6	8	6	7	8	6	7	9	9	8	10	7	7	10	10	11	14	11	12	10	11	11	12	10	12	11	13	12	13	11	12	13	15	12	12	9	12	14	13	13	14	15	15	14	15	14	15	17	17	15	15	15	16	16	16	17	16	16	17	17	18	17	20	19	20	24	20	20	22	22	0	1	2	1	4	2	2	2	5	2	3	5	2	9	17	3	7	17	5	13	20	12	11	23	5	11	26	21	28	50	21	24	49	18	18	35	49	27	27	35	28	47	49	43	34	53	28	28	26	21	44	47	33	34	30	53	48	42	52	48	65	30	57	54	45	57	64	63	60	55	55	57	66	62	67	62	61	73	82	72	73	76	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-210.358418653866124	-208.903487179179791	-1.454931474686327	0.000009978327089	0.000003305679031	0.331285896113799	0.962189950961796	0	2	3	1	3	2	4	4	6	4	5	6	5	8	7	6	7	9	6	9	10	9	9	8	5	9	8	11	11	12	10	12	9	9	12	11	11	11	10	12	11	12	11	13	13	15	13	12	12	14	11	13	13	15	15	14	14	16	14	14	15	16	14	16	14	17	15	15	17	16	18	18	18	18	17	19	19	20	23	20	21	23	21	0	1	2	1	2	4	2	6	13	4	7	8	2	9	25	25	16	9	13	15	26	17	12	25	3	11	8	24	27	28	19	36	7	14	38	22	22	22	27	51	21	51	18	21	29	57	36	33	22	44	23	30	29	44	59	30	49	61	35	42	45	61	42	60	49	55	52	48	67	50	46	70	64	58	54	69	66	74	81	73	76	81	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-253.445623532471870	-252.010590764649265	-1.435032767822612	0.000009915645946	0.000003490614111	0.352030934792782	0.857484191452981	0	1	3	1	4	4	3	5	7	3	5	6	6	7	7	8	7	7	6	8	10	7	9	8	8	8	11	10	10	13	10	11	10	12	12	12	12	12	11	12	12	14	10	11	13	16	9	13	12	14	11	14	13	15	14	15	14	16	13	16	15	16	16	15	15	17	13	14	16	16	18	17	18	19	18	19	19	21	23	20	21	23	22	0	1	4	1	1	10	2	6	11	2	7	6	6	19	19	5	6	11	5	15	47	8	15	22	14	10	31	9	18	37	16	23	20	39	51	13	31	31	20	28	28	37	17	23	35	57	13	41	29	33	43	59	38	53	34	30	37	55	27	50	37	36	30	67	68	56	40	30	35	45	34	54	41	45	70	60	70	76	83	58	76	81	80	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	1	3	1	1	1
4000	-207.528954406852733	-204.639930855843716	-2.889023551009029	0.000009833035926	0.000000629980437	0.064067744912378	0.974310680386856	0	1	4	2	4	3	4	5	6	4	6	6	5	7	7	7	7	8	6	8	9	7	10	9	9	9	10	10	11	13	11	11	9	10	10	12	11	11	11	14	12	12	11	12	14	13	13	13	11	15	13	13	13	14	15	16	15	15	14	16	17	16	16	15	14	16	15	15	18	17	17	18	18	18	18	19	18	21	23	20	21	23	21	0	1	6	2	2	2	4	10	7	2	8	3	7	10	13	19	19	11	8	9	9	6	15	14	9	20	18	25	25	41	24	26	9	18	33	28	25	26	25	48	39	43	33	29	44	28	43	39	24	23	36	29	37	32	32	54	44	30	49	57	55	54	40	51	27	30	46	52	66	67	55	60	70	66	62	63	66	75	83	74	76	78	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
4500	-224.503365736719473	-223.097737322328641	-1.405628414390822	0.000010382367937	0.000004069249420	0.391938471462204	0.932885278661781	0	2	2	1	3	3	5	4	6	5	4	6	5	6	7	8	7	8	8	8	10	9	9	8	9	7	9	10	11	14	11	12	11	11	8	11	11	10	12	13	12	13	11	11	13	16	12	12	13	13	13	11	14	14	14	15	15	17	15	14	14	16	16	15	15	16	16	13	18	17	18	17	18	18	18	19	17	19	23	21	20	23	18	0	1	4	1	2	4	6	6	11	2	4	5	2	8	10	26	13	12	17	14	35	17	26	12	17	7	9	16	20	32	22	36	22	27	14	16	22	22	34	28	20	36	16	25	38	45	19	43	44	43	47	27	49	52	37	30	61	65	47	33	48	65	32	51	48	61	30	37	67	53	63	57	46	62	58	83	57	66	80	74	71	76	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
